105年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2016,,,,,
證     券     名     稱,,成   交   值,成   交   量,收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
,合計,"16,771,139,442,107","438,311,632,491",,62.67
,Total,,,,
,普通交割股票,"16,744,680,974,615","432,560,510,755",,
,Ordinary Settlement Stocks,,,,
1,水泥工業類,,,,
,Cement,,,,
1101,臺灣水泥,"55,453,414,560","1,690,005,680",33,45.77
,TCC,,,,
1102,亞洲水泥,"25,207,678,262","917,869,591",27.52,27.3
,ACC,,,,
1103,嘉新水泥,"538,522,558","60,249,717",8.94,7.77
,CHC,,,,
1104,環球水泥,"2,916,831,357","127,954,405",22.46,20.21
,UCC,,,,
1108,幸福水泥,"552,061,450","56,356,728",9.65,13.93
,Lucky Cement,,,,
1109,信大水泥,"149,874,201","14,545,272",10.06,3.84
,HsingTa,,,,
1110,東南水泥,"271,869,417","17,997,760",15.11,3.14
,TUNA CEMENT,,,,
2,食品工業類,,,,
,Foods,,,,
1201,味全食品,"4,456,315,330","226,483,564",19,44.76
,Wei-Chuan,,,,
1203,味王,"494,587,099","22,571,179",22.05,9.4
,Ve Wong,,,,
1210,大成長城,"17,600,176,876","651,835,810",25.6,88.51
,GREATWALL,,,,
1213,大飲,"332,241,067","18,314,289",16.85,34.34
,Oceanic Beverages,,,,
1215,卜蜂企業,"22,225,642,960","606,654,333",34.3,226.36
,CPE,,,,
1216,統一企業,"136,277,827,898","2,327,794,877",58.78,40.97
,PEC,,,,
1217,愛之味,"2,022,236,255","249,801,951",7.92,51.14
,AGV,,,,
1218,泰山,"4,550,110,918","306,292,062",13.88,86.68
,TAISUN,,,,
1219,福壽,"428,556,243","28,751,864",15.24,9.03
,FWUSOW,,,,
1220,台榮,"534,478,557","48,626,688",10.74,27.47
,TAIROUN,,,,
1225,福懋油脂,"1,436,660,322","37,456,596",40.71,17.13
,FOPCO,,,,
1227,佳格食品,"18,690,596,693","236,168,058",78.9,28.55
,S.F.C,,,,
1229,聯華實業,"3,758,790,418","178,483,616",20.72,19.78
,LHIC,,,,
1231,聯華食品,"1,215,678,540","39,502,946",30.14,26.29
,Lian Hwa Foods,,,,
1232,大統益,"1,640,231,074","20,453,504",79.96,12.77
,TTET,,,,
1233,天仁,"307,519,299","8,215,419",37.25,9.09
,Ten Ren,,,,
1234,黑松,"1,218,917,894","37,215,177",33.04,9.27
,Hey-Song,,,,
1235,興泰,"862,023,130","32,838,404",24.73,54.14
,Shin Tai,,,,
1236,宏亞食品,"87,025,667","4,443,455",19.78,4.1
,Hunya Foods,,,,
1256,鮮活果汁-KY,"1,152,095,587","8,852,052",124.08,32.57
,Sunjuice,,,,
1702,南僑化工,"11,083,221,425","170,830,829",65.05,58.08
,NAMCHOW,,,,
1737,臺鹽,"6,786,365,198","214,559,555",29.85,107.28
,TAIYEN,,,,
3,塑膠工業類,,,,
,Plastics,,,,
1301,台灣塑膠,"117,841,552,113","1,466,182,295",80.22,23.03
,FPC,,,,
1303,南亞塑膠,"98,372,718,667","1,554,348,936",63.07,19.61
,NPC,,,,
1304,台灣聚合,"8,333,762,550","575,426,446",13.72,50.36
,USI,,,,
