,,,,,,,,,O,O,O,O,O,O,O,O,,,,,,O,O,O,O,O,O
Year,Month,INDPRO Rate,RSAFS,HOUST,DGOrder,NEWORDER,UNRATE,PERMITNSA,INDPRO,PAYEMS,ISRatio,AWOTMAN,UMCSENT,ICSA,M1SL,MZMSL,TB3MS,GS10,BAA,CPF3M,CPIAUCSL,CRB Future,SP500PE,SPOpen,SPHigh,SPLow,SPClose
年,月,工業生產指數YoY,零售銷售YoY,新屋開工YoY,耐久財訂單YoY,非國防資本財YoY,失業率,建築許可YoY,工業生產指數,非農就業1 Year,存貨銷售比,每週加班工時,消費者信心指數,初領失業救濟金,M1,MZM,3個月殖利率,10年期殖利率,BAA殖利率,90天商業本票,CPI,CRB期貨指數,S&P 500 PE,SPOpen,SPHigh,SPLow,SPClose
,,同時,同時,領先,領先,領先 ,落後,領先 ,同時,同時,落後,領先,領先,領先,領先,領先,利率,利率,利率,利率,落後,落後,同時,,,,
1993,2,4.6,5.6,-3.2,12.4,9.2,7.1,0.7,64.5109,1721,1.50,4.4,86.6,362000,11.7,7.7,2.93,6.26,8.39,3.25,3.2,202.91,20.55,438.78,450.04,428.25,443.38
1993,3,3.7,5.2,-16.5,5.8,4.9,7.0,1.4,64.4957,1620,1.52,4.2,85.9,366000,10.9,7.0,2.95,5.98,8.15,3.18,3.0,212.49,20.86,443.38,456.76,441.07,451.67
1993,4,3.3,7.0,14.5,2.2,4.9,7.1,3.3,64.6980,1771,1.51,4.9,85.6,350000,11.0,6.5,2.87,5.97,8.14,3.17,3.2,210.89,20.46,451.67,452.63,432.3,440.19
1993,5,2.6,7.9,3.8,1.0,3.3,7.1,4.7,64.4643,1910,1.49,4.4,80.3,349000,12.1,6.9,2.96,6.04,8.21,3.14,3.2,208.69,20.52,440.19,454.55,436.86,450.19
1993,6,2.8,7.3,11.8,5.5,4.1,7.0,7.9,64.6165,2023,1.50,4.3,81.5,340000,12.7,6.7,3.07,5.96,8.07,3.14,3.0,207.12,20.61,450.23,455.63,442.5,450.53
1993,7,2.2,8.2,10.1,4.8,6.1,6.9,3.4,64.8201,2247,1.50,4.4,77.0,356000,12.6,6.1,3.04,5.81,7.93,3.25,2.8,219.26,20.57,450.54,451.15,441.4,448.13
1993,8,2.7,7.6,6.0,7.4,8.8,6.8,20.3,64.8016,2267,1.50,4.4,77.3,337000,12.4,5.4,3.02,5.68,7.60,3.20,2.8,217.19,20.81,448.13,463.56,446.94,463.56
1993,9,3.0,7.1,13.2,5.5,4.6,6.7,12.4,65.1087,2473,1.50,4.6,77.9,343000,11.7,5.0,2.95,5.36,7.34,3.18,2.8,216.12,20.99,463.55,463.8,449.64,458.93
1993,10,3.0,7.2,11.9,4.4,10.5,6.8,10.2,65.5824,2573,1.48,4.5,82.7,348000,10.9,4.7,3.02,5.33,7.31,3.16,2.8,218.39,21.11,458.93,471.1,456.4,467.83
1993,11,3.0,8.0,13.3,6.8,7.6,6.6,28.4,65.8498,2694,1.49,4.7,81.2,337000,10.7,4.8,3.10,5.72,7.66,3.26,2.7,217.99,21.04,467.83,469.11,454.36,461.79
1993,12,3.5,7.5,24.9,5.8,12.8,6.5,25.9,66.1906,2791,1.50,4.7,88.2,290000,10.2,5.1,3.06,5.77,7.69,3.40,2.8,226.31,21.17,461.93,471.29,461.45,466.45
1994,1,3.4,5.8,5.1,14.2,8.0,6.6,20.3,66.4653,2749,1.47,4.7,94.3,406000,9.8,5.2,2.98,5.75,7.65,3.36,2.5,225.55,21.41,466.51,482.85,464.36,481.61
1994,2,3.1,8.3,10.5,6.5,13.0,6.6,11.8,66.4951,2708,1.47,4.7,93.2,327000,9.9,4.7,3.25,5.97,7.76,3.19,2.5,227.55,21.26,481.6,482.23,464.26,467.14
1994,3,4.2,11.0,44.4,7.7,11.5,6.5,27.5,67.1892,3221,1.46,4.9,91.5,322000,9.8,4.9,3.50,6.48,8.13,3.49,2.7,227.67,20.83,467.19,471.09,436.16,445.77
1994,4,4.4,8.8,16.5,10.0,13.5,6.4,18.9,67.5196,3265,1.46,4.9,92.6,344000,8.9,4.9,3.68,6.97,8.52,3.85,2.4,225.04,20.06,445.66,452.79,435.86,450.91
