Year,Month,SPOpen,SPHigh,SPLow,SPClose,NEW ORDERS,PRODUCTION,EMPLOYMENT,DELIVERIES,INVENTORIES,PMI
1996,1,615.93,636.18,597.29,636.02,44.1,45.6,45.3,47.8,46.6,45.5
1996,2,636.02,664.23,633.71,640.43,46.1,45.7,44.6,49.5,43.3,45.9
1996,3,640.43,656.97,627.63,645.5,49.1,47.3,44.4,49.6,40.0,46.9
1996,4,645.5,656.68,624.14,654.17,52.3,51.6,44.7,49.4,43.9,49.3
1996,5,654.17,681.1,630.07,669.12,51.7,53.0,44.7,49.9,39.2,49.1
1996,6,669.12,680.32,658.75,670.63,59.4,55.5,48.2,52.8,43.1,53.6
1996,7,670.63,675.88,605.88,639.95,51.9,52.4,46.7,50.8,40.8,49.7
1996,8,639.95,670.68,639.49,651.99,54.6,55.1,47.4,51.9,42.2,51.6
1996,9,651.99,690.88,643.97,687.33,54.6,53.5,47.2,50.0,43.7,51.1
1996,10,687.31,714.1,684.44,705.27,52.9,55.4,46.0,50.9,39.6,50.5
1996,11,705.27,762.12,701.3,757.02,56.9,58.1,47.6,51.2,42.3,53.0
1996,12,757.02,761.75,716.69,740.74,61.7,58.9,48.6,52.0,44.4,55.2
1997,1,740.74,794.67,729.55,786.16,57.0,59.8,49.8,49.7,43.2,53.8
1997,2,786.16,817.68,773.43,790.82,57.6,58.9,45.9,52.1,41.3,53.1
1997,3,790.82,814.9,756.13,757.12,58.6,55.0,50.8,53.1,43.5,53.8
1997,4,757.12,804.13,733.54,801.34,56.6,56.8,51.8,53.4,41.4,53.7
1997,5,801.34,851.87,793.21,848.28,62.3,56.7,50.7,55.0,48.1,56.1
1997,6,848.28,902.09,838.82,885.14,59.4,56.5,51.3,54.6,45.2,54.9
1997,7,885.14,957.73,884.54,954.31,61.3,64.5,51.7,54.7,45.9,57.7
1997,8,954.29,964.17,893.34,899.47,60.3,61.5,51.3,55.2,43.0,56.3
1997,9,899.47,960.59,899.47,947.28,55.4,56.6,51.2,54.8,47.2,53.9
1997,10,947.28,983.12,855.27,914.62,60.9,59.4,52.8,54.9,45.0,56.4
1997,11,914.62,964.55,900.61,955.4,57.4,60.1,53.7,55.2,43.8,55.7
1997,12,955.4,986.25,924.92,970.43,57.2,56.7,52.1,53.9,46.2,54.5
1998,1,970.43,992.65,912.83,980.28,57.1,55.6,51.1,53.0,46.2,53.8
1998,2,980.28,1051.66,980.28,1049.34,54.6,54.6,51.7,52.8,46.2,52.9
1998,3,1049.34,1113.07,1030.87,1101.75,54.9,54.5,51.4,53.0,46.0,52.9
1998,4,1101.75,1132.98,1076.7,1111.75,55.3,53.3,49.0,52.4,46.1,52.2
1998,5,1111.75,1130.52,1074.39,1090.82,51.5,53.2,49.3,51.5,46.0,50.9
1998,6,1090.82,1145.15,1074.67,1133.84,50.2,50.6,47.0,50.9,42.0,48.9
1998,7,1133.84,1190.58,1114.3,1120.67,51.8,50.8,45.1,50.2,44.1,49.2
1998,8,1120.67,1121.79,957.28,957.28,50.9,50.7,46.7,50.3,44.8,49.3
