櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"104年6月  Jun., 15",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值：507,779,256,098元",,,,,,"3. 櫃檯買賣月總成交筆數：4,425,719筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,327,078,947股",,,,,,4. 成交量週轉率：12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量     （ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　                         Average Price （NTD / Share）,,,,月底收盤價    End of Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均  Average,最　高  Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1256,F-鮮活,"79,805,930","402,860",411,198.10,208.50,191.00,197.38,201.00,21.22 ,3.23,1.63,5.78
1258,F-其祥,"303,858,350","7,115,044","4,034",42.71,52.00,30.10,38.04,47.55,16.40 ,2.73,20.93,2.45
1264,德麥,"264,178,384","1,246,345",986,211.96,226.00,198.00,211.62,210.00,17.09 ,4.76,4.07,3.82
4205,中華食,"8,981,039","238,151",176,37.71,38.00,37.30,37.77,38.00,19.59 ,3.95,0.33,2.31
4207,環泰,"56,171,419","5,151,371","1,484",10.90,11.90,9.80,10.72,11.60,48.33 ,3.88,3.04,1.00
4712,南璋,"142,692,733","12,455,665","4,707",11.46,14.15,9.35,10.88,10.05,N/A,0.00,12.94,1.30
4303,信立,"14,666,903","1,021,019",395,14.36,15.35,13.20,14.44,14.50,16.86 ,1.38,1.46,1.39
4304,勝昱,"7,190,990","458,646",396,15.68,16.80,14.15,15.34,16.80,N/A,0.00,0.89,1.78
4305,世坤,"2,370,314","88,702",74,26.72,27.75,26.05,26.83,26.95,12.19 ,6.68,0.16,1.62
6508,惠光,"33,911,757","1,085,815",754,31.23,32.20,30.50,31.24,31.00,11.19 ,6.45,1.40,1.17
8354,冠好,"18,981,035","1,194,835",421,15.89,16.60,15.15,15.97,16.00,11.59 ,5.00,1.87,0.74
9950,萬國通,"15,063,246","601,673",323,25.04,26.05,22.95,25.03,25.00,18.52 ,4.76,0.99,1.37
4401,東隆興,"2,648,011,672","19,362,277","15,017",136.76,148.00,125.00,135.21,130.00,36.01 ,2.69,16.10,6.28
4402,福大,"3,395,060","650,219",215,5.22,5.50,4.87,5.25,5.35,N/A,0.00,1.41,0.79
4406,新昕纖,"86,145,544","7,755,509","2,676",11.11,13.00,9.15,10.32,10.65,N/A,0.00,14.94,0.99
4413,飛寶,"761,400","27,580",35,27.58,34.00,25.30,28.85,29.50,N/A,0.00,0.14,20.07
4417,金洲,"5,866,502,860","112,181,468","67,875",52.29,59.20,46.15,51.45,49.00,15.08 ,2.65,140.34,2.13
4419,松懋,"615,264","74,502",41,8.26,9.20,7.50,8.19,7.51,N/A,0.00,0.32,1.32
4420,光明,"75,378,550","2,457,354","1,282",30.67,33.85,26.60,28.19,27.25,20.64 ,3.67,8.34,1.65
4429,聚紡,"276,994,766","8,827,070","4,880",31.38,35.55,27.20,30.14,27.90,34.02 ,1.79,25.70,0.90
4432,銘旺實,"1,869,699,024","18,821,462","14,253",99.34,106.00,87.80,95.63,95.90,18.69 ,4.69,39.06,3.08
4433,興采,"1,160,279,527","22,277,885","15,635",52.08,61.00,40.60,49.37,42.40,69.51 ,1.89,74.08,1.91
1566,捷邦,"720,374,768","25,878,432","12,788",27.84,29.90,24.65,27.07,24.90,35.57 ,2.01,38.70,1.39
1570,力肯,"91,121,523","5,541,876","2,341",16.44,17.80,15.10,16.43,16.30,10.38 ,0.00,10.76,1.54
1580,新麥,"140,300,213","830,823",727,168.87,184.00,160.50,171.12,171.00,14.74 ,4.97,1.75,4.48
1586,和勤,"43,340,306","1,845,953",969,23.48,26.40,22.30,23.95,22.65,27.29 ,4.42,3.96,0.95
1591,F-駿吉,"22,917,486","863,617",477,26.54,31.00,22.50,27.64,28.50,15.92 ,4.21,3.21,2.15
1597,直得,"18,088,123","559,632",508,32.32,34.50,29.55,32.39,32.50,361.11 ,1.54,0.94,1.45
1599,宏佳騰,"38,556,328","1,209,141",801,31.89,32.95,30.70,31.82,31.60,19.39 ,6.17,2.69,1.22
2066,世德,"342,524,407","3,070,182","2,721",111.56,125.00,102.50,111.07,106.00,17.29 ,5.19,8.52,3.64
2067,嘉鋼,"5,924,402","333,340",199,17.77,19.50,16.65,18.04,17.50,N/A,5.71,1.17,1.05
2230,泰茂,"67,571,144","3,712,722","1,707",18.20,20.80,14.10,16.36,19.40,27.32 ,4.12,9.37,1.39
2233,宇隆,"1,067,227,522","13,218,551","9,861",80.74,92.20,72.20,80.68,74.50,13.93 ,6.38,26.86,1.65
2235,謚源,"221,837,571","2,032,541","1,412",109.14,115.00,90.00,102.20,110.00,21.87 ,3.64,6.38,3.68
3162,精確,"6,229,566","773,857",144,8.05,8.24,7.46,8.09,8.06,N/A,0.00,1.37,0.84
3379,彬台,"9,692,892","535,640",400,18.10,19.40,16.50,17.87,17.75,14.92 ,6.20,1.48,0.99
