Year,Month,TwseOpen,TwseHigh,TwseLow,TwseClose,M1bAverage,M1bBase,M2Average,M2Base,LeadGeneralIndex,InventoryIndex,OverworkTime,SemiIndex,LightSignal,StockIndex,SixMonthIndex,DemandDeposits
1998,1,8154.92,8154.92,7373.14,8085.47,11.52,10.41,9.37,9.78,67,86.06,10.1,0.94,23,3859,-1.8,3.79
1998,2,8260.28,9378.52,8245.42,9202.56,6.48,7.09,8.51,8.79,66.5,87.52,9.3,0.9,27,5424,-3.5,8.03
1998,3,9272.79,9314.74,8630.05,9091.16,4.89,4.53,8.13,8.32,65.9,87.64,9.5,0.82,25,5148,-5.1,5.26
1998,4,9160.68,9337.61,8294.38,8304.21,2.96,1.75,8.37,8.48,65.3,88.35,9.8,0.78,20,4655,-6.3,1.8
1998,5,8321.58,8432.03,7895.15,7903.34,2.06,3.48,8.29,8.26,64.8,90.69,9.9,0.81,19,4436,-7.1,3.49
1998,6,7860.05,7867.41,7073.22,7548.81,0.82,1.07,7.76,8.11,64.5,90.75,8.9,0.74,20,4278,-7.4,1.2
1998,7,7654.01,8092.44,7647.71,7653.51,-0.98,-1.73,7.95,8.08,64.4,88.94,8.3,0.65,16,4109,-6.9,-2.18
1998,8,7715.8,7715.8,6547.43,6550.11,-2.64,-4.01,8.45,8.39,64.6,87.74,8.6,0.57,22,3991,-5.5,-4.53
1998,9,6350.13,7218.39,6219.89,6833.95,-1.01,-0.07,9.59,9.61,65.1,88.84,8.8,0.57,18,3827,-3.2,-0.02
1998,10,6760.41,7110.02,6384.66,7101.46,2.06,0.66,9.74,9.19,65.9,89.12,9.8,0.75,16,3916,-0.2,1.02
1998,11,7215.83,7467.22,6643.18,7177.22,1.94,3.18,9.82,9.64,67,91.51,9.6,0.84,19,4561,3.4,3.71
1998,12,7116.24,7375.91,6414.45,6418.43,2.87,3.76,9.04,8.56,68.3,92.73,9.6,0.96,14,3783,7.5,4.25
1999,1,6210.41,6595.99,5975.48,5984,-0.33,-1.95,7.37,6.45,69.8,89.84,9.6,1.12,18,3830,11.8,7.18
1999,2,5948.35,6408.76,5422.66,6318.52,3.04,3.96,7.85,8.21,71.3,88.45,8.1,1.22,17,3707,15.3,3.18
1999,3,6328.22,7133.03,6227.34,6881.72,4.02,5.08,8.57,8.63,72.6,86.65,9.5,1.33,16,4365,18,5.64
1999,4,6876.2,7706.01,6875.67,7371.17,7.41,9.74,9.09,9.38,73.8,84.98,10.1,1.28,20,4775,19.5,11.04
1999,5,7393.58,7705.63,7304.44,7316.57,9.23,7.68,9.32,9.08,74.7,85.82,10.1,1.24,22,4759,19.9,9.14
1999,6,7333.69,8661.39,7313.12,8467.37,11.35,12.75,9.64,9.7,75.4,85.56,10.2,1.21,25,5364,19.3,14.67
1999,7,8508.79,8668.15,7150.04,7413.11,12.82,11.66,9.69,9.25,75.9,86.49,10,1.11,24,4924,17.9,13.01
1999,8,7340.88,8255.48,6817.58,8157.73,13.89,15.71,9.05,8.83,76.3,86.32,9.8,1.09,23,5289,16.1,17.86
1999,9,8225.61,8414.6,7415.58,7598.79,15.49,16.2,8.14,7.89,76.7,84.09,9.3,1.07,19,5346,14.4,18.18
1999,10,7633.08,7959.52,7462.45,7706.67,15.37,15.6,7.63,7.26,77.4,83.23,10.2,1.08,26,5041,13.3,17.7
1999,11,7874.26,8152.33,7261.31,7720.87,13.15,12.18,6.65,6.58,78.1,85.49,10.4,1.11,26,5660,12.6,14.1
1999,12,7702.18,8480.5,7684.42,8448.84,14.08,16.92,7.08,8.29,79,88.33,10.3,1.19,28,5492,12.3,16.61
2000,1,8644.91,9753.72,8642.5,9744.89,19.17,23.56,8.26,9.19,79.9,89.15,10.3,1.39,32,6798,12.3,23.55
2000,2,9829.68,10393.59,9407.79,9435.94,19.05,17.58,8.33,7.65,80.7,88.4,8.9,1.44,30,7030,12,21.42
2000,3,9572.24,10071.26,8250.46,9854.95,19.88,21.22,8.23,8.49,81.3,86.8,10.2,1.46,29,8356,11.3,23.69
2000,4,9892.78,10328.98,8458.4,8824.36,18.68,17.2,7.89,7.53,81.5,88.38,10.4,1.36,28,7076,10,19.25
2000,5,8836.83,9146.59,8281.68,8939.52,14.52,13.91,7,6.9,81.4,89.82,10.2,1.29,29,6373,8.1,15.63
2000,6,8936.43,9209.48,8050.02,8265.09,10.7,7.03,6.59,6.2,81.1,89.8,10.2,1.27,27,5784,5.7,7.55
2000,7,8260.95,8643.21,7723.44,8114.92,7.32,8.43,5.96,6.02,80.4,90,9.9,1.22,26,5663,3,9.41
2000,8,8171.58,8305.67,7440.81,7616.98,7.94,7.11,6.29,6.34,79.4,90.61,9.7,1.23,28,5471,-0.1,7.56
2000,9,7659.82,7829.34,6425.58,6432.36,5.76,2.82,6.32,6.14,78.3,89.88,9.9,1.17,28,4883,-3.4,2.94
2000,10,6165.64,6367.39,5074.44,5544.18,2.93,2.42,6.32,6.39,76.9,92.95,9.8,1.16,23,4902,-6.8,2.54
2000,11,5552.3,6164.62,4760.68,5256.93,3.23,2.15,6.74,6.78,75.5,95.3,9.6,1.12,17,4956,-9.8,2.15
2000,12,5173.02,5403.14,4555.91,4743.94,0.37,-0.34,6.73,6.5,74.1,100.3,9.2,0.99,16,4478,-12.3,1.75
2001,1,4717.49,5992.43,4678,5936.2,0.06,-3.33,6.83,6.09,72.8,98.18,8.8,0.8,10,4995,-14.4,-5.12
2001,2,5927.25,6198.22,5653.86,5674.69,-4.15,-3.8,5.87,6.08,71.6,98.71,9.1,0.71,10,5064,-15.8,-3.72
2001,3,5581.95,5981.31,5471.62,5797.92,-5.51,-5.84,5.43,5.28,70.5,97.18,9.3,0.59,10,5340,-16.7,-6.27
2001,4,5797.85,5797.85,5345.6,5381.67,-6.84,-6.51,5.03,4.89,69.6,96.72,9.6,0.44,9,4866,-17,-7.04
2001,5,5469.95,5502.53,4902.22,5048.86,-5.16,-5.19,5.61,5.75,68.8,96.62,9,0.49,9,4382,-16.7,-5.67
2001,6,5090.66,5318.71,4741.54,4883.43,-4.21,-1.66,6.01,6.56,68.2,96.55,8.7,0.54,9,4491,-15.9,-1.85
2001,7,4886.49,4906.82,4008.08,4352.98,-2.72,-0.78,6.34,6.65,67.9,96.8,7.6,0.65,9,4019,-14.4,-0.76
2001,8,4402.71,4715.2,4303.34,4509.44,-1.44,-1.23,6.48,6.51,67.9,94.99,7.6,0.62,11,3996,-12,-1.22
2001,9,4520,4526.27,3411.68,3636.94,0.29,3.68,6.19,6.51,68.4,94.79,7.7,0.64,9,3873,-8.6,3.75
2001,10,3623.67,4104.21,3436.25,3903.49,3.31,4.39,5.9,5.74,69.5,94.78,8.8,0.72,9,4060,-4,4.92
2001,11,3939.08,4722.18,3910.84,4441.12,5,6.7,5.16,4.9,70.9,94.56,8.1,0.72,10,4663,1.4,7.51
2001,12,4534.37,5651.98,4532.19,5551.24,10.72,11.88,4.73,4.44,72.7,95.72,8.3,0.77,15,5552,7.1,13.52
2002,1,5575.34,6049.12,5375.4,5872.14,10.96,11.24,3.9,3.64,74.5,90.82,8.5,0.81,15,6150,12.6,16.79
2002,2,5867.45,6048.65,5492.94,5696.11,15.84,16.47,4.44,4.38,76.3,90.3,7.7,0.9,15,5624,17.1,17.71
2002,3,5672.03,6326.43,5645.8,6167.47,17.58,17.38,4.43,4.41,77.8,86.77,9.2,1.05,20,6234,20.2,19.38
2002,4,6118.45,6484.93,6009.45,6065.73,19.29,20.39,4.61,4.69,79,85.32,9.7,1.22,26,6214,21.5,22.92
2002,5,6099.27,6106.77,5421.8,5675.65,20.8,21.5,4.41,4.1,79.6,86.7,9.6,1.27,25,5512,20.8,24.06
2002,6,5628.27,5656.91,5048.31,5153.71,20.37,18.73,3.75,3.54,79.7,87.11,9.2,1.26,25,5228,18.4,21.35
2002,7,5124.5,5460.09,4796.45,4940.38,20.01,17.7,3.29,2.8,79.5,88.65,8.7,1.22,29,5087,15,20.25
2002,8,4923.29,5030.24,4506.6,4764.94,19.06,19.61,2.85,2.77,79.1,89.02,8.5,1.02,24,5123,11.3,22.29
2002,9,4756.01,4756.01,4082.94,4191.81,18.16,15.99,2.77,2.23,78.8,89.33,8.6,0.8,29,4706,7.9,18.69
2002,10,4146.67,4682.94,3845.76,4579.14,16.79,16.58,2.52,2.55,78.6,88.75,9.4,0.78,23,4947,5.2,18.85
2002,11,4596.69,4862.66,4486.34,4646.69,15.23,15.02,2.86,3.13,78.5,89.26,9.1,0.8,26,5089,3.2,16.77
2002,12,4655.42,4867.23,4413.14,4452.45,11.08,9.27,2.79,2.58,78.6,88.37,9.3,0.94,24,4774,1.8,10.31
2003,1,4460.57,5141.8,4431.19,5015.16,9.56,11.85,2.9,3.87,78.7,87.61,9,0.94,20,4970,0.9,7.95
2003,2,4975.65,4975.65,4385.61,4432.46,6.89,6.26,2.54,2.38,78.9,87.91,8.5,0.98,22,4836,0.5,7.42
2003,3,4483.44,4619.98,4240.6,4321.22,5.78,5.21,2.26,1.87,79.1,88.68,9.3,0.91,17,4975,0.5,5.57
2003,4,4275.39,4677.42,4044.73,4148.07,6.04,6.2,2.2,2.31,79.6,90.35,9.1,0.9,14,4940,1.4,6.43
2003,5,4130.6,4639.01,4108.67,4555.9,7.08,8.87,2.67,3.16,80.4,92.6,9,0.9,14,5059,3.2,9.13
2003,6,4620.54,5089.08,4612.1,4872.15,9.16,9.47,2.99,2.52,81.6,91.39,8.7,0.93,20,5592,5.8,9.52
2003,7,4893.58,5504.38,4893.58,5318.34,11.16,13.1,3.42,4.1,83,90.4,8.6,0.9,24,5969,8.8,13.28
2003,8,5365.73,5692.93,5174.77,5650.83,13.69,14.31,4.49,4.62,84.5,90,8.9,0.92,26,6345,11.7,14.46
2003,9,5690.84,5809.43,5591.33,5611.41,16.16,17.78,4.98,5.27,86.1,88.6,9.2,0.96,29,6258,14.4,18.45
2003,10,5599.1,6173.85,5560.55,6045.12,19.04,18.71,5.66,5.67,87.6,87.11,10,1.01,31,6567,16.5,19.22
2003,11,6054.31,6182.2,5740.57,5771.77,19.09,18.34,5.61,5.42,89,88.24,10,1.05,30,6233,17.9,18.91
2003,12,5768.69,5945.53,5718.44,5890.69,18.1,19.32,5.55,5.82,90.2,91.06,10.2,1.23,34,5929,18.6,19.75
2004,1,5907.15,6421.45,5907.15,6375.38,20.56,17.99,6.53,6.07,91.2,88.76,9.5,1.19,35,6777,18.5,21.33
2004,2,6379.98,6756.76,6210.35,6750.54,20.42,22.27,6.8,7.26,92.1,90.33,9.7,1.15,34,7598,17.8,23.57
2004,3,6816.79,7135,6020.64,6522.19,23.75,24.89,7.89,8.41,92.7,91.73,10.1,1.09,36,8114,16.6,26.27
2004,4,6504.54,6916.31,6023.58,6117.81,24.39,24.19,8.47,8.75,93.3,89.78,10.1,1.13,37,7980,15,25.41
2004,5,6102.6,6191.84,5450.72,5977.84,23.55,20.73,8.58,7.93,93.7,91.76,10.3,1.1,39,7302,13.1,21.78
2004,6,5991.49,6010.5,5514.17,5839.44,20.2,19.26,7.93,8.08,93.9,92.62,10.1,1.07,36,6959,11.1,20.12
2004,7,5849.74,5870.59,5280.42,5420.57,18.99,19.45,7.79,7.78,94,91.33,9.8,1.04,35,6707,8.9,20.21
2004,8,5404.19,5864.57,5255.06,5765.54,18.04,17.56,7.31,7.07,94,90.79,9.4,1.01,33,7030,6.8,18.27
2004,9,5799.82,5970.29,5712.95,5845.69,16.81,16.64,7.07,6.97,93.8,93.03,10,0.94,32,7049,4.8,16.98
2004,10,5869.42,6135.55,5597.8,5705.93,14.71,14.81,6.75,6.97,93.5,94.98,10.5,0.96,29,6940,2.8,15.06
2004,11,5725.65,6088.12,5628.25,5844.76,13.9,13.45,6.98,6.96,93.2,99.37,10.2,0.99,28,6968,1.1,13.69
2004,12,5778.06,6160.96,5745.05,6139.69,14.35,12.44,7.31,7.35,92.8,104.81,10,0.94,26,6992,-0.4,12.68
2005,1,6166.39,6183.15,5734.87,5994.23,9.04,8.69,6.2,5.98,92.5,101.87,10,0.78,23,6837,-1.3,10.47
2005,2,6015.78,6233.53,5979.92,6207.83,10.06,9.09,6.49,6.12,92.5,102.91,8.8,0.77,23,7279,-1.6,8.15
2005,3,6227.42,6267.52,5940.18,6005.88,8.24,6.97,5.95,5.62,92.7,100.64,9.9,0.78,22,7151,-1.3,6.43
2005,4,6010.71,6048.37,5565.41,5818.07,6.1,5.64,5.57,5.52,93.1,101.28,10,0.81,20,6795,-0.4,4.94
2005,5,5845.14,6026.53,5793.25,6011.56,5.91,6.33,5.64,5.7,93.7,102.86,9.9,0.84,18,6904,0.8,5.78
2005,6,6002.55,6401.81,5962.88,6241.94,7.15,8.1,6.34,6.71,94.5,101.09,9.5,0.9,20,7374,2.4,7.75
2005,7,6240.08,6480.97,6180.58,6311.98,7.68,7.79,6.51,6.5,95.5,100.57,9,0.93,19,7486,4.2,7.43
2005,8,6320.67,6481.62,5976.4,6033.47,7.59,6.22,6.52,6.17,96.5,98.59,9.1,0.97,23,7198,6.1,5.82
2005,9,6081.71,6186.12,5894.99,6118.61,6.31,5.48,6.35,6.44,97.6,97.38,9.2,0.9,23,6934,7.7,5.07
2005,10,6128.97,6171.87,5618.9,5764.3,5.39,4.58,6.28,5.88,98.5,99.82,9.8,0.95,24,6726,9,4.1
2005,11,5803.25,6212.35,5786.64,6203.47,5.44,6.23,6.14,6.39,99.4,100.53,9.4,0.93,24,7318,9.9,5.92
2005,12,6196.36,6600.17,6162.86,6548.34,6.56,6.83,6.64,6.55,100.1,101.98,9.7,0.93,27,7702,10.3,6.61
2006,1,6457.61,6797.2,6373.63,6532.18,8.39,8.37,7.2,7.46,100.7,98.02,8.8,0.97,28,7462,10.2,4.81
2006,2,6592.19,6747.43,6466.21,6561.63,5.58,5.46,6.52,6.44,101.1,99.82,8.9,1.01,28,7662,9.6,5.92
2006,3,6518,6685.45,6344.73,6613.97,4.27,4.07,6.15,6.1,101.4,99.23,9.4,1.03,23,7614,8.7,3.94
2006,4,6627.32,7229.35,6615.98,7171.77,5.45,6.78,6.53,6.87,101.7,99.47,9.5,1.11,23,8602,7.6,6.9
2006,5,7174.93,7476.07,6791.11,6846.95,7.08,7.27,7.05,7.1,101.8,101.29,9.4,1.11,24,8217,6.4,7.31
2006,6,6874.66,6967.38,6268.92,6704.41,5.22,3.23,6.45,5.65,101.8,100.8,9.2,1.14,21,7596,5.2,2.99
2006,7,6727.23,6789.55,6232.49,6454.58,3.12,1.58,5.72,5.13,101.9,100.4,9,1.06,21,7409,4.1,1.28
2006,8,6464.59,6761.79,6405.09,6611.77,2.77,3.99,5.43,5.74,101.9,98.85,8.9,0.99,22,7948,3.2,3.93
2006,9,6631.83,6961.92,6550.03,6883.05,4.72,5.97,5.84,5.91,102.2,100.01,8.8,0.98,22,8601,2.8,6.07
2006,10,6907.43,7159.85,6874.98,7021.32,5.9,6.62,5.95,6.02,102.6,100.91,9.3,0.94,20,8597,2.9,6.88
2006,11,7036.07,7567.72,7005.13,7567.72,5.81,5.28,5.97,5.89,103.3,100.25,8.9,0.96,21,9107,3.4,5.45
2006,12,7587.51,7823.72,7369.09,7823.72,5.36,4.47,5.85,5.27,104,100.95,9.1,1.01,16,9298,4.2,4.53
2007,1,7871.41,7999.42,7599.55,7699.64,4.44,3.15,5.11,4.37,104.8,99.35,9,1,18,9329,5,7.25
2007,2,7751.3,7950.2,7679.78,7901.96,7.35,8.32,5.64,5.95,105.5,100.37,7.7,0.98,19,8900,5.7,6.95
2007,3,7707.63,7928.03,7306.07,7884.41,8.22,8.43,5.86,5.78,106.1,98.75,9.2,0.99,23,9219,6.1,8.51
2007,4,7888.17,8108.5,7843.05,7875.42,8.26,7.41,5.48,5.1,106.6,99.3,9.1,0.98,18,9643,6.3,7.64
2007,5,7900.76,8256.25,7861.43,8144.95,6.65,6,4.74,4.65,107.1,99.96,9.2,0.98,20,9503,6.4,6.33
2007,6,8236.76,8985.93,8224.28,8883.21,7.53,8.15,4.63,4.57,107.5,102.53,9,0.91,25,10361,6.3,8.64
2007,7,8903.77,9807.91,8849.35,9287.25,9.14,10.19,4.65,4.59,107.8,101.74,9,0.83,30,11513,6.1,11.26
2007,8,9188.6,9265.7,7987.61,8982.16,8.6,7.03,4.25,4.07,108.1,103.64,8.9,0.82,30,10381,5.7,7.71
2007,9,9018.89,9474.05,8841.64,9411.95,6.37,5.67,3.47,3.33,108.4,100.31,9.2,0.79,32,10568,5.3,6.17
2007,10,9523.98,9859.65,9275.72,9711.37,5.66,5.9,3.22,3.4,108.7,100.91,9.8,0.8,32,10830,4.8,6.51
2007,11,9780.59,9785.75,8207.97,8586.4,4.34,2.4,2.78,2.15,108.8,102.23,9.4,0.82,28,9073,4.1,2.54
2007,12,8623.12,8804.93,7664.62,8506.28,1.07,-0.03,1.36,0.93,108.7,103.47,9.3,0.85,29,8837,3.1,-0.09
