101年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2012,,,,,
證     券     名     稱,,"成   交   值
(單位：元)","成   交   量
(單位：股)",收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
,合計,"20,238,166,009,096 ","530,705,509,441 ",,84.91 
,Total,,,,
,普通交割股票,"20,193,109,846,112 ","516,670,434,933 ",,
,Ordinary Settlement Stocks,,,,
01,水泥工業類,,,,
,Cement,,,,
1101,臺灣水泥,"91,718,648,714 ","2,554,837,863 ",35.78 ,69.18 
,TCC,,,,
1102,亞洲水泥,"41,489,118,515 ","1,142,541,441 ",36.29 ,36.02 
,ACC,,,,
1103,嘉新水泥,"2,531,972,776 ","183,765,045 ",13.52 ,24.06 
,CHC,,,,
1104,環球水泥,"1,395,625,332 ","95,420,355 ",14.09 ,15.81 
,UCC,,,,
1108,幸福水泥,"715,733,052 ","115,708,480 ",6.12 ,28.58 
,Lucky Cement,,,,
1109,信大水泥,"212,031,764 ","20,035,670 ",10.55 ,4.77 
,HsingTa,,,,
1110,東南水泥,"866,890,793 ","69,348,495 ",12.16 ,12.14 
,TUNA CEMENT,,,,
02,食品工業類,,,,
,Foods,,,,
1201,味全食品,"16,514,194,828 ","493,273,597 ",33.01 ,97.47 
,Wei-Chuan,,,,
1203,味王,"966,633,916 ","44,939,363 ",20.58 ,18.73 
,Ve Wong,,,,
1210,大成長城,"11,395,250,907 ","392,290,480 ",28.26 ,73.18 
,GREATWALL,,,,
1213,大飲,"1,553,572,109 ","63,942,354 ",23.12 ,124.21 
,Oceanic Beverages,,,,
1215,卜蜂企業,"2,287,982,310 ","153,469,345 ",14.41 ,66.16 
,CPE,,,,
1216,統一企業,"106,937,975,958 ","2,252,780,475 ",47.66 ,48.26 
,PEC,,,,
1217,愛之味,"5,487,251,238 ","533,115,458 ",9.99 ,107.13 
,AGV,,,,
1218,泰山,"7,358,409,796 ","453,024,923 ",15.73 ,130.33 
,TAISUN,,,,
1219,福壽,"723,375,530 ","45,888,019 ",15.55 ,15.22 
,FWUSOW,,,,
1220,台榮,"463,677,001 ","43,216,075 ",10.39 ,24.40 
,TAIROUN,,,,
1225,福懋油脂,"917,402,252 ","68,005,232 ",13.10 ,36.89 
,FOPCO,,,,
1227,佳格食品,"49,004,228,722 ","550,576,238 ",87.21 ,107.89 
,S.F.C,,,,
1229,聯華實業,"7,126,724,252 ","375,666,526 ",18.73 ,44.29 
,LHIC,,,,
1231,聯華食品,"4,833,860,652 ","127,858,827 ",36.67 ,106.70 
,Lian Hwa Foods,,,,
1232,大統益,"936,306,798 ","18,592,583 ",50.41 ,11.62 
,TTET,,,,
1233,天仁,"758,362,801 ","16,214,600 ",46.85 ,17.90 
,Ten Ren,,,,
1234,黑松,"12,037,104,843 ","303,944,107 ",36.43 ,56.72 
,Hey-Song,,,,
1235,興泰,"524,583,078 ","19,939,949 ",24.90 ,35.49 
,Shin Tai,,,,
1236,宏亞食品,"382,318,442 ","16,486,354 ",22.61 ,16.10 
,Hunya Foods,,,,
1702,南僑化工,"16,009,168,126 ","530,491,153 ",29.16 ,180.35 
,NAMCHOW,,,,
03,塑膠工業類,,,,
,Plastics,,,,
1301,台灣塑膠,"157,893,623,785 ","1,947,485,362 ",81.36 ,31.81 
,FPC,,,,
1303,南亞塑膠,"90,048,665,762 ","1,546,151,952 ",58.16 ,19.68 
,NPC,,,,
1304,台灣聚合,"26,102,501,638 ","965,328,506 ",26.17 ,93.40 
,USI,,,,
1305,華夏塑膠,"15,072,979,072 ","1,257,250,635 ",11.66 ,295.96 
,CGPC,,,,
1307,三芳化工,"514,528,315 ","21,471,643 ",23.80 ,6.18 
,SAN FANG,,,,
1308,亞聚,"12,391,586,988 ","378,295,963 ",31.42 ,89.94 
,APC,,,,
1309,台達化,"2,585,118,534 ","213,492,980 ",11.09 ,67.40 
,TTC,,,,
1310,臺灣苯乙烯,"5,571,288,914 ","675,990,935 ",7.66 ,116.49 
,T.S.M.C.,,,,
1312,國喬石化,"20,261,162,825 ","1,387,403,768 ",14.08 ,153.03 
,GPPC,,,,
1312A,國喬特,"33,538,300 ","1,763,000 ",19.11 ,8.83 
,GPPC (A Preferred),,,,
1313,聯成,"8,850,718,154 ","519,015,127 ",16.44 ,48.00 
,UPC,,,,
1314,中石化,"175,275,312,374 ","6,699,755,088 ",26.17 ,329.87 
,CPDC,,,,
1315,達新工業,"1,648,677,575 ","55,819,586 ",29.08 ,25.38 
,TAHHSIN,,,,
1316,上曜,"3,616,570,439 ","211,407,581 ",18.26 ,319.59 
,SUN YAD,,,,
1319,東陽,"8,769,592,704 ","284,224,073 ",29.21 ,50.60 
,TYG,,,,
1321,大洋,"3,593,568,883 ","138,496,682 ",23.11 ,60.96 
,OPC,,,,
1323,永裕,"2,579,978,302 ","121,149,551 ",20.53 ,146.34 
,YONYU,,,,
1324,地球,"226,113,452 ","18,284,653 ",11.82 ,24.33 
,Globe,,,,
1325,恒大,"724,271,745 ","40,199,074 ",17.17 ,39.93 
,UK,,,,
1326,台灣化纖,"113,634,191,304 ","1,445,680,969 ",78.53 ,25.40 
,FCFC,,,,
1337,F-再生,"16,175,582,966 ","182,944,793 ",85.64 ,115.02 
,Asia Plastic,,,,
1339,昭輝,"858,754,179 ","29,555,778 ",27.50 ,44.83 
,Y.C.C.,,,,
