103年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2014,,,,,
證     券     名     稱,,成   交   值,成   交   量,收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
,合計,"21,898,537,472,652 ","566,991,996,918 ",,84.61 
,Total,,,,
,普通交割股票,"21,825,243,959,804 ","558,266,535,079 ",,
,Ordinary Settlement Stocks,,,,
01,水泥工業類,,,,
,Cement,,,,
1101,臺灣水泥,"96,426,110,871 ","2,119,645,016 ",45.68 ,57.42 
,TCC,,,,
1102,亞洲水泥,"44,910,614,209 ","1,144,870,826 ",39.29 ,34.48 
,ACC,,,,
1103,嘉新水泥,"1,715,122,057 ","110,635,282 ",15.20 ,14.23 
,CHC,,,,
1104,環球水泥,"4,016,736,792 ","138,606,862 ",28.44 ,22.79 
,UCC,,,,
1108,幸福水泥,"2,372,080,700 ","247,955,038 ",9.32 ,61.25 
,Lucky Cement,,,,
1109,信大水泥,"705,784,779 ","50,429,135 ",13.52 ,11.97 
,HsingTa,,,,
1110,東南水泥,"715,044,364 ","43,390,798 ",16.24 ,7.58 
,TUNA CEMENT,,,,
02,食品工業類,,,,
,Foods,,,,
1201,味全食品,"19,497,099,384 ","610,653,610 ",40.74 ,120.67 
,Wei-Chuan,,,,
1203,味王,"1,297,914,931 ","53,999,886 ",23.56 ,22.50 
,Ve Wong,,,,
1210,大成長城,"23,581,180,755 ","755,829,733 ",29.92 ,120.64 
,GREATWALL,,,,
1213,大飲,"773,764,748 ","34,634,437 ",21.06 ,67.29 
,Oceanic Beverages,,,,
1215,卜蜂企業,"14,992,685,923 ","620,610,578 ",23.45 ,264.95 
,CPE,,,,
1216,統一企業,"121,154,535,496 ","2,359,803,718 ",51.78 ,44.58 
,PEC,,,,
1217,愛之味,"5,498,889,329 ","585,097,241 ",9.00 ,117.56 
,AGV,,,,
1218,泰山,"3,584,261,666 ","266,651,593 ",12.97 ,75.46 
,TAISUN,,,,
1219,福壽,"1,100,895,534 ","68,526,491 ",15.56 ,21.88 
,FWUSOW,,,,
1220,台榮,"346,769,529 ","33,747,063 ",10.17 ,19.04 
,TAIROUN,,,,
1225,福懋油脂,"4,649,411,815 ","243,716,872 ",17.54 ,120.25 
,FOPCO,,,,
1227,佳格食品,"15,217,218,370 ","190,445,968 ",79.21 ,27.84 
,S.F.C,,,,
1229,聯華實業,"5,434,760,460 ","264,425,939 ",20.05 ,30.98 
,LHIC,,,,
1231,聯華食品,"3,161,569,371 ","81,856,436 ",37.14 ,59.67 
,Lian Hwa Foods,,,,
1232,大統益,"2,728,513,303 ","37,733,976 ",71.01 ,23.60 
,TTET,,,,
1233,天仁,"600,024,462 ","12,271,311 ",48.41 ,13.54 
,Ten Ren,,,,
1234,黑松,"3,269,690,412 ","95,799,783 ",33.94 ,23.84 
,Hey-Song,,,,
1235,興泰,"6,693,339,407 ","176,399,992 ",32.85 ,314.06 
,Shin Tai,,,,
1236,宏亞食品,"471,163,994 ","17,855,022 ",25.56 ,16.47 
,Hunya Foods,,,,
1702,南僑化工,"34,316,144,504 ","621,127,178 ",56.89 ,211.16 
,NAMCHOW,,,,
1737,臺鹽,"2,647,552,415 ","96,968,481 ",26.49 ,48.48 
,TAIYEN,,,,
03,塑膠工業類,,,,
,Plastics,,,,
1301,台灣塑膠,"84,755,349,477 ","1,139,580,044 ",74.88 ,17.90 
,FPC,,,,
1303,南亞塑膠,"93,362,320,669 ","1,411,042,580 ",66.29 ,17.81 
,NPC,,,,
1304,台灣聚合,"10,156,704,381 ","551,713,778 ",17.85 ,48.30 
,USI,,,,
1305,華夏塑膠,"9,701,898,429 ","671,617,065 ",13.98 ,146.31 
,CGPC,,,,
1307,三芳化工,"1,461,670,158 ","48,762,006 ",29.77 ,13.22 
,SAN FANG,,,,
1308,亞聚,"7,432,422,069 ","315,135,503 ",22.92 ,67.09 
,APC,,,,
1309,台達化,"2,665,294,818 ","248,661,903 ",10.13 ,75.89 
,TTC,,,,
1310,臺灣苯乙烯,"21,702,253,414 ","1,207,324,550 ",16.49 ,237.27 
,T.S.M.C.,,,,
1312,國喬石化,"26,929,611,020 ","1,462,464,245 ",17.49 ,161.31 
,GPPC,,,,
1312A,國喬特,"61,622,200 ","2,745,000 ",22.57 ,13.73 
,GPPC (A Preferred),,,,
1313,聯成,"3,582,119,452 ","283,734,885 ",12.44 ,24.48 
,UPC,,,,
1314,中石化,"48,927,319,479 ","4,291,154,219 ",11.32 ,184.97 
,CPDC,,,,
1315,達新工業,"840,171,592 ","29,135,728 ",28.74 ,13.50 
,TAHHSIN,,,,
1319,東陽,"24,651,806,313 ","635,241,411 ",38.62 ,107.38 
,TYG,,,,
1321,大洋,"8,352,141,745 ","197,837,436 ",40.02 ,87.07 
,OPC,,,,
1323,永裕,"2,766,390,540 ","75,036,447 ",35.63 ,85.15 
,YONYU,,,,
1324,地球,"705,156,932 ","42,613,901 ",15.42 ,56.74 
,Globe,,,,
1325,恒大,"3,275,308,610 ","157,193,371 ",19.50 ,156.13 
,UK,,,,
1326,台灣化纖,"65,166,441,646 ","897,531,007 ",72.43 ,15.31 
,FCFC,,,,
1337,F-再生,"33,643,375,934 ","536,272,538 ",59.91 ,244.81 
,Asia Plastic,,,,
1339,昭輝,"10,012,799,578 ","129,136,340 ",77.73 ,195.89 
,Y.C.C.,,,,
1340,F-勝悅,"12,506,286,946 ","95,593,893 ",125.29 ,114.80 
,VICTORY,,,,
1715,萬洲化學,"13,914,459,972 ","654,821,201 ",20.07 ,170.35 
,ACHEM,,,,
4306,炎洲,"5,373,032,612 ","255,883,031 ",19.71 ,54.42 
,YEMCHIO,,,,
04,紡織纖維類,,,,
,Textiles,,,,
1402,遠東新,"38,764,676,517 ","1,223,736,277 ",31.77 ,23.53 
,FENC,,,,
1409,新光合纖,"9,876,833,433 ","925,728,708 ",10.51 ,53.13 
,SSFC,,,,
1410,南洋染整,"1,487,319,313 ","60,794,664 ",24.29 ,69.93 
,NYDF,,,,
1413,宏洲化工,"319,460,524 ","71,562,391 ",4.40 ,45.72 
,H.C.,,,,
1414,東和紡織,"1,060,479,086 ","109,612,970 ",9.07 ,49.83 
,TUNG HO,,,,
1416,廣豐實業,"3,033,366,495 ","160,386,238 ",18.49 ,52.57 
,KFIC,,,,
1417,嘉裕,"1,634,815,487 ","194,537,297 ",8.23 ,51.20 
,Carnival,,,,
1418,東華合纖,"208,449,119 ","29,967,575 ",6.81 ,22.72 
,TONG-HWA,,,,
1419,新光紡織,"1,526,701,661 ","38,678,144 ",39.24 ,12.90 
,SHINKO.SPIN.,,,,
1423,利華羊毛,"493,760,038 ","62,820,745 ",7.86 ,35.90 
,Reward Wool,,,,
1432,大魯閣,"5,064,519,904 ","205,679,408 ",23.15 ,125.41 
,TAROKO,,,,
1434,福懋,"11,330,177,041 ","354,411,292 ",31.61 ,21.02 
,Formosa Taffeta,,,,
1439,中和羊毛,"237,303,633 ","16,304,182 ",14.30 ,17.73 
,Chuwa Wool,,,,
1440,台南紡織,"12,621,313,546 ","626,799,080 ",19.23 ,39.09 
,Tainan Spinning,,,,
1441,大東紡織,"475,322,608 ","48,782,010 ",9.56 ,53.17 
,Tah Tong,,,,
1443,立益紡織,"385,035,277 ","48,788,990 ",7.48 ,36.05 
,LILYTEXTILE,,,,
1444,力麗,"2,660,153,091 ","261,201,049 ",10.00 ,28.03 
,LEALEA,,,,
1445,大宇紡織,"1,385,510,196 ","137,593,283 ",9.75 ,99.23 
,Universal,,,,
1446,宏和紡織,"1,796,482,846 ","58,866,841 ",30.29 ,42.48 
,Hong Ho,,,,
1447,力鵬,"10,444,616,852 ","810,762,757 ",12.47 ,98.12 
,LP,,,,
1451,年興紡織,"3,748,855,766 ","128,817,781 ",28.09 ,32.20 
,NIEN HSING,,,,
1452,宏益纖維,"1,094,115,641 ","91,576,936 ",11.84 ,69.05 
,HONG YI,,,,
1453,大將,"299,613,764 ","30,431,295 ",9.75 ,35.29 
,TA JIANG,,,,
1454,臺灣富綢,"206,266,518 ","25,463,505 ",8.05 ,18.15 
,TTF,,,,
1455,集盛,"2,210,903,183 ","234,394,763 ",9.21 ,38.31 
,ZIG SHENG,,,,
1457,宜進,"1,371,036,219 ","161,519,915 ",8.25 ,50.29 
,YI JINN,,,,
1459,聯發紡織,"1,030,304,174 ","97,176,218 ",9.76 ,27.10 
,Lan Fa Textile,,,,
1460,宏遠,"14,788,580,604 ","1,020,599,817 ",13.99 ,216.59 
,Everest Textile,,,,
1463,強盛染整,"2,889,728,181 ","178,921,005 ",15.61 ,94.98 
,CS,,,,
1464,得力,"1,163,663,364 ","91,173,796 ",12.29 ,42.02 
,DE LICACY,,,,
1465,偉全,"1,398,918,142 ","69,302,725 ",18.52 ,77.82 
,WISHER,,,,
1466,聚隆纖維,"4,441,532,460 ","195,640,112 ",20.60 ,192.68 
,Acelon,,,,
1467,南緯,"3,036,305,734 ","210,780,277 ",13.88 ,125.31 
,TEX-RAY,,,,
1468,昶和纖維,"87,761,366 ","8,167,619 ",10.52 ,5.09 
,CHANG HO,,,,
1469,理隆纖維,"80,685,755 ","6,755,598 ",12.04 ,5.42 
,Lilontex,,,,
1470,大統染,"64,627,549 ","3,487,422 ",17.85 ,4.07 
,EVERTEX,,,,
1472,三洋紡織,"1,079,404,926 ","27,793,457 ",38.62 ,46.71 
,Tri Ocean,,,,
1473,台南企業,"3,233,698,236 ","103,229,217 ",29.60 ,70.31 
,Tainan,,,,
1474,弘裕,"395,844,492 ","43,771,962 ",8.76 ,32.87 
,HONMYUE,,,,
1475,本盟光電,"577,103,510 ","33,286,142 ",17.12 ,102.36 
,SUMAGH,,,,
1476,儒鴻企業,"141,112,812,660 ","467,524,487 ",313.72 ,182.59 
,ECLAT,,,,
1477,聚陽,"40,469,368,338 ","256,976,069 ",156.83 ,143.61 
,Makalot,,,,
4414,如興,"10,257,019,922 ","548,501,508 ",17.39 ,510.98 
,ROO HSING,,,,
4426,利勤實業,"1,551,175,789 ","43,277,628 ",33.70 ,59.73 
,LI CHENG,,,,
05,電機機械類,,,,
,Electric Machinery,,,,
1503,士林電機,"2,234,542,123 ","57,509,741 ",38.64 ,11.02 
,SEEC,,,,
1504,東元電機,"44,530,478,536 ","1,311,702,402 ",33.82 ,65.52 
,TECO,,,,
