櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
12月Dec. 07,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,142,867,977元",,,,,,4. 加權平均本益比：15.94,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,664,846,017股",,,,,,5. 加權平均股利率： 5.71%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,076,601筆",,,,,,6. 成交量週轉率： 12.76%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均股利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,5936550,287372,134,20.65,21.5,20,20.79,21,11.17,7.14,0.48,1.4
4207,環泰企業,31615559,3381546,858,9.34,10.5,8.48,9.39,9.3,17.55,5.48,2.97,0.77
4303,信立    ,16172758,8219133,1302,1.96,2.25,1.79,2.01,1.9,NA,28.94,6.39,0.34
4304,勝昱科技,3796615,274322,94,13.84,15.1,11.9,13.94,12.9,NA,0,0.54,1.24
4305,世坤塑膠,9888300,724344,148,13.65,14.3,13.1,13.82,13.7,14.12,9.48,1.32,1.1
4306,炎洲    ,100062345,6408676,2153,15.61,17.2,14.2,15.82,16.45,19.82,2.97,4.38,1.07
6508,惠光化學,181622918,6838924,2584,26.55,28.9,23.6,27.04,27.3,12.64,4.39,9.99,1.45
8354,冠郝企業,37770756,2433923,1036,15.51,17.2,14.3,15.88,15.95,9.01,8.77,4.83,1.01
9950,萬國通路,3553712,252120,130,14.09,14.4,13.75,14.13,14.1,14.39,4.75,0.57,0.96
4401,東隆興業,30736686,3177763,498,9.67,10.15,9.1,9.65,9.51,9.61,8.93,2.64,0.74
4402,福大棉業,5441446,1573005,336,3.45,3.9,3.02,3.4,3.41,NA,17.59,1.52,0.37
4406,新昕纖維,12602628,1066415,419,11.81,12.7,10.75,11.61,10.75,9.77,4.65,2.05,0.98
4408,聯明    ,63190801,8276187,898,7.63,8,7.2,7.66,7.79,NA,12.83,10.25,1.04
4413,赤崁科技,4263698,372100,109,11.45,12,10,11.49,11,NA,0,0.21,16.42
4415,成豐生技,660176,200042,76,3.3,4.28,2.48,3.41,3.76,NA,0,0.23,1.22
4417,金洲製網,199678699,8699307,2008,22.95,25.1,19.4,23.04,23.15,19.62,3.88,15.3,1.53
4419,松懋工業,220578932,2567355,1743,85.91,95.5,75,83.39,82.2,NA,1.33,7.71,5.74
4420,光明    ,47838445,2474510,249,19.33,20.1,18.8,19.53,19.45,9.82,8.22,8.25,1.11
4426,利勤    ,4039395,420676,185,9.6,10.5,8.79,9.89,9.8,35,3.06,0.8,0.82
1558,伸興工業,59263825,2017250,833,29.37,32,27.1,30.5,30.5,6.98,13.77,4.73,1.32
1570,力肯實業,49001047,2395776,1206,20.45,24,17.2,20.84,20.3,12.08,7.38,4.97,1.41
1580,新麥企業,77352718,2148190,845,36,37.9,33.8,35.66,34.1,9.47,8.79,6.11,1.99
3162,精確    ,20909304,1668864,583,12.52,13.5,11.5,12.59,13.05,18.64,8.81,4.69,1.14
4502,源恆工業,21151834,4500419,903,4.69,5.04,4.29,4.7,4.61,NA,4.33,3.55,0.69
4503,金雨企業,90757722,8939841,3066,10.15,11.75,8.1,9.6,9.2,NA,5.43,12.38,1.65
4506,崇友實業,56385388,4555197,1380,12.37,13.7,11.35,12.63,12.75,12.5,4.7,1.6,0.85
4510,高鋒工業,38720629,3153181,1268,12.27,13.5,11.2,12.15,13.3,29.56,1.5,3.58,0.97
4513,福裕事業,73731954,3101897,1015,23.76,26,21.4,23.64,25,10.55,6,4.6,1.93
4523,永彰機電,15960322,943987,257,16.9,17.6,16.25,17.12,17,68,3.52,1.75,0.7
4527,方土霖  ,17595937,1121603,252,15.68,16.65,15.3,15.97,16.5,16.84,7.15,2.45,1.27
4528,江興鍛壓,18189890,883771,550,20.58,22.75,18.4,20.7,21.2,12.69,4.71,1.74,1.33
4529,力武電機,2064901,199284,97,10.36,11.7,9.7,10.53,10.5,21,9.52,0.42,0.8
4530,宏易精密,174827404,8281118,2196,21.11,23.5,18.6,21.57,22,137.5,6.81,15.05,2
4533,協易機械,289591580,11355900,4212,25.5,29.9,22.5,26.25,27.35,9.33,6.03,10.99,1.7
4534,三林粉末,15205018,1853129,497,8.2,9.4,6.63,8.4,8.8,NA,16.81,3.06,1.02
4535,至興精機,49709516,1009859,539,49.22,53.5,45.2,50.14,52.5,12.44,2.85,1.44,2.48
6122,擎邦國際,49757499,4062415,1596,12.24,14,11,12.35,12.3,8.79,8.13,8.28,0.94
6603,富強鑫  ,3891848,388450,188,10.01,10.95,9,10.03,10.95,136.88,1.73,0.55,0.65
6609,瀧澤科技,27451671,984110,479,27.89,28.9,26.8,28.12,28.05,8.45,5.34,1.72,1.42
8083,瑞穎    ,15991642,482024,164,33.17,34,33,33.6,33.5,12.45,7.46,1.66,2.47
8255,朋程    ,942998261,6462598,4651,145.91,179,126,150.9,154,25.12,3.5,13.28,6.2
8374,羅昇企業,37637682,1093545,658,34.41,39,32.3,35.68,35,9.83,9.14,2.5,2.03
