櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
01月Jan. 08,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 339,872,575,306元",,,,,,4. 加權平均本益比：12.89,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,981,240,714股",,,,,,5. 加權平均殖利率： 7.13%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 2,927,065筆",,,,,,6. 成交量週轉率： 13.40%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,5425488,261210,154,20.76,21.8,20.1,20.74,20.4,10.85,7.35,0.43,1.36
4207,環泰企業,36686017,3875812,1114,9.46,9.9,8.99,9.43,9.15,17.26,5.57,3.41,0.76
4303,信立    ,25660042,13814002,1515,1.85,2.04,1.65,1.81,1.93,NA,28.49,10.74,0.35
4304,勝昱科技,6630700,555373,121,11.93,13.9,11.1,12.39,11.75,NA,0,1.09,1.13
4305,世坤塑膠,10585341,802872,103,13.18,13.9,12.3,13.25,12.35,12.73,10.52,1.46,0.99
4306,炎洲    ,111935415,6586918,1741,16.99,17.8,16.35,16.85,,21.2,2.78,4.51,1.14
6508,惠光化學,607947188,19805550,7284,30.69,34.1,25.85,29.29,26.8,12.41,4.47,28.94,1.42
8354,冠郝企業,44868400,2914724,1374,15.39,16.8,13.9,15.17,14.2,8.02,9.85,5.79,0.89
9950,萬國通路,2770252,201633,102,13.73,14.1,13.4,13.78,13.55,13.83,4.94,0.45,0.93
4401,東隆興業,25584452,2695371,408,9.49,9.67,9.12,9.46,9.28,9.37,9.15,2.24,0.73
4402,福大棉業,2869745,889002,204,3.22,3.5,2.88,3.19,2.9,NA,20.68,0.86,0.31
4406,新昕纖維,5489334,526436,252,10.42,11.7,9.51,10.55,9.7,8.82,5.15,1.01,0.88
4408,聯明    ,72914952,8946312,1060,8.15,8.68,7.17,8.16,7.99,NA,12.51,11.08,1.07
4413,赤崁科技,2853247,273136,102,10.44,11.65,9.14,10.78,10.9,NA,0,0.15,16.27
4415,成豐生技,746004,272394,106,2.73,3.95,2.26,2.85,2.26,NA,0,0.31,0.73
4417,金洲製網,151741223,6813922,1391,22.26,23.6,19.4,22.09,19.9,16.86,4.52,11.98,1.31
4419,松懋工業,169171862,2622027,1686,64.51,85,45.8,69.59,51.9,NA,2.11,7.87,3.62
4420,光明    ,5249050,270000,161,19.44,20,19,19.59,19.5,0,8.2,0.9,1.12
4426,利勤    ,2207802,245480,133,8.99,10.25,8.06,9.21,8.2,29.29,3.65,0.47,0.69
1558,伸興工業,28496462,987257,487,28.86,31,27.2,28.57,27.5,6.29,15.27,2.31,1.19
1570,力肯實業,21947890,1201574,750,18.26,21.7,16,18.54,17.9,10.65,8.37,2.49,1.24
1580,新麥企業,28568571,825763,459,34.59,36.9,33,34.24,34,9.44,8.82,2.35,1.98
3162,精確    ,114668853,8209200,1321,13.96,15.8,12.4,13.92,15.7,22.43,7.32,23.06,1.38
4502,源恆工業,34547319,7816831,1424,4.41,4.85,3.8,4.38,3.98,NA,5.02,6.16,0.6
4503,金雨企業,42722546,5496793,1764,7.77,9.3,5.99,8.01,6.1,NA,8.19,7.61,1.09
4506,崇友實業,60602499,4806710,1408,12.6,13.3,11.7,12.55,11.9,11.67,5.04,1.69,0.79
4510,高鋒工業,54288911,4245657,1130,12.78,13.5,10.85,12.62,11.2,24.89,1.78,4.81,0.82
4513,福裕事業,33877796,1412303,491,23.98,25.4,23,24.03,24.8,10.46,6.04,2.1,1.92
4523,永彰機電,11002056,649273,248,16.94,18.45,15.8,16.8,16.05,64.2,3.73,1.2,0.66
4527,方土霖  ,12966244,790369,172,16.4,17.55,15.9,16.49,16.2,16.53,7.28,1.73,1.25
4528,江興鍛壓,10113750,509876,340,19.83,21.1,19.3,19.97,19.3,11.56,5.18,1,1.21
4529,力武電機,4681926,423272,149,11.06,12.4,10.2,11.12,12.25,24.5,8.16,0.9,0.93
4530,宏易精密,179733233,9211137,1784,19.51,22,17,18.69,17.6,110,8.52,16.74,1.6
4533,協易機械,174739520,6734694,2428,25.94,27.5,24.25,26.02,25.7,8.77,6.42,6.52,1.6
4534,三林粉末,11702910,1396739,332,8.37,9,7.8,8.48,8.12,NA,18.22,2.31,0.94
4535,至興精機,38193142,739501,344,51.64,53.9,47.25,51.18,50,11.85,3,1.06,2.36
6122,擎邦國際,52659638,4637700,1701,11.35,12.8,9.45,11.3,10.1,7.21,9.9,9.45,0.78
6603,富強鑫  ,6208352,609081,276,10.19,10.9,9.6,10.26,10.05,125.63,1.89,0.86,0.59
6609,瀧澤科技,48181698,1744937,714,27.61,28.5,26.9,27.74,27,8.13,5.55,3.05,1.37
8083,瑞穎    ,20696365,631738,140,32.76,34.5,31.9,32.61,32,11.9,7.81,2.18,2.36
8255,朋程    ,772511151,5337138,3531,144.74,161,121.5,146.36,133,21.7,4.06,10.97,5.36
8374,羅昇企業,31309037,927335,627,33.76,35.9,31.1,33.87,32.05,9,9.98,2.12,1.86
8996,高力    ,7619188,418470,229,18.2,19.5,17.2,18.44,17.75,11.16,8.45,0.95,1.14
9951,皇田工業,17910753,391660,266,45.72,51,40,45.31,41.1,7.84,6.08,0.83,2.26
4609,唐鋒實業,2141499,454196,220,4.71,5.3,4.03,4.73,4.31,NA,22.96,0.95,0.48
2035,唐榮公司,840632184,34145455,7887,24.61,26.1,22.8,24.55,24.65,11.47,0,9.76,1.21
5007,三星科技,97004237,3445169,1162,28.15,30,26.25,28.29,26.8,9.57,7.91,1.57,2.11
5009,榮剛材料,1575245999,33027628,12304,47.69,53.9,40.7,48.28,43.4,9,5.29,11.02,2.26
5011,久陽精密,,,,,,,,4,NA,0,0,4.44
5013,強新工業,42252196,2982067,862,14.16,14.95,13.65,14.18,14.5,7.88,6.89,3.84,1.03
5014,建錩實業,79473546,5857418,2214,13.56,14.9,12,13.38,12.1,11.98,18.18,5.03,0.76
5015,華祺工業,166763848,5345887,2507,31.19,32.95,29.2,31.01,30.2,5.25,6.62,8.82,1.71
5016,松和工業,8618281,467203,198,18.44,20,17.85,18.71,18.7,11.69,8.02,1.14,0.91
8349,友信    ,6741618,329071,204,20.48,21.6,19.35,20.69,20.9,23.48,7.17,0.56,1.43
8930,青鋼金屬,11674851,907768,460,12.86,14.1,11.8,13.03,12.2,10.17,8.19,2.23,0.98
9962,有益鋼鐵,114275120,6490346,2521,17.6,19.3,15,16.98,16.3,14.17,0,8.85,1.04
2114,鑫永銓  ,33595886,805285,211,41.71,44.35,39.3,41.19,40,9.39,6.4,1.79,2
5102,富強輪胎,4130307,382857,145,10.78,11.25,10.2,10.87,10.95,121.67,3.47,0.69,0.88
4416,福纖實業,12599019,147368,104,85.49,90,85,85.88,85,26.65,1.7,0.25,5.15
5505,和旺建設,21704371,1026624,376,21.14,24.4,18.2,21.05,18.95,7.67,0,2.57,1.58
5506,長鴻營造,78607880,10125079,2596,7.76,8.47,7.01,7.71,7.1,177.5,14.08,7.96,0.5
5508,永信建設,142503714,2770041,1031,51.44,57,47,50.72,51,7.1,11.37,2.11,2.4
