櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
02月Feb. 08,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 214,612,664,226元",,,,,,4. 加權平均本益比：14.44,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,670,823,819股",,,,,,5. 加權平均殖利率： 6.25%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 1,973,597筆",,,,,,6. 成交量週轉率： 8.46%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,5622174,267080,149,21.05,21.9,20.4,21.05,21.35,11.36,7.02,0.44,1.42
4207,環泰企業,22696989,2320130,642,9.78,10.2,9.14,9.66,9.86,18.6,5.17,2.04,0.82
4303,信立    ,26820966,13190536,1258,2.03,2.36,1.76,1.94,2.03,NA,27.09,10.25,0.37
4304,勝昱科技,2165162,183241,53,11.81,13.55,11.4,12.32,12,NA,0,0.36,1.15
4305,世坤塑膠,6209674,482124,104,12.87,13.65,12.5,13.08,12.95,13.35,10.03,0.88,1.04
6508,惠光化學,237098916,7783414,3507,30.46,32.5,26.5,30.11,31.8,14.72,3.77,11.37,1.69
8354,冠郝企業,30608193,2011936,779,15.21,16.2,14.1,14.93,15.85,8.95,8.83,3.99,1
9950,萬國通路,3104700,230000,117,13.49,13.95,12.95,13.65,13.65,13.93,4.9,0.52,0.93
4401,東隆興業,17813840,1914014,334,9.3,9.39,9.2,9.28,9.27,9.36,9.16,1.59,0.73
4402,福大棉業,1507110,475000,106,3.17,3.46,2.9,3.17,3.46,NA,17.34,0.46,0.37
4406,新昕纖維,2548220,265120,154,9.61,10.2,9.21,9.66,9.45,8.59,5.29,0.51,0.86
4408,聯明    ,26512160,3176053,510,8.34,8.8,7.55,8.45,8.8,NA,11.36,3.93,1.17
4413,赤崁科技,2368070,208600,66,11.35,12.45,10.5,11.69,11.45,NA,0,0.12,17.09
4415,成豐生技,306400,120000,39,2.55,2.98,2.25,2.61,2.97,NA,0,0.14,0.96
4417,金洲製網,45372593,2267105,752,20.01,20.5,19,19.96,19.9,16.86,4.52,3.99,1.31
4419,松懋工業,65687144,1153569,853,56.94,62.2,51.5,56.17,57.2,NA,1.92,3.46,3.99
4420,光明    ,5809345,295096,109,19.68,20.5,19.2,19.73,20.1,10.15,7.96,0.98,1.15
4426,利勤    ,998495,120259,88,8.3,8.79,7.9,8.47,8.21,29.32,3.65,0.23,0.69
1558,伸興工業,11033785,391062,137,28.21,29.1,27.55,28.22,29.1,6.66,14.43,0.92,1.26
1570,力肯實業,13014753,732602,412,17.76,18.9,17,17.83,18.2,10.83,8.24,1.52,1.26
1580,新麥企業,4840930,143650,104,33.69,35,32.55,33.7,33.1,9.19,9.06,0.41,1.93
3162,精確    ,164670316,10264454,1248,16.04,17.5,14.2,16.17,16.55,23.64,6.94,28.84,1.45
4502,源恆工業,16484440,4186055,971,3.93,4.38,3.66,3.92,4.28,NA,4.67,3.3,0.64
4503,金雨企業,16368265,2391007,1032,6.84,7.5,5.8,6.78,7.16,NA,6.98,3.31,1.28
4506,崇友實業,59563475,4463256,1449,13.34,14.1,11.8,12.87,14,13.73,4.28,1.57,0.93
4510,高鋒工業,19405694,1537074,542,12.62,13.15,11.2,12.58,12.5,27.78,1.6,1.74,0.91
4513,福裕事業,53520326,2062403,559,25.95,27.4,23.7,26.16,26.55,11.2,5.64,3.06,2.05
4523,永彰機電,8204435,461741,241,17.76,18.8,16.1,17.08,17.95,71.8,3.34,0.86,0.74
4527,方土霖  ,2428831,151159,96,16.06,16.45,15.6,16.06,16.05,16.38,7.35,0.33,1.24
4528,江興鍛壓,7760144,401616,298,19.32,19.95,18.9,19.57,19.7,11.8,5.07,0.79,1.24
4529,力武電機,149114676,11013229,718,13.53,16.15,11.7,13.59,16.15,32.3,6.19,23.47,1.23
4530,宏易精密,49340609,2803259,592,17.6,20.5,16.7,17.85,20.5,128.13,7.31,5.09,1.86
4533,協易機械,146195727,5743051,1798,25.45,26.6,24.8,25.52,25,8.53,6.6,5.56,1.56
4534,三林粉末,9003721,1041581,276,8.64,8.95,8.1,8.74,8.73,NA,16.95,1.72,1.01
4535,至興精機,37217707,705520,422,52.75,54.8,50,52.99,53.4,12.65,2.8,1.01,2.52
6122,擎邦國際,28566442,2485065,879,11.49,12.85,10,11.36,12.25,8.75,8.16,5.07,0.94
6603,富強鑫  ,1723113,164581,91,10.46,11,10.05,10.56,10.9,136.25,1.74,0.23,0.64
6609,瀧澤科技,49662549,1737294,721,28.58,29.4,27.1,28.38,28.85,8.69,5.19,3.03,1.46
8083,瑞穎    ,2281932,70928,48,32.17,32.6,31.8,32.32,32.6,12.12,7.66,0.24,2.4
8255,朋程    ,324096715,2113356,1452,153.35,168.5,130.5,151.28,168.5,27.49,3.2,4.34,6.79
8374,羅昇企業,8857138,258669,242,34.24,35.7,32.1,33.75,35.55,9.99,9,0.59,2.06
8996,高力    ,2490773,137233,104,18.14,19.3,17.3,18.17,18.9,11.89,7.93,0.31,1.22
9951,皇田工業,20794435,491852,272,42.27,44.15,41,42.36,43.4,8.28,5.76,1.04,2.38
4609,唐鋒實業,414273,92767,77,4.46,4.9,4.09,4.45,4.55,NA,21.75,0.19,0.51
2035,唐榮公司,643936375,21726655,6737,29.63,33.25,23.85,27.02,32.7,15.21,0,6.21,1.6
5007,三星科技,35898792,1331246,673,26.96,27.9,26.5,26.97,27,9.64,7.85,0.61,2.12
5009,榮剛材料,707083459,15128841,6878,46.73,48.7,43.6,46.8,46.85,9.72,4.9,5.05,2.44
5011,久陽精密,173,50,1,,,,,3.22,NA,0,0,3.58
5013,強新工業,30513199,1997435,598,15.27,16.05,14.6,15.29,15.65,8.51,6.38,2.57,1.11
5014,建錩實業,123450704,8163347,2609,15.12,17.05,12.2,13.75,16.55,16.39,13.29,7.01,1.05
5015,華祺工業,162844662,5053800,2286,32.22,34,30.2,31.38,33.35,5.8,5.99,8.33,1.89
5016,松和工業,5393290,283400,114,19.03,19.5,18.5,19.03,19.3,12.06,7.77,0.69,0.94
8349,友信    ,5649497,276765,86,20.41,21,19.5,20.57,20.7,23.26,7.24,0.47,1.42
8930,青鋼金屬,9234891,699594,315,13.2,14.1,12.3,12.98,13.95,11.63,7.16,1.72,1.12
9962,有益鋼鐵,140014149,7063511,2622,19.82,22.25,16.45,18.55,22.25,19.35,0,9.63,1.42
2114,鑫永銓  ,29942893,740379,187,40.44,43.8,38.8,40.41,43.3,10.16,5.91,1.65,2.16
5102,富強輪胎,3778497,349234,123,10.81,11.2,10.5,11,10.95,121.67,3.47,0.63,0.88
4416,福纖實業,4024731,44143,46,91.17,96.7,83.2,92.28,95.9,30.06,1.51,0.07,5.81
5505,和旺建設,6440305,335630,196,19.18,20.8,17.8,19.59,19.65,7.96,0,0.84,1.64
5506,長鴻營造,48838594,6323490,1442,7.72,8.45,7.02,7.67,8.35,208.75,11.97,4.97,0.59
5508,永信建設,161304175,2727550,1223,59.13,65,47.45,56.22,61,8.5,9.5,2.08,2.87
5511,德昌營造,9607828,631292,326,15.21,15.9,14.15,15.21,15.65,8.51,9.58,0.77,1.03
5512,力麒建設,1782453528,95758838,18566,18.61,21.8,14.9,18.15,21.55,22.45,7.42,27.32,1.27
5514,三豐建設,41342978,3189798,1059,12.96,13.65,11.85,12.93,13.4,22.71,11.19,3.23,1.08
5516,雙喜    ,632410,67000,35,9.43,9.82,8.8,9.51,9.31,16.93,11.81,0.17,0.85
5519,隆大營造,18829543,535236,312,35.17,36.3,34,35.53,34.05,12.56,5.13,1.05,2.66
5520,力泰建設,3364934,146836,102,22.91,24.4,21.85,22.79,23.1,6.92,6.49,0.21,1.11
5521,工信    ,953979785,64777543,17622,14.72,15.9,13,14.55,15.55,6.97,14.14,19.99,1.23
5523,宏都建設,136020395,6313592,1810,21.54,22.9,20.5,21.23,22.7,7.77,10.13,6.7,1.82
5529,志嘉建設,37102593,1378810,499,26.9,28.2,25.8,26.79,26.8,NA,3.73,3.12,1.96
5530,大漢建設,56923002,4186984,1461,13.59,14.7,12.1,13.04,14.35,18.64,10.45,3.9,1.2
5533,皇鼎建設,678546858,26115628,7819,25.98,27.7,23.4,25.51,26.3,11.43,8.74,18.11,1.58
6402,基泰營造,283133735,18512370,4921,15.29,17.2,11.4,14.05,15.6,6.29,6.41,27.99,1.41
5601,台聯貨櫃,1598064,111843,60,14.28,14.75,13.6,14.41,14.65,50.52,1.7,0.16,0.74
5603,陸海交通,75670542,5342154,1702,14.16,15.2,11.5,12.78,14.7,490,5.44,8.66,1.09
5604,中連貨運,408460375,11860877,4931,34.43,37.35,30.05,34.16,36.5,11.16,7.17,10.9,1.66
