櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
03月 Mar. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 364,128,386,063元",,,,,,4. 加權平均本益比：14.74,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,069,402,673股",,,,,,5. 加權平均殖利率： 6.09%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,316,682筆",,,,,,6. 成交量週轉率： 15.04%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,35286715,1541124,745,22.89,24.5,21.4,22.74,22.8,12.13,6.57,2.56,1.52
4207,環泰企業,29208968,2876887,949,10.15,10.65,9.6,10.12,10.15,19.15,5.02,2.51,0.84
4303,信立    ,16936695,8528338,1307,1.98,2.14,1.85,1.97,1.95,NA,28.2,6.63,0.35
4304,勝昱科技,3818425,310665,100,12.29,13.35,11.35,12.35,12.05,NA,0,0.61,1.15
4305,世坤塑膠,6639084,510270,79,13.01,13.35,12.8,13.06,13,13.4,10,0.93,1.04
6508,惠光化學,330178941,10443652,4656,31.61,33.9,28,31,29.55,13.68,4.06,15.26,1.57
8354,冠郝企業,34563646,2183553,918,15.82,16.3,15.1,15.8,15.6,8.81,8.97,4.33,0.98
9950,萬國通路,8160379,579343,261,14.08,14.8,13.35,14.14,14.75,15.05,4.54,1.3,1.01
4401,東隆興業,40257632,4129872,1102,9.74,10.35,9.22,9.62,10.05,10.15,8.45,3.43,0.79
4402,福大棉業,3282547,914261,241,3.59,4.1,3.22,3.58,3.55,NA,16.9,0.88,0.38
4406,新昕纖維,6871597,736030,321,9.33,9.8,8.5,9.3,9,8.18,5.55,1.42,0.82
4408,聯明    ,58172775,6640182,914,8.76,9.05,8.15,8.74,9,NA,11.11,8.22,1.2
4413,赤崁科技,2506309,269938,106,9.28,11.15,7.36,9.49,10.25,NA,0,0.15,15.3
4415,成豐生技,3326600,1140000,78,2.91,3.39,2.54,2.9,2.89,NA,0,1.29,0.94
4417,金洲製網,295070366,14175718,2592,20.81,21.9,19.4,20.46,21,17.8,4.28,24.93,1.38
4419,松懋工業,92411246,1839154,1314,50.24,56,45,50.37,48.4,NA,2.27,5.52,3.38
4420,光明    ,10196380,501020,234,20.35,20.9,20.1,20.35,20.8,10.51,7.69,1.67,1.19
4426,利勤    ,2048851,222491,136,9.2,10.35,8.21,9.32,9.98,0,3,0.42,0.83
1558,伸興工業,22954450,789000,345,29.09,30.8,27.6,29.23,30,6.86,14,1.85,1.3
1570,力肯實業,56618417,2833013,1379,19.98,21.65,17.5,19.56,19.95,11.88,7.51,5.87,1.39
1580,新麥企業,19466140,590425,275,32.96,34,31.2,32.95,32.6,9.06,9.2,1.68,1.9
3162,精確    ,159020420,9754564,1044,16.3,17.4,15.05,16.15,16.4,23.43,7.01,27.4,1.44
4502,源恆工業,10294305,2506705,632,4.1,4.35,3.75,4.04,4.03,NA,4.96,1.98,0.61
4503,金雨企業,28754390,4155573,1327,6.91,7.95,6.37,6.92,7.95,NA,6.28,5.75,1.42
4506,崇友實業,64482380,4517000,1527,14.27,16,13.25,14.23,15.7,15.39,3.82,2.26,1.05
4510,高鋒工業,24184139,1926088,846,12.55,12.95,11.9,12.59,12.5,27.78,1.6,2.18,0.91
4513,福裕事業,39857182,1619205,507,24.61,26.8,22.05,24.67,22.6,9.54,6.63,2.4,1.75
4523,永彰機電,26683097,1417730,347,18.82,19.9,17.45,18.72,18.5,74,3.24,2.63,0.76
4527,方土霖  ,5865838,350741,185,16.72,17.2,16,16.7,16.8,17.14,7.02,0.77,1.3
4528,江興鍛壓,24521807,1205638,557,20.33,21.7,19,20,20,11.98,5,2.37,1.25
4529,力武電機,198041596,10137037,3694,19.53,23.05,16.05,18.94,20.8,41.6,4.8,21.61,1.58
4530,宏易精密,87026844,3943515,1499,22.06,24,20.5,22.06,23.35,145.94,6.42,7.17,2.12
4533,協易機械,193954942,7416226,3180,26.15,27.3,24.35,26,25.7,8.77,6.42,7.18,1.6
4534,三林粉末,7789806,870091,312,8.95,9.7,8.26,9.03,8.66,NA,17.09,1.44,1
4535,至興精機,34232728,660600,355,51.82,54,49.05,51.55,49.5,11.73,3.03,0.94,2.33
6122,擎邦國際,53499891,4065335,1381,13.16,14.2,11.8,13.09,13.3,9.5,7.51,8.29,1.02
6603,富強鑫  ,3664205,356762,173,10.27,11.1,9.7,10.39,10.25,128.13,1.85,0.5,0.6
6609,瀧澤科技,40407604,1393059,597,29,29.3,28.2,28.94,28.75,8.66,5.21,2.43,1.45
8083,瑞穎    ,4573128,142434,110,32.1,33,30.2,31.97,31.65,11.77,7.89,0.49,2.33
8255,朋程    ,873867225,5060301,3436,172.69,193,156,171.95,165,26.92,3.27,10.4,6.65
8374,羅昇企業,23793341,651233,485,36.53,39.4,34.6,36.31,39.3,11.04,8.14,1.49,2.28
8996,高力    ,9937112,522345,312,19.02,19.9,17.4,18.8,19.45,12.23,7.71,1.19,1.25
9951,皇田工業,11907571,267758,200,44.47,46.5,42.1,44.39,43,8.21,5.81,0.57,2.36
4609,唐鋒實業,1413382,321633,162,4.39,4.75,4.2,4.48,4.32,NA,22.91,0.67,0.48
2035,唐榮公司,1993368158,59713788,17972,33.38,36.95,29.3,33.02,35.6,16.56,0,17.06,1.75
5007,三星科技,108599349,4002253,1671,27.13,28.9,25.6,27.01,28.8,10.29,7.36,1.82,2.27
5009,榮剛材料,1389496319,28917421,11613,48.05,52.5,44.1,47.55,52.5,10.89,4.38,9.65,2.74
5011,久陽精密,,,,,,,,3.22,NA,0,0,3.58
5013,強新工業,32124661,2010704,716,15.97,16.35,15.4,15.9,15.95,8.67,6.26,2.59,1.13
5014,建錩實業,128430119,7666478,3040,16.75,18.25,15.1,16.36,15.85,15.69,13.88,6.58,1
5015,華祺工業,388652915,11547771,5381,33.65,35.6,31,33.27,35.4,6.16,5.64,19.04,2
5016,松和工業,12287849,630415,226,19.49,20.2,18.65,19.52,19.7,12.31,7.61,1.54,0.96
8349,友信    ,5821864,279912,154,20.79,21.5,19.6,20.82,21.2,23.82,7.07,0.48,1.45
8930,青鋼金屬,16681113,1182223,484,14.1,14.7,13.1,14.04,13.9,11.58,7.19,2.9,1.11
9962,有益鋼鐵,181345175,8438175,3510,21.49,24,19.1,20.9,20.7,18,0,11.51,1.32
2114,鑫永銓  ,45046652,1062172,332,42.4,44.9,39.6,42.06,42.95,10.08,5.96,2.36,2.14
5102,富強輪胎,9957515,938206,255,10.61,10.95,10.4,10.66,10.95,121.67,3.47,1.69,0.88
4416,三圓建設,6860954,79611,71,86.18,94.4,80.1,86.47,84,26.33,1.72,0.13,5.09
5505,和旺建設,27200751,1139365,474,23.87,25.6,19.25,23.62,24.2,9.8,0,2.85,2.02
5506,長鴻營造,666358861,61197757,12727,10.88,12.9,8.11,9.61,12.2,305,8.19,48.11,0.86
5508,永信建設,166044089,2645786,1259,62.75,68.5,58,61.6,66.8,9.3,8.68,2.02,3.14
5511,德昌營造,149322486,8749244,2620,17.06,18.3,14.9,16,17.8,9.67,8.42,10.63,1.17
5512,力麒建設,6623732578,286950900,62333,23.08,26.3,19.85,22.54,24.4,25.42,6.55,91.68,1.44
5514,三豐建設,174953340,12112038,3674,14.44,15.4,13,14.17,15,25.42,10,12.28,1.21
5516,雙喜    ,4901795,502520,264,9.75,10.85,8.57,9.45,10.65,19.36,10.32,1.31,0.97
5519,隆大營造,40698002,1218167,702,33.4,35.4,32.3,33.36,33,12.18,5.3,2.39,2.58
5520,力泰建設,8590660,350436,220,24.51,27.6,22.55,23.7,25.6,7.66,5.85,0.49,1.23
5521,工信    ,3403231129,201192830,48227,16.91,19,14.3,16.23,18.3,8.21,12.02,62.09,1.45
5523,宏都建設,996263867,38559502,12326,25.83,27.8,22.55,25.27,26.45,9.06,8.69,40.89,2.12
5529,志嘉建設,101368646,3482650,1293,29.1,32.55,26.1,28.36,32.55,NA,3.07,7.88,2.38
5530,大漢建設,296476227,19440493,5936,15.25,16.75,13.05,14.38,16.75,21.75,8.95,18.13,1.4
5533,皇鼎建設,2262475271,72822034,21108,31.06,36.5,25,30.26,35.5,15.43,6.47,50.5,2.13
6402,基泰營造,251580408,16365177,5173,15.37,16.9,13.5,14.84,15.7,6.33,6.36,24.74,1.42
5601,台聯貨櫃,9452340,607286,242,15.56,16.55,14,15.37,15.85,54.66,1.57,0.84,0.8
5603,陸海交通,292458034,18579633,5892,15.74,17.3,14.1,15.32,16.4,546.67,4.87,30.11,1.22
5604,中連貨運,702702101,18517239,8709,37.94,41.4,34,37.38,39,11.93,6.71,17.02,1.78
5609,中菲行  ,1824929872,38709513,17906,47.14,50.5,39.3,46.7,46.8,20.09,3.52,38.63,3.52
5701,劍湖山  ,5364500451,280524357,65644,19.12,20.75,17,18.78,19.3,NA,0,67.48,1.44
5703,亞都麗緻,206302214,5061998,3094,40.75,44.7,30.4,40.04,39.2,NA,1.27,7.21,2.88
5704,老爺知  ,90813810,2842398,1582,31.94,34.3,26.9,31.55,31.15,63.57,0.96,4.75,2.49
5706,鳳凰國際,986129943,10825948,7139,91.08,107,83,90.88,89.6,44.36,2.07,35.34,5.34
8940,新天地  ,80303571,2804499,1522,28.63,30.3,26,28.2,29.4,16.07,5.1,5.96,2.05
5820,日盛金控,662324482,84876458,14024,7.8,8.35,7.18,7.74,7.95,NA,0,3.91,0.78
6008,中信證券,15802062640,764524377,116997,20.66,23.8,17.9,19.87,22.75,9.93,3.07,30.12,1.6
6015,宏遠證券,3497707925,212967547,42265,16.42,18.8,13.9,15.7,18,12.95,0,49.53,1.62
6016,康和證券,3854507255,233201260,46426,16.52,18.8,14.1,15.8,18,11.92,2.22,37.96,1.37
6020,大展證券,582594249,25135488,6856,23.17,26.1,19.05,21.88,24.9,11.64,2.61,10.81,1.54
6021,大慶證券,993848169,43808059,13295,22.68,25.3,18.8,21.79,24.15,12.26,1.65,17.57,1.63
6022,大眾證  ,2848583315,136166465,27417,20.91,23.25,18.15,20.08,22.6,7.22,3.23,60.69,1.52
6023,寶來期  ,188911295,4161548,1845,45.39,48.6,42.3,44.63,47.1,10.51,5.66,3.79,2.54
2916,滿心企業,38829047,1835588,930,21.15,22.5,19.8,20.66,21.3,11.27,10.32,4.35,1.37
2921,特力和樂,14946134,624257,403,23.94,25.25,22.55,23.6,23.8,11.96,9.87,1.56,1.61
5902,德記洋行,26972708,3470102,978,7.77,8.5,7.2,7.67,7.46,NA,6.7,2,0.84
5903,全家    ,41029981,741942,515,55.3,58.7,52.6,54.84,57,21.43,4.21,0.33,3.75
5904,寶雅國際,63343690,2801643,1455,22.6,24.55,19.8,21.93,23.95,12.1,6.43,4.33,1.49
5905,南仁湖  ,2462698724,107004770,34309,23.01,26.3,19.5,22.65,21.6,98.18,3.61,62.98,1.63
8941,關中    ,74193964,3448068,1656,21.51,23.05,19.2,21.08,21.2,15.14,2.31,3.63,1.16
9960,邁達康  ,38848515,1552180,781,25.02,26.5,24,25,24.9,10.42,6.7,7.87,1.76
1584,精剛精密,192300513,4630379,2877,41.53,45.45,37.6,39.76,38.55,11.17,3.89,11.58,1.95
2221,大甲    ,39561650,1525000,840,25.94,27.7,24,25.14,24.9,8.5,6.02,3.59,1.36
