櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
04月Apr. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 503,279,227,831元",,,,,,4. 加權平均本益比：16.07,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 12,875,680,645股",,,,,,5. 加權平均殖利率： 5.56%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 4,278,317筆",,,,,,6. 成交量週轉率： 19.33%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,11888745,520146,306,22.85,24,22.4,22.87,22.8,12.13,6.57,0.87,1.52
4207,環泰企業,59799046,5540198,1748,10.79,11.65,10.2,10.64,10.3,19.43,4.95,4.83,0.85
4303,信立    ,37591033,16643785,2147,2.25,2.51,1.86,2.19,2.37,NA,23.2,12.94,0.43
4304,勝昱科技,1189652,103957,92,11.44,12.2,10.8,11.64,11.7,NA,0,0.21,1.12
4305,世坤塑膠,5052666,385005,69,13.12,13.6,12.8,13.22,13.25,13.66,9.81,0.7,1.06
6508,惠光化學,2349335023,54923545,21994,42.77,52.5,29,40.27,43.55,20.16,2.75,80.26,2.31
8354,冠郝企業,111949889,6829801,2484,16.39,17.5,15.1,15.97,16.2,9.15,8.64,13.56,1.02
9950,萬國通路,19924650,1337055,336,14.9,15.8,14.5,14.97,14.8,15.1,4.52,3,1.01
4401,東隆興業,40738814,3858592,1084,10.55,11.05,10,10.48,10.8,10.91,7.87,3.21,0.85
4402,福大棉業,8821667,2354662,539,3.74,4.15,3.28,3.64,3.59,NA,16.71,2.27,0.39
4406,新昕纖維,6994128,745597,296,9.38,10.2,8.75,9.4,9.2,8.36,5.43,1.44,0.84
