櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
97年11月  Nov. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 116,066,135,833元",,,,,4. 加權平均本益比：11.22   ,,,,,,,,
,,,,,   註：加權平均本益比已排除極端值（資本額逾全市場發行資本額10％之個股）,,,,,,,,
   Total Trading Value of Listed Stocks（NTD）,,,,,   Weighted Average P/E Ratio,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,693,176,518股",,,,,5. 加權平均殖利率： 14.69%,,,,,,,,
   Total Trading Volume of Listed Stocks（Share）,,,,,   Weighted Average Yield,,,,,,,,
"3. 櫃檯買賣月總成交筆數： 1,956,652筆",,,,,6. 成交量週轉率： 10.08%（以上櫃股數計算）,,,,,,,,
   Number of Transactions,,,,,   Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,11494016,663943,299,17.31,18.45,16.85,17.37,17.5,9.89,8.57,1.1,1.16
4207,環泰企業,5592035,910436,285,6.14,6.65,5.45,6.16,6.15,20.5,6.17,0.76,0.53
4303,信立    ,4278383,3270071,242,1.3,2.18,1.2,1.56,1.88,NA,0,4.67,0.21
4304,勝昱科技,366249,80660,60,4.54,6.58,3.72,5.11,3.9,NA,0,0.16,0.37
4305,世坤塑膠,642810,71005,37,9.05,10,8.51,9.27,8.51,9.78,7.63,0.13,0.67
6508,惠光化學,391659287,18805373,8761,20.82,22.7,18.65,20.66,21.7,8.48,7.37,27.07,1.04
8354,冠郝企業,25346003,2965092,617,8.54,9.19,8.06,8.48,9.15,11.02,6.55,5.89,0.54
9950,萬國通路,2767662,243001,112,11.38,12.4,9.6,11.37,10.15,10.46,9.85,0.55,0.68
4401,東隆興業,15119279,2272442,536,6.65,7.27,6,6.61,6.45,4.24,13.17,1.89,0.49
4402,福大棉業,196260,122000,54,1.6,1.72,1.51,1.62,1.72,NA,0,0.12,0.23
4406,新昕纖維,224925,39495,27,5.69,6.85,5.3,6,5.49,13.73,0,0.08,0.48
4408,聯明行動,16544391,3369493,800,4.91,6.15,4,4.81,4.6,NA,0,4.17,0.69
4413,飛寶動能,64560,22000,16,2.93,3.79,2.48,3.2,3.5,NA,0,0.01,11.24
4415,美嘉生電,1165219,127308,90,9.15,10.7,8.24,9.33,9.49,NA,0,0.72,1.38
4417,金洲製網,77437620,5400463,815,14.33,16.45,8.52,12.92,9.38,9.77,6.39,8.96,0.59
4419,松懋工業,85734774,5856959,1516,14.63,19.15,11.8,14.98,13.3,NA,0,17.59,1.01
4420,光明    ,1662300,114150,64,14.56,15.2,14,14.63,14.4,8.89,11.11,0.38,0.84
4426,利勤    ,2612793,390321,185,6.69,8.09,5.67,6.78,8.07,8.23,4.95,0.73,0.65
1558,伸興工業,4884479,237780,113,20.54,22,19,20.7,20.7,5.53,13.52,0.56,0.85
1570,力肯實業,8350733,1140369,514,7.32,8,6.42,7.47,7.56,NA,13.22,2.16,0.58
1580,新麥企業,12993096,572455,132,22.69,25,21.25,23.36,23.15,6.85,15.11,1.63,1.21
3162,精確    ,37587966,3156313,1461,11.9,13.35,9.85,11.37,10.9,8.52,9.44,7.76,0.92
4502,源恆工業,1580138,584976,299,2.7,3.27,2.13,2.64,2.77,NA,0,0.78,0.31
4503,金雨企業,4934841,2097141,562,2.35,2.93,1.99,2.31,2.27,NA,0,3.42,0.45
4506,崇友實業,8957697,1148102,545,7.8,8.29,7.26,7.83,7.73,22.74,0,0.58,0.47
4510,高鋒工業,7548520,1638940,607,4.6,5.15,4,4.64,4.39,439,6.83,1.86,0.34
4513,福裕事業,4900128,527001,279,9.29,11,8.37,9.45,11,7.19,15.45,0.8,0.86
4523,永彰機電,6641379,969534,251,6.85,7.25,6.21,6.78,7.17,NA,2.78,1.8,0.3
4527,方土霖  ,3344406,334947,174,9.98,10.8,9.45,9.89,10.4,8.6,9.61,0.67,0.8
4528,江興鍛壓,15240982,1491114,575,10.22,12,8.37,10.06,9.02,5.97,16.62,2.56,0.58
4529,力武電機,4838854,730041,295,6.62,7.45,5.7,6.31,6.4,NA,0,1.56,0.54
4530,宏易精密,14820823,2092493,680,7.08,8.15,6.31,7.44,6.7,NA,0,3.8,0.64
4533,協易機械,80224244,6242395,1916,12.85,14.9,11.85,12.91,13,7.47,14.46,5.68,0.8
4534,三林粉末,941292,262462,94,3.58,4.49,3.12,3.76,3.45,NA,0,0.26,0.49
4535,至興精機,95042010,2590627,274,36.68,39.75,33.7,37.03,35,6.86,7.14,3.7,1.47
6122,擎邦國際,19169440,2095357,905,9.14,9.8,8.4,9.07,8.83,5.07,10.87,3.98,0.7
6603,富強鑫  ,2043836,290956,124,7.02,7.81,6.42,7.13,6.85,7.45,7.29,0.39,0.38
6609,瀧澤科技,14574662,1036743,471,14.05,15.6,12.75,14.19,13.65,4.81,12.45,1.76,0.66
8083,瑞穎    ,15847620,820486,363,19.31,22.5,18,20.08,18.5,7.68,12.43,2.72,1.38
8255,朋程    ,255121443,4527300,2247,56.35,77.1,46.5,59.68,53.7,12.43,8.37,8.38,2.07
8374,羅昇企業,26496430,1203062,745,22.02,25.45,18.8,22.19,20.9,5.07,22,2,1.26
8996,高力    ,4983889,321075,212,15.52,16.6,14.8,15.7,15.85,8.57,9.46,0.69,1
9951,皇田工業,14088376,905677,470,15.55,20.05,12.5,16.72,13.4,5.21,12.76,1.65,0.81
4609,唐鋒實業,46497204,3847928,1682,12.08,14,9.8,12.17,12.3,4.54,0,8.03,1.05
2035,唐榮公司,109980958,5939531,2016,18.51,20.6,16.8,18.85,18.4,NA,0,1.7,0.91
5007,三星科技,15123296,897931,325,16.84,17.5,16.3,16.87,16.7,6.87,13.29,0.41,1.07
5009,榮剛材料,627702502,47394183,11864,13.24,15.05,11.05,12.92,12.5,5.53,20,15.69,0.67
5011,久陽精密,12587,13729,6,0.92,1,0.85,0.9,0.85,NA,0,0.04,0.88
5013,強新工業,171976702,14521451,5072,11.84,13.05,10,11.58,10.95,2.98,4.56,17.49,0.66
5014,建錩實業,13069018,2445045,735,5.34,5.7,5.1,5.35,5.2,NA,14.42,2.03,0.34
5015,華祺工業,8997638,705968,395,12.74,14.2,11.2,12.76,12,7.55,29.16,1.16,0.76
5016,松和工業,72665593,3013135,1574,24.11,27.2,18.5,23.05,21.95,3.49,5.46,7.35,0.86
8349,友信    ,6799833,388060,219,17.52,18,16.65,17.6,17.6,27.08,3.4,0.65,1.17
8930,青鋼金屬,12367057,1173065,559,10.54,11.45,9.61,10.43,10,5.43,9,2.7,0.68
9962,有益鋼鐵,11534574,2207906,642,5.22,6.13,4.7,5.26,5.4,NA,11.11,3.01,0.36
2114,鑫永銓  ,41374817,2098272,179,19.71,21.1,17.7,19.66,20.2,5.02,17.32,4.39,1.02
5102,富強輪胎,5513698,564686,260,9.76,10.5,8.65,9.67,9.9,6.19,5.05,0.97,0.74
4416,三圓建設,2798601,58001,54,48.25,57.2,42,49.52,44.7,19.69,6.15,0.1,1.99
5213,力昕建設,3388756,518015,271,6.54,7.1,5.58,6.56,6.39,2.83,39.12,0.66,0.46
5505,和旺建設,22433633,2736063,259,8.19,9.1,7.4,8.6,8.2,39.05,0,6.84,0.67
5506,長鴻營造,10085308,2316701,482,4.35,4.6,1.92,2.93,1.92,NA,52.08,1.82,0.16
5508,永信建設,38996705,1127403,766,34.58,39.8,26.1,33.21,33.2,3.14,22.59,0.86,1.36
5511,德昌營造,25284389,2241022,841,11.28,12.3,10.6,11.16,11.45,6.33,13.1,2.72,0.74
5512,力麒建設,706360927,125890513,18255,5.61,6.32,4.79,5.55,5.61,7.48,0,33.31,0.31
5514,三豐建設,22228301,2651815,743,8.38,9.2,7.66,8.39,8.27,6.17,12.09,2.69,0.62
5516,雙喜    ,1242228,137002,46,9.06,9.7,8.25,9.11,8.26,12.52,9.07,0.36,0.76
5519,隆大營造,8337571,597683,297,13.94,16.2,12.6,14.43,13.05,5.72,18.08,0.98,1.04
5520,力泰建設,7224670,379923,278,19.01,21.5,17.35,18.9,18.7,4.61,9.62,0.54,0.82
5521,工信    ,736612286,89699909,21998,8.21,9.1,7.1,8.05,8.85,NA,9.03,25.81,0.76
5523,宏都建設,49759559,7306185,2948,6.81,8.27,5.11,6.6,6.64,8.85,23.04,6.68,0.56
