櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
97年12月 Dec. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 172,717,023,600元",,,,,4. 加權平均本益比：11.54,,,,,,,,
,,,,,   註：加權平均本益比已排除極端值（資本額逾全市場發行資本額10％之個股）,,,,,,,,
   Total Trading Value of Listed Stocks（NTD）,,,,,   Weighted Average P/E Ratio,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,060,636,560股",,,,,5. 加權平均殖利率： 13.89%,,,,,,,,
   Total Trading Volume of Listed Stocks（Share）,,,,,   Weighted Average Yield,,,,,,,,
"3. 櫃檯買賣月總成交筆數： 2,746,150筆",,,,,6. 成交量週轉率： 15.19%（以上櫃股數計算）,,,,,,,,
   Number of Transactions,,,,,   Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,11913042,672732,321,17.7,18.5,17.1,17.66,18.2,10.28,8.24,1.12,1.21
4207,環泰企業,5218391,857320,321,6.08,6.44,5.75,6.08,6.3,21,6.03,0.72,0.55
4303,信立    ,20060451,10828160,1015,1.85,2.12,1.63,1.77,1.71,NA,0,15.47,0.19
4304,勝昱科技,452525,135109,97,3.34,4,2.85,3.4,2.89,NA,0,0.27,0.28
4305,世坤塑膠,373232,43210,30,8.63,9.77,8.02,8.78,8.02,9.22,8.1,0.08,0.63
6508,惠光化學,262044134,12600722,6041,20.79,22.45,18.8,20.13,19.8,7.73,8.08,18.14,0.94
8354,冠郝企業,13246921,1722301,688,7.69,9.14,6.95,7.54,7.11,8.57,8.43,3.42,0.42
9950,萬國通路,3857665,378202,140,10.2,10.6,9.63,10.24,10.4,10.72,9.61,0.85,0.7
4401,東隆興業,8985722,1397251,331,6.43,6.6,6.21,6.41,6.49,4.27,13.09,1.16,0.49
4402,福大棉業,2211236,1319932,215,1.67,1.9,1.34,1.58,1.72,NA,0,1.27,0.23
4406,新昕纖維,757582,145463,106,5.2,5.59,4.92,5.39,5.24,13.1,0,0.28,0.46
4408,聯明行動,34729131,7000410,1006,4.96,5.6,4.11,4.78,4.85,NA,0,8.67,0.72
4415,美嘉生電,1175822,142607,94,8.24,10.1,7.28,8.4,8.09,NA,0,0.81,1.18
4417,金洲製網,10920789,1099031,541,9.93,11.25,8.98,9.99,9.65,10.05,6.21,1.82,0.61
4419,松懋工業,30902374,2449002,1402,12.61,14.35,10.65,12.4,11.7,NA,0,7.35,0.88
4420,光明    ,4336470,307160,101,14.11,15,14,14.26,14.35,0,11.14,1.02,0.83
4426,利勤    ,3414558,425342,222,8.02,8.75,7.34,8.16,8.5,8.67,4.7,0.8,0.68
1558,伸興工業,5371120,280552,148,19.14,20.3,17.3,19.16,19.8,5.29,14.14,0.66,0.82
1570,力肯實業,13413274,1772668,700,7.56,8.09,6.71,7.47,7.74,NA,12.91,3.36,0.59
1580,新麥企業,3320506,145102,96,22.88,23.6,21.6,22.95,23.3,6.89,15.02,0.41,1.22
3162,精確    ,9921278,970018,576,10.22,11.1,9.63,10.3,10.25,8.01,10.04,2.39,0.86
4502,源恆工業,683252,265696,153,2.57,2.87,2.28,2.65,2.48,NA,0,0.35,0.28
4503,金雨企業,5433379,2069358,670,2.62,3.17,2.07,2.59,2.59,NA,0,3.37,0.51
4506,崇友實業,10577885,1316716,574,8.03,8.4,7.66,8.06,8.27,24.32,0,0.66,0.5
4510,高鋒工業,7177550,1758061,503,4.08,4.46,3.75,4.06,3.85,385,7.79,1.99,0.3
4513,福裕事業,8441268,767746,201,10.99,11.5,10.2,10.96,10.65,6.96,15.96,1.16,0.83
4523,永彰機電,3642575,545265,232,6.68,7.27,6.23,6.68,6.72,NA,2.97,1.01,0.28
