櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
98年03月 Mar. 09,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 299,441,633,247元",,,,,4. 加權平均本益比：14.96,,,,,,,,
,,,,,   註：加權平均本益比已排除極端值（資本額逾全市場發行資本額10％之個股）,,,,,,,,
   Total Trading Value of Listed Stocks（NTD）,,,,,   Weighted Average P/E Ratio,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 14,431,531,191股",,,,,5. 加權平均殖利率： 11.07%,,,,,,,,
   Total Trading Volume of Listed Stocks（Share）,,,,,   Weighted Average Yield,,,,,,,,
"3. 櫃檯買賣月總成交筆數： 4,012,573筆",,,,,6. 成交量週轉率： 21.81%（以上櫃股數計算）,,,,,,,,
   Number of Transactions,,,,,   Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,15341766,744029,387,20.61,21.6,19.5,20.5,21.4,12.09,7.01,1.24,1.42
4207,環泰企業,27922730,3809822,978,7.32,8,6.1,6.74,7.59,25.3,5.01,3.19,0.66
4303,信立    ,20021816,11579881,1278,1.72,2.09,1.42,1.68,2.09,NA,0,16.54,0.23
4304,勝昱科技,3663581,593723,261,6.17,7.5,3.97,5.81,7.4,NA,0,1.18,0.71
4305,世坤塑膠,876008,92049,51,9.51,10.1,8.1,9.4,9.81,11.28,0,0.17,0.77
6508,惠光化學,1253963104,46221853,20495,27.12,31.55,21.8,25.98,30.1,11.76,5.31,66.54,1.44
8354,冠郝企業,7667675,896345,475,8.55,9.1,8,8.53,8.67,10.45,6.92,1.89,0.52
9950,萬國通路,4140946,334012,134,12.39,13.15,11.6,12.49,13.1,13.51,7.63,0.75,0.88
4401,東隆興業,16316703,2158979,591,7.55,8.39,6.42,7.42,8.2,5.39,10.36,1.79,0.62
4402,福大棉業,12009363,9427095,1302,1.27,1.7,0.8,1.23,1.54,NA,0,9.09,0.21
4406,新昕纖維,2295593,412305,183,5.56,6.08,4.8,5.38,5.82,14.55,0,0.79,0.51
4408,聯明行動,171082473,19558801,4406,8.74,9.49,7.72,8.55,7.96,NA,0,33.94,0.85
4415,美嘉生電,188346989,6673386,2752,28.22,42.3,11.5,24.19,42.3,NA,0,37.69,6.17
4417,金洲製網,66945173,5542935,952,12.07,13.4,10.1,12.04,12.65,13.18,4.74,9.2,0.8
4419,松懋工業,193480359,12818057,5056,15.09,18,11.6,13.74,14.75,NA,0,38.49,1.11
4420,光明    ,4048068,279332,154,14.49,14.9,14,14.46,14.5,8.95,11.03,0.93,0.84
4426,利勤    ,6476658,849226,347,7.62,8.28,6.71,7.44,8.08,8.24,4.95,1.59,0.65
1558,伸興工業,25597806,1202221,152,21.29,22.4,18.35,20.15,21.55,5.76,12.99,2.77,0.89
1570,力肯實業,10458072,1521697,672,6.87,7.98,5.65,6.91,7.63,NA,13.1,2.89,0.58
1580,新麥企業,16534365,606178,237,27.27,29.3,24.7,26,28.7,8.49,12.19,1.72,1.5
2231,為升    ,132583080,4471645,2504,29.64,32,27.95,29.03,30.3,11.22,7.59,9.12,2.08
3162,精確    ,78798647,7965897,2704,9.89,10.9,9.01,9.7,10.1,7.89,10.19,19.59,0.85
4502,源恆工業,1984529,843237,365,2.35,2.85,1.86,2.32,2.75,NA,0,1.12,0.31
4503,金雨企業,10984550,4199459,937,2.61,2.98,2.1,2.48,2.62,NA,0,6.84,0.52
4506,崇友實業,16224831,1915868,780,8.46,9.42,7.8,8.4,9,26.47,0,0.96,0.55
4510,高鋒工業,17786346,4107486,1274,4.33,4.92,3.37,4.16,4.32,432,6.94,4.66,0.33
4513,福裕事業,17903021,1872129,887,9.56,10.35,8.1,9.37,9.5,6.21,17.89,2.84,0.74
4523,永彰機電,11991242,1542388,519,7.77,8.49,5.95,7.66,8,NA,2.5,2.86,0.33
4527,方土霖  ,7397861,702405,426,10.53,11.35,9.91,10.45,10.6,8.76,9.43,1.41,0.82
4528,江興鍛壓,37550896,3987949,1406,9.41,10.8,8.46,9.4,10.35,6.85,14.49,6.85,0.67
4529,力武電機,9845032,1291770,523,7.62,8.29,5.9,7.01,7.87,NA,0,2.75,0.67
4530,宏易精密,44268310,5509537,1216,8.03,9.2,4.91,6.95,8.65,NA,0,8.47,0.82
4533,協易機械,94119966,10338049,4222,9.1,10.2,7.7,8.86,9.56,5.49,19.66,9.41,0.59
4534,三林粉末,3217728,747401,240,4.3,5.2,3.29,4.08,5,NA,0,0.74,0.71
4535,至興精機,31594099,1004584,657,31.44,34.3,26.1,31.29,33,6.47,7.57,1.44,1.39
6122,擎邦國際,437069423,30033783,8508,14.55,16.3,12.2,13.93,14.7,8.45,6.53,57.05,1.17
6603,富強鑫  ,5517744,780198,382,7.07,8.35,5.56,6.92,7.64,8.3,6.54,1.05,0.43
6609,瀧澤科技,40999064,2782582,1246,14.73,15.4,13.5,14.55,14.5,5.11,11.72,4.72,0.7
8083,瑞穎    ,5459857,252093,184,21.65,23.8,19.25,20.53,23.8,9.88,9.66,0.84,1.78
8255,朋程    ,433185272,8122558,5343,53.33,61.2,42.55,53.23,58.5,13.54,7.69,15.04,2.26
8996,高力    ,9898429,594591,384,16.64,17.7,15.4,16.61,17.35,9.38,8.64,1.29,1.09
9951,皇田工業,57570004,4752748,1468,12.11,14.55,9.8,12.26,13.8,NA,23.18,8.66,1.14
4609,唐鋒實業,58070619,3900040,1192,14.88,17.5,10.2,14.18,16.15,5.96,0,8.13,1.38
2035,唐榮公司,283423769,13226574,4248,21.42,25.55,18.6,21.28,24.6,NA,0,3.78,1.22
5007,三星科技,111652537,7050723,2022,15.83,17.3,15,15.53,15.8,6.5,14.05,3.21,1.02
5009,榮剛材料,1474748330,109478899,26460,13.47,15.1,10.8,12.91,13.5,5.97,18.51,36.25,0.73
5011,久陽精密,19527,13080,10,1.49,1.5,1.5,1.5,1.5,NA,0,0.04,1.55
5013,強新工業,171236123,16169057,4408,10.59,11.3,9.31,10.29,10.4,2.83,4.8,19.48,0.63
5014,建錩實業,38016126,6040980,1615,6.29,7.16,5.3,5.97,6.5,NA,11.53,5.01,0.43
5015,華祺工業,39879024,2937482,1308,13.57,14.8,12,13.41,14.7,9.25,23.8,4.84,0.93
5016,松和工業,26654826,1255253,687,21.23,22.4,19.4,20.72,21.2,3.37,5.66,3.06,0.83
8349,友信    ,2990938,173800,154,17.2,18.1,16.7,17.28,17,26.15,3.52,0.29,1.13
8930,青鋼金屬,16180238,1745062,855,9.27,10.1,8.25,9.21,9.78,5.32,9.2,4.02,0.67
9962,有益鋼鐵,36198721,5207548,1332,6.95,8.24,5.75,6.82,8.13,NA,7.38,7.1,0.54
2114,鑫永銓  ,17342472,833310,307,20.81,22.6,19.15,20.45,22.3,5.55,15.69,1.74,1.12
5102,富強輪胎,6811244,845315,304,8.05,9.63,7.1,8.27,8.95,5.59,5.58,1.45,0.67
4416,三圓建設,6222192,147096,96,42.3,46.4,40.85,42.83,44.9,19.78,6.12,0.25,1.99
5213,力昕建設,11972818,1544010,581,7.75,8.82,6.15,7.3,7.61,3.37,32.85,1.97,0.55
5505,和旺建設,14997817,2520204,359,5.95,6.73,4.94,5.93,6.7,31.9,0,6.3,0.55
5506,長鴻營造,7648754,3984158,520,1.91,2.7,1.17,1.78,2.6,NA,38.46,3.13,0.22
5508,永信建設,73502453,2016322,1246,36.45,40.8,31,35.02,37.9,3.59,19.78,1.54,1.56
5511,德昌營造,18976763,1518749,607,12.49,13.45,11.45,12.36,13.1,7.24,11.45,1.85,0.85
5512,力麒建設,1040689984,155527298,24808,6.69,8.55,3.82,6.07,7.77,10.36,12.61,38.51,0.44
5514,三豐建設,50588663,4578232,1085,11.04,12.8,9.8,11.07,12.6,9.4,7.93,4.64,0.95
5516,雙喜    ,1701956,294001,146,5.78,6.34,5.33,5.96,6.28,9.52,11.94,0.77,0.58
5519,隆大營造,6958289,572646,353,12.15,13.1,11.05,12.07,12.8,5.61,18.43,0.94,1.02
5520,力泰建設,2295148,122572,91,18.72,20.1,17.35,18.71,18.6,4.58,9.67,0.17,0.81
5521,工信    ,514978696,64279362,14489,8.01,8.68,6.6,7.78,7.92,NA,10.1,18.5,0.68
5523,宏都建設,305497529,33067103,7654,9.23,11.6,4.54,7.61,11.25,15,13.6,30.25,0.94
5529,志嘉建設,36098487,4069086,1728,8.87,10.2,5.32,7.88,9.8,5.38,10.2,9.21,0.63
5530,大漢建設,48693273,8883884,2080,5.48,6.12,4.26,5.13,5.38,NA,27.88,8.28,0.46
