櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年07月 Jul. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 604,620,685,133元",,,,,4. 加權平均本益比：94.15,,,,,,,,,,,,
,,,,,   註：加權平均本益比已排除極端值（資本額逾全市場發行資本額10％之個股）,,,,,,,,,,,,
   Total Trading Value of Listed Stocks（NTD）,,,,,   Weighted Average P/E Ratio,,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 15,634,177,890股",,,,,5. 加權平均殖利率： 4.40%,,,,,,,,,,,,
   Total Trading Volume of Listed Stocks（Share）,,,,,   Weighted Average Yield,,,,,,,,,,,,
"3. 櫃檯買賣月總成交筆數： 5,124,562筆",,,,,6. 成交量週轉率： 22.04%（以上櫃股數計算）,,,,,,,,,,,,
   Number of Transactions,,,,,   Turnover Rate,,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,15457150,670474,349,23.05,23.85,22.5,23.05,23.5,11.08,6.38,1.12,1.42,,,,
4207,環泰企業,42312677,5054825,1353,8.37,9.15,7.8,8.22,8.03,NA,4.73,4.23,0.72,,,,
4303,信立    ,8898280,2956523,703,3,3.24,2.9,2.99,3.24,NA,0,4.22,0.35,,,,
4304,勝昱科技,780201,121675,87,6.41,7.48,5.51,6.31,5.76,NA,0,0.24,0.6,,,,
4305,世坤塑膠,3342058,289242,167,11.55,12.5,10.65,11.4,11.25,10.92,6.22,0.53,0.85,,,,
6508,惠光化學,502095998,19243966,9011,26.09,27.6,24,25.73,26.9,13.19,5.94,27.7,1.23,,,,
8354,冠郝企業,44930493,4909876,1110,9.15,9.72,8.5,9.06,9.2,NA,6.52,10.33,0.55,,,,
9950,萬國通路,13630799,876142,315,15.55,16.4,15,15.53,15.5,9.23,5.41,1.97,0.96,,,,
4401,東隆興業,27181534,3189981,853,8.52,9.05,7.72,8.3,8.1,7.64,8.64,2.65,0.59,,,,
4402,福大棉業,6147232,3380981,608,1.81,2.09,1.6,1.75,2.01,NA,0,3.26,0.37,,,,
4406,新昕纖維,15023805,2347165,730,6.4,7.43,5.72,6.3,6.98,NA,0,4.52,0.64,,,,
4408,聯明行動,248386982,27305423,6646,9.09,10.15,8.06,8.96,8.6,NA,0,47.38,0.99,,,,
4413,飛寶動能,2628941,545595,102,4.81,6.38,3.74,4.95,6.38,NA,0,0.31,91.14,,,,
4417,金洲製網,55828631,4089667,962,13.65,14.4,13.1,13.74,14.1,17.85,4.25,6.79,0.88,,,,
4419,松懋工業,60999461,3857072,1755,15.81,18.1,13.3,14.73,16.55,NA,0,11.58,1.91,,,,
4420,光明    ,2333273,159066,107,14.66,15.45,14.4,14.75,14.85,23.2,6.73,0.53,0.85,,,,
4426,利勤    ,47567741,4475105,1515,10.62,11.7,9.05,9.89,11.6,8.79,3.44,8.36,0.88,,,,
1558,伸興工業,144655859,3696800,1742,39.13,44.8,34,37.97,43.7,11.29,5.03,8.5,1.62,,,,
1570,力肯實業,10065449,1451354,590,6.93,7.6,6.5,6.94,7.45,NA,13.42,2.82,0.62,,,,
1580,新麥企業,98133755,2585521,1358,37.95,40.6,33.1,35.63,39.9,8.97,7.51,7.35,1.81,,,,
2231,為升    ,207868789,5483754,2582,37.9,40.35,34.45,37.32,40,12.86,5,11.18,2.37,,,,
3162,精確    ,70740984,5729377,1864,12.34,13.5,11.55,12.3,13.35,10.6,7.71,14.09,1.08,,,,
4502,源恆工業,4837257,1520697,485,3.18,3.52,2.83,3.13,3.22,NA,0,2.02,0.58,,,,
4503,金雨企業,9287063,2713785,814,3.42,3.7,3.18,3.38,3.33,NA,0,4.91,0.66,,,,
4506,崇友實業,14179830,1375258,648,10.31,10.7,9.85,10.23,10.7,62.94,0,0.7,0.66,,,,
4510,高鋒工業,301555000,37991822,8530,7.93,9.88,4.89,7.31,7.97,NA,3.76,43.09,0.65,,,,
4513,福裕事業,4690248,452531,186,10.36,11.9,9.85,10.49,10.3,NA,4.85,0.7,0.82,,,,
4523,永彰機電,18410841,1271994,555,14.47,16.2,12.55,14.18,15.45,NA,1.29,2.36,0.64,,,,
4527,方土霖  ,19634504,1279370,684,15.34,16.9,14,15.2,16.5,25.78,6.06,2.56,2.55,,,,
4528,江興鍛壓,23540738,2066560,749,11.39,12.1,11,11.37,11.95,8.79,12.55,3.55,0.74,,,,
4529,力武電機,31513470,3658000,1138,8.61,9.27,7.55,8.4,8.73,NA,0,7.8,0.79,,,,
4530,宏易精密,920287341,67477480,19408,13.63,16.95,10.9,12.84,11.1,NA,0,103.76,1.05,,,,
4533,協易機械,182628847,15877654,3112,11.5,12.8,9.47,10.53,12.5,23.58,15.04,14.46,0.75,,,,
