櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年08月 Aug. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 405,663,273,980元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,892,380筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,802,443,930股",,,,,,4. 成交量週轉率： 16.32%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,15835075,663679,381,23.85,24.5,23.2,23.92,23.65,10.15,6.34,1.1,1.51,,,,
4207,環泰企業,328359192,32219585,7288,10.19,11.5,8.1,9.7,10.1,144.29,3.76,26.99,0.88,,,,
4303,信立    ,13478916,4182155,994,3.22,3.59,2.93,3.1,3.05,NA,0,5.97,0.33,,,,
4304,勝昱科技,7737562,1000207,386,7.73,8.52,5.49,7.12,7.85,NA,0,1.98,0.83,,,,
4305,世坤塑膠,5300803,437642,208,12.11,13,11.05,11.55,12.5,10.59,5.6,0.8,0.96,,,,
6508,惠光化學,339330100,12895615,5987,26.31,28.9,24.05,25.38,25.9,14.63,6.17,18.56,1.24,,,,
8354,冠郝企業,58239708,6189531,1394,9.4,9.84,8.81,9.22,9,NA,6.66,13.02,0.55,,,,
9950,萬國通路,9972439,630483,235,15.81,16.5,15.15,15.76,15.8,10.33,5.31,1.42,1.02,,,,
4401,東隆興業,17716118,2153678,483,8.22,8.49,8.04,8.21,8.15,8.58,8.58,1.79,0.63,,,,
4402,福大棉業,8212684,4095487,574,2,2.11,1.85,1.98,2.03,NA,0,3.95,0.4,,,,
4406,新昕纖維,23518078,3298948,889,7.12,7.55,6.32,6.82,6.52,NA,0,6.35,0.59,,,,
4408,聯明行動,127098749,17303249,3934,7.34,9.02,5.98,7.58,5.98,NA,0,30.03,0.96,,,,
4413,飛寶動能,2415394,309188,91,7.81,8.34,4.08,6.92,4.38,NA,0,0.17,62.57,,,,
4417,金洲製網,94012185,7269748,1654,12.93,14.3,11.8,12.87,13.1,14.4,3.81,11.49,0.8,,,,
4419,松懋工業,28838233,1924391,987,14.98,16.65,13.1,14.81,13.3,NA,0,5.78,1.65,,,,
4420,光明    ,1337915,88101,61,15.18,16.2,14.9,15.17,15,24.19,6.66,0.3,0.88,,,,
4426,利勤    ,25132137,2262167,918,11.1,11.85,10.25,10.98,10.4,9.04,3.84,4.23,0.8,,,,
1558,伸興工業,1078757128,18300631,7462,58.94,68,43,58.62,61.6,10.68,3.57,42.09,2.28,,,,
1570,力肯實業,42527717,5311710,1773,8,8.8,6.6,7.73,8.3,NA,12.04,10.31,0.88,,,,
1580,新麥企業,654055121,13213857,6174,49.49,56.7,35.7,47.51,51,9.64,5.88,35.78,2.48,,,,
2231,為升    ,673614334,13126913,6622,51.31,60.1,39.5,50.56,51.6,16.07,3.87,26.77,3.34,,,,
3162,精確    ,53550979,4216289,1339,12.7,14.3,11.3,12.17,11.5,12.11,11.47,9.41,0.96,,,,
4502,源恆工業,2556267,817399,285,3.12,3.58,2.79,3.09,2.9,NA,0,1.09,0.7,,,,
4503,金雨企業,5568529,1612052,488,3.45,3.7,3.07,3.45,3.12,NA,0,2.92,0.45,,,,
4506,崇友實業,17068807,1632198,637,10.45,11.2,10,10.38,10.05,38.65,0,0.83,0.64,,,,
4510,高鋒工業,60734938,8440793,2269,7.19,8.1,6.51,7.06,6.69,NA,4.48,9.57,0.57,,,,
4513,福裕事業,26814312,2263364,766,11.84,12.75,10.1,11.29,11,NA,4.54,3.49,1,,,,
4523,永彰機電,10795430,689783,344,15.65,16.3,14.8,15.7,15.4,NA,1.29,1.28,0.65,,,,
4527,方土霖  ,7317766,518953,286,14.1,15.25,13,13.99,14.5,38.16,6.89,0.99,1.17,,,,
4528,江興鍛壓,36108759,3104963,1118,11.62,12.75,10.05,11.27,10.25,10.46,9.75,4.94,0.65,,,,
4529,力武電機,31310884,3540849,1305,8.84,9.99,7.9,8.62,8.42,NA,0,7.55,0.8,,,,
4530,宏易精密,128416586,12559635,3989,10.22,11.35,9.5,10,9.96,NA,0,19.31,1,,,,
4533,協易機械,94401515,7803446,1889,12.09,12.6,11.7,12.17,12.1,NA,15.53,7.1,0.78,,,,
4534,三林粉末,6371974,1104770,296,5.76,6.66,4.85,5.53,6.52,NA,0,1.1,1.02,,,,
4535,至興精機,30028995,751023,463,39.98,42.75,35.5,39.13,36,12.2,6.38,1.04,1.52,,,,
6122,擎邦國際,974599535,45839136,15181,21.26,24.3,17,20.57,17.75,8.37,7.26,72.82,1.37,,,,
6603,富強鑫  ,316642369,26868670,5480,11.78,12.8,9.74,11.61,12.7,NA,3.93,34.56,0.74,,,,
6609,瀧澤科技,45157011,3299170,1190,13.68,15.5,11.55,13.66,12.1,NA,4.95,5.59,0.64,,,,
8083,瑞穎    ,3390907,158103,153,21.44,22,20.65,21.41,20.65,15.41,7.74,0.52,1.64,,,,
8255,朋程    ,1326005164,12861133,7511,103.1,118,84,103.93,106.5,30.17,2.34,23.81,4.11,,,,
8996,高力    ,978159594,21790506,11891,44.88,50.5,39.7,44.26,42.1,NA,3.18,38.31,2.53,,,,
9951,皇田工業,336913285,12774938,3144,26.37,28.15,21.1,26.52,27.4,NA,11.67,17.06,2.88,,,,
4609,唐鋒實業,20183065,1419551,589,14.21,14.7,13.85,14.15,14.2,3.63,12.67,2.96,1.19,,,,
2035,唐榮公司,1097517556,30522633,12258,35.95,40,29.5,33.76,30.8,NA,0,8.72,2.15,,,,
5007,三星科技,68504521,3959292,1243,17.3,18.2,16.35,16.92,17,14.41,7.29,1.8,1.17,,,,
5009,榮剛材料,1150426139,59555477,19697,19.31,22.55,16,18.31,17.4,NA,5.57,17.98,1.03,,,,
5011,久陽精密,13483,3759,8,3.58,3.63,3.63,3.63,3.63,NA,0,0.01,4.37,,,,
5013,強新工業,105189956,9677165,2628,10.86,11.45,10.5,10.83,10.65,NA,6.57,11.1,0.85,,,,
5014,建錩實業,119991293,9989153,2768,12.01,12.85,10.8,11.71,11.15,NA,2.69,8.05,0.78,,,,
5015,華祺工業,34686425,2220834,981,15.61,16.9,14.4,15.28,14.5,12.39,6.89,3.66,0.95,,,,
5016,松和工業,27265038,1386336,595,19.66,20.9,18,19.62,18.05,NA,13.85,3.07,0.97,,,,
8349,友信    ,4084529,225314,182,18.12,18.4,17.55,18.21,18.2,39.57,3.29,0.38,1.2,,,,
8930,青鋼金屬,25500529,2489015,956,10.24,10.8,9.71,10.16,9.95,NA,6.63,5.73,0.79,,,,
9962,有益鋼鐵,115619052,8243696,2577,14.02,15.35,11.9,13.32,12.6,NA,4.76,11.24,1.21,,,,
2114,鑫永銓  ,41254444,1485866,368,27.76,28.9,26.35,27.67,28.5,10.29,12.28,3.11,1.37,,,,
5102,富強輪胎,33123031,3185503,981,10.39,11.3,9.3,10.13,10.5,NA,4.76,5.48,0.88,,,,
2596,綠意開發,149121294,5645177,3227,26.41,29.15,20.55,24.61,21.3,9.06,11.73,8.29,1.31,,,,
4416,三圓建設,11869391,179489,53,66.12,74.3,63.5,67.88,65.1,21.7,4.22,0.3,2.79,,,,
5213,力昕建設,492146899,17808345,7789,27.63,36,22,26.58,25.35,12.43,3.98,17.32,1.74,,,,
5505,和旺建設,31309112,1905650,434,16.42,17.75,15.4,16.34,16.1,NA,0,4.05,1.54,,,,
5506,長鴻營造,9398038,1615296,482,5.81,7.3,5.12,5.83,5.12,NA,0,2.44,0.33,,,,
5508,永信建設,956882542,15939069,9252,60.03,74.8,37.5,53.54,39,11.4,19.89,8.69,1.75,,,,
5511,德昌營造,87852926,5963818,1836,14.73,15.65,13.45,14.44,13.9,9.52,7.19,7.25,0.89,,,,
5512,力麒建設,1043850373,78932002,17148,13.22,15.6,11.6,13.09,12.65,13.6,3.95,18.45,0.72,,,,
5514,三豐建設,55873504,3598923,770,15.52,16.05,12.6,15.13,13,17.57,8.46,3.65,1.03,,,,
5516,雙喜    ,38057606,2900446,1009,13.12,14.4,11.1,12.43,12.25,26.06,6.12,7.57,1.09,,,,
5519,隆大營造,16993218,751536,511,22.61,24.7,21.2,22.5,21.3,19.91,3,1.23,1.71,,,,
5520,力泰建設,17682401,750234,401,23.56,25.3,21.75,23.18,23.25,7.62,4.73,1.06,0.98,,,,
5521,工信    ,1153599254,110452921,21445,10.44,12.25,9.6,10.45,10.05,NA,7.96,31.78,0.91,,,,
5523,宏都建設,412401188,29954993,9458,13.76,17.45,12.1,13.75,12.6,NA,12.14,27.4,1.1,,,,
5529,志嘉建設,38679994,3863584,1219,10.01,10.7,9.31,9.9,9.45,12.6,5.29,8.37,0.6,,,,
5530,大漢建設,216845213,13790406,3862,15.72,18,12.3,15.45,15.55,NA,0,4.49,2.37,,,,
2636,台驊國際,60366183,3191075,770,18.91,19.55,18.3,18.75,18.45,30.25,6.5,6.52,1.17,,,,
5601,台聯貨櫃,4575557,284796,157,16.06,17.2,15.4,16.52,17.2,68.8,1.27,0.4,0.88,,,,
5603,陸海交通,10946839,1346304,499,8.13,8.59,7.9,8.15,8.04,15.76,6.21,2.14,0.61,,,,
