櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年09月 Sep. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 551,922,632,649元",,,,,,"3. 櫃檯買賣月總成交筆數： 5,259,643筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 15,229,440,295股",,,,,,4. 成交量週轉率： 20.98%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,23038325,927227,516,24.84,26,23.65,24.84,25.4,10.9,5.9,1.54,1.62,,,,
4207,環泰企業,244072961,23239411,5528,10.5,11.3,9.82,10.3,10.1,144.29,3.76,19.47,0.88,,,,
4303,信立    ,10455300,3310666,881,3.15,3.35,3,3.14,3.18,NA,0,4.73,0.34,,,,
4304,勝昱科技,11795015,1317033,547,8.95,10.5,7,8.84,9.9,NA,0,2.61,1.05,,,,
4305,世坤塑膠,6201224,456396,278,13.58,15.1,12.55,13.7,14.85,12.58,4.71,0.83,1.14,,,,
6508,惠光化學,279150277,10846355,5439,25.73,27.15,24.5,25.54,25.1,14.18,6.37,15.46,1.2,,,,
8354,冠郝企業,53192424,5309865,1740,10.01,10.95,8.9,9.68,10.5,NA,3.04,11.17,0.64,,,,
9950,萬國通路,7333675,460201,199,15.93,16.3,15.5,15.91,15.8,10.33,5.31,1.03,1.02,,,,
4401,東隆興業,25886504,3162435,693,8.18,8.4,8.1,8.17,8.33,8.77,8.4,2.63,0.64,,,,
4402,福大棉業,9205559,4581679,629,2,2.1,1.93,2.01,2.04,NA,0,4.42,0.4,,,,
4406,新昕纖維,14244042,1857922,672,7.66,8.62,6.36,7,7.72,NA,0,3.58,0.69,,,,
4408,聯明行動,36363698,8099315,1255,4.48,6.07,3.33,4.63,4.91,NA,0,14.05,0.79,,,,
4413,飛寶動能,257649,65104,34,3.95,5.16,3.56,4.48,5.01,NA,0,0.04,71.57,,,,
4417,金洲製網,128891445,9332920,2226,13.81,14.75,12.85,13.81,14.55,15.99,3.43,14.75,0.89,,,,
4419,松懋工業,52749733,3654259,1729,14.43,15.9,13,14.12,14.25,NA,0,10.97,1.77,,,,
4420,光明    ,13111966,808220,415,16.22,17.4,14.8,15.41,15.8,25.48,6.32,2.71,0.93,,,,
4426,利勤    ,11184557,1078749,496,10.36,10.85,9.88,10.36,10.4,9.04,5.76,1.96,0.8,,,,
1558,伸興工業,1008236956,14042645,7111,71.79,81.8,61.1,72.45,75.5,13.08,2.91,32.3,2.8,,,,
1570,力肯實業,14519317,1876800,800,7.73,8.3,7.3,7.7,7.53,NA,13.28,3.64,0.8,,,,
