櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年10月 Oct. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 467,262,462,066元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,881,399筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 14,296,664,073股",,,,,,4. 成交量週轉率： 19.69%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,14377946,558791,331,25.73,26.7,25,25.75,26,11.26,5.76,0.93,1.59,,,,
4207,環泰企業,160958404,15929892,3817,10.1,10.6,9.33,9.97,9.72,138.86,3.9,13.35,0.83,,,,
4303,信立    ,27151486,7583161,1888,3.58,4,3.17,3.53,3.49,12.93,0,10.83,0.37,,,,
4304,勝昱科技,14771241,1459731,532,10.11,11,9,9.85,9.6,NA,0,2.89,1,,,,
4305,世坤塑膠,186414392,6871850,3218,27.12,37.9,14.8,23.38,35,33.02,2,12.49,2.68,,,,
6508,惠光化學,341076051,13178117,6302,25.88,27.1,23.9,25.57,24.1,17.34,6.63,18.78,1.16,,,,
8354,冠郝企業,46998213,4007527,1295,11.72,13.35,10.45,11.41,12,NA,2.66,8.43,0.76,,,,
9950,萬國通路,6071979,378067,166,16.06,16.4,15.7,16.03,16,9.64,5.25,0.85,1.02,,,,
4401,東隆興業,32378355,3762848,991,8.6,8.79,8.23,8.59,8.6,11.17,8.13,3.13,0.65,,,,
4402,福大棉業,32194505,11689462,1530,2.75,3.27,1.86,2.63,2.89,NA,0,11.27,0.32,,,,
4406,新昕纖維,6873716,876594,346,7.84,8.64,7.4,7.8,8.17,NA,0,1.69,0.73,,,,
4408,聯明行動,36997937,8496082,1526,4.35,5.24,4.1,4.41,4.22,NA,0,14.74,0.63,,,,
4413,飛寶動能,522982,131473,80,3.97,5,3.44,4.22,4.92,NA,0,0.07,492,,,,
4417,金洲製網,301962367,17220113,5025,17.53,21.4,14.15,16.62,20.15,29.63,2.48,27.21,1.32,,,,
4419,松懋工業,87109115,5691415,2567,15.3,16.75,13.6,14.6,14.3,NA,0,17.09,1.88,,,,
4420,光明    ,6119611,385010,169,15.89,16.75,15.4,15.84,16,22.22,6.25,1.29,0.92,,,,
4426,利勤    ,20917846,1903229,847,10.99,11.65,10,10.83,11.15,8.78,5.38,3.45,0.86,,,,
1558,伸興工業,879246649,10903866,5455,80.63,86.4,73.6,79.45,77.6,8.94,2.83,25.08,2.57,,,,
1570,力肯實業,41097477,4716501,1702,8.71,9.52,7.31,8.51,8.8,NA,11.36,9.16,0.96,,,,
1580,新麥企業,339669627,4972102,3135,68.31,74,61.4,67.59,67.3,12.37,4.45,13.46,3.19,,,,
2231,為升    ,964381286,13448759,8728,71.7,78.7,59.4,70.81,69.1,18.68,2.89,27.42,4.1,,,,
3162,精確    ,146336372,11872542,2880,12.32,12.85,11.45,11.96,11.65,23.78,11.33,26.44,1.06,,,,
4502,源恆工業,2173344,988583,261,2.19,2.6,1.97,2.25,2.27,NA,0,1.31,0.73,,,,
4503,金雨企業,23973083,3926033,1203,6.1,6.67,5.3,5.95,5.88,NA,0,10.68,0.86,,,,
4506,崇友實業,54708292,5057352,1835,10.81,11.4,10.05,10.65,10.65,33.28,4.69,2.57,0.66,,,,
4510,高鋒工業,31147132,4060384,1246,7.67,8,7.15,7.63,7.6,NA,3.94,4.6,0.64,,,,
4513,福裕事業,22291612,1916665,596,11.63,12.6,10.15,11.56,10.15,NA,4.92,2.95,0.99,,,,
4523,永彰機電,27885637,1542892,683,18.07,19,17.45,18.25,18.5,102.78,1.08,2.86,0.77,,,,
4527,方土霖  ,9425406,674368,374,13.97,14.45,13.5,13.98,13.8,40.59,7.24,1.29,1.16,,,,
4528,江興鍛壓,29802569,2513730,1243,11.85,12.7,11,11.9,11.2,21.13,8.92,3.96,0.77,,,,
4529,力武電機,263149033,18587369,5813,14.15,15.5,11.8,13.81,11.8,NA,0,35.8,1.16,,,,
4530,宏易精密,105298971,9688801,2890,10.86,11.85,9.52,10.7,9.65,NA,0,14.9,1.02,,,,
4533,協易機械,156747597,14291316,3513,10.96,11.8,10,10.87,11.25,NA,5.06,10.76,0.77,,,,
4534,三林粉末,22504023,2772965,856,8.11,8.92,6.07,7.95,8.88,NA,0,2.76,0.87,,,,
4535,至興精機,27732000,689189,407,40.23,41.7,39,40.26,40.4,16.63,5.69,0.96,1.71,,,,
6122,擎邦國際,236720094,12414082,5183,19.06,19.8,17.6,18.99,18.1,8.38,7.12,19.72,1.34,,,,
6603,富強鑫  ,273874104,21623345,6612,12.66,13.7,11.4,12.37,11.55,NA,4.32,27.81,0.71,,,,
6609,瀧澤科技,27378054,1965879,800,13.92,14.65,13,14.02,13.15,NA,4.56,3.33,0.72,,,,
8083,瑞穎    ,6913672,307860,217,22.45,23,21.5,22.47,22.75,18.8,7.03,1.02,1.75,,,,
8255,朋程    ,1353914447,9388879,6501,144.2,156,129,142.86,132,34.74,1.89,17.38,4.85,,,,
8996,高力    ,619670273,15454789,8436,40.09,42.25,37.85,39.63,38.75,NA,3.45,27.03,2.7,,,,
9951,皇田工業,634993556,21846679,8792,29.06,31.45,27.1,28.74,27.65,NA,11.57,29.17,2.75,,,,
4609,唐鋒實業,90934219,5047823,2262,18.01,19.4,16.5,17.82,18.95,6.7,9.49,10.53,1.49,,,,
2035,唐榮公司,1217339156,35052617,14534,34.72,36.85,31,34.15,32.5,NA,0,10.02,2.11,,,,
5007,三星科技,166238662,7863724,1423,21.13,22.5,19.2,20.95,19.75,98.75,6.27,3.58,1.36,,,,
5009,榮剛材料,654985037,39162047,12683,16.72,17.5,15.3,16.57,15.6,NA,6.21,11.83,1,,,,
5011,久陽精密,46409,12265,9,3.78,4,3.57,3.8,3.57,NA,0,0.04,4.15,,,,
