櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年11月 Nov. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 435,557,747,218元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,288,778筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,835,527,797股",,,,,,4. 成交量週轉率： 16.27%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,20997299,806624,336,26.03,26.7,25.6,26.06,26.15,11.32,5.73,1.34,1.6,,,,
4207,環泰企業,65228041,6734614,1747,9.68,10.35,9.3,9.55,9.5,135.71,4,5.64,0.81,,,,
4303,信立    ,204263566,39085015,7500,5.22,6.55,3.4,4.88,5.75,21.3,0,55.84,0.61,,,,
4304,勝昱科技,20920144,2024182,702,10.33,11.05,8.37,10.03,9.92,NA,0,4.01,1.04,,,,
4305,世坤塑膠,144263203,5298440,2551,27.22,33,24.3,27.52,25.9,24.43,2.7,9.63,1.98,,,,
6508,惠光化學,834414282,30426328,12785,27.42,29.6,23.8,25.68,27.8,20,5.75,43.24,1.34,,,,
8354,冠郝企業,141853666,10966780,1675,12.93,13.55,11.25,12.19,12.3,NA,2.6,23.07,0.78,,,,
9950,萬國通路,17150776,1008379,450,17,18.45,15.8,16.45,16.65,10.03,5.04,2.27,1.06,,,,
4401,東隆興業,49013045,5355911,1340,9.15,9.64,8.64,9.16,9.1,11.82,7.69,4.45,0.69,,,,
4402,福大棉業,10836171,2281373,692,4.74,5.19,4.5,4.8,4.79,NA,0,4.24,0.53,,,,
4406,新昕纖維,4382709,517551,187,8.46,8.99,7.71,8.53,8.68,NA,0,1,0.78,,,,
4408,聯明行動,115737714,24186634,4460,4.78,5.5,3.85,4.61,4.91,NA,0,41.97,0.73,,,,
4413,飛寶動能,619606,151829,97,4.08,5.18,3.55,4.19,4.39,NA,0,0.09,439,,,,
4417,金洲製網,626921322,25948413,7674,24.16,26.9,19.4,23.76,23.5,34.56,2.12,41,1.54,,,,
4419,松懋工業,43415359,2966701,1500,14.63,15.9,13.3,14.81,14.95,NA,0,8.91,1.97,,,,
4420,光明    ,6591802,408997,211,16.11,17,15.5,16.06,15.85,22.01,6.3,1.37,0.91,,,,
4426,利勤    ,45686147,3737939,1480,12.22,13.2,11,12.09,12.2,9.61,4.91,6.78,0.94,,,,
1558,伸興工業,438488350,5606388,3585,78.21,82,75,78.03,76.2,8.78,2.88,11.93,2.52,,,,
1570,力肯實業,44872839,4796586,1734,9.35,10,8.33,9.27,9.36,NA,10.68,9.31,1.02,,,,
1580,新麥企業,154537530,2392506,1484,64.59,69,61.2,64.48,64.5,11.86,4.65,6.48,3.06,,,,
2231,為升    ,336767820,4719991,3238,71.34,75.4,65,70.23,66.9,18.08,2.98,9.62,3.97,,,,
3162,精確    ,241028715,19092356,4115,12.62,14,11.3,12.46,12.55,25.61,10.51,42.51,1.14,,,,
4502,源恆工業,712079,309087,117,2.3,2.56,2.06,2.36,2.5,NA,0,0.41,0.8,,,,
4503,金雨企業,9886638,1702595,524,5.8,6.1,5.55,5.8,5.6,NA,0,4.63,0.82,,,,
4506,崇友實業,56456434,4919121,1715,11.47,12.3,10.5,11.37,11.4,35.63,4.38,2.5,0.71,,,,
4510,高鋒工業,23437484,2970346,941,7.89,8.26,7.46,7.75,7.9,NA,3.79,3.37,0.67,,,,
4513,福裕事業,13439827,1357950,439,9.89,10.5,9.44,10,10.15,NA,4.92,2.09,0.99,,,,
4523,永彰機電,616846851,23780717,7125,25.93,29.3,17.3,23.27,27.5,152.78,0.72,44.04,1.15,,,,
4527,方土霖  ,7621902,558590,371,13.64,14,12.95,13.66,13.4,39.41,7.46,1.07,1.13,,,,
4528,江興鍛壓,196254392,13954007,5010,14.06,15.2,10.8,13.14,15.1,28.49,6.62,21.97,1.03,,,,
4529,力武電機,229147684,17282245,5457,13.25,14,11.4,13.05,13.35,NA,0,33.29,1.31,,,,
4530,宏易精密,31416712,3188688,1008,9.85,10.5,9.52,9.84,9.6,NA,0,4.9,1.02,,,,
4533,協易機械,115798350,10643527,4074,10.87,11.6,10.05,10.9,10.65,NA,5.35,8,0.73,,,,
4534,慶騰精密,21492320,1642517,573,13.08,14.1,12.05,12.86,13.35,NA,0,2.57,1.3,,,,
4535,至興精機,103068771,2339324,1346,44.05,46.5,39.4,42.78,43.2,17.78,5.32,3.25,1.83,,,,
6122,擎邦國際,162727622,8696364,3718,18.71,19.7,17.6,18.49,18.3,8.47,7.04,13.81,1.35,,,,
6603,富強鑫  ,96313578,8514655,2575,11.31,12.1,10.7,11.27,10.7,NA,4.67,10.95,0.66,,,,
6609,瀧澤科技,17005908,1244055,499,13.66,14.1,12.85,13.69,14,NA,4.28,2.11,0.77,,,,
8083,瑞穎    ,4519799,190710,163,23.69,24.5,22.5,23.8,24.3,20.08,6.58,0.63,1.86,,,,
8255,朋程    ,948941423,6715463,4437,141.3,150,126,139.83,143,37.63,1.74,12.43,5.26,,,,
8996,高力    ,358326275,8975879,4777,39.92,41.5,37.9,39.5,39.9,NA,3.35,15.66,2.78,,,,
9951,皇田工業,927410201,29485581,12223,31.45,34.15,25.75,30.55,31.2,NA,10.25,39.37,3.11,,,,
4609,唐鋒實業,205217363,9921266,3685,20.68,22.55,18.85,20.31,19.5,6.89,9.23,20.69,1.54,,,,
2035,唐榮公司,693052653,20092045,7895,34.49,36.05,31.55,34.15,34.05,NA,0,5.74,2.21,,,,
5007,三星科技,68820700,3461531,938,19.88,21.2,18.25,20.33,21.05,105.25,5.89,1.57,1.45,,,,
