櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年12月 Dec. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 785,413,954,352元",,,,,,"3. 櫃檯買賣月總成交筆數： 7,151,894筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 20,215,382,941股",,,,,,4. 成交量週轉率： 28.10%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,10762034,414449,285,25.96,26.4,25.1,26,26.25,11.36,5.71,0.69,1.61,,,,
4207,環泰企業,313176725,29278308,7031,10.69,11.7,9.3,10.09,11.3,161.43,3.36,24.53,0.96,,,,
4303,信立    ,93812876,17283439,4225,5.42,5.88,5.1,5.41,5.47,20.26,0,24.69,0.58,,,,
4304,勝昱科技,17511975,1746754,663,10.02,10.7,8.93,9.74,10.7,NA,0,3.46,1.12,,,,
4305,世坤塑膠,41025627,1698855,987,24.14,26,23.5,24.02,23.6,22.26,2.96,3.09,1.81,,,,
6508,惠光化學,642927968,23196623,10666,27.71,29.65,26.25,27.05,28.85,20.76,5.54,32.97,1.39,,,,
8354,冠郝企業,32983390,2709710,982,12.17,12.75,11.7,12.06,12.2,NA,2.62,5.7,0.78,,,,
9950,萬國通路,14064445,807760,307,17.41,18.1,16.7,17.31,17.85,10.75,4.7,1.81,1.13,,,,
4401,東隆興業,40562521,4280113,1027,9.47,10.1,9.05,9.33,10.05,13.05,6.96,3.56,0.76,,,,
4402,福大棉業,16924527,3466713,781,4.88,5.43,4.73,4.87,4.8,NA,0,6.45,0.53,,,,
4406,新昕纖維,3201385,360416,189,8.88,9.57,8.31,8.72,9.22,NA,0,0.69,0.82,,,,
4408,聯明行動,85873607,17254755,3508,4.97,5.32,4.64,4.87,5.06,NA,0,29.94,0.75,,,,
4413,飛寶動能,312927,86653,63,3.6,4.35,3.16,3.74,3.24,NA,0,0.05,324,,,,
4417,金洲製網,986191329,36017971,9987,27.38,32.4,23.25,25.95,31.75,46.69,1.57,56.92,2.08,,,,
4419,松懋工業,77288471,4977370,2404,15.52,16.65,14.25,15,16.3,NA,0,14.95,2.15,,,,
4420,光明    ,4821161,291310,135,16.54,17.5,15.85,16.66,17.3,24.03,5.78,0.98,0.99,,,,
4426,利勤    ,22918237,1835668,932,12.48,13.45,12,12.45,13,10.24,4.61,3.33,1,,,,
1558,伸興工業,720381712,9092965,5422,79.22,82.9,75.6,78.35,80.3,9.25,2.73,19.36,2.66,,,,
1570,力肯實業,18683838,2035045,773,9.18,9.75,8.9,9.25,9.18,NA,10.89,3.95,1,,,,
1580,新麥企業,181416273,2706698,1610,67.02,70.9,64,65.9,64.9,11.93,4.62,7.33,3.08,,,,
2231,為升    ,474224764,6667772,4622,71.12,77.5,66,69.85,70,18.92,2.85,13.6,4.15,,,,
3162,精確    ,565278663,36193664,8024,15.61,18.1,12,13.2,18.1,36.94,7.29,72.52,1.64,,,,
4502,源恆工業,2334171,1059016,222,2.2,2.8,2.04,2.52,2.05,NA,0,1.41,0.66,,,,
4503,金雨企業,21445672,3364402,1169,6.37,7.1,5.35,6.29,6.99,NA,0,9.15,1.02,,,,
4506,崇友實業,48021852,4029405,1644,11.91,12.6,11,11.72,12.3,38.44,4.06,2.05,0.77,,,,
4510,高鋒工業,48928582,5987468,1832,8.17,8.77,7.67,8.03,8.42,NA,3.56,6.79,0.71,,,,
4513,福裕事業,11160246,1086381,447,10.27,10.95,9.68,10.28,10.7,NA,4.67,1.67,1.04,,,,
4523,永彰機電,292964884,11497108,4615,25.48,27.8,23.7,25.04,24.4,135.56,0.81,21.29,1.02,,,,
4527,方土霖  ,12371638,893791,504,13.84,14.65,13.1,13.71,14.3,42.06,6.99,1.71,1.21,,,,
4528,江興鍛壓,162354245,10034524,3930,16.17,17.6,14.2,16,16.1,30.38,6.21,15.8,1.1,,,,
4529,力武電機,381342947,28379067,6602,13.43,14.55,12.35,13.1,13.75,NA,0,49.86,1.35,,,,
4530,宏易精密,317630948,28370793,5420,11.19,11.85,9.61,10.84,11.85,NA,0,43.62,1.26,,,,
4533,協易機械,166505469,14138248,3813,11.77,12.8,10.5,11.55,12.2,NA,4.67,10.62,0.83,,,,
4534,慶騰精密,26910249,2110261,823,12.75,13.9,11.75,12.69,12.6,NA,0,3.3,1.23,,,,
4535,至興精機,35240705,799969,455,44.05,45,43,43.88,43.2,17.78,5.32,1.11,1.83,,,,
6122,擎邦國際,728526357,36023048,12500,20.22,21.4,18.05,19.62,20.65,9.56,6.24,57.22,1.53,,,,
6603,富強鑫  ,88289046,7846169,2517,11.25,11.8,10.5,11.16,11.55,NA,4.32,10.09,0.71,,,,
6609,瀧澤科技,64516515,4271064,1792,15.1,16.5,13.8,14.96,15.95,NA,3.76,7.24,0.88,,,,
8083,瑞穎    ,6939327,279551,220,24.82,26,23.6,24.93,25.15,20.79,6.36,0.93,1.93,,,,
8255,朋程    ,1207297936,7952889,5331,151.8,165,141,149.06,157,41.32,1.59,14.73,5.77,,,,
8996,高力    ,1788191069,38232778,18104,46.77,53.5,39.3,44.99,53.5,NA,2.5,61.05,3.73,,,,
9951,皇田工業,592208012,18605025,7699,31.83,33.4,30.2,31.54,32.9,NA,9.72,24.84,3.28,,,,
4609,唐鋒實業,146967428,7047208,2781,20.85,22.5,18.6,20.59,22.2,7.84,8.1,14.7,1.75,,,,
2035,唐榮公司,1027566823,28349607,10565,36.24,38.7,32.8,34.22,38.7,NA,0,8.1,2.51,,,,
5007,三星科技,534363842,21746936,3179,24.57,28,20.5,24.4,27.5,137.5,4.5,9.89,1.89,,,,
5009,榮剛材料,3196581000,171387829,48404,18.65,19.75,16.8,18.53,19.75,NA,4.91,51.75,1.27,,,,
5011,久陽精密,64965,17914,11,3.62,3.82,3.33,3.61,3.33,NA,0,0.06,3.87,,,,
5013,強新工業,107537356,9215685,3065,11.66,12.5,11,11.52,12.5,NA,5.6,10.57,1.03,,,,
5014,建錩實業,455614312,32464659,9008,14.03,15.8,12.35,13.67,15.5,NA,1.93,26.16,1.07,,,,
5015,華祺工業,66974494,4150568,1783,16.13,17.45,15.3,15.91,17.1,50.29,5.84,6.84,1.12,,,,
5016,松和工業,16126802,853925,456,18.88,19.8,18.1,18.94,19.1,NA,13.08,1.89,1.08,,,,
8349,友信    ,40085137,1686742,832,23.76,25.6,19.45,23,25.2,NA,1.98,2.71,1.76,,,,
8930,青鋼金屬,81462264,6554996,2330,12.42,14.45,10.9,12.11,14.4,NA,4.58,15.09,1.09,,,,
9962,有益鋼鐵,126242616,8535862,2880,14.78,16.7,13.15,13.92,16.3,NA,3.68,11.64,1.52,,,,
2114,鑫永銓  ,142020743,4293170,1701,33.08,35.5,30.65,32.53,33.75,11.44,4.44,8.55,1.62,,,,
5102,富強輪胎,30191411,2581422,741,11.69,12.55,11,11.47,11.9,NA,4.2,4.44,0.99,,,,
2596,綠意開發,422183013,16874388,7607,25.01,28.15,21.5,23.38,28.15,11.93,8.88,24.78,1.93,,,,
4416,三圓建設,5433514,79928,78,67.98,71,65,67.82,70.4,20.17,2.55,0.13,2.91,,,,
5213,亞昕    ,281336150,9058974,4863,31.05,32.8,30,30.82,30.8,13.63,3.27,8.81,2.21,,,,
5505,和旺建設,51699366,2842232,614,18.18,18.65,17.3,18.06,18.1,46.41,0,5.95,1.49,,,,
5506,長鴻營造,26451146,6695390,1220,3.95,4.39,3.6,3.95,3.85,NA,0,2.52,0.24,,,,
5508,永信建設,130002080,3461217,2473,37.55,39.2,35.5,37.32,38.3,17.02,20.26,1.89,2.26,,,,
5511,德昌營造,65517427,4256812,1392,15.39,15.95,14.7,15.31,15.8,11.05,6.32,5.17,0.99,,,,
5512,力麒建設,4214777999,247700526,53971,17.01,18.1,16.15,16.88,17.85,18.4,2.8,54.55,1.01,,,,
5514,三豐建設,36754312,2328307,734,15.78,16.95,15.05,15.83,16.95,29.74,6.48,2.36,1.33,,,,
5516,雙喜    ,12095682,1005103,471,12.03,13,11.7,12.04,12,22.22,6.25,2.62,1.05,,,,
5519,隆大營建,15875402,717320,550,22.13,23.6,21.15,22.31,22.5,28.13,6.4,1.09,1.78,,,,
5520,力泰建設,58012805,2192220,1350,26.46,28,25.9,26.41,26.5,9.11,4.15,3.09,1.07,,,,
5521,工信    ,600856928,53901846,12041,11.14,11.5,10.8,11.07,11.3,NA,7.07,15.51,1.01,,,,
5523,宏都建設,228239108,18974639,5933,12.02,12.6,10.85,11.91,12.2,NA,12.54,17.36,1.07,,,,
5529,志嘉建設,39840674,3892647,1441,10.23,10.75,9.99,10.19,10.4,NA,4.8,8.42,0.71,,,,
5530,大漢建設,196108684,9754788,3054,20.1,21.5,18.4,19.91,20.7,NA,0,3.18,3.16,,,,
2636,台驊國際,198836508,10530076,4194,18.88,19.7,18.15,18.75,19,65.52,8.05,20.88,1.2,,,,
5601,台聯貨櫃,8538326,561428,263,15.2,16,14.6,15.21,15.55,62.2,1.41,0.78,0.79,,,,
5603,陸海交通,133410234,13305238,3733,10.02,11.4,9.2,9.91,11.4,29.23,4.38,21.14,0.86,,,,
5604,中連貨運,50446991,2376974,977,21.22,22.9,20.5,21.04,22.2,15.74,6.98,2.19,1.11,,,,
5609,中菲行  ,1784714979,55800117,21672,31.98,36.1,28.7,32.09,34.75,19.86,3.45,45.37,2.65,,,,
5701,劍湖山  ,3299244461,249122587,58820,13.24,14.3,11.8,13.05,13.7,NA,0,59.93,1.48,,,,
5703,亞都麗緻,17260600,668613,461,25.81,27.45,23.7,25.55,25.95,NA,0,0.95,2.41,,,,
5704,老爺知  ,20883788,1045854,532,19.96,20.95,18.8,19.78,20.6,2060,1.45,1.75,1.77,,,,
5706,鳳凰國際,1186640625,18349191,10754,64.66,68.1,59,64.13,65.2,33.96,2.5,46.08,3.41,,,,
5820,日盛金控,777247959,161718370,20530,4.8,5.1,4.62,4.74,5.02,NA,0,3.58,0.99,,,,
6008,凱基證券,6371852978,373525304,68480,17.05,19.1,15.45,16.39,19,36.54,0.78,11.65,1.37,,,,
6015,宏遠證券,761644656,77242066,14642,9.86,11.65,8.35,9.17,11.65,NA,0,17.97,1.31,,,,
6016,康和證券,1590067108,135933577,26181,11.69,13,10.5,11.15,12.95,56.3,5.17,20.74,1.1,,,,
6020,大展證券,85615957,4759859,1871,17.98,19.3,16.2,17.13,19.3,53.61,6.26,2.05,1.38,,,,
6021,大慶證券,809550618,43431937,11940,18.63,22.85,15.2,17.02,22.85,15.13,2.84,16.35,1.67,,,,
6022,大眾證  ,1311532800,76469721,17506,17.15,19.5,15.1,16.24,19.1,15.92,6.17,24.34,1.42,,,,
6023,寶來期  ,444002142,10597551,6056,41.89,45.85,37.4,39.21,45.2,12.25,6.63,8.07,2.13,,,,
6024,群益期  ,431348453,11993978,5758,35.96,39.9,33,34.46,39.6,7.51,5.35,15.94,2.14,,,,
2916,滿心企業,19350531,1432835,589,13.5,14.2,12.9,13.33,13.8,NA,2.17,3.39,0.91,,,,
2921,特力和樂,10534371,475207,163,22.16,22.5,22.05,22.22,0,9.14,9.91,1.13,1.48,,,,
5902,德記洋行,31407952,2650768,937,11.84,12.4,11.25,11.79,11.8,NA,0,2.81,1.43,,,,
5903,全家    ,25370362,418285,364,60.65,63.7,59.4,61.16,60,18.24,4.16,0.19,3.57,,,,
5904,寶雅國際,55329592,1985349,1020,27.86,28.7,26.9,27.87,28.65,10.49,9.42,2.72,1.73,,,,
5905,南仁湖  ,710243774,45311974,11825,15.67,18.1,14.15,15.39,17.85,NA,0,25.92,1.52,,,,
8941,關中    ,101104515,7281627,2574,13.88,15.05,12.5,13.1,15.05,NA,5.98,7.92,1.21,,,,
9960,邁達康  ,227638505,8026723,3505,28.36,30.9,22.85,26.3,29.9,14.95,4.01,32.05,2.07,,,,
1584,精剛精密,146407309,9310366,3582,15.72,18.45,13,14.85,17.3,NA,0,16.08,1.05,,,,
2221,大甲    ,15418450,1260728,645,12.22,13.35,11.2,11.92,12.9,NA,11.62,2.97,0.89,,,,
3284,太普高  ,741454100,35380306,9509,20.95,25.5,16.45,19.61,24.75,34.38,0,68.84,2.21,,,,
3388,崇越電通,428746448,5989791,3821,71.57,74.2,67.9,71.32,72.5,20.03,4.13,10.76,1.89,,,,
5312,寶島科  ,542987044,9122477,4954,59.52,62.5,56.2,59.32,59,23.6,3.38,15.19,3.78,,,,
8390,金益鼎  ,818375045,15267654,7852,53.6,59.3,48,53.67,57,146.15,2.64,27.09,3.23,,,,
8705,東隆五金,72796367,2346524,1532,31.02,33.8,27.45,28.86,32.8,15.12,2.43,2.82,2.35,,,,
8905,裕國    ,25932765,1698042,823,15.27,17.1,13.6,15.11,13.6,104.62,1.47,1.42,1.07,,,,
8906,花王企業,29562522,4589788,1426,6.44,6.92,5.5,6.11,6.39,NA,0,8.94,0.7,,,,
8913,華夏資融,96477137,8625207,2827,11.18,12.4,10.3,11.07,11.15,557.5,0,24.53,1.07,,,,
8916,光隆    ,97502163,6441315,2296,15.13,16.4,13.9,14.73,15.8,16.81,3.22,7.65,0.75,,,,
