櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年1月 Jan. 2010,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 634,665,897,804元",,,,,,"3. 櫃檯買賣月總成交筆數： 6,047,741筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 17,662,926,769股",,,,,,4. 成交量週轉率： 24.41%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,21439121,793041,445,27.03,28.4,25.6,27.05,26.75,11.58,5.6,1.32,1.64,,,,
4207,環泰企業,617706057,51601337,11655,11.97,13.1,11.15,11.78,12.5,178.57,3.04,43.23,1.06,,,,
4303,信立    ,224201820,34291437,7487,6.53,7.18,5.36,6.24,6.18,22.89,0,48.99,0.65,,,,
4304,勝昱科技,20958515,1974728,583,10.61,11.4,10.05,10.62,22.6,NA,0,3.91,1.13,,,,
4305,世坤塑膠,81159701,3122287,1859,25.99,30.75,20.9,24.41,27.1,21.32,3.09,5.68,1.73,,,,
6508,惠光化學,1448310595,46530894,19441,31.12,34,26.85,30.17,0,19.5,5.9,66.13,1.31,,,,
8354,冠郝企業,133306626,9925383,2758,13.43,14.2,12.2,13.1,12.65,NA,2.52,20.88,0.81,,,,
9950,萬國通路,11133668,617131,266,18.04,19.45,16.95,18.1,17.5,10.54,4.8,1.39,1.11,,,,
4401,東隆興業,51697686,5290510,1195,9.77,10.05,9.2,9.75,9.4,12.21,7.44,4.4,0.71,,,,
4402,福大棉業,152958030,22279969,4100,6.86,7.92,4.85,6.38,7.34,NA,0,41.45,0.81,,,,
4406,新昕纖維,5807150,630247,286,9.21,10.25,8.41,9.18,8.58,NA,0,1.21,0.77,,,,
4408,聯明行動,206322320,35183397,6962,5.86,7.18,5,5.61,5.2,NA,0,61.05,0.77,,,,
4413,飛寶動能,2480914,524353,163,4.73,5.89,3.46,4.58,4.21,NA,0,0.3,421,,,,
4417,金洲製網,1485963285,49279796,17114,30.15,33.1,24.65,29.05,24.8,36.47,2.01,77.87,1.63,,,,
4419,松懋工業,125941454,7397669,3612,17.02,18.6,14.3,16.54,14.75,NA,0,22.22,1.94,,,,
4420,光明    ,4274315,254300,164,16.8,17.5,16,16.88,16.4,22.78,6.09,0.85,0.94,,,,
4426,利勤    ,42933527,3207306,1360,13.38,14.4,12.4,13.26,13,10.24,4.61,5.82,1,,,,
1558,伸興工業,947604123,11592259,6166,81.74,88.5,77,80.38,80,9.22,2.75,24.68,2.65,,,,
1570,力肯實業,46974168,4681666,1785,10.03,11.45,8.81,9.7,9.28,NA,10.77,9.09,1.01,,,,
1580,新麥企業,101413423,1584700,1059,63.99,68.3,56.1,63.85,58.9,10.83,5.09,4.29,2.79,,,,
2231,為升    ,220251940,3489499,2064,63.11,71.2,53.5,64.98,61.8,16.7,3.23,7.11,3.66,,,,
3162,精確    ,1548164614,83004881,24830,18.65,21.8,15.65,18.14,15.65,31.94,8.43,166.31,1.42,,,,
4502,源恆工業,5014596,2165992,335,2.31,2.67,1.98,2.36,2.43,NA,0,2.88,0.78,,,,
4503,金雨企業,14563655,1945215,803,7.48,8.3,6.81,7.49,7.2,NA,0,5.29,1.05,,,,
4506,崇友實業,52276529,4293317,1728,12.17,12.7,11.1,12.1,11.4,35.63,4.38,2.18,0.71,,,,
4510,高鋒工業,74121878,8582512,2304,8.63,9.08,7.76,8.63,8.4,NA,3.57,9.73,0.71,,,,
4513,福裕事業,25535616,2291006,740,11.14,11.9,9.61,10.88,9.61,NA,5.2,3.53,0.93,,,,
4523,永彰機電,343290407,12711787,4968,27,28.5,23.1,26.47,23.7,131.67,0.84,23.54,0.99,,,,
