櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年02月 Feb. 10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 239,928,422,738元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,492,700筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,416,941,179股",,,,,,4. 成交量週轉率： 8.85%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,8968279,344165,169,26.05,26.8,25.7,26.15,26,11.26,5.76,0.57,1.59,,,,
4207,環泰企業,95774188,8295869,2231,11.54,12.8,10.35,11.13,10.7,152.86,3.55,6.95,0.91,,,,
4303,信立    ,35313846,6191596,1764,5.7,6.27,5.02,5.6,5.65,20.93,0,8.85,0.6,,,,
4304,勝昱科技,5243812,539432,199,9.72,11.4,8.98,10.05,9.05,NA,0,1.21,0.95,,,,
4305,世坤塑膠,6637587,335709,240,19.77,23.35,17.5,19.71,18.8,17.74,3.72,0.61,1.44,,,,
6508,惠光化學,142605510,5347773,2786,26.66,28,24.5,26.73,26.5,19.06,6.03,7.6,1.28,,,,
8354,冠郝企業,17372907,1365167,522,12.72,13.2,12,12.84,12.3,NA,2.6,2.87,0.78,,,,
9950,萬國通路,11057007,622118,230,17.77,18.5,16,17.67,17.85,10.75,4.7,1.4,1.13,,,,
4401,東隆興業,20825746,2179020,546,9.55,10,9.03,9.53,9.98,12.96,7.01,1.81,0.75,,,,
4402,福大棉業,136762072,20101646,4092,6.8,7.99,6.01,6.66,6.45,NA,0,37.4,0.71,,,,
4406,新昕纖維,4898885,573788,209,8.53,8.98,7.51,8.14,8.98,NA,0,1.11,0.8,,,,
4408,聯明行動,43785012,8250443,1790,5.3,6.27,4.23,5.07,5.47,NA,0,12.2,0.82,,,,
4413,飛寶動能,234094,56000,41,4.18,4.82,3.84,4.34,4.1,NA,0,0.03,410,,,,
4417,金洲製網,227487744,9740802,4396,23.35,27.1,20,22.83,22.05,32.43,2.26,15.39,1.45,,,,
4419,松懋工業,14474123,1029654,484,14.05,14.9,12.8,14.21,14.3,NA,0,3.09,1.88,,,,
4420,光明    ,6519894,386746,168,16.85,17.75,16.05,16.59,16.8,23.33,5.95,1.3,0.96,,,,
4426,利勤    ,9792997,770761,371,12.7,13.2,12,12.72,13,10.24,4.61,1.4,1,,,,
1558,伸興工業,167392230,2119678,1269,78.97,81.4,77.2,79.19,78.3,9.02,2.8,4.51,2.59,,,,
1570,力肯實業,7283884,832110,353,8.75,9.65,8.3,8.82,8.46,NA,11.82,1.62,0.92,,,,
1580,新麥企業,36390324,602350,418,60.41,63,57.6,60.71,61.8,11.36,4.85,1.63,2.93,,,,
2231,為升    ,100779092,1642667,916,61.35,67.3,53.5,60.87,63.3,17.11,3.15,3.35,3.75,,,,
3162,精確    ,214450303,14236716,4500,15.06,16.3,13.2,14.8,15.1,30.82,8.74,28.52,1.37,,,,
4502,源恆工業,2632062,955255,212,2.75,3.28,2.27,2.78,3.07,NA,0,1.27,0.99,,,,
4503,金雨企業,3352864,532828,246,6.29,7.2,5.87,6.29,6.1,NA,0,1.45,0.89,,,,
4506,崇友實業,16578678,1558665,554,10.63,11.6,10,10.66,10.45,32.66,4.78,0.79,0.65,,,,
4510,高鋒工業,24948957,3076618,828,8.1,8.6,7.6,8.2,8.4,NA,3.57,3.49,0.71,,,,
4513,福裕事業,7938188,765462,345,10.37,11.25,9.41,10.04,9.5,NA,5.26,1.18,0.92,,,,
4523,永彰機電,61079559,2544951,935,24,26,21.6,24.08,25.9,143.89,0.77,4.71,1.08,,,,
4527,方土霖  ,5987640,443752,205,13.49,14.4,12.65,13.51,14,41.18,7.14,0.85,1.18,,,,
4528,江興鍛壓,13921040,918815,366,15.15,15.8,14.2,15.11,15.1,28.49,6.62,1.45,1.03,,,,
4529,力武電機,79383308,6149692,1935,12.9,13.8,11.9,12.76,12.25,NA,0,10.8,1.21,,,,
4530,宏易精密,76163132,9737542,2619,7.82,9.1,7.04,7.79,7.85,NA,0,9.73,0.83,,,,
4533,協易機械,48578079,4012661,1029,12.1,13,11,11.92,12.55,NA,4.54,3.02,0.86,,,,
4534,慶騰精密,9159494,781918,335,11.71,13.3,10.1,11.8,11.3,NA,0,1.22,1.1,,,,
4535,至興精機,16771887,383419,276,43.74,46,40.6,43.59,45.5,18.72,5.05,0.53,1.92,,,,
6122,擎邦國際,125293322,6645548,2552,18.85,19.65,17.8,18.63,18.4,8.52,7.01,10.56,1.36,,,,
6603,富強鑫  ,31387869,3051780,872,10.28,10.95,9.65,10.31,10.3,NA,4.85,3.93,0.64,,,,
6609,瀧澤科技,12407062,831571,405,14.92,16,14.1,15.14,16,NA,3.75,1.41,0.88,,,,
8083,瑞穎    ,2679389,109058,84,24.56,25.3,24,24.88,25.3,20.91,6.32,0.36,1.94,,,,
8255,朋程    ,783316928,5415031,2261,144.65,158.5,127,138.39,147,38.68,1.7,10.03,5.4,,,,
8996,高力    ,1308293797,23876161,13180,54.79,60.5,47,52.09,58.2,NA,2.3,38.13,4.06,,,,
9951,皇田工業,464160625,15538918,5656,29.87,32.75,25.9,29.42,29,NA,11.03,20.75,2.89,,,,
4609,唐鋒實業,20006572,968549,446,20.65,22.7,19.4,21.11,21,7.42,8.57,2.02,1.66,,,,
2035,唐榮公司,183862878,5984585,2943,30.72,32.8,27,30.53,31.4,NA,0,1.71,2.04,,,,
5007,三星科技,73219795,2635547,975,27.78,28.7,26.55,27.87,27.3,136.5,4.54,1.2,1.88,,,,
5009,榮剛材料,1216134239,62473101,18094,19.46,20.9,16.65,19.16,20.2,NA,4.8,18.86,1.3,,,,
5011,久陽精密,30800,10000,3,3.08,3.08,3.08,3.08,3.08,NA,0,0.03,3.58,,,,
5013,強新工業,69184832,5550678,1794,12.46,13.3,11.3,12.52,12.8,NA,5.46,6.37,1.05,,,,
5014,建錩實業,42190596,3368821,1058,12.52,13.4,11.1,12.44,12.8,NA,2.34,2.71,0.89,,,,
5015,華祺工業,10371952,665254,349,15.59,16.55,14.85,15.59,15.1,44.41,6.62,1.1,0.99,,,,
5016,松和工業,4357185,239800,126,18.17,18.95,17.1,18.34,18.05,NA,13.85,0.53,1.02,,,,
8349,友信    ,5027495,202109,148,24.87,26,23.3,24.81,24.8,NA,2.01,0.33,1.74,,,,
8930,青鋼金屬,12188696,910973,380,13.37,14.2,12.4,13.31,13.8,NA,4.78,2.1,1.04,,,,
9962,有益鋼鐵,37870091,2751216,1023,13.76,14.8,12.6,13.72,14.4,NA,4.16,3.75,1.34,,,,
2114,鑫永銓  ,44008260,1399767,189,31.43,32.6,30.1,31.55,32.55,11.03,4.6,2.79,1.57,,,,
5102,富強輪胎,27588368,2309016,669,11.94,12.95,10.45,11.43,11.95,NA,4.18,3.97,0.99,,,,
