櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年03月 Mar. 10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 580,681,925,366元",,,,,,"3. 櫃檯買賣月總成交筆數： 5,813,721筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 16,162,582,471股",,,,,,4. 成交量週轉率： 22.13%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,32601565,1202409,593,27.11,28.3,26,26.84,28.1,12.16,5.33,2,1.72,,,,
4207,環泰企業,303890631,25689551,6580,11.82,12.8,10.5,11.33,11.95,170.71,3.17,21.52,1.02,,,,
4303,信立    ,85202178,13759159,3600,6.19,6.6,5.65,6.09,6.03,22.33,0,19.66,0.64,,,,
4304,勝昱科技,52952577,4205977,1593,12.58,14.6,9.49,11.77,14.3,NA,0,9.42,1.5,,,,
4305,世坤塑膠,21628702,961761,613,22.48,24.05,18.75,21.59,22.25,20.99,3.14,1.75,1.7,,,,
6508,惠光化學,1281701685,40834017,16585,31.38,34.6,26.3,29.41,32.4,23.31,4.93,58.03,1.56,,,,
8354,冠郝企業,201338329,14580123,3810,13.8,14.85,12.25,13.3,13.4,NA,2.38,29.79,0.85,,,,
9950,萬國通路,28770995,1479112,738,19.45,20.5,17.8,19.27,20.05,12.08,4.18,3.32,1.27,,,,
4401,東隆興業,49521963,4808813,1153,10.29,10.8,9.9,10.24,10.5,13.64,6.66,4,0.79,,,,
4402,福大棉業,164625591,22405934,5110,7.34,8.5,6.32,7.03,7.29,NA,0,41.69,0.81,,,,
4406,新昕纖維,11168343,1240230,511,9,9.49,8.47,8.98,9.04,NA,0,2.39,0.81,,,,
4408,聯明行動,725661572,95378000,19519,7.6,8.85,5.49,7.47,7.56,NA,0,141.03,1.13,,,,
