櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年04月 Apr. 10,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 630,339,981,199元",,,,,,"3. 櫃檯買賣月總成交筆數： 6,313,963筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 19,097,191,994股",,,,,,4. 成交量週轉率： 26.09%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,34880176,1260554,660,27.67,28.4,27.1,27.77,27.9,11.15,5.44,2.1,1.59,,,,
4207,環泰企業,163776329,14153654,3858,11.57,12,10.9,11.44,11,17.34,3.42,11.86,0.91,,,,
4303,信立    ,235324666,33701493,7950,6.98,7.74,5.95,6.55,6.28,17.63,0,48.14,0.67,,,,
4304,勝昱科技,32135566,2114863,919,15.19,16.6,14,15.29,14.7,27.24,0,4.73,1.33,,,,
4305,世坤塑膠,24212265,1034726,697,23.39,25.8,22,22.5,22.05,17,3.16,1.88,1.61,,,,
6508,惠光化學,1093166501,34309605,14738,31.86,33.9,28,30.98,31.7,18.77,5.39,48.76,1.48,,,,
8354,冠郝企業,302079498,21764277,6193,13.87,15,13.05,13.55,13.5,NA,2.36,44.47,0.88,,,,
9950,萬國通路,25960122,1271913,551,20.41,21.4,20,20.43,20.3,14.64,4.15,2.86,1.24,,,,
4401,東隆興業,181371457,14408577,3408,12.58,14.55,10.4,11.92,14.55,9.05,5.9,11.98,1.03,,,,
4402,福大棉業,484918260,52811363,7328,9.18,10.85,7.21,9.03,9.68,NA,0,98.26,1.23,,,,
4406,新昕纖維,137730987,12035864,3928,11.44,12.8,9.09,11.01,11.4,28.13,0,23.19,1,,,,
4408,聯明行動,179313986,25263533,7117,7.09,7.56,6.17,7.02,6.17,NA,0,37.36,0.87,,,,
