櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
99年05月 May 10,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,920,360,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,781,712筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,263,394,846股",,,,,,4. 成交量週轉率： 18.06%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
4205,恆義食品,31264686,1122616,593,27.84,29.2,27,28.01,29.2,11.82,5.39,1.87,1.66,
4207,環泰企業,131600529,11876799,3411,11.08,11.9,10.05,10.74,10.6,16.56,3.34,9.95,0.87,
4303,信立    ,51370269,8902963,2401,5.77,6.4,5.11,5.71,5.35,14.08,0,12.72,0.57,
4304,勝昱科技,45042027,2847607,1226,15.81,17.45,12.8,14.99,14.25,24.57,0,6.37,1.29,
4305,世坤塑膠,11502687,552075,372,20.83,23.05,18.45,20.96,20.9,16.08,3.6,1,1.52,
6508,惠光化學,2266670162,69331033,28920,32.69,35.15,27.6,31.38,28.8,18.23,5.63,98.53,1.35,
8354,冠郝企業,93298572,6949862,2030,13.42,14.15,12.3,13.58,13.55,N/A,2.31,13.75,0.88,
9950,萬國通路,15673007,803521,362,19.5,20.3,18.95,19.43,19.4,14.06,4.32,1.8,1.18,
4401,東隆興業,199967762,13862689,4234,14.42,15.5,13.05,14.18,13.9,10.61,4.82,11.52,0.99,
4402,福大棉業,157375465,18947572,3783,8.3,9.08,7.5,8.2,7.9,N/A,0,35.25,1.01,
4406,新昕纖維,34893243,3332009,1292,10.47,11.6,9.26,10.32,10.05,25.13,0,6.42,0.88,
4408,聯明行動,146461725,24463428,6008,5.98,6.88,4.77,5.76,5.72,N/A,0,36.17,0.81,
4413,飛寶動能,743480,193460,82,3.84,4.45,3.2,3.84,3.53,N/A,0,0.11,353,
4417,金洲製網,1926702015,66061882,24719,29.16,35.65,22.55,27.35,24.25,31.49,1.77,104.39,1.59,
4419,松懋工業,24362022,1883364,882,12.93,15,11.35,12.68,12,N/A,0,5.66,1.9,
4420,光明    ,5684885,298192,177,19.06,19.9,18.4,19.06,19.1,11.79,5.27,1,1.07,
4426,利勤    ,124417625,6042019,2300,20.59,22.8,17.7,20.06,19.5,13,3.15,10.96,1.39,
1558,伸興工業,1640206806,13776436,7772,119.05,132,107,118,116,9.86,1.98,29.32,2.99,
1570,力肯實業,61096781,5665767,2281,10.78,12.1,9.16,10.69,10.3,N/A,9.7,11,1.19,
1580,新麥企業,1877066021,15613969,9310,120.21,136.5,100,120.88,127.5,17.76,2.64,42.28,5.09,
