櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年06月 Jun. 10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 345,045,767,594元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,770,524筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,491,891,600股",,,,,,4. 成交量週轉率： 12.89%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
4205,恆義食品,35468961,1220331,685,29.06,30.35,28.05,29,29.7,12.02,5.15,2.03,1.69,,,
4207,環泰企業,37895620,3595141,1159,10.54,10.8,10.1,10.55,10.5,16.41,3.6,3.01,0.86,,,
4303,信立    ,28040092,4993205,1531,5.61,6.04,5.15,5.57,5.55,14.61,0,7.13,0.59,,,
4304,勝昱科技,45248483,3161169,1331,14.31,16.25,12.8,14.11,16.25,28.02,0,5.3,1.47,,,
4305,世坤塑膠,12733219,664637,425,19.15,20.9,17.75,19.13,18.5,14.23,3.59,1.21,1.35,,,
6508,惠光化學,505081750,18046704,8400,27.98,29.5,26.4,27.76,27,17.09,5.66,25.65,1.26,,,
8354,冠郝企業,27580913,2091860,807,13.18,13.65,12.4,13.28,13.2,N/A,2.4,4.12,0.86,,,
9950,萬國通路,19926400,992323,345,20.08,20.5,19.4,19.75,20.1,14.57,4.31,2.23,1.23,,,
4401,東隆興業,85580508,6018153,1714,14.22,14.8,13.4,14.14,14.65,11.18,4.89,5,1.04,,,
4402,福大棉業,35807849,4512259,1057,7.93,8.25,7.8,7.93,7.87,N/A,0,8.4,1,,,
4406,新昕纖維,32217194,3229344,1202,9.97,10.8,9.1,9.68,9.72,24.3,0,6.22,0.85,,,
4408,聯明行動,197056664,30370863,7407,6.48,7.32,5.52,6.25,6.11,N/A,0,44.91,0.86,,,
4413,飛寶動能,483086,168022,95,2.87,3.5,2.55,2.96,2.67,N/A,0,0.09,267,,,
4417,金洲製網,543786031,21980112,8832,24.73,26.15,23,24.3,23.15,30.06,2.04,34.73,1.52,,,
4419,松懋工業,17008550,1393000,571,12.21,13.1,11.55,12.16,12.4,N/A,0,4.18,1.96,,,
4420,光明    ,17606690,915658,414,19.22,19.95,17.8,19,17.85,11.02,5.69,3.07,1,,,
4426,利勤    ,30462912,1516683,618,20.08,21.2,19.1,19.94,20.3,13.53,2.95,2.75,1.44,,,
1558,伸興工業,1049262325,8355290,4595,125.58,137,113.5,123.16,135,11.47,1.68,17.79,3.48,,,
1570,力肯實業,26770323,2588720,1160,10.34,11.2,9.73,10.22,9.97,N/A,10.03,5.03,1.16,,,
1580,新麥企業,864227816,6628719,4555,130.37,142,121,131.14,128.5,17.9,2.19,17.95,5.13,,,
2231,為升    ,215285109,2724782,1631,79.01,82.1,70,78.56,81,16.2,2.49,5.56,4.1,,,
3162,精確    ,113965825,8108721,2908,14.05,15.4,12.55,13.41,13.7,22.1,9.16,15.05,1.18,,,
4502,源恆工業,1565723,319952,108,4.89,5.26,4.3,4.75,4.99,N/A,0,0.8,0.94,,,
4503,金雨企業,43982123,5422554,1314,8.11,8.52,7,7.69,8.27,N/A,0,14.75,1.12,,,
4506,崇友實業,75008863,5705050,2004,13.14,13.7,12.3,13.02,12.6,15.37,3.81,2.9,0.77,,,
4510,高鋒工業,732236508,44027701,15035,16.63,18.2,14.3,16.38,14.55,181.88,1.83,49.93,1.21,,,
4513,福裕事業,17639610,1359551,730,12.97,13.8,11.25,12.56,12.4,N/A,3.89,2.1,1.24,,,
4523,永彰機電,72647897,3483300,1916,20.85,23,18.1,19.89,20.5,13.4,0.97,6.45,0.84,,,
4527,方土霖  ,11602777,768515,377,15.09,16,14.25,15.1,14.9,39.21,1.29,1.47,1.23,,,
4528,江興鍛壓,76628016,4307166,2032,17.79,18.7,16.45,17.62,16.7,17.96,5.44,6.78,1.1,,,
4529,力武電機,88083985,7903477,1908,11.14,11.5,10.3,10.89,10.6,N/A,0,13.41,1.05,,,
4530,宏易精密,29340880,3672711,971,7.98,8.5,7.6,7.97,7.85,N/A,0,3.67,0.89,,,
4533,協易機械,376955848,27324981,8169,13.79,15.1,11.9,13.3,14.2,N/A,4.25,20.53,1.06,,,
4534,慶騰精密,28492188,2026667,684,14.05,14.95,13.1,13.81,14.95,21.06,0,3.17,1.39,,,
4535,至興精機,25867390,574902,330,44.99,46.8,42.9,45.27,43.1,12.94,5.11,0.8,1.69,,,
6122,擎邦國際,200484030,9918326,4504,20.21,21.2,19.3,19.95,19.55,10.74,6.48,15.76,1.29,,,
6603,富強鑫  ,2782771575,110975431,40131,25.07,27.5,21.9,24.46,22.4,20,1.93,142.73,1.31,,,
6609,瀧澤科技,1161589333,41406284,17675,28.05,31,24.15,27.26,25.1,N/A,2.15,70.22,1.38,,,
8083,瑞穎    ,10455844,338002,135,30.93,32.7,29.45,30.67,30,13.95,5.1,1.12,2.07,,,
8255,朋程    ,386819784,2602854,1921,148.61,159,140,146.59,144,24.62,1.68,4.82,4.72,,,
8996,高力    ,2443086588,37846163,20939,64.55,68.4,56,64.14,63.2,N/A,2.06,58.61,3.68,,,
9951,皇田工業,119670737,4245482,2156,28.18,29.8,26.4,28.05,26.7,8.87,11.11,5.67,2.26,,,
4609,唐鋒實業,168422001,5463227,1962,30.82,36.7,26.7,29.45,36.7,18.72,5.24,11.39,2.79,,,
2035,唐榮公司,147306110,5470322,2644,26.92,29.1,24.45,26.21,29,5.4,0,1.56,1.48,,,
5007,三星科技,143983629,5142053,1877,28,29.5,27,28.02,27.2,129.52,4.44,2.34,1.8,,,
5009,榮剛材料,652249753,35744370,14338,18.24,19.35,16.8,18.31,16.95,N/A,5.32,10.78,1.11,,,
5011,久陽精密,102478,37574,14,2.72,2.74,2.74,2.74,2.74,39.14,0,0.01,2.91,,,
5013,強新工業,99191783,6965418,2028,14.24,14.8,13.65,14.19,14,20.29,4.94,7.99,1.07,,,
5014,建錩實業,59992154,5543517,1662,10.82,11.4,10.1,10.94,10.8,10.09,2.65,4.47,0.76,,,
5015,華祺工業,107877864,6138579,2779,17.57,19.2,15.55,17.03,15.65,39.13,6.19,10.12,0.99,,,
5016,松和工業,178557689,6673233,2548,26.75,28.5,24.2,26.6,25.6,29.43,9.15,14.79,1.35,,,
8349,友信    ,16587553,574014,404,28.89,31,27.1,28.69,29.3,1465,1.72,0.92,2.04,,,
8930,青鋼金屬,29084262,1995255,560,14.57,15,13.9,14.6,14.75,7.93,4.44,4.27,1.09,,,
9962,有益鋼鐵,19068385,1321297,607,14.43,15,13.2,14.53,14.5,10.14,4.06,1.8,1.27,,,
2114,鑫永銓  ,69237642,2108771,504,32.83,34.55,31,32.93,32.8,10.93,4.55,4.2,1.48,,,
5102,富強輪胎,71108363,5415186,1680,13.13,13.95,11.9,12.75,12.65,28.75,3.87,9.32,1.04,,,
2596,綠意開發,51451772,2250916,1033,22.85,23.4,22.2,22.84,22.35,7.87,11.18,3.31,1.42,,,
4113,聯上實業,721365938,27122139,11125,26.59,30.8,21.3,25.94,25,9.12,0,59.99,2.22,,,
4416,三圓建設,3105000,37694,36,82.37,85.6,80,83.18,83.9,21.96,2.15,0.06,3.2,,,
5213,亞昕    ,451734318,12752892,5825,35.42,37.2,33.25,35.11,33.75,6.06,2.93,10.82,1.73,,,
5505,和旺建設,735990022,14825217,5506,49.64,56.4,45.2,49.75,46.8,N/A,0,19.97,4.51,,,
5506,長鴻營造,19624107,4855214,615,4.04,4.3,3.91,4.05,4.04,N/A,0,1.82,0.77,,,
