櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年07月 Jul.10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,840,760,681元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,740,919筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,163,617,037股",,,,,,4. 成交量週轉率： 17.83%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高        Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,78590761,2537010,1149,30.97,32.5,29.3,30.77,31.5,12.75,4.76,4.22,1.79
4207,環泰企業,499230261,38153654,10133,13.08,14.85,10.35,11.46,14.85,23.2,2.55,31.97,1.22
4303,信立    ,249145859,36731489,5062,6.78,7.6,5.51,6.5,6.49,17.08,0,52.47,0.69
4304,勝昱科技,2686710696,109308896,35574,24.57,31.15,17.35,23.49,20.5,35.34,0,183.18,1.85
4305,世坤塑膠,8429681,434862,321,19.38,20.6,17.9,19.27,19.15,14.73,6.26,0.79,1.4
6508,惠光化學,1311456777,42759887,18192,30.67,33,26.95,29.53,31.5,19.94,5.07,60.77,1.47
8354,冠郝企業,24208123,1903841,663,12.71,13.35,12.2,12.72,12.6,N/A,0,3.75,0.82
9950,萬國通路,66770712,3348118,1409,19.94,21.8,17.7,18.75,17.8,12.9,8.98,7.52,1.09
4401,東隆興業,222740762,14254832,3990,15.62,17.5,14.2,15.1,16.65,12.71,6,11.85,1.18
4402,福大棉業,31459951,3908486,983,8.04,8.77,7.36,7.95,8.6,N/A,0,7.27,1.1
