櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年08月 Aug.10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 538,136,267,467元",,,,,,"3. 櫃檯買賣月總成交筆數： 5,525,623筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 15,218,014,869股",,,,,,4. 成交量週轉率： 21.11%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
4205,恆義食品,82872471,2857839,1575,28.99,32.1,25.9,28.35,26.3,11.34,7.6,4.32,1.55,,,
4207,環泰企業,921247659,66840617,19050,13.78,15.85,11.5,13.38,11.55,23.1,3.72,53.68,0.95,,,
4303,信立    ,89908765,13822405,3059,6.5,6.79,5.8,6.4,5.8,14.5,0,19.75,0.6,,,
4304,勝昱科技,680174673,35195257,14986,19.32,22,15.4,18.94,17.45,43.62,0,58.98,1.5,,,
4305,世坤塑膠,19817736,956162,603,20.72,22.7,18.75,20.49,20.05,17.9,5.98,1.74,1.56,,,
6508,惠光化學,4057138418,104923918,42927,38.66,45.05,30.65,37.72,39.1,20.36,4.09,149.11,1.81,,,
8354,冠郝企業,30929053,2441385,680,12.66,13,12.3,12.68,12.45,95.77,0,4.78,0.8,,,
9950,萬國通路,48552427,2619253,1129,18.53,19.7,17.6,18.14,18.4,12.52,8.69,5.88,1.21,,,
4401,東隆興業,1126132704,56041566,14467,20.09,22.25,16.75,19.7,19,10.11,5.26,46.59,1.38,,,
4402,福大棉業,362890974,35567872,3975,10.2,12.05,8.45,9.99,10.1,5.23,0,66.18,0.91,,,
4406,新昕纖維,98744997,8927584,2636,11.06,12,10,10.66,10.25,33.06,0,17.2,0.89,,,
4408,聯明行動,54764471,14804508,1956,3.69,4.69,3.01,3.69,3.34,N/A,0,21.89,0.71,,,
4413,飛寶動能,499404,172193,65,2.9,3.44,2.6,2.91,3.08,N/A,0,0.1,308,,,
4417,金洲製網,1090003414,40457123,15014,26.94,29.45,23.6,26.14,24.25,12.83,2.47,62.07,1.46,,,
4419,松懋工業,29164251,2047010,1071,14.24,15.1,13,14.13,13.8,N/A,0,5.8,2.12,,,
