櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年09月 Sep.10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 515,562,430,247元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,945,715筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 12,962,323,819股",,,,,,4. 成交量週轉率： 18.66%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
4205,恆義食品,27081831,1009969,694,26.81,27.3,25.95,26.81,26.7,11.51,7.49,1.53,1.57,,,
4207,環泰企業,235324670,19609103,5841,12,12.55,11.35,11.89,12,24.00,3.61,15.75,0.98,,,
4303,信立    ,70114703,10872798,2698,6.44,6.9,5.81,6.3,6.33,15.83,0,15.53,0.66,,,
4304,勝昱科技,300012356,18095945,7552,16.57,18,15.05,16.12,15.35,38.38,0,30.33,1.36,,,
4305,世坤塑膠,13881579,634291,406,21.88,24.2,19.65,21.74,24.1,21.52,5.09,1.15,1.83,,,
6508,惠光化學,1453936765,36025917,18299,40.35,42.7,37,39.63,37,19.27,2.56,50.69,1.81,,,
8354,冠郝企業,12730133,1044534,397,12.18,12.9,11.6,12.31,12.05,92.69,0,2.04,0.77,,,
9950,萬國通路,16335545,898944,343,18.17,18.7,17.9,18.13,18,12.24,8.93,2.02,1.18,,,
4401,東隆興業,1181679057,48871056,13878,24.17,29.5,18.5,22.34,27.8,14.79,4.17,40.63,1.74,,,
4402,福大棉業,297822045,29793990,5522,9.99,10.45,9.4,9.84,9.58,4.96,0,55.43,0.88,,,
4406,新昕纖維,17140141,1730399,618,9.9,10.2,9.5,9.94,9.95,32.10,0,3.33,0.86,,,
4408,聯明行動,37950644,12883754,1538,2.94,3.39,2.37,2.98,2.85,N/A,0,19.05,0.67,,,
4413,飛寶動能,246545,94106,32,2.61,3.08,2.51,2.79,2.51,NA,0,0.05,308,,,
4417,金洲製網,208387088,8374969,3612,24.88,25.75,24.1,24.71,24.85,13.15,2.41,12.85,1.49,,,
4419,松懋工業,10522901,802141,480,13.11,14.55,12.4,13.13,12.55,N/A,0,2.27,1.96,,,
4420,光明    ,97522161,4129006,1693,23.61,25.3,20.4,23.42,23.8,12.53,4.62,13.85,1.37,,,
4426,利勤    ,214565208,7551957,3743,28.41,31.25,26.6,27.99,28.3,14.22,2.14,13.15,1.94,,,
4429,聚紡    ,314348073,5158288,2928,60.94,65,55,59.27,58.2,17.27,4.27,19.21,2.3,,,
1558,伸興工業,2762693262,18669482,11082,147.97,160,136,147.85,141,9.71,4.92,39.74,3.82,,,
1570,力肯實業,10318004,1063231,502,9.7,10,9.52,9.76,9.69,N/A,0,2.06,1.15,,,
1580,新麥企業,857858021,7235036,5266,118.56,126,110.5,118.19,114,12.35,5.33,18.66,4.81,,,
2231,為升    ,287524929,3380330,2486,85.05,91.5,80.7,83.71,81.8,12.76,3.88,5.63,3.96,,,
3162,精確    ,190648385,12667217,3953,15.05,16.05,14.2,14.8,15.1,21.88,3.83,23.03,1.27,,,
4502,源恆工業,3687810,767634,246,4.8,5.1,4.33,4.73,4.7,N/A,0,1.92,0.87,,,
4503,金雨企業,16217522,2424415,831,6.68,7.2,6.38,6.89,7.09,NA,0,6.59,1.03,,,
4506,崇友實業,91444618,6046671,1862,15.12,15.65,14.7,14.99,15,15.46,3.36,3.07,0.92,,,
4510,高鋒工業,281618623,18284976,6579,15.4,15.85,15,15.3,15.05,27.87,0,20.74,1.26,,,
4513,福裕事業,24629672,1692412,828,14.55,15.9,13.8,14.4,14.25,N/A,0,2.61,1.34,,,
4523,永彰機電,399622763,13348817,4571,29.93,32.25,27.35,29.05,32.25,20.54,1.06,24.72,1.15,,,
4527,方土霖  ,45552583,2487245,849,18.31,19.05,17.2,18.3,17.75,35.50,1.09,4.75,1.48,,,
4528,江興鍛壓,212322567,10070824,3901,21.08,21.8,20.2,21.02,20.5,15.41,2.41,15.54,1.33,,,
4529,力武電機,42037916,4896122,1414,8.58,9.45,8.18,8.63,8.45,N/A,0,8.31,0.9,,,
4530,宏易精密,57690421,7434610,1838,7.75,8.39,6.61,7.86,8.25,N/A,0,7.43,0.97,,,
4533,協易機械,268718180,20583085,8242,13.05,13.45,12.7,13.02,12.95,N/A,0,13.45,0.91,,,
4534,慶騰精密,53992245,3302339,1237,16.34,17,15.6,16.25,16.35,11.76,0,4.96,1.47,,,
4535,至興精機,222165979,4665144,2499,47.62,51.4,44,45.69,45.55,12.58,4.38,6.47,1.86,,,
6122,擎邦國際,233524139,11662376,4381,20.02,21.6,18.3,19.65,18.6,8.05,9.21,17.99,1.29,,,
6603,富強鑫  ,1122812017,40486646,17407,27.73,29.45,26.3,27.31,27.65,13.69,2.54,48.68,1.53,,,
6609,瀧澤科技,445027960,16265458,6841,27.36,29,25.2,26.8,27.1,193.57,2.15,27.58,1.5,,,
8083,瑞穎    ,8309679,265077,166,31.34,32,30,31.18,31.8,11.69,5.15,0.88,2.27,,,
8255,朋程    ,199224272,1390415,1137,143.28,147,137,143.02,145,23.31,3.11,2.34,5.04,,,
8996,高力    ,633264772,11325849,6538,55.91,58.9,53.2,55.28,56,193.10,0,17.01,2.84,,,
9951,皇田工業,143586287,4975883,2303,28.85,29.95,27.6,28.59,29.95,9.05,1.03,6.64,2.33,,,
2035,唐榮公司,138153998,4989709,1939,27.68,29.2,26.1,27.24,29.1,5.64,0,1.43,1.4,,,
2063,世鎧精密,767906305,11306301,5582,67.91,72,60,68.86,67.9,19.74,2.79,39.51,5.04,,,
5007,三星科技,147542165,5213854,1338,28.29,29.1,27.5,28.21,27.95,25.41,3.43,2.37,1.9,,,
5009,榮剛材料,2955962389,140425133,41633,21.05,22.75,18.6,20.35,21.5,N/A,0,42.34,1.31,,,
5011,久陽精密,118212,54199,12,2.18,2.2,2.04,2.15,2.18,27.25,0,0.02,2.41,,,
5013,強新工業,385736723,24034997,6929,16.04,16.6,15.55,15.97,16.2,7.83,0,27.58,1.16,,,
5014,建錩實業,65852749,5789283,1694,11.37,11.95,10.9,11.27,11.25,10.61,3.65,4.53,0.75,,,
5015,華祺工業,23083324,1508059,756,15.3,16,15.05,15.34,15.45,31.53,6.49,2.49,1.04,,,
5016,松和工業,325105867,11547332,5580,28.15,30.1,26.8,27.75,27.5,7.14,1.09,25.6,1.38,,,
8349,友信    ,6999528,296133,200,23.63,24.4,22.55,23.55,23.4,68.82,1.71,0.46,1.56,,,
8930,青鋼金屬,166842653,10511777,3258,15.87,16.45,15.2,15.8,16.05,7.75,4.09,22.18,1.2,,,
9962,有益鋼鐵,82542688,4868601,1847,16.95,17.9,16,16.82,17.05,9.27,4.02,6.21,1.42,,,
2114,鑫永銓  ,55279992,1958241,1181,28.22,30,26.9,28.07,29.5,11.01,8.47,3.25,1.4,,,
5102,富強輪胎,24198512,1732979,647,13.96,14.6,13.5,13.87,13.7,17.79,0,2.98,1.12,,,
2596,綠意開發,49761219,2422919,1137,20.53,21.2,19.75,20.58,19.95,7.59,7.51,3.56,1.36,,,
4113,聯上實業,71430167,3785473,2020,18.86,20.5,16.8,18.47,18.3,10.11,0,8.37,1.68,,,
4416,三圓建設,78570721,1006668,78,78.05,82.5,72.3,78.74,81,21.60,4.49,1.68,3.41,,,
5213,亞昕    ,879231960,25882120,11896,33.97,35.7,31.85,33.65,32.45,6.07,8.09,17.29,1.67,,,
