櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年10月 Oct. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 376,490,989,404元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,870,596筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,756,239,918股",,,,,,4. 成交量週轉率： 14.87%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱N/Ame of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,22867410,846803,645,27,27.65,26.55,26.95,27.45,11.73,7.39,1.28,1.66
4207,環泰企業,1067696493,75142167,20370,14.2,16.45,11.6,13.37,15.25,24.21,2.69,60.34,1.33
4303,信立    ,58075591,8882094,1803,6.53,6.9,6.22,6.39,6.22,N/A,0,12.69,0.69
4304,勝昱科技,142726888,9971126,3976,14.31,15.35,13.15,14.13,14.25,75.00,0,16.71,1.21
4305,世坤塑膠,317376951,9876937,5049,32.13,37.05,24.2,29.25,26.2,20.31,4.21,17.95,2.17
6508,惠光化學,1456652816,36560564,19998,39.84,43.2,36.5,38.87,37.5,20.83,2.54,51.35,1.83
8354,冠郝企業,18376693,1484331,594,12.38,12.85,11.4,12.25,12.05,241.00,0,2.91,0.79
9950,萬國通路,10539536,575821,252,18.3,18.6,18.05,18.23,18.3,13.07,8.74,1.29,1.18
4401,東隆興業,1044295513,36075790,12416,28.94,32.1,25.1,28.4,25.6,9.38,3.5,29.99,1.93
4402,福大棉業,144134312,13815639,3563,10.43,11.15,9.5,9.98,9.6,4.23,0,25.7,0.98
4406,新昕纖維,16234890,1551905,646,10.46,11.2,9.6,10.27,10.5,33.87,0,2.99,0.92
4408,聯明行動,23083911,8780753,1105,2.62,3.04,2.26,2.54,2.4,N/A,0,12.98,0.52
4417,金洲製網,128747017,5237474,2562,24.58,25.5,23.55,24.41,24,11.37,2.45,8.04,1.5
4419,松懋工業,8147573,646006,350,12.61,13.4,12,12.6,12.3,N/A,0,1.83,1.91
4420,光明    ,121425638,4812489,1958,25.23,27.65,23.2,24.11,23.4,11.41,4.62,16.15,1.33
4426,利勤    ,211781021,7301245,3640,29,31.4,26.6,28.17,27.15,12.29,2.12,12.72,1.94
4429,聚紡    ,124564330,2156858,1286,57.75,59.5,55.5,57.34,56.1,8.82,4.42,8.03,2.01
1558,伸興工業,1911199223,14882526,9371,128.41,141.5,118.5,128.09,127,7.90,5.44,31.68,3.06
1570,力肯實業,10491324,1163728,563,9.01,10,8.1,9.07,8.2,N/A,0,2.26,1.01
1580,新麥企業,2767853049,21931847,13532,126.2,136.5,109,123.4,125,12.74,4.66,56.56,5.19
2231,為升    ,341361980,3795282,2647,89.94,97,80.9,88.41,94,17.84,3.43,6.33,5.13
3162,精確    ,60891621,4315956,1554,14.1,15.05,13.2,13.84,13.85,25.18,4.16,7.85,1.2
4502,源恆工業,4942387,882477,326,5.6,6.58,4.65,5.33,6,N/A,0,2.21,1.04
4503,金雨企業,8524353,1192511,443,7.14,7.52,6.97,7.14,7.24,N/A,0,3.24,1.07
4506,崇友實業,71477941,4666116,1749,15.31,15.75,15,15.25,15.2,15.20,3.23,2.37,0.94
4510,高鋒工業,415884980,26393851,7134,15.75,16.6,14.95,15.4,15.15,17.02,0,29.93,1.21
4513,福裕事業,13952140,995753,519,14.01,15.45,13.25,13.99,13.6,N/A,0,1.53,1.35
4523,永彰機電,2038105802,51313439,21874,39.71,47.8,32.6,40.9,44.35,21.96,0.72,95.02,1.63
4527,方土霖  ,30065022,1809452,671,16.61,18.1,15.05,16.58,16,39.02,1.25,3.45,1.26
4528,江興鍛壓,104037674,5296937,2415,19.64,21.45,17.5,19.12,18.45,11.90,2.71,8.18,1.19
