櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年11月 Nov. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 341,923,478,655元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,336,993筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,296,206,197股",,,,,,4. 成交量週轉率： 12.62%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,39786492,1383420,1008,28.75,30.35,27.2,28.15,28,11.97,7.2,2.09,1.71
4207,環泰企業,854794176,58334998,18357,14.65,17.8,12.25,14.13,12.7,20.16,3.25,46.85,1.1
4303,信立    ,24609991,4477916,1155,5.49,6.1,5.12,5.39,5.28,N/A,0,6.4,0.57
4304,勝昱科技,89454882,7440911,3104,12.02,14.45,11.1,11.92,11.3,59.47,0,12.47,0.99
4305,世坤塑膠,40391840,1636595,1093,24.68,29.1,21.95,23.98,25,19.38,4.72,2.97,1.94
6508,惠光化學,416206285,12120547,7467,34.33,37.4,31.6,33.74,33.3,18.50,3,17.02,1.55
8354,冠郝企業,7286389,641486,280,11.35,12.05,11,11.31,11.15,223.00,0,1.26,0.73
9950,萬國通路,10659750,604000,264,17.64,18.3,17.2,17.58,17.4,12.43,9.24,1.36,1.12
4401,東隆興業,282871637,11677662,4263,24.22,26.7,21.9,24.07,22.95,8.41,4.45,9.71,1.51
4402,福大棉業,88154693,8784269,2468,10.03,11,8.93,9.93,9.93,4.37,0,16.34,0.92
4406,新昕纖維,11679424,1301861,526,8.97,10.85,8.34,9.29,8.45,27.26,0,2.51,0.73
4408,聯明行動,9781301,4501491,685,2.17,2.4,2.03,2.17,2.23,N/A,0,6.66,0.49
4417,金洲製網,91666581,4025320,1971,22.77,23.85,21.7,22.78,22.25,10.55,2.67,6.18,1.38
4419,松懋工業,7237453,627093,357,11.54,12.3,10.85,11.61,11.1,N/A,0,1.78,1.81
4420,光明    ,17226896,751350,382,22.92,23.7,22.3,22.79,22.4,10.93,4.88,2.52,1.25
4426,利勤    ,55371742,2273157,1148,24.35,28.15,21.05,23.83,21.75,9.84,2.66,3.96,1.55
4429,聚紡    ,44707217,845660,586,52.86,56.6,50.1,52.51,51.9,8.16,4.81,3.15,1.85
1558,伸興工業,1514724994,13134062,9129,115.32,128.5,105,113.56,114,7.09,6.42,27.96,2.6
1570,力肯實業,6291144,803173,388,7.83,8.33,7.51,7.84,7.67,N/A,0,1.56,0.9
1580,新麥企業,1037921641,8375125,6819,123.92,131.5,117,122.59,118.5,12.08,5.02,21.6,4.83
