櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年12月 Dec.10,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 523,052,176,581元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,998,387筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,526,535,192股",,,,,,4. 成交量週轉率： 20.65%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4205,恆義食品,19069571,660822,551,28.85,30,28,28.67,29.5,12.61,6.77,1,1.81,,,,
4207,環泰企業,647581634,47603369,13038,13.6,14.85,12.65,13.4,13.35,21.19,3.22,38.23,1.11,,,,
4303,信立    ,20425718,3790049,1110,5.38,5.68,4.92,5.4,5.41,N/A,0,5.41,0.59,,,,
4304,勝昱科技,179066511,12925288,4677,13.85,14.8,11.3,13.46,12.75,67.11,0,21.66,1.2,,,,
4305,世坤塑膠,13768636,553078,395,24.89,26.3,22.9,24.52,23.95,18.57,5.21,1.01,1.75,,,,
6508,惠光化學,630488541,17678186,9667,35.66,37.6,33.05,35.08,35,19.44,2.69,24.83,1.73,,,,
8354,冠郝企業,15234649,1337393,405,11.39,11.8,10.9,11.36,11.45,229.00,0,2.62,0.74,,,,
9950,萬國通路,13123638,739275,350,17.75,18.6,17,17.71,18,12.86,9.03,1.66,1.14,,,,
4401,東隆興業,268464928,10863741,3804,24.71,26.4,22.9,24.61,24.9,9.12,4.01,9.03,1.68,,,,
4402,福大棉業,37906257,3725634,1106,10.17,10.5,9.9,10.15,10.25,4.52,0,6.93,0.94,,,,
4406,新昕纖維,8941927,1034869,425,8.64,9.2,8.39,8.64,8.72,28.13,0,1.99,0.75,,,,
4408,聯明行動,5121751,2137013,442,2.39,2.75,2.04,2.38,2.47,N/A,0,3.16,0.55,,,,
4417,金洲製網,241376291,9848166,4210,24.5,26.2,22,23.69,25.5,12.09,2.34,15.11,1.57,,,,
4419,松懋工業,10584524,967070,476,10.94,11.5,10.55,10.97,11.2,N/A,0,2.74,1.69,,,,
4420,光明    ,12286028,539010,292,22.79,23.5,22.2,22.83,22.85,11.15,4.78,1.81,1.28,,,,
4426,利勤    ,39183181,1743836,983,22.46,23.5,20.4,22.55,21.85,9.89,2.64,3.04,1.56,,,,
4429,聚紡    ,39771118,765758,563,51.93,55,50.5,52.28,51.2,8.05,4.86,2.85,1.83,,,,
1558,伸興工業,1214594466,10284201,7269,118.1,122.5,112.5,117.13,117,7.28,5.9,21.89,2.82,,,,
1570,力肯實業,10579122,1222351,621,8.65,9.28,7.71,8.29,8.51,N/A,0,2.37,0.97,,,,
1580,新麥企業,1441529407,11178734,7745,128.95,136,119,127.65,125,12.74,4.81,28.83,5.03,,,,
3162,精確    ,43994500,3431952,1139,12.81,13.2,12.15,12.83,12.8,23.27,4.3,6.24,1.16,,,,
4502,源恆工業,4985409,800568,272,6.22,7,5.94,6.53,6.25,N/A,0,2.01,1.12,,,,
4503,金雨企業,11480631,1648659,504,6.96,7.19,6.61,6.97,7,N/A,0,4.48,1.02,,,,
4506,崇友實業,82479026,5248718,1863,15.71,16.6,14.9,15.49,15.1,15.10,3.06,2.67,0.99,,,,
4510,高鋒工業,304606473,20297325,6788,15,15.45,13.75,14.82,14.55,16.35,0,23.02,1.15,,,,
4513,福裕事業,42208238,3621244,686,11.65,12.7,10.8,11.94,12,N/A,0,5.58,1.17,,,,
4523,永彰機電,2842774807,40614904,24829,69.99,81.5,55.9,68.29,66.8,33.07,0.41,75.21,2.84,,,,
4527,方土霖  ,22218224,1475443,576,15.05,16,14.65,15.05,14.95,36.46,1.32,2.82,1.19,,,,
4528,江興鍛壓,417618211,19574459,6845,21.33,22.65,18.8,20.48,21.4,13.81,2.35,30.21,1.37,,,,
4529,力武電機,145892880,11243329,3233,12.97,14.65,11.35,12.11,13.8,N/A,0,18.76,1.25,,,,
4530,宏易精密,19823011,2977101,621,6.65,6.98,5.63,6.38,6.4,N/A,0,3.31,0.95,,,,
4533,協易機械,383475380,30415974,7953,12.6,13.35,11,12.24,13,36.11,0,19.87,0.93,,,,
4534,慶騰精密,21578868,1415725,602,15.24,15.75,14.8,15.24,15.2,9.68,0,2.13,1.31,,,,
4535,至興精機,70653872,1580862,896,44.69,46.4,43.65,44.5,44,11.52,4.43,2.19,1.77,,,,
6122,擎邦國際,160083133,8048367,3384,19.89,20.25,19.35,19.78,19.9,8.16,8.54,12.41,1.34,,,,
6603,富強鑫  ,445379833,18646964,8297,23.88,25,22.1,23.7,23,10.95,3.04,22.42,1.33,,,,
6609,瀧澤科技,284940685,10471062,4674,27.21,28.2,25.1,26.8,26.25,14.11,2.25,17.76,1.37,,,,
8083,瑞穎    ,7761274,225162,178,34.46,36.1,33.4,34.14,34.8,11.41,4.76,0.75,2.32,,,,
8255,朋程    ,609505302,4553747,3480,133.84,144,125,131.86,135.5,22.97,3.51,7.66,4.66,,,,
8996,高力    ,220051677,5200392,3425,42.31,45.2,39.4,41.75,39.5,50.00,0,7.81,2.22,,,,
9951,皇田工業,136043882,4686516,2236,29.02,30.7,27.35,28.28,28.75,11.55,1.04,6.26,2.37,,,,
2061,風青    ,126547764,7177398,3369,17.63,19.6,16.1,17.73,18,18.56,5.52,18.52,1.41,,,,
4609,唐鋒實業,412,2,2,-,-,-,-,135,75.84,1.05,0,14.57,,,,
2035,唐榮公司,179447235,6321576,2525,28.38,29.6,27.2,28.19,29.2,7.32,0,1.81,1.45,,,,
2063,世鎧精密,90218872,1535188,852,58.76,62,56.1,58.3,59.7,12.18,3.3,5.36,3.4,,,,
5007,三星科技,581814414,19187526,4230,30.32,33,28.55,30.48,32.5,17.57,2.96,8.72,2.08,,,,
5009,榮剛材料,5054414652,197417742,54607,25.6,28.3,22.7,25.2,27.15,246.82,0,59.51,1.64,,,,
