櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
100年01月 Jan. 11,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 404,489,101,824元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,819,332筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,735,860,704股",,,,,,4. 成交量週轉率： 16.30%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
4205,恆義食品,16017464,542499,424,29.52,30.35,29.1,29.4,29.5,12.61,6.84,0.82,1.8,,
4207,環泰企業,196080400,14635208,5156,13.39,13.95,12.95,13.28,13.35,21.19,3.22,11.75,1.11,,
4303,信立    ,28109291,5108774,1124,5.5,5.87,5.34,5.45,5.37,N/A,0,7.3,0.59,,
4304,勝昱科技,113569060,8658432,3242,13.11,13.65,12.1,12.84,13.5,71.05,0,14.51,1.16,,
4305,世坤塑膠,4933316,214012,154,23.05,24,22,23.2,22.7,17.60,5.28,0.39,1.73,,
6508,惠光化學,761310380,20287799,10263,37.52,39.9,34.3,36.09,35.65,19.81,2.75,28.49,1.7,,
8354,冠郝企業,9068115,800645,266,11.32,11.65,11.1,11.27,11.55,231.00,0,1.57,0.72,,
9950,萬國通路,7620063,424122,215,17.96,18.1,17.8,17.92,17.8,12.71,8.91,0.95,1.16,,
4401,東隆興業,1212954942,41252344,13587,29.4,32.55,24.9,29.39,30.1,11.03,3.32,34.3,2.03,,
4402,福大棉業,227439138,18874876,4699,12.04,13,10.05,11.77,12.5,5.51,0,35.12,1.16,,
4406,新昕纖維,12327025,1346531,520,9.15,9.67,8.73,9.08,9,29.03,0,2.59,0.79,,
4408,聯明行動,11036366,4072396,549,2.71,3.08,2.25,2.57,2.76,N/A,0,6.02,0.56,,
4417,金洲製網,142213095,5734644,2472,24.79,25.6,24.1,24.72,24.5,11.61,2.44,8.8,1.51,,
4419,松懋工業,112679239,7573869,3437,14.87,16.8,10.9,14.15,14.8,N/A,0,21.46,2.29,,
4420,光明    ,7805301,339273,202,23,23.6,22.7,22.93,22.8,11.12,4.78,1.14,1.28,,
4426,利勤    ,37817361,1674442,769,22.58,23.85,21.7,22.62,22.75,10.29,2.6,2.92,1.58,,
4429,聚紡    ,40667350,803008,461,50.64,52,49.5,50.65,50.7,7.97,5,2.99,1.78,,
1558,伸興工業,632382031,5565558,3790,113.62,119.5,110,112.77,112,6.97,6.3,11.85,2.65,,
1566,毅金工業,154399642,5677984,3230,27.19,29.5,22.7,25.83,23.1,22.21,4.15,15.77,1.85,,
1570,力肯實業,8888434,1046766,451,8.49,9.08,8.05,8.54,8.69,N/A,0,2.03,1.01,,
1580,新麥企業,470018309,3995994,2990,117.62,126.5,112.5,117.32,113,11.52,5.3,10.31,4.56,,
3162,精確    ,36358091,2870091,983,12.66,13.35,12.05,12.54,12.2,22.18,4.57,5.22,1.09,,
4502,源恆工業,2496943,388833,187,6.42,7.24,6,6.49,6.91,N/A,0,0.98,1.22,,
4503,金雨企業,18458132,2407243,779,7.66,8.34,6.85,7.65,7.8,N/A,0,6.55,1.09,,
4506,崇友實業,49084576,3173254,968,15.46,15.95,15,15.36,15.4,15.40,3.27,1.61,0.93,,
4510,高鋒工業,328093126,20844960,7751,15.73,16.5,14.55,15.28,15.15,17.02,0,23.64,1.2,,
4513,福裕事業,56618974,4041454,1570,14,14.95,12.05,13.59,14.9,N/A,0,6.23,1.28,,
4523,永彰機電,1235236918,19318959,11565,63.93,69.6,56.2,62.88,57.3,28.37,0.48,35.78,2.44,,
4527,方土霖  ,30939338,2025035,871,15.27,16,14.8,15.22,15.25,37.20,1.31,3.86,1.2,,
4528,江興鍛壓,722523293,32311341,11753,22.36,24.95,20.1,21.32,20.4,13.16,2.44,49.87,1.32,,
4529,力武電機,53549078,4244681,1520,12.61,13.95,11.8,12.5,12.1,N/A,0,7.08,1.31,,
4530,宏易精密,44306857,6857764,736,6.46,6.79,6.2,6.45,6.32,N/A,0,6.86,0.9,,
4533,協易機械,1002313012,69987598,18157,14.32,15.25,12.7,14.03,14.5,40.28,0,45.72,1.03,,
4534,慶騰精密,70393952,4257623,1620,16.53,18.05,14.95,16.16,16,10.19,0,6.39,1.36,,
4535,至興精機,68338509,1596187,729,42.81,44.4,41.9,42.88,42.95,11.24,4.65,2.22,1.69,,
6122,擎邦國際,368013525,17639446,6351,20.86,21.5,19.85,20.86,21.25,8.71,8.15,27.21,1.41,,
6603,富強鑫  ,821166029,32186564,12090,25.51,26.85,23,24.35,23.3,11.10,3,38.7,1.35,,
