櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年02月 Feb. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 302,787,585,616元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,812,595筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,293,877,701股",,,,,,4. 成交量週轉率： 11.05%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,24975357,851550,504,29.32,29.9,28.6,29.28,29.15,12.46,6.86,1.29,1.79
4207,環泰企業,131490409,9805768,3312,13.4,14.1,12.6,13.15,12.7,20.16,3.38,7.87,1.06
4303,信立    ,11267036,2141652,574,5.26,5.43,5.1,5.28,5.13,N/A,0,3.06,0.55
4304,勝昱科技,235191297,15279595,5391,15.39,17,12.9,14.19,17,89.47,0,25.61,1.48
4305,世坤塑膠,5627472,263806,177,21.33,22.8,20,21.2,20.6,15.97,5.82,0.48,1.57
6508,惠光化學,730936005,19234810,9966,38,40.3,33.8,36.71,34.3,19.06,2.91,27.01,1.6
8354,冠郝企業,13282114,1127270,391,11.78,12.25,11.35,11.67,11.5,230.00,0,2.21,0.74
9950,萬國通路,6131973,339992,180,18.03,18.5,17.6,17.91,17.8,12.71,8.98,0.76,1.15
4401,東隆興業,237113918,8352022,2851,28.39,30.7,27.4,28.34,27.5,10.07,3.63,6.94,1.85
