櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年03月 Mar. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 523,700,709,051元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,914,571筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,928,243,769股",,,,,,4. 成交量週轉率： 18.00%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,22689482,772935,489,29.35,30,28.6,29.32,29.9,12.78,6.69,1.17,1.84
4207,環泰企業,73957360,6008708,2066,12.3,13,11.05,12.28,12.75,20.24,3.37,4.83,1.06
4303,信立    ,27292180,5505011,1145,4.95,5.35,4.48,4.96,5.35,N/A,0,7.86,0.58
4304,勝昱科技,611284812,34998778,13149,17.46,19.9,14.5,16.95,18.35,96.58,0,58.65,1.6
4305,世坤塑膠,6017630,290709,220,20.69,21.5,20.25,20.84,20.9,16.20,5.74,0.53,1.59
6508,惠光化學,215710362,6365468,3574,33.88,35.8,31.6,33.82,33.65,18.69,2.97,8.94,1.57
8354,冠郝企業,13290915,1184420,326,11.22,12,10.25,11.33,11.05,221.00,0,2.32,0.71
9950,萬國通路,8463877,469204,201,18.03,18.4,17.6,17.96,18.35,13.11,8.72,1.05,1.18
4401,東隆興業,484318674,16993043,5877,28.5,31,25.4,28.43,29.4,10.77,3.4,14.13,1.98
4402,福大棉業,50189830,4492047,1197,11.17,12.1,9.85,11.19,11.1,4.89,0,8.36,1.03
4406,新昕纖維,5567660,631145,308,8.82,9.3,8.08,8.92,8.85,28.55,0,1.22,0.77
4408,聯明行動,4302076,1733158,409,2.48,2.8,2.35,2.52,2.45,N/A,0,2.56,0.53
4413,飛寶動能,802081,230881,62,3.47,3.73,2.68,3.18,3.73,93.25,0,0.13,41.44
4417,金洲製網,118062507,5313149,2265,22.22,22.8,21.35,22.25,22.4,10.62,2.68,8.15,1.38
4419,松懋工業,61296555,4272038,1926,14.34,15.9,12.8,13.93,13.65,N/A,0,12.1,2.12
4420,光明    ,27929723,1182251,644,23.62,24.8,22.25,23.58,24,11.71,4.58,3.97,1.34
4426,利勤    ,17135712,958888,591,17.87,19.35,16.5,17.88,17.8,8.05,3.37,1.67,1.22
4429,聚紡    ,44279609,915837,582,48.34,50.8,46,48.44,50.5,7.94,4.95,3.41,1.8
1558,伸興工業,616355294,5658985,3924,108.91,116,101,108.8,106,6.59,6.6,12.05,2.53
1566,毅金工業,264892365,10494209,5288,25.24,27.9,20.4,24.3,26.4,25.38,3.79,29.14,2.03
1570,力肯實業,22816585,2220369,809,10.27,11,9.3,10.19,10.7,N/A,0,4.31,1.28
1580,新麥企業,1512302372,13786420,8652,109.69,118,98.6,108.76,118,12.03,5.08,35.55,4.77
