櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年04月 Apr. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 375,300,588,732元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,686,830筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,764,672,186股",,,,,,4. 成交量週轉率： 13.20%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,18975260,632520,428,29.99,30.3,29.85,30.02,30.1,13.32,6.64,1.64,1.74
4207,環泰企業,215275782,16522458,4217,13.02,13.85,12.45,12.91,12.6,24.71,3.37,13.48,1.04
4303,信立    ,12791405,2493447,799,5.13,5.45,4.98,5.1,5.1,N/A,0,3.91,0.55
4304,勝昱科技,146043121,9185978,3803,15.89,18.75,14.45,15.49,15,N/A,0,15.43,1.35
4305,世坤塑膠,40476428,1695238,1073,23.87,26.3,20.3,22.75,21.05,22.39,5.33,3.52,1.57
6508,惠光化學,195886434,5556380,3540,35.25,36.3,33.65,34.88,34.5,17.78,2.87,7.81,1.57
8354,冠郝企業,8808403,771323,312,11.41,12,11,11.47,11.8,62.11,0,1.52,0.76
9950,萬國通路,6737075,364489,203,18.48,18.8,18.2,18.48,18.7,12.64,8.64,0.82,1.18
4401,東隆興業,1887364455,54280310,17417,34.77,38.55,29.2,33.59,36.1,9.53,2.75,45.45,2.18
4402,福大棉業,70932785,6049043,1707,11.72,12.25,11,11.54,11.15,3.84,0,11.75,1.1
4406,新昕纖維,19439073,2029576,803,9.57,10.25,8.8,9.16,9.23,12.47,0,4.43,0.76
4408,聯明行動,2296860,945618,230,2.42,2.63,2.33,2.44,2.34,N/A,0,1.8,0.6
4413,飛寶動能,2514257,555831,187,4.52,5.2,3.7,4.27,4.08,11.33,0,0.47,10.46
4417,金洲製網,83849160,3649275,1653,22.97,23.55,22.35,22.92,23.35,8.43,2.6,6.11,1.46
4419,松懋工業,23747678,1688385,788,14.06,14.75,12.95,13.8,13.6,13.20,0,4.8,1.79
4420,光明    ,152520249,5735142,2589,26.59,27.45,23.85,25.67,26.75,9.73,4.25,20.25,1.38
4426,利勤    ,19150114,1021846,615,18.74,19.7,17.65,18.5,18.55,10.25,3.2,2.32,1.23
4429,聚紡    ,207070905,3811227,2163,54.33,58,49.8,52.26,55.1,11.22,4.53,15.42,1.83
1558,伸興工業,614092651,5570935,3812,110.23,117,103,106.94,110,9.20,6.66,11.98,2.68
1566,毅金工業,106819996,4122306,2314,25.91,28.3,23.2,25.49,23.4,63.24,4.12,11.46,1.77
1570,力肯實業,15229567,1475924,603,10.31,11.4,9.3,10.3,9.45,N/A,0,2.87,1.23
1580,新麥企業,984547470,8156404,5523,120.7,127.5,115,120.02,119,12.43,4.83,21.1,4.31
3162,精確    ,12084533,1040216,651,11.61,11.95,11.4,11.63,11.5,95.83,4.68,1.89,1.05
4502,源恆工業,6937876,985656,216,7.03,7.49,6.8,6.97,7.49,1.22,0,3.25,0.74
4503,金雨企業,3865857,517189,222,7.47,7.88,7.01,7.5,7.46,N/A,0,2.26,1.1
4506,崇友實業,182881126,10909070,4157,16.76,17.6,15.05,16.32,16.9,15.94,2.95,5.74,1.01
4510,高鋒工業,406281349,25673557,8882,15.82,16.7,15,15.49,15.6,16.25,0,29.23,1.21
4513,福裕事業,901059663,49441760,16016,18.22,19.6,14.2,17.74,17.45,N/A,0,76.74,1.83
4523,永彰機電,1332479087,22538633,14620,59.11,63.5,51.3,58.46,58.2,19.08,0.49,42.43,2.19
4527,方土霖  ,37534718,2369788,846,15.83,16.55,14.85,15.56,15.5,24.60,1.25,5.37,1.25
4528,江興鍛壓,122749477,5837773,2684,21.02,22.1,20,20.8,21.1,11.66,2.36,9.1,1.3
4529,力武電機,28346915,2701511,943,10.49,11.6,9.3,10.59,10.6,N/A,0,5.2,1.23
4530,宏易精密,11511256,2115402,603,5.44,5.96,5,5.51,5.29,N/A,0,2.18,0.82
4533,協易機械,2506592662,129228394,43910,19.39,21.5,16.25,19.02,19.25,16.74,0,84.77,1.46
4534,慶騰精密,30824995,1871660,883,16.46,17.2,15.5,16.18,16.1,20.13,0,3.4,1.43
4535,至興精機,32870360,751761,448,43.72,44.7,42.2,43.62,43.8,13.11,4.56,1.6,1.68
6122,擎邦國際,471402272,21070898,7941,22.37,23.85,19.65,20.61,23.05,8.29,8.5,32.62,1.43
6603,富強鑫  ,224936737,9828295,4685,22.88,24.1,21.75,22.5,22.55,13.58,3.13,11.88,1.32
6609,瀧澤科技,110189481,4618080,2204,23.86,25.15,22.5,23.26,22.8,11.34,2.63,7.89,1.17
8083,瑞穎    ,3817184,111975,82,34.08,34.8,33.7,34.15,34,13.13,4.6,0.37,2.19
8255,朋程    ,491212498,3717619,2546,132.13,141,124,128.65,131.5,24.00,3.32,6.26,4.41
8996,高力    ,233741780,5961181,3958,39.21,42.9,36,39,38.75,101.97,0,8.96,2.11
9951,皇田工業,126948007,4180643,1869,30.36,32.05,28.8,29.74,30.85,12.00,1,5.59,2.28
2061,風青    ,14826566,868081,327,17.07,17.9,16.6,17.02,16.85,10.27,5.84,2.28,1.21
4609,唐鋒實業,20905044,689682,365,30.31,33.75,27.5,30.82,30.7,17.54,6.12,1.63,2.51
2035,唐榮公司,102333465,3502745,1381,29.21,30.7,27.5,28.85,28.45,203.21,0,1.01,1.39
2063,世鎧精密,36248105,479880,367,75.53,79.5,71.1,75.58,73,15.84,2.57,1.74,3.9
5007,三星科技,206731251,5617416,2035,36.8,38.85,33.7,36.78,38,14.18,2.53,2.85,2.23
5009,榮剛材料,4098405526,128852441,44143,31.8,33.75,30,31.37,33.1,23.99,0,37.89,1.95
5011,久陽精密,380,20,2,-,-,-,-,19.7,67.93,0,1.74,2.04
5013,強新工業,199794422,9782239,3638,20.42,21,19.9,20.32,20.1,6.50,0,11.37,1.26
5014,建錩實業,81577833,7436189,2512,10.97,11.5,10.3,10.92,10.7,13.54,3.72,5.16,0.8
5015,華祺工業,37505661,2547135,868,14.72,15.9,14.05,14.52,15.9,23.38,6.84,5.36,1.04
5016,松和工業,537366788,11144712,5758,48.21,53.2,42.4,47.13,42.5,10.65,0.62,26.29,1.94
8349,友信    ,13003241,482014,385,26.97,27.5,26.1,27.04,27.1,16.94,1.48,0.75,1.76
8930,青鋼金屬,24384068,1599171,638,15.24,15.65,14.95,15.24,15.35,10.96,4.27,2.98,1.07
9962,有益鋼鐵,101340685,4837525,1775,20.94,21.4,20.6,20.9,21.15,8.49,3.3,6.17,1.62
5102,富強輪胎,520794245,22482077,10074,23.16,25.6,20.5,22.34,20.85,11.46,0,39.92,1.5
2596,綠意開發,21241137,1180715,708,17.99,18.65,17.5,18,18,69.23,8.4,1.74,1.23
4113,聯上實業,13086604,838734,509,15.6,16.5,14.9,15.51,15.1,107.86,0,1.63,1.19
4416,三圓建設,1255381,15900,20,79.14,82.9,76.1,78.37,76.1,12.25,4.55,0.07,2.64
5213,亞昕    ,688843656,18114267,7532,38.02,40.3,34.45,37.17,39.5,5.03,6.92,11.38,1.64
5505,和旺建設,370836085,9019214,4481,41.11,41.95,39.5,41.05,40,6.56,1.64,10.19,1.82
5506,長鴻營造,27705586,3458576,4231,8.01,8.3,7.9,8,7.91,18.83,0,1.78,0.93
5508,永信建設,50455804,1706801,1135,29.56,30.8,28.1,29.52,30.7,9.81,8.5,0.93,1.65
5511,德昌營造,117381178,4652005,1806,25.23,27.5,23.4,25.17,26.5,7.77,4.52,5.82,1.39
5512,力麒建設,721058446,46457736,12238,15.52,16.25,14.5,15.41,15.85,6.66,8.41,8.33,0.87
5514,三豐建設,21355474,987721,388,21.62,22.5,20.55,21.7,21.9,16.47,3.65,1.06,1.6
5516,雙喜    ,5997289,469277,241,12.77,13.4,12.45,12.82,12.85,14.28,3.84,1.61,1.04
5519,隆大營建,224763692,5793512,3319,38.79,41.1,34,38.52,39,5.26,2.92,8.49,2.05
