櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年05月 May 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 425,129,230,170元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,019,226筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,585,590,742股",,,,,,4. 成交量週轉率： 14.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,15116338,504118,385,29.98,30.3,29.5,29.98,30.1,13.32,6.66,0.76,1.74
4207,環泰企業,210005288,16267656,5373,12.9,13.85,12,12.5,12.2,23.92,3.45,13.06,1
4303,信立    ,14691209,2812954,672,5.22,5.5,4.97,5.21,5.01,N/A,0,4.02,0.54
4304,勝昱科技,77777394,5774545,2522,13.46,15.15,12.35,13.27,13.5,N/A,0,9.68,1.21
4305,世坤塑膠,4284670,205001,174,20.9,21.7,20.2,21.14,21.3,22.66,5.67,0.37,1.59
6508,惠光化學,390880285,11104072,6351,35.2,37.2,32.9,34.2,33.8,17.42,3.02,15.6,1.54
8354,冠郝企業,19267658,1675048,453,11.5,12,11.2,11.63,11.3,59.47,0,3.28,0.73
9950,萬國通路,14569788,769825,318,18.92,19.7,18.6,18.84,19.5,13.18,8.18,1.73,1.23
4401,東隆興業,931085367,26019748,11119,35.78,38.95,32.5,34.98,34.85,9.20,3.01,21.63,2.1
4402,福大棉業,30351294,2911321,921,10.42,11.2,9.9,10.38,10.05,3.47,0,5.42,0.99
4406,新昕纖維,83555624,7514229,2438,11.11,12,9.87,10.86,10.7,14.46,0,14.47,0.88
4408,聯明行動,2772645,1286366,283,2.15,2.45,1.98,2.17,2.11,N/A,0,1.9,0.54
4413,飛寶動能,615574,167560,42,3.67,4.53,3.08,3.78,4.51,12.53,0,0.09,11.56
4417,金洲製網,81637326,3659682,1423,22.3,23.15,21.5,22.34,22.65,8.18,2.65,5.61,1.42
4419,松懋工業,162129130,9630673,4093,16.83,19,13.6,16.04,16.7,16.21,0,27.28,2.2
4420,光明    ,180957814,6371116,2983,28.4,29.8,26.75,28.06,28.55,10.38,4,21.37,1.47
4426,利勤    ,24396741,1388963,541,17.56,18.55,15.9,17.13,16.1,8.90,3.52,2.42,1.06
4429,聚紡    ,164046307,2960464,1418,55.41,57.3,53.2,55.17,54.5,11.10,4.42,11.03,1.81
1558,伸興工業,1893068092,16143743,10426,117.26,124,106,114.8,115,9.62,6.16,34.36,2.8
1566,毅金工業,31262160,1399413,792,22.33,24.15,20.5,22.3,20.8,56.22,4.51,3.89,1.57
1570,力肯實業,10211801,1033732,412,9.87,10.5,9.12,9.8,9.28,N/A,0,2.01,1.21
1580,新麥企業,812115067,7319732,5248,110.94,123,101,111.09,108,11.29,5.76,18.88,3.91
3162,精確    ,14178416,1246879,473,11.37,11.7,11.05,11.34,11.2,93.33,5,2.27,1.02
4502,源恆工業,22189793,2795359,515,7.93,8.9,6.95,8.08,8.1,1.31,0,7.01,0.8
