櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年06月 Jun. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,341,054,350元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,553,086筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,178,032,248股",,,,,,4. 成交量週轉率： 12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,17884243,589361,413,30.34,31,30.05,30.38,31,13.72,6.5,0.89,1.79
4207,環泰企業,39003942,3188234,1202,12.23,12.85,11.95,12.2,12.3,24.12,3.52,2.56,1.01
4303,信立    ,5530749,1125192,437,4.91,5.17,4.7,4.92,4.81,N/A,0,1.61,0.52
4304,勝昱科技,42881609,3160558,1529,13.56,14.3,12.55,13.26,13.2,N/A,0,5.3,1.18
4305,世坤塑膠,8078038,372225,264,21.7,23.3,19.75,21.22,21.1,22.45,5.68,0.68,1.57
6508,惠光化學,173845714,5181908,3380,33.54,35,31.2,33.12,32.55,16.78,3.07,7.28,1.48
8354,冠郝企業,24776123,2125288,572,11.65,12,11.2,11.64,11.6,61.05,0,4.16,0.75
9950,萬國通路,10407941,536015,247,19.41,19.65,19.05,19.39,19.5,13.18,8.2,1.2,1.23
4401,東隆興業,459889253,14627816,5933,31.43,35.3,28.9,31.67,32.3,8.52,3.12,12.16,1.95
4402,福大棉業,19958835,1950744,567,10.23,10.5,10.05,10.22,10.1,3.48,0,3.63,0.99
4406,新昕纖維,9452938,943101,373,10.02,10.95,9,9.76,9.42,12.73,0,1.82,0.77
4408,聯明行動,2296485,1149304,229,1.99,2.12,1.92,2.03,2.08,N/A,0,1.7,0.53
4413,飛寶動能,2066832,554395,70,3.72,4.25,3.53,3.86,4.11,11.42,0,0.31,10.54
4417,金洲製網,53246718,2466223,1046,21.59,22.65,20.8,21.67,21.35,7.71,2.83,3.78,1.34
4419,松懋工業,27831794,1765106,1080,15.76,17.75,13.55,15.39,13.85,13.45,0,5,1.82
4420,光明    ,55496715,2033730,978,27.28,29.05,25.9,27.02,27.4,9.96,6.2,6.82,1.41
4426,利勤    ,7133798,462248,299,15.43,16.3,14.45,15.33,14.8,8.18,4.06,0.81,0.98
4429,聚紡    ,86496279,1673305,838,51.69,54.6,50,51.97,53,10.79,4.98,6.23,1.76
1558,伸興工業,770617182,6552401,4474,117.6,124,111.5,115.3,121.5,10.16,5.98,13.95,2.96
1566,毅金工業,24611687,1224347,814,20.1,21.5,17.55,19.85,18.05,48.78,5.26,3.4,1.37
1570,力肯實業,12587186,1311020,446,9.6,10.4,8.2,9.31,8.68,N/A,0,2.55,1.13
1580,新麥企業,407194038,3912690,2757,104.07,110,100,103.9,104,10.87,5.82,10.09,3.77
3162,精確    ,13820566,1292647,534,10.69,11.35,10.2,10.86,10.35,86.25,5.25,2.35,0.94
4502,源恆工業,2115369,299012,113,7.07,8,6.54,7.39,7.45,1.21,0,0.75,0.74
4503,金雨企業,78690627,9312663,2384,8.44,9.04,7.25,8.06,8.52,N/A,0,25.33,1.25
4506,崇友實業,24733754,1576474,689,15.68,16.4,15.05,15.71,15.65,14.76,3.26,0.8,0.94
4510,高鋒工業,52443061,3940044,1637,13.31,14.35,12.1,13.3,12.8,13.33,0,4.67,0.99
4513,福裕事業,125032758,7563398,2927,16.53,18.15,15.3,16.32,17.3,N/A,0,11.66,1.82
4523,永彰機電,3054703929,42220685,25098,72.35,79.7,65.5,70.15,78.4,25.70,0.38,78.19,2.95
4527,方土霖  ,10991133,753374,460,14.58,15.3,14.1,14.52,14.1,22.38,1.4,1.44,1.14
4528,江興鍛壓,89792948,4622905,2102,19.42,20.2,18.55,19.4,19.2,10.61,2.6,7.14,1.18
4529,力武電機,125093207,9605912,2753,13.02,14.05,11.35,12.53,13.7,N/A,0,16.03,1.59
4530,宏易精密,8009744,1705695,449,4.69,5,4.22,4.86,4.3,N/A,0,1.71,0.67
4533,協易機械,478824089,29271978,10262,16.35,18.65,14.5,16.5,15.9,13.83,3.93,19.61,1.21
4534,慶騰精密,8566395,553020,224,15.49,16.4,15.05,15.56,15.35,19.19,0,0.83,1.36
4535,至興精機,25598824,598100,273,42.8,43.9,41.6,43.19,42.6,12.75,4.69,0.83,1.63
6122,擎邦國際,220893263,9937962,4261,22.22,23.7,20.9,22.06,21.7,7.81,8.01,15.33,1.35
6603,富強鑫  ,83379409,4231729,1972,19.7,21.4,18,19.92,19.2,11.57,3.68,5.09,1.12
6609,瀧澤科技,65668817,3018232,1516,21.75,23.2,20.5,21.37,21.35,10.62,2.91,5.12,1.1
8083,瑞穎    ,4804872,140581,71,34.17,35,33.6,34.25,34.5,13.32,4.69,0.47,2.22
8255,朋程    ,304422320,2387554,1535,127.5,134.5,120,125.78,121,22.08,3.7,4.02,4.05
8996,高力    ,383081102,9257343,4604,41.38,43.5,36.9,40.2,42.2,111.05,0,13.91,2.3
