櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年07月 Jul. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 353,599,920,958元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,448,634筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,295,407,222股",,,,,,4. 成交量週轉率： 12.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,25623462,835903,577,30.65,31.5,29.2,30.57,30.2,13.36,6.62,1.26,1.74
4207,環泰企業,71955833,5872145,1830,12.25,12.7,11.95,12.2,12.1,23.73,3.55,4.72,1
4303,信立    ,5300907,1109948,480,4.77,5.05,4.4,4.74,4.57,N/A,0,1.59,0.5
4304,勝昱科技,78030030,5667998,2358,13.76,15.15,12,13.18,13.15,N/A,0,9.5,1.18
4305,世坤塑膠,4059771,193076,138,21.02,21.55,20.1,20.99,21,22.34,3.81,0.35,1.56
6508,惠光化學,139779790,4363931,1980,32.03,33.1,30.55,32.04,32.3,16.65,3.1,6.13,1.47
8354,冠郝企業,7572915,662155,223,11.43,11.7,11.15,11.47,11.3,59.47,0,1.3,0.73
9950,萬國通路,20780490,1067074,450,19.47,20.45,17.7,18.95,20.45,13.82,6.21,2.4,1.29
4401,東隆興業,1083975930,29809548,11637,36.36,39.95,32.1,35.76,37.2,9.82,5.38,24.78,2.24
4402,福大棉業,52124271,4688782,1459,11.11,11.75,9.99,10.48,11.15,3.84,0,8.72,1.1
4406,新昕纖維,5617967,592875,290,9.47,9.9,9.2,9.52,9.3,12.57,2.15,1.14,0.76
4408,聯明行動,3593057,2539128,397,1.41,2.01,1.13,1.41,1.28,N/A,0,3.75,0.33
4413,飛寶動能,1451353,335687,100,4.32,5,3.66,4.29,4.6,12.78,0,0.19,11.79
4417,金洲製網,79404794,3847774,1478,20.63,21.75,18.7,20.68,20.1,7.26,5.47,5.62,1.26
4419,松懋工業,11144232,835202,465,13.34,14.2,12.55,13.35,12.95,12.57,0,2.37,1.71
4420,光明    ,34437307,1373450,688,25.07,27.8,23,24.31,24,8.73,7.08,4.61,1.23
4426,利勤    ,19784608,1368717,680,14.45,15.8,12.6,14.04,13.7,7.57,7.3,2.23,0.91
4429,聚紡    ,110442300,2149900,695,51.37,53.8,48.9,50.86,50.2,10.22,6.37,8.01,1.67
1558,伸興工業,1215685719,9934827,6699,122.36,127.5,116,120.61,123.5,10.33,5.67,21.15,3.01
1566,毅金工業,46226976,2607710,1261,17.72,20.55,15,17.25,16.05,43.38,3.12,7.24,1.21
1570,力肯實業,12563842,1343724,447,9.35,10.3,8.2,9.09,9.35,N/A,0,2.61,1.22
1580,新麥企業,693814996,6522666,4292,106.36,116,98.2,105.07,101,10.55,7.43,16.02,3.66
3162,精確    ,21913221,2132857,761,10.27,10.8,9.91,10.24,10.2,85.00,5.49,3.88,0.93
4502,源恆工業,3057334,417729,136,7.31,8.12,6.3,7.13,7.42,1.20,0,1.05,0.74
4503,金雨企業,30160894,3593555,1175,8.39,9.23,7.5,8.21,7.57,N/A,0,9.77,1.11
4506,崇友實業,66932602,4055571,1342,16.5,17.05,15.35,16.41,16.6,15.66,3.01,2.06,1
4510,高鋒工業,86764736,6384874,2355,13.58,14.4,12.65,13.29,14.4,15.00,0,7.57,1.12
4513,福裕事業,73159637,4474207,1581,16.35,17.5,15.5,16.32,15.5,N/A,0,6.9,1.63
4523,永彰機電,2365090704,30189538,19650,78.34,83.4,72.7,77.46,76.9,25.21,0.65,55.91,2.89
4527,方土霖  ,8655174,614256,274,14.09,14.6,13.6,14.04,14.4,22.86,2.78,1.15,1.17
4528,江興鍛壓,63241031,3248036,1460,19.47,20.1,19.05,19.44,19.4,10.72,2.58,5.01,1.19
4529,力武電機,144294217,10973379,2490,13.14,13.9,12,12.88,13.4,N/A,0,18.31,1.55
4530,宏易精密,13075614,2913179,828,4.48,5.23,3.63,4.3,4.76,N/A,0,2.91,0.74
4533,協易機械,602484518,36650384,12680,16.43,17.75,15.4,16.35,17,14.78,3.53,24.55,1.29
4534,慶騰精密,15786912,1105905,458,14.27,15.6,12.65,14.48,14.1,17.63,3.55,1.66,1.25
4535,至興精機,16780896,383787,266,43.72,44.9,42.6,43.7,44.75,13.40,4.47,0.53,1.71
6122,擎邦國際,119640811,5536537,2219,21.6,22.15,20.9,21.61,21.65,7.79,7.85,8.54,1.35
6603,富強鑫  ,90784295,4849109,2243,18.72,19.5,17.7,18.57,18.1,10.90,0,4.87,1.06
6609,瀧澤科技,42362447,1987099,1031,21.31,22.5,20.2,21.22,22.3,11.09,2.69,3.37,1.14
8083,瑞穎    ,15955118,449957,269,35.45,38,34,35.07,34.7,13.40,6.63,1.49,2.24
8255,朋程    ,201410187,1749717,1222,115.11,124.5,105,115.59,112,20.44,4.02,2.95,3.75
8996,高力    ,1824387205,37363019,18121,48.82,52.5,42.2,48.09,49.2,129.47,0,56.13,2.68
9951,皇田工業,57564217,2066598,933,27.85,28.8,27.05,27.84,28.55,11.11,7.01,2.76,2.11
2061,風青    ,24336483,1416049,635,17.18,18.25,16.6,17.01,16.75,10.21,5.97,3.65,1.21
4609,唐鋒實業,318852836,10098532,6264,31.57,35.3,25.5,30.21,26.3,15.03,7.22,21.06,2.15
2035,唐榮公司,139915534,4969003,752,28.15,29.2,27.8,28.17,28.35,202.50,0,1.42,1.38
2063,世鎧精密,258529959,3840440,2406,67.31,73.3,59.5,65.91,62.4,13.54,6.41,11.18,3.33
5007,三星科技,169427092,3608227,1540,46.95,48.5,45.5,46.82,46.1,17.20,4.21,1.64,2.71
5009,榮剛材料,4888704416,140028286,49783,34.91,36.9,32.35,34.61,33.65,24.38,0,39.6,1.98
5011,久陽精密,1519716,44683,55,34,38.5,29.85,34.54,30.35,104.66,0,0.14,3.14
5013,強新工業,63590572,3494229,1201,18.19,18.8,17.6,18.24,18.2,5.89,0,4.01,1.14
5014,建錩實業,57785354,5830595,1384,9.91,10.7,9.3,9.91,9.7,12.28,4.12,3.7,0.72
5015,華祺工業,148713627,8089552,3425,18.38,20.45,16.05,17.65,20.3,29.85,1.97,13.34,1.33
5016,松和工業,127924110,2835291,1562,45.11,49.3,38.7,44.96,38.7,9.70,6.46,5.71,1.77
8349,友信    ,11331976,409651,336,27.66,28,27,27.71,27.5,17.19,1.45,0.63,1.79
8930,青鋼金屬,130053363,7749132,2897,16.78,17.5,15.85,16.51,16.35,11.68,4.04,14.03,1.14
9962,有益鋼鐵,85268200,4594904,1804,18.55,20.4,16.05,17.71,17.2,6.91,11.05,5.09,1.32
5102,富強輪胎,964509699,33868548,15693,28.47,32.2,21.1,27.49,29.3,16.10,0,58.27,2.11
2596,綠意開發,21069885,1203376,495,17.5,18.25,17.05,17.54,17.6,67.69,8.52,1.77,1.21
4113,聯上實業,54485811,3174303,1648,17.16,18.15,16,16.96,17.05,121.79,0,5.75,1.34
4416,三圓建設,1467868,19331,25,76.01,80.6,72.3,75.98,78.3,12.61,4.6,0.03,2.72
5213,亞昕    ,1361677986,31757590,13985,42.87,45.65,40,42.87,42.8,5.45,0,17.52,1.78
5324,士林開發,3183938,81967,108,38.84,40.95,36.1,39.36,40.1,8.12,0,0.17,3.11
5505,和旺建設,757159116,16659740,8442,45.44,47.85,43.6,45.37,46.9,7.69,0,15.26,2.14
5506,長鴻營造,45208214,5636402,6459,8.02,8.39,7.71,7.94,7.9,18.81,0,2.78,0.93
5508,永信建設,970197049,26409447,1249,36.73,35.8,33.5,34.55,34,10.86,7.68,14.4,1.83
5511,德昌營造,78273011,3207476,1452,24.4,25.65,23.1,24.23,25,7.33,4.8,3.9,1.31
5512,力麒建設,2800982981,157537451,36057,17.77,18.4,16.5,17.7,17.8,7.48,7.3,28.63,0.98
5514,三豐建設,56131759,2066043,907,27.16,28.4,25.55,27.45,27.25,20.49,2.94,1.94,1.99
5516,雙喜    ,20666396,1455328,762,14.2,15.15,13.1,13.86,13.4,14.89,3.73,3.8,1.09
5519,隆大營建,840177254,17372177,9130,48.36,51.4,40.45,48.05,50.7,6.84,2.09,24.82,2.67
5520,力泰建設,12661635,514168,295,24.62,25.35,22.7,23.84,23.75,19.15,5.68,0.72,0.92
5521,工信    ,587684374,53082266,9690,11.07,11.65,10.3,10.8,11.35,23.16,2.64,15.27,0.95
5523,宏都建設,197538513,13467733,4212,14.66,15.65,13.8,14.33,13.8,57.50,0,9.18,1.37
5529,志嘉建設,50365523,3927609,1617,12.82,13.75,11.8,12.72,13.4,N/A,3.73,8.11,1.06
5530,龍巖    ,10621628364,81447599,45073,130.41,140.5,117,130.45,132,70.21,0,20.41,8.42
6177,達麗建設,99074590,2827693,1102,35.03,36.2,34.2,34.98,35.15,7.53,4.15,3.04,2.06
6212,理銘科技,6943020,552058,137,12.57,12.75,12.4,12.62,12.5,56.82,0,0.54,1.38
9946,金革科技,667618110,33587604,13357,19.87,22.8,14.35,19.66,20,18.87,0,20.99,1.76
2636,台驊國際,109272936,3454043,1297,31.63,32.45,31,31.63,31.65,12.17,2.18,5.77,1.61
5601,台聯貨櫃,1999172,119199,82,16.77,17.65,16.3,16.76,16.5,68.75,1.39,0.17,0.83
5603,陸海交通,33652865,2185773,853,15.39,16.25,14.5,15.19,14.8,113.85,0,3.47,1.16
5604,中連貨運,73316250,2917537,1423,25.12,27.3,23.3,24.12,23.7,10.92,8.27,2.68,1.02
5609,中菲行  ,116400671,4811956,2568,24.18,25.3,22.6,24.1,24.2,9.96,5.12,3.67,1.75
2718,桃園店  ,20626995,544001,340,37.91,39.55,35.25,38.13,37.7,26.18,2.52,2.41,2.02
5701,劍湖山  ,324027321,34093711,10003,9.5,10.45,8.45,9.38,8.5,N/A,0,8.2,1.09
5703,亞都麗緻,10273973,350004,273,29.35,31.15,27.3,29.04,28.35,35.00,0,0.5,2.34
5704,老爺知  ,5216261,240680,167,21.67,22.65,21,21.91,21.5,42.16,1.4,0.62,1.68
5706,鳳凰國際,1688623058,25043846,17569,67.42,77.8,60,66.98,60.1,12.90,9.87,40.75,2.25
5820,日盛金控,641534635,47464863,9946,13.51,14.1,12.8,13.38,12.85,11.90,0.7,2.02,1.04
6008,凱基證券,5735170943,357995910,57874,16.02,16.9,15.1,15.9,16.3,15.23,2.76,11.16,1.05
6015,宏遠證券,104333468,13863460,3264,7.52,7.95,7.2,7.49,7.32,81.33,0,3.03,0.76
6016,康和證券,216772483,23670359,7739,9.15,9.47,8.79,9.11,9.1,45.50,4.4,3.47,0.77
6020,大展證券,17002036,993404,326,17.11,18,16.4,17.15,17,20.48,3.76,0.43,1.12
6021,大慶證券,111044472,7026817,2161,15.8,16.4,15,15.7,15.8,12.85,2.53,2.52,1
6022,大眾證  ,139278477,12403839,3006,11.22,11.7,10.65,11.18,10.9,40.37,3.12,3.17,0.86
6023,寶來期  ,40638264,1085292,622,37.44,38.4,36.5,37.34,37.6,13.98,4.2,0.83,1.56
6024,群益期  ,27209571,1001234,552,27.17,27.75,26.3,27.19,27.5,11.85,0.36,1.18,1.36
2916,滿心企業,846219913,28306242,11468,29.89,32.95,25.1,27.62,30.85,13.65,6.48,60.96,1.83
5902,德記洋行,118881191,9300507,3502,12.78,13.85,10.6,12.23,12.6,N/A,0,9.84,1.94
5903,全家    ,2005395083,13240452,9134,151.45,168,140.5,150.33,160,38.00,1.63,5.93,8.19
5904,寶雅國際,1526168215,33518428,19201,45.53,51.7,36.8,44.64,45.1,13.19,6.43,37.58,2.42
5905,南仁湖  ,487636510,37296957,12584,13.07,16.2,10.95,13.36,11.35,N/A,0,17.64,1
6195,詩肯    ,1267546258,20885286,13624,60.69,66.7,52.5,59.28,64,23.79,0,55.01,4.19
8941,關中    ,20169030,2077197,842,9.7,10.2,8.81,9.63,9.96,N/A,0,1.59,1.83
9960,邁達康  ,38880812,1771023,953,21.95,23.45,19.85,21.25,21.9,13.11,10.96,5.7,1.64
1584,精剛精密,335435194,9552271,4373,35.11,36.8,32.65,35.04,34.5,29.49,0,13.94,1.91
2221,大甲    ,486702303,20507454,9039,23.73,26.75,19.95,22.26,26.75,21.40,0,48.34,2.1
3284,太普高  ,64301450,4453000,1875,14.44,15.6,13.25,14.39,13.95,12.35,7.17,8.43,1.02
3388,崇越電通,284592008,3489985,2310,81.54,86.3,76,80.05,76.4,9.46,7.85,6.27,1.71
4430,耀億    ,304617286,4493203,2992,67.79,78.8,59.1,67.64,59.9,33.46,3.34,10.26,2.21
5312,寶島科  ,1555036279,16311741,10960,95.33,103.5,85.2,95.97,90.8,23.34,2.2,27.16,4.84
6186,晶磊興業,155248127,8525625,3010,18.2,22,14.2,15.89,19.55,N/A,0,28.25,1.78
6803,崑鼎投控,485656668,3269606,2209,148.53,158,141,148.26,142,19.19,4.36,5.65,3.41
8390,金益鼎  ,831585204,16999487,8589,48.91,52,45.2,48.03,47.8,16.83,0,25.99,2.39
8401,白紗科技,52769464,1920512,1303,27.47,30.4,23.9,27.38,24.3,9.64,10.33,4.74,1.46
8705,東隆五金,31904953,1037880,554,30.74,31.65,29.4,30.11,29.5,12.61,5.69,1.25,2.02
8905,裕國    ,24919276,1644037,606,15.15,15.65,14.65,15.16,15.15,14.43,3.96,1.38,1.06
8906,花王企業,5786954,804810,289,7.19,7.5,6.82,7.19,6.95,N/A,0,1.57,0.82
8913,華夏資融,90179690,4461670,1895,20.21,22.5,17.35,19.22,17.9,111.88,13.97,8.98,1.02
8916,光隆    ,143559764,6394089,2909,22.45,23.8,20.25,21.99,23,13.29,4.78,7.17,1.14
8921,沈氏印刷,2184702,157220,66,13.89,14.65,13.05,13.56,13.3,12.55,6.77,0.34,0.76
8923,時報出版,2515480,135810,89,18.52,19.75,18,18.78,18.6,15.12,6.72,0.45,1.22
8924,大田精密,63880934,2283544,1417,27.97,29.2,26.65,27.94,28.6,24.24,8.74,1.88,1.66
8925,偉盟工業,986912476,53131473,8980,18.57,19.3,17.3,18.54,19.15,61.77,2.66,18.46,1.48
8928,鉅明    ,7373176,887188,359,8.31,8.97,7.92,8.28,8.08,N/A,6.19,1.4,0.95
8929,富堡工業,11973551,393830,259,30.4,33,29,30.7,30.1,10.95,6.58,1.47,1.51
8932,宏大    ,2120623,271003,126,7.82,8.2,7.46,7.9,7.54,#錯誤,0,0.56,0.88
8933,愛地雅  ,332823802,20625046,8257,16.13,16.9,14.8,15.82,16.1,20.64,6.21,16.78,1.15
8934,馭鳳    ,39488,16867,9,2.34,3,2.2,2.63,3,N/A,0,0.03,6.25
8935,邦泰    ,93216020,11207256,3433,8.31,8.62,7.91,8.3,8.13,N/A,0,5.55,0.95
8936,國統國際,922553531,23078004,11265,39.97,42.3,36.3,39.24,41.2,3.38,2.86,18.73,1.34
