櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年08月 Aug. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 344,867,404,777元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,701,055筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,265,894,136股",,,,,,4. 成交量週轉率： 13.94%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,24683449,836722,566,29.5,30.6,28,29.61,29.5,12.88,6.77,1.27,1.87
4207,環泰企業,75328597,6976608,1716,10.79,12.4,9.86,10.87,10.8,27,3.98,5.6,0.9
4303,信立    ,16867843,3644822,1106,4.62,5.1,3.85,4.6,5.01,N/A,0,5.21,0.54
4304,勝昱科技,43267312,3531442,1535,12.25,13.9,11.2,12.11,11.9,N/A,0,5.92,1.09
4305,世坤塑膠,17396522,839251,537,20.72,22.85,17.35,20.1,19.7,19.7,4.06,1.53,1.52
6508,惠光化學,142824592,4939905,2154,28.91,32.75,25.65,28.46,28.2,16.99,3.54,6.94,1.32
8354,冠郝企業,12635497,1149876,394,10.98,11.5,10.3,11.03,10.8,N/A,0,2.25,0.72
9950,萬國通路,168824081,7395034,3255,22.82,25.9,18.15,21.6,18.8,12.37,6.75,16.61,1.26
4401,東隆興業,899803915,25848262,9453,34.81,40.65,29.7,34.78,33.3,8.16,6,21.49,2.14
4402,福大棉業,31709177,3052134,937,10.38,11.75,9.4,10.3,9.95,N/A,0,5.68,1.05
4406,新昕纖維,7086491,808040,359,8.76,9.7,7.91,8.82,8.83,13.38,2.26,1.56,0.74
4408,聯明行動,162104,133133,33,1.21,1.27,1.12,1.22,1.12,N/A,0,0.2,0.37
4413,飛寶動能,488313,105427,32,4.63,4.79,4.11,4.53,4.4,33.85,0,0.06,14.19
4417,金洲製網,72782447,4102706,1754,17.74,20.25,16.5,17.93,16.85,9.68,6.52,5.99,1.08
4419,松懋工業,13395588,1259019,548,10.63,13,9.12,10.53,10.05,8.66,0,3.57,1.31
4420,光明    ,26706414,1249844,638,21.36,24.45,19.5,21.35,20.6,8.73,8.25,4.19,1.14
4426,利勤    ,15714311,1222019,496,12.85,14.35,11.4,13.21,13.05,9.96,7.66,1.99,0.88
