櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年09月 Sep. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 247,911,835,357元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,769,136筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,399,491,231股",,,,,,4. 成交量週轉率： 9.57%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,19951712,681817,361,29.26,30.1,28.7,29.36,29.1,12.71,6.87,1.03,1.85
4207,環泰企業,49546668,4808376,1060,10.3,11.2,9.6,10.3,10.1,25.25,4.45,3.7,0.84
4303,信立    ,11198813,2334118,781,4.79,5.36,4.5,4.71,4.69,N/A,0,3.33,0.51
4304,勝昱科技,15418253,1310354,513,11.76,12.35,11.45,11.74,11.7,N/A,0,2.2,1.08
4305,世坤塑膠,4733119,251201,156,18.84,20.5,17.8,19.12,19,19,4.21,0.46,1.46
6508,惠光化學,65400726,2500560,1492,26.15,28.55,23.5,25.91,24.1,14.52,6.22,3.44,1.13
8354,冠郝企業,11939516,1149902,300,10.38,10.9,9.5,10.26,9.8,N/A,4.89,2.17,0.66
9950,萬國通路,15431450,837000,466,18.43,21,16.6,18.51,17,11.18,7.47,1.88,1.14
4401,東隆興業,340510467,10585717,4612,32.16,36.2,28.5,32.26,29.5,7.23,6.77,8.8,1.9
4402,福大棉業,27021769,2862295,605,9.44,10.1,8.91,9.61,10,N/A,0,5.33,1.05
4406,新昕纖維,2503657,292597,146,8.55,9.04,7.61,8.56,8.23,12.47,2.43,0.56,0.69
4413,飛寶動能,14008,3182,4,4.4,4.65,4.23,4.42,4.32,33.23,0,0,13.94
4417,金洲製網,36922644,2267068,1098,16.28,17.1,15.2,16.34,15.6,8.97,7.05,3.31,1
4419,松懋工業,7774450,753000,296,10.32,11,9.8,10.12,10,8.62,0,2.13,1.3
4420,光明    ,8229443,407462,203,20.19,21.4,19.55,20.2,20.4,8.64,8.33,1.37,1.13
4426,利勤    ,11201447,901091,515,12.43,13.35,10.5,12.25,11.15,8.51,8.96,1.47,0.75
4429,聚紡    ,70495234,1589829,968,44.34,48,40.4,43.73,41.5,8.28,7.71,4.63,1.44
1558,伸興工業,342899822,3866396,2543,88.68,95,80.3,88.82,82.8,8.84,9.66,7.99,2.34
1566,毅金工業,14639351,937131,526,15.62,16.7,14.5,15.37,15,N/A,3.33,2.6,1.21
1570,力肯實業,5440509,737387,346,7.37,8,6.3,7.33,6.6,N/A,0,1.43,0.88
1580,新麥企業,293852081,3371419,2733,87.15,93.5,78,86.08,81.4,9.36,9.21,8.28,3.57
3162,精確    ,43850040,4111171,1369,10.66,11.35,9.56,10.37,10.15,46.14,4.92,7.27,0.94
4502,源恆工業,1348089,203969,40,6.61,6.95,6.1,6.48,6.25,1.16,0,0.51,0.61
4503,金雨企業,9528294,1248683,482,7.63,8.23,6.7,7.52,7.15,19.86,0,3.4,0.99
4506,崇友實業,27346723,1819685,735,15.02,15.95,13.3,14.79,13.65,12.3,7.32,0.93,0.86
