櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
100年10月 Oct. 11,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,329,158,139元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,516,490筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,475,576,574股",,,,,,4. 成交量週轉率： 8.12%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
4205,恆義食品,7250825,248901,194,29.13,29.7,28.8,29.16,29.35,14.82,6.81,0.38,1.81,,,
4207,環泰企業,13612268,1364880,493,9.97,10.15,9.8,9.95,10,62.5,4.5,1.05,0.86,,,
4303,信立    ,26841066,5100624,1283,5.26,5.75,4.65,5.22,5.21,N/A,0,7.29,0.57,,,
4304,勝昱科技,17757137,1484973,523,11.95,12.45,11.25,11.8,11.9,N/A,0,2.49,1.06,,,
4305,世坤塑膠,2001311,109467,84,18.28,19,18,18.26,18.1,17.08,4.41,0.2,1.36,,,
6508,惠光化學,51127843,2080726,1282,24.57,26.8,22.9,24.57,25.9,13.56,5.79,2.86,1.18,,,
8354,冠郝企業,9243290,937106,279,9.86,10.4,9.5,9.89,10.15,253.75,4.72,1.77,0.66,,,
9950,萬國通路,7148007,410856,224,17.39,18.1,16.7,17.48,17.6,10.23,7.21,0.92,1.11,,,
4401,東隆興業,700418545,24583036,9486,28.49,32.1,24.7,28.54,30.25,7.84,6.61,20.44,1.84,,,
4402,福大棉業,43385904,4162419,1169,10.42,10.9,9.58,10.34,10.45,N/A,0,6.05,1.17,,,
4406,新昕纖維,8610677,1072894,226,8.02,8.39,7.45,7.96,8.02,10.55,2.49,2.07,0.67,,,
4413,飛寶動能,1246010,389000,42,3.2,4.26,3.1,3.42,3.1,25.83,0,0.22,14.09,,,
4417,金洲製網,36695694,2217100,1089,16.55,17.7,15.2,16.56,17.35,11.12,6.34,3.24,1.07,,,
4419,松懋工業,3901911,377101,212,10.34,11.25,9.63,10.33,10.5,8.82,0,1.07,1.37,,,
4420,光明    ,7048200,349005,206,20.19,21.4,19.1,20.01,19.85,11.28,8.56,1.17,1.11,,,
4426,利勤    ,6028019,520792,304,11.57,12.7,10.45,11.58,12.35,12.6,8.09,0.85,0.86,,,
4429,聚紡    ,53618309,1312884,883,40.84,43.5,40,40.74,40.4,8.47,7.92,3.82,1.35,,,
1558,伸興工業,538790575,5650804,4375,95.34,105,79.5,90.48,103,10.11,7.76,11.68,2.65,,,
1566,毅金工業,10279842,713219,411,14.41,15.25,14.1,14.51,14.85,41.25,3.36,1.98,1.09,,,
1570,力肯實業,2084135,328882,177,6.33,6.96,6.03,6.47,6.2,N/A,0,0.64,0.83,,,
1580,新麥企業,259450281,2883412,2382,89.98,97.4,80,87,96.7,10.69,7.75,7.08,3.67,,,
3162,精確    ,25723191,2689858,967,9.56,10.15,9.1,9.5,9.85,35.18,5.07,4.76,0.87,,,
3379,彬台    ,780504431,16166222,8662,48.27,61.7,33.2,49.09,61.7,7.5,3.24,51.65,3.34,,,
4502,源恆工業,492492,81010,28,6.07,7.5,5.45,6.54,6,1.49,0,0.17,0.63,,,
4503,金雨企業,5431487,771575,332,7.03,7.45,6.81,7.02,7.09,14.47,0,2.1,0.97,,,
4506,崇友實業,31980131,2193893,620,14.57,15.3,13,14.54,14.9,13.19,6.71,1.12,0.92,,,
4510,高鋒工業,240164000,15838448,3807,15.16,15.45,14.65,15.08,14.8,18.05,0,18.79,1.11,,,
4513,福裕事業,30500645,2624329,1176,11.62,12.4,10.2,11.41,11.65,46.6,0,4.04,1.11,,,
4523,永彰機電,2146526840,43389414,24631,49.47,59.4,39.3,48.73,56.2,14.87,0.88,80.35,2.03,,,
4527,方土霖  ,12020384,866068,295,13.87,14.4,12.85,13.86,14,14.74,2.85,1.62,1.06,,,
4528,江興鍛壓,39297347,2392430,1193,16.42,17.15,15.5,16.07,16.9,8.49,5.91,3.59,1.02,,,
4529,力武電機,46773935,4159802,1409,11.24,12.4,9.1,11.03,11.25,N/A,0,6.94,1.43,,,
4530,宏易精密,9727321,2395162,436,4.06,4.3,3.75,4.11,4.2,N/A,0,2.39,0.64,,,
4533,協易機械,140045174,12383788,4057,11.3,11.85,10.5,11.15,11.35,11.02,5.28,8.3,0.79,,,
4534,慶騰精密,7553138,653035,185,11.56,12.15,10.35,11.63,11.1,1110,4.5,0.98,0.98,,,
4535,至興精機,7722882,196320,165,39.33,41.4,37.6,39.38,41.2,11.17,6.06,0.27,1.56,,,
6122,擎邦國際,123581381,7247220,3483,17.05,18,15.9,16.66,16.8,10.57,9.52,10.54,1.19,,,
6603,富強鑫  ,172215755,11283087,4124,15.26,16.4,13.75,15.13,15.65,15.05,10.47,10.58,0.9,,,
6609,瀧澤科技,314762369,15700890,4967,20.04,21.35,18.1,19.34,19.6,13.07,4.08,22.77,0.96,,,
8083,瑞穎    ,8533935,239001,92,35.7,36.8,35,35.78,36.45,11.39,6.31,0.79,2.37,,,
8255,朋程    ,249743077,2955325,2145,84.5,91,80,84.16,88.9,16.65,5.06,4.14,2.85,,,
8996,高力    ,139023640,3877317,2069,35.85,38.5,31.2,35.12,37,30.08,1.35,5.82,1.92,,,
9951,皇田工業,36319447,1377024,673,26.37,28,23.5,25.76,27.5,7.6,7.27,1.84,2.02,,,
2061,風青    ,22939366,914127,386,25.09,26.9,23.6,25.03,24.3,51.7,4.11,2.36,1.93,,,
4609,唐鋒實業,52110684,2590060,1522,20.11,21.7,18.3,19.6,20.05,33.42,4.78,5.4,1.73,,,
2035,唐榮公司,21919978,784170,414,27.95,29.1,27.5,27.93,28,N/A,0,0.22,1.4,,,
2063,世鎧精密,181285133,4533842,1834,39.98,44,33.5,37.95,42.5,10.37,9.41,13.2,2.6,,,
5009,榮剛材料,2399967085,104579170,36883,22.94,24.75,20.9,22.66,24.4,11.96,1.92,26.71,1.32,,,
5011,久陽精密,914023,27929,50,32.8,37,28.2,32.8,34.05,14.61,0,0.09,2.92,,,
5013,強新工業,52547906,3912988,1222,13.42,14.65,12.6,13.41,13.95,6.8,12.18,4.01,0.93,,,
5014,建錩實業,14850582,1672527,493,8.87,9.1,8.7,8.91,8.96,38.96,6.69,1.02,0.69,,,
5015,華祺工業,48739269,3000634,1229,16.24,17.4,15.3,15.9,17.2,8.39,2.32,4.95,1.05,,,
5016,松和工業,415383299,10616365,1624,39.12,40.8,38,38.92,39,10.71,6.41,21.39,1.84,,,
8349,友信    ,26684662,1025119,282,26.03,27.1,25.35,26.03,25.4,17.89,5.07,1.58,1.61,,,
8930,青鋼金屬,9541669,784026,376,12.17,12.45,11.8,12.12,12.15,17.36,7.32,1.38,0.88,,,
9962,有益鋼鐵,36897370,2759265,1113,13.37,14.15,12.8,13.45,13.6,8.66,13.97,3.06,1.19,,,
5102,富強輪胎,85678208,3980005,1839,21.52,23,20,20.96,21.55,8.35,4.64,6.52,1.52,,,
2596,綠意開發,7294747,533445,292,13.67,14.5,13,13.78,14,N/A,8.57,0.78,1.06,,,
4113,聯上實業,5414150,387000,235,13.99,14.55,13.05,14.04,14,10.77,0,0.7,1.01,,,
4416,三圓建設,1190875,18059,19,65.94,73.6,60.2,67.16,73.6,10.94,4.34,0.03,2.65,,,
5213,亞昕    ,159286066,6557401,3402,24.29,25.6,23.1,24.15,23.95,5.87,19.29,2.67,0.98,,,
5324,士林開發,14186443,354909,238,39.97,40.7,38.65,39.73,40,10.87,0.75,0.72,2.83,,,
5505,和旺建設,583602256,16447156,4704,35.48,38.5,32,35,33.8,6.75,12.86,13.91,1.6,,,
5506,長鴻營造,27345458,4479347,4286,6.1,6.95,5.44,6.24,5.55,15,0,2.21,0.64,,,
5508,永信建設,22666766,786772,512,28.8,29.7,28.05,28.8,29.5,10.1,8.57,0.43,1.75,,,
5511,德昌營造,78447790,3519487,1531,22.28,23.95,20.05,21.71,23.95,4.9,8.35,3.69,1.25,,,
5512,力麒建設,305993380,24983242,8106,12.24,12.95,10.85,12.09,12.3,6.06,11.46,4.21,0.71,,,
5514,三豐建設,37202483,1623197,316,22.91,25.65,20.4,23.02,24.85,11.5,3.62,1.4,1.8,,,
5516,雙喜    ,37045939,2237150,1133,16.55,20.05,14.2,16.16,17.9,7.68,2.79,5.84,1.28,,,
5519,隆大營建,146106582,4926640,2712,29.65,31.5,27.2,29.49,29.8,4.57,12.58,5.55,1.82,,,
5520,力泰建設,2283934,106202,51,21.5,23.35,20.65,22.25,22,15.83,6.13,0.15,0.87,,,
5521,工信    ,265476286,28252080,6797,9.39,9.75,8.87,9.27,9.36,40.7,3.2,8.13,0.79,,,
5523,宏都建設,15561028,1382271,505,11.25,11.7,10.9,11.36,11.5,N/A,0,0.78,1.16,,,
5529,志嘉建設,4524214,441686,199,10.24,10.7,9.6,10.26,10.45,N/A,9.56,0.83,0.98,,,
5530,龍巖    ,6764554661,75942772,46306,89.07,100.5,69,88.3,94.1,25.92,1.59,19.03,5.45,,,
6177,達麗建設,26932277,1131646,477,23.79,24.9,23.1,23.71,23.5,5.33,13.14,0.96,1.64,,,
6212,理銘科技,2575625,224929,78,11.45,12.3,11.05,11.69,12,54.55,0,0.22,1.32,,,
9946,金革科技,26692342,1707014,751,15.63,16.95,14.8,15.61,16.85,8.43,0,1.07,1.24,,,
2636,台驊國際,175593531,6712759,2170,26.15,29.2,23.7,25.49,27.8,12.03,9.74,10.68,1.46,,,
5601,台聯貨櫃,14344816,853120,402,16.81,17.65,16.2,16.67,16.55,63.65,1.38,1.18,0.84,,,
5603,陸海交通,25064428,2389282,954,10.49,12.6,8.19,10.19,11.9,N/A,0,3.8,0.93,,,
5604,中連貨運,9502956,409428,255,23.21,23.85,22.5,23.42,23.2,14.97,8.44,0.38,1.01,,,
5609,中菲行  ,63295866,3297082,2023,19.19,19.9,18.5,19.08,19.35,10.75,7.8,2.44,1.43,,,
2718,桃園店  ,7982055,218030,76,36.6,37.6,35.5,36.58,36.75,32.52,2.58,0.97,2.04,,,
5701,劍湖山  ,100953774,14979034,3854,6.73,6.98,6.4,6.71,6.71,N/A,0,3.6,0.9,,,
5703,亞都麗緻,3221128,131107,72,24.56,25.8,23.4,24.54,24.2,39.67,1.03,0.19,2.06,,,
5704,老爺知  ,1737954,91696,75,18.95,19.85,18.25,19.34,19.5,32.5,1.53,0.24,1.53,,,
5706,鳳凰國際,685739784,10834244,7261,63.29,67.1,58,61.56,64.1,N/A,9.25,17.63,3.59,,,
5820,日盛金控,617207024,66136123,12471,9.33,10.45,7.9,8.94,10.1,N/A,9,2.59,0.89,,,
6008,凱基證券,2326012792,200070238,43374,11.62,13,10.15,11.68,12.75,17,5.09,6.12,0.85,,,
6015,宏遠證券,47649212,9006882,2181,5.29,5.69,5,5.28,5.55,N/A,0,1.97,0.65,,,
6016,康和證券,93579081,13430035,4366,6.96,7.38,6.51,6.93,7.21,N/A,2.08,1.94,0.64,,,
6020,大展證券,4335327,316050,149,13.71,14,13.5,13.72,13.6,N/A,4.7,0.14,0.97,,,
6021,大慶證券,35876200,2961353,1241,12.11,13,10.75,11.85,12.65,79.06,11.06,0.97,0.94,,,
6022,大眾證  ,62122944,6850186,1539,9.06,9.52,8.5,9.07,9.33,N/A,3.64,1.75,0.78,,,
6023,寶來期  ,37331989,1001514,748,37.27,38.25,36.7,37.43,36.8,10.19,4.29,0.76,1.49,,,
6024,群益期  ,19574680,834430,470,23.45,23.8,23.15,23.45,23.45,9.89,4.26,0.9,1.2,,,
2916,滿心企業,73735715,3050026,1191,24.17,25.1,22.3,24.16,23.05,10.87,8.67,6.57,1.52,,,
5902,德記洋行,9309195,1029792,374,9.03,9.7,8.63,9.08,9.25,N/A,0,1.09,1.49,,,
5903,全家    ,825952355,6215189,4935,132.89,141.5,120.5,131,135,29.67,2.51,2.78,7.01,,,
5904,寶雅國際,132210988,3526534,2551,37.49,39.8,34.05,37.5,38,11.52,7.63,3.91,2.25,,,
5905,南仁湖  ,149209515,14562973,5025,10.24,10.85,9.95,10.14,10.1,N/A,0,6.89,0.82,,,
6195,詩肯    ,412501029,7559892,4916,54.56,62.4,42.7,51.5,58.5,10.14,3.41,19.91,3.52,,,
8941,關中    ,9554854,1132097,368,8.43,8.9,8.1,8.48,8.3,N/A,0,0.87,1.56,,,
9960,邁達康  ,9235724,473594,308,19.5,20.3,19,19.59,19.1,11.79,4.18,1.47,1.42,,,
1584,精剛精密,238009731,9918021,5380,23.99,26.4,21.6,23.43,25.7,18.62,0.77,14.15,1.43,,,
2221,大甲    ,232359452,10211586,5338,22.75,25.2,19.5,21.85,24.85,13.08,0,24.07,1.84,,,
3284,太普高  ,27344015,2243880,802,12.18,12.8,11.35,12.14,11.35,24.15,9.69,4.21,0.89,,,
3388,崇越電通,128728221,1982367,1558,64.93,69.5,61.1,64.2,66.5,9.57,9.02,3.2,1.47,,,
4430,耀億    ,73530179,1780547,1148,41.29,44.9,36.55,41.58,37,67.27,5.4,4.07,1.29,,,
5312,寶島科  ,749623359,10954388,6968,68.43,77.4,57.8,67.2,76.5,19.72,2.87,18.24,3.97,,,
6186,新潤興業,7851640,492226,321,15.95,18,14.8,16.21,15.4,N/A,0,0.98,1.38,,,
6803,崑鼎投控,520748865,3893108,3222,133.76,143,127,133.47,138.5,15.39,4.46,6.68,3.32,,,
8390,金益鼎  ,215625411,6176203,3653,34.91,37.9,32,35.33,36.65,12.02,4.42,9.12,1.63,,,
8401,白紗科技,35220845,1867953,856,18.85,19.6,18.05,18.85,19,12.34,13.21,4.61,1.28,,,
8705,東隆五金,17212270,639623,366,26.91,27.6,25.15,26.78,27.35,17.88,6.14,0.78,1.95,,,
8905,裕國    ,139091743,7386177,2993,18.83,20.9,16.3,18.73,19.1,24.49,3.14,6.18,1.37,,,
8906,花王企業,8987276,1350772,547,6.65,7.25,6.09,6.53,6.31,N/A,0,2.63,0.75,,,
8913,華夏資融,19955102,1647344,686,12.11,12.5,11.3,11.86,11.7,21.27,21.36,3.32,0.79,,,
8916,光隆    ,106406173,4929090,2289,21.58,23,20,21.58,22.7,15.03,4.84,5.53,1.06,,,
8921,沈氏印刷,1054077,80175,38,13.14,13.55,12.65,13.26,13.3,13.85,6.76,0.17,0.78,,,
8923,時報出版,1060665,56424,45,18.79,19.7,18.3,18.68,18.5,16.97,6.75,0.19,1.33,,,
8924,大田精密,23966887,1180986,739,20.29,21.6,19.7,20.39,20.1,N/A,0,0.97,1.18,,,
8925,偉盟工業,491667442,30035908,6966,16.36,16.95,15.9,16.45,16.4,102.5,3.1,10.43,1.29,,,
8928,鉅明    ,3613891,503822,194,7.17,7.34,7.04,7.19,7.1,N/A,0,0.79,0.76,,,
8929,富堡工業,15479132,638548,499,24.24,26.2,21.3,23.68,26,10,6.92,2.34,1.3,,,
8932,宏大    ,3816169,513311,191,7.43,7.8,7.16,7.49,7.77,N/A,0,1.05,0.91,,,
8933,愛地雅  ,119065662,10454083,4142,11.38,12.2,10.6,11.42,10.9,20.19,7.24,8.03,0.76,,,
8934,衡平    ,281962,52212,32,5.4,6.86,4.15,5.24,6.86,13.45,0,0.08,5.97,,,
8935,邦泰    ,44923166,8720615,2278,5.15,5.7,4.8,5.21,4.8,N/A,0,4.32,0.57,,,
8936,國統國際,213464303,7077469,3534,30.16,31.45,28.6,29.94,30.4,2.56,3.94,5.23,1.03,,,
8937,合騏    ,14038677,1046022,513,13.42,15.6,11.95,13.93,13.8,N/A,0,1.44,1.26,,,
8938,明安國際,128386972,3705023,2180,34.65,36.3,33,34.31,33.9,89.21,7.66,2.74,1.32,,,
8942,森鉅科技,667088300,16647015,8714,40.07,44.45,35,39.92,42.75,14.44,2.24,12.79,2.12,,,
9949,琉園    ,89350586,3495411,1997,25.56,28.2,22,23.64,27.9,54.71,4.3,7.44,1.68,,,
1742,台蠟    ,38463279,1666673,1216,23.07,25.8,20.55,22.93,24.7,25.2,12.14,2.58,1.91,,,
1787,福盈科技,52964946,4565336,2007,11.6,12.35,10.4,11.31,11.4,21.11,6.05,6.54,0.75,,,
4702,中美聯合,41374808,1767184,818,23.41,25.2,21,23.36,24.6,N/A,0,2.31,2.65,,,
