櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年11月 Nov. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 247,439,664,390元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,951,773筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,075,106,374股",,,,,,4. 成交量週轉率： 10.48%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4205,恆義食品,14613163,500560,261,29.19,29.45,29,29.21,29,14.65,6.89,0.76,1.79
4207,環泰企業,22269379,2266834,3668,9.82,10.4,9.1,9.76,9.35,58.44,4.81,1.74,0.8
4303,信立    ,25452375,4797698,1138,5.3,5.75,4.42,5.21,4.8,N/A,0,6.85,0.52
4304,勝昱科技,21708678,2006408,699,10.81,12.6,9.11,11.34,9.21,N/A,0,3.36,0.82
4305,世坤塑膠,1497130,85281,78,17.55,18.65,16.55,17.81,16.8,15.85,4.76,0.16,1.26
6508,惠光化學,59415802,2400550,1508,24.75,26.5,22.6,24.81,23.35,12.23,6.42,3.3,1.07
8354,冠郝企業,12355761,1272768,294,9.7,10.25,8.9,9.84,9.38,234.5,5.11,2.4,0.61
9950,萬國通路,10583400,587000,292,18.02,18.8,17,17.94,17.3,10.06,7.34,1.32,1.09
4401,東隆興業,262171962,9396390,4415,27.9,30.8,25,27.25,26.1,6.76,7.66,7.81,1.58
4402,福大棉業,26452088,2696463,834,9.8,10.4,9.26,9.89,9.49,N/A,0,3.92,1.07
4406,新昕纖維,4002913,540008,254,7.41,8.27,6.55,7.61,6.55,8.62,3.05,1.04,0.54
4413,飛寶動能,5298279,1589639,210,3.33,4.4,2.43,3.26,4.15,34.58,0,0.9,18.86
