櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
100年12月 Dec. 11,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 174,139,891,484元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,310,869筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,415,902,760股",,,,,,4. 成交量週轉率： 7.94%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
1258,F-其祥  ,125602340,4095360,2072,30.66,35.25,26.05,29.49,27.6,4.5,0,12.05,2.14,
4205,恆義食品,10135717,351273,270,28.85,29.45,27,28.93,28.7,14.49,6.96,0.53,1.77,
4207,環泰企業,28724229,3051531,511,9.41,9.7,9.16,9.34,9.45,59.06,4.76,2.34,0.81,
4303,信立    ,5929672,1273909,412,4.65,4.99,4.5,4.62,4.65,N/A,0,1.82,0.5,
4304,勝昱科技,15717103,1500957,617,10.47,11.45,9.23,10.42,9.99,N/A,0,2.52,0.89,
4305,世坤塑膠,5848210,341098,135,17.14,18.4,16.7,17.28,17.1,16.13,4.67,0.62,1.28,
6508,惠光化學,42293571,1773977,1095,23.84,25.6,22.4,23.74,25,13.09,6,2.44,1.14,
8354,冠郝企業,10733856,1132218,276,9.48,9.95,9.06,9.5,9.55,238.75,5.02,2.14,0.62,
9950,萬國通路,4941607,276046,140,17.9,18.2,17.3,17.91,18.1,10.52,7.01,0.62,1.14,
4401,東隆興業,305026497,14544398,5746,20.97,27,18.05,21.87,21.5,5.57,9.3,12.09,1.3,
4402,福大棉業,17593846,1911025,569,9.2,10,8.11,8.95,9,N/A,0,2.78,1.01,
4406,新昕纖維,3428294,536010,270,6.39,6.87,5.9,6.42,6.5,8.55,3.07,1.03,0.54,
4413,飛寶動能,2960845,749218,126,3.95,4.35,3.16,3.85,3.16,26.33,0,0.42,14.36,
4417,金洲製網,37230909,2369865,1042,15.71,16.4,14.55,15.8,16.3,10.45,6.74,3.46,1,
4419,松懋工業,2558798,298118,162,8.58,9.8,7.54,8.77,8.29,6.97,0,0.84,1.08,
4420,光明    ,3933295,218426,168,18,18.4,17.5,18.16,18.25,10.37,9.31,0.73,1.02,
4426,利勤    ,17338109,1694233,526,10.23,10.75,9.7,10.27,9.93,N/A,10.07,2.76,0.69,
4429,聚紡    ,33237420,893788,484,37.18,38.45,36.4,37.28,37.4,7.84,8.55,2.6,1.25,
1558,伸興工業,225904822,2368417,2030,95.38,101.5,90,94.29,93.1,9.14,8.59,4.89,2.39,
1566,毅金工業,14475609,1165873,849,12.41,13.15,11.1,12.07,13,36.11,3.84,2.78,0.95,
1570,力肯實業,1895459,395314,197,4.79,5.26,4.02,4.76,4.99,N/A,0,0.77,0.66,
1580,新麥企業,135875601,1519945,1254,89.39,95,84,89.08,87.4,9.66,8.58,3.73,3.32,
2233,宇隆    ,232682873,3519993,2340,66.1,75.9,58.7,65.84,62.5,11.38,4.8,9.39,2.63,
3162,精確    ,5664999,679184,442,8.34,9.07,7.77,8.44,8.32,29.71,6,1.2,0.73,
3379,彬台    ,565829763,9470187,6857,59.74,62.9,57.4,59.18,59.3,8.93,3.37,30.26,3.21,
4502,源恆工業,933956,216452,69,4.31,5.29,4.05,4.61,4.47,1.11,0,0.46,0.47,
4503,金雨企業,8680843,1480778,492,5.86,6.51,5.32,5.77,5.95,12.14,0,4.03,0.82,
4506,崇友實業,10517783,754607,391,13.93,14.4,13.25,13.86,13.95,12.35,7.16,0.38,0.86,
4510,高鋒工業,213919193,17046399,3925,12.54,13.3,11.85,12.48,12.35,15.06,0,20.22,0.93,
4513,福裕事業,76619641,6573063,2535,11.65,12.75,10,11,12.2,48.8,0,10.13,1.17,
4523,永彰機電,906544982,22181674,14757,40.86,50.5,36.1,40.84,39.1,10.34,1.27,34.66,1.41,
4527,方土霖  ,10235942,766476,272,13.35,13.8,12.7,13.4,13.7,14.42,2.91,1.43,1.04,
4528,江興鍛壓,17776440,1110025,632,16.01,16.5,15.4,16.01,16.05,8.07,6.23,1.66,0.97,
4529,力武電機,18671525,1865190,518,10.01,10.5,9.5,10.05,10,N/A,0,3.11,1.27,
4530,宏易精密,6709001,1665112,540,4.02,4.66,3.68,4.19,3.81,N/A,0,1.66,0.58,
4533,協易機械,150785036,15316090,5917,9.84,11,8.8,9.77,10.1,9.81,5.94,10.53,0.7,
4534,慶騰精密,2551759,278325,97,9.16,10.7,8.6,9.8,9,900,5.55,0.42,0.79,
4535,至興精機,38950828,1016207,379,38.32,39.3,37.4,38.37,38.65,10.47,6.46,1.41,1.46,
6122,擎邦國際,19339324,1346847,784,14.35,15.45,13.55,14.46,14.5,9.12,11.03,1.96,1.03,
6603,富強鑫  ,54548091,3773660,2049,14.45,15.4,13.1,14.26,14.6,14.04,11.23,3.54,0.84,
6609,瀧澤科技,30025206,1720440,894,17.45,18.15,16.3,17.49,17.65,11.77,4.53,2.49,0.87,
