櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
101年1月 Jan. 12,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 172,173,857,770元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,095,298筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,980,615,626股",,,,,,4. 成交量週轉率： 7.29%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1258,F-其祥  ,31267313,1122702,676,27.85,28.8,26.7,27.57,28.75,4.88,0,3.3,2.23
4205,恆義食品,5379825,186652,148,28.82,29.3,28.6,28.83,29.1,14.7,6.87,0.28,1.79
4207,環泰企業,17451966,1859297,369,9.38,9.5,8.83,9.37,9.44,59,4.76,1.43,0.81
4303,信立    ,8407034,1688978,470,4.97,5.17,4.6,4.91,5.15,N/A,0,2.41,0.56
4304,勝昱科技,18757783,2197180,918,8.53,10.2,7.7,8.82,8.15,N/A,0,3.68,0.73
4305,世坤塑膠,5104990,297013,108,17.18,18.15,15.85,17.1,17.8,16.79,4.49,0.54,1.34
6508,惠光化學,35034529,1430540,872,24.49,25.3,23.5,24.36,25.2,13.19,5.95,1.97,1.15
8354,冠郝企業,8504919,847678,273,10.03,10.5,9.5,10.04,10.35,258.75,4.63,1.6,0.68
9950,萬國通路,5232494,290422,150,18.01,18.5,17.2,17.98,18.3,10.64,6.93,0.65,1.15
4401,東隆興業,205835988,8787486,3798,23.42,26.5,21.05,23.03,26.3,6.81,7.6,7.31,1.6
4402,福大棉業,33746527,4034455,305,8.36,9.08,8.01,8.5,8.52,N/A,0,5.87,0.96
4406,新昕纖維,1999679,299303,141,6.68,6.99,6.35,6.58,6.9,9.08,2.89,0.58,0.57
4413,飛寶動能,465858,142794,29,3.26,3.75,2.94,3.52,3.72,31,0,0.08,16.91
4417,金洲製網,58175597,3510722,1122,16.57,17.25,15.9,16.54,16.75,10.74,6.56,5.13,1.03
4419,松懋工業,3579189,395007,255,9.06,9.5,8.28,8.99,8.8,7.39,0,1.12,1.15
4420,光明    ,2898620,159004,111,18.22,19,18,18.3,18.8,10.68,9.04,0.53,1.05
4429,聚紡    ,22642495,581397,443,38.94,40.1,37.3,38.76,40.1,8.41,7.98,1.69,1.34
1558,伸興工業,180280031,1888307,1571,95.47,102,91.2,93.67,101,9.91,7.92,3.9,2.6
1566,毅金工業,163278288,11549107,1465,14.13,17.6,11.9,13.69,17,47.22,2.94,27.49,1.24
1570,力肯實業,666478,131980,87,5.04,5.49,4.52,5.05,5.15,N/A,0,0.26,0.69
1580,新麥企業,276442158,2994002,2098,92.33,99.5,86.5,90.98,97,10.72,7.73,7.35,3.68
1586,和勤    ,113280253,5783141,2289,19.58,22.3,18.8,19.8,22.3,27.88,5.82,12.4,0.95
2233,宇隆    ,150931987,2233434,1406,67.57,74.5,62,65.21,74.3,13.53,4.03,5.96,3.13
3162,精確    ,5891968,751844,336,7.83,8.34,7.25,7.95,7.99,28.54,6.25,1.33,0.71
3379,彬台    ,490430538,9183618,6504,53.4,59.4,48.7,53.3,58.5,8.81,3.41,29.34,3.17
4502,源恆工業,153273,30223,19,5.07,5.2,4.68,4.91,5.2,1.29,0,0.06,0.55
4503,金雨企業,4404045,770180,222,5.71,6.1,5.4,5.81,6.1,12.45,0,2.09,0.84
4506,崇友實業,11624280,832836,331,13.95,14.5,13.6,14,14.3,12.65,6.99,0.42,0.88
4510,高鋒工業,236511545,20199047,4997,11.7,12.5,10.8,11.61,11.3,13.78,0,23.96,0.85
4513,福裕事業,151376342,11651677,3968,12.99,14.6,11.8,12.71,14,56,0,17.96,1.34
4523,永彰機電,2079515400,47018822,23486,44.22,49.8,37.5,42.99,48.5,12.83,1.03,73.47,1.75
4527,方土霖  ,13165037,895043,403,14.7,15.9,13.45,14.37,15.3,16.11,2.61,1.67,1.16
4528,江興鍛壓,81289832,4508388,1842,18.03,19.2,15.9,17.17,18.9,9.5,5.29,6.76,1.14
4529,力武電機,9875588,1001568,378,9.86,10.2,9.4,9.82,10,N/A,0,1.67,1.27
4530,宏易精密,4869591,1345133,394,3.62,3.82,3.29,3.58,3.76,N/A,0,1.34,0.58
4533,協易機械,135406969,12846656,4153,10.54,11.5,9.81,10.32,11.3,10.97,5.3,8.83,0.78
