櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年2月 Feb., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 459,457,575,866元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,903,874筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,868,461,438股",,,,,,4. 成交量週轉率： 17.38%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
1258,F-其祥  ,97218326,2949682,1590,32.95,36.3,28.7,32.48,34.3,5.82,0,8.68,2.67,,
4205,恆義食品,10448114,353094,249,29.59,30,29.1,29.65,29.9,15.1,6.69,0.53,1.84,,
4207,環泰企業,27482405,2732118,956,10.05,10.7,9.4,10.08,10.4,65,4.33,2.1,0.89,,
4303,信立    ,40522507,6848842,1544,5.91,6.74,5.12,5.72,6.68,N/A,0,9.78,0.73,,
4304,勝昱科技,24090838,2515156,1123,9.57,10.2,8.2,9.62,9.65,N/A,0,4.21,0.86,,
4305,世坤塑膠,6355779,347864,211,18.27,19.8,17.6,18.23,19.2,18.11,4.17,0.63,1.44,,
6508,惠光化學,138200050,4908527,2975,28.15,29.5,25.2,28.15,28.05,14.69,5.35,6.75,1.28,,
8354,冠郝企業,12824364,1140135,420,11.24,11.75,10.4,11.28,11.75,293.75,4.09,2.15,0.77,,
9950,萬國通路,12624137,664002,316,19.01,19.4,18.3,18.99,19,11.05,6.68,1.49,1.2,,
4401,東隆興業,927745449,31465472,11946,29.48,34,25.65,28.32,34,8.81,5.88,26.16,2.06,,
4402,福大棉業,64866052,6583314,1515,9.85,10.6,8.51,9.19,9.52,N/A,0,9.58,1.07,,
