櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年3月 Mar., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 394,896,730,495元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,375,348筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,181,868,705股",,,,,,4. 成交量週轉率： 15.41%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
1258,F-其祥  ,37905514,1152134,742,32.9,35.6,31.05,32.62,31.7,5.5,0,3.39,1.91,,
4205,恆義食品,18474720,601702,467,30.7,31.6,29.8,30.56,31.5,17.12,6.35,0.91,1.89,,
4207,環泰企業,31942543,2955189,982,10.8,11.4,10,10.67,10.35,35.69,4.35,2.27,0.87,,
4303,信立    ,204343632,25244553,4483,8.09,9.73,6.5,7.65,9.73,N/A,0,36.06,1.06,,
4304,勝昱科技,36025317,3502228,1198,10.28,11,9.5,10.25,10,N/A,0,5.87,0.94,,
4305,世坤塑膠,138656266,4835348,2528,28.67,34.55,18.6,23.4,31.4,25.74,2.55,8.79,2.3,,
6508,惠光化學,157556061,5377493,3387,29.29,31.1,27.7,29,28.8,13.78,5.21,7.39,1.3,,
8354,冠郝企業,66061281,5033699,1460,13.12,13.9,11.5,12.29,13.9,5.43,3.45,9.5,0.76,,
9950,萬國通路,25752861,1296339,666,19.86,21.2,18.8,19.53,19.8,15,6.41,2.91,1.26,,
4401,東隆興業,829306523,25749731,11589,32.2,34.4,29.6,32.27,32.6,9.24,6.13,21.41,1.92,,
4402,福大棉業,14724123,1587085,577,9.27,9.8,8.87,9.28,9.05,N/A,0,2.31,1.15,,
4406,新昕纖維,4287439,554213,234,7.73,8.19,7.4,7.69,7.86,13.79,2.54,1.07,0.62,,
4413,飛寶動能,1201368,406000,75,2.95,3.85,2.65,3.09,2.8,N/A,0,0.23,12.73,,
4417,金洲製網,233052800,12233570,3973,19.05,20.5,17.65,18.76,18.45,11.32,5.96,17.88,1.11,,
4419,松懋工業,7617580,761207,394,10,11.1,9.31,9.9,11.1,74,0,2.16,1.46,,
4420,光明    ,9303816,453464,290,20.51,21.6,19.35,20.33,20.6,13.21,8.25,1.52,1.12,,
4429,聚紡    ,134361812,2939472,1886,45.7,47.9,42.9,45.36,45.2,12.56,7.08,8.56,1.41,,
1558,伸興工業,1161656424,9980825,7343,116.38,122,109,115.8,115,8.94,6.96,21.16,2.7,,
1566,毅金工業,418835086,17629803,6464,23.75,27.55,18,22.6,24.4,56.74,2.05,41.97,1.8,,
1570,力肯實業,10820197,1412501,421,7.66,8.29,7,7.62,7.37,N/A,0,2.74,1.01,,
1580,新麥企業,954502490,8434707,5672,113.16,120,104,111.58,109,11.02,6.88,20.72,3.71,,
1586,和勤    ,99067962,3676529,1862,26.94,28.5,25.5,26.6,26.15,36.32,4.97,7.88,1.14,,
1591,F-駿吉  ,106193350,2745100,1715,38.68,41,35,37.12,35.55,17.09,2.81,13.49,2.86,,
2233,宇隆    ,1932874543,20254737,12780,95.42,104.5,82.9,94.9,91.4,18.24,3.28,54.06,3.25,,
3162,精確    ,29919440,3259338,1111,9.17,9.41,8.82,9.05,8.97,74.75,5.57,5.77,0.8,,
3379,彬台    ,770879383,11004913,7376,70.04,75.8,61.1,69.34,63.3,10.14,3.16,35.16,3.11,,
4502,源恆工業,1431053,248293,99,5.76,6.49,5.22,5.81,5.58,18.6,0,0.52,0.57,,
4503,金雨企業,10061502,1434178,398,7.01,7.58,6.73,6.97,7.06,25.21,0,3.9,1.02,,
4506,崇友實業,30004777,1980303,743,15.15,15.5,14.7,15.18,15.25,12.5,6.56,1.01,0.91,,
4510,高鋒工業,203219984,15569521,5147,13.05,13.5,12,12.91,12.4,16.1,0,18.47,0.94,,
4513,福裕事業,283768714,20051974,7908,14.15,15.35,11.8,14.02,12.4,9.69,0,26.08,1.13,,
4523,永彰機電,1045963989,22095687,13704,47.33,52.7,39.55,46.57,40.6,17.2,1.23,34.52,1.37,,
4527,方土霖  ,37887048,2218388,1010,17.07,18.1,15.6,16.95,16.7,10.57,2.4,4.15,1.2,,
4528,江興鍛壓,180583590,8790796,3577,20.54,21.45,19.6,20.39,20.2,8.94,4.95,13.17,1.18,,
4529,雷風    ,40115757,3449682,1087,11.62,12.15,10.7,11.45,0,N/A,0,5.76,1.06,,
4530,宏易精密,4404186,1145226,510,3.84,4.11,3.47,3.89,3.68,N/A,0,1.14,0.57,,
4533,協易機械,472556975,35949800,11093,13.14,14.4,11.6,12.64,12.85,10.53,4.67,24.71,0.87,,
4534,慶騰精密,6607508,695637,275,9.49,9.98,8.55,9.53,9.1,N/A,5.49,1.04,0.86,,
4535,至興精機,235499341,4376902,2306,53.8,56.9,51.7,53.86,53.5,11.86,4.67,6.07,1.93,,
6122,擎邦國際,79703369,4793198,2475,16.62,17.35,15.7,16.58,15.85,10.93,10.09,6.97,0.92,,
6603,富強鑫  ,620234291,31328605,11519,19.79,22,17.75,19.65,19.3,15.82,8.5,29.38,1.18,,
6609,瀧澤科技,174941244,8071689,3707,21.67,23.1,20.1,21.57,21.95,10.21,3.64,11.7,1.04,,
8083,瑞穎    ,500928961,8623214,4808,58.09,64.7,44.7,56.19,56.7,14.1,4.06,28.62,3.42,,
8255,朋程    ,542015508,4975863,3809,108.92,115.5,96.8,108.56,100,17.73,4.5,6.98,3.08,,
8996,高力    ,866934947,20735033,10989,41.81,45.6,36.5,40.9,37.05,22.32,1.35,31.15,1.88,,
9951,皇田工業,111952816,3615414,1765,30.96,32.6,29.05,30.53,31.5,8.08,6.35,4.83,2.17,,
2061,風青    ,50289560,1628466,533,30.88,32.6,29,30.59,30,N/A,3.33,4.08,2.4,,
4609,唐鋒實業,32889468,2210828,1268,14.87,16.15,13.6,14.7,13.8,N/A,6.96,4.61,1.13,,
2035,唐榮公司,65499736,2185917,1076,29.96,31.3,28.5,29.73,29.4,21.3,0,0.62,1.33,,
2063,世鎧精密,184788182,4474305,2636,41.29,44.5,38.1,41.4,40.9,11.14,9.78,13.03,2.48,,
5009,榮剛材料,6583474595,223356250,75028,29.47,32.3,25.8,28.76,31.2,12.89,1.51,56.98,1.62,,
5011,久陽精密,9496274,233549,254,40.66,47,32.25,36.66,42,12.69,0,0.72,3.28,,
