櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年4月 Apr., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 228,526,362,832元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,612,514筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,168,195,272股",,,,,,4. 成交量週轉率： 9.31%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1258,F-其祥  ,21170498,728341,457,29.06,32,27.25,29.09,28.55,4.96,0,2.14,1.721954162
4205,恆義食品,23638810,741446,364,31.88,33,30.1,31.54,32.05,16.11,6.24,1.12,1.852601156
4207,環泰企業,113864973,9673753,2875,11.77,12.7,10,11.18,12.7,15.49,3.54,7.43,1.005542359
4303,信立    ,269723395,27286674,4017,9.88,11.7,7,9.2,7.52,N/A,0,38.98,0.832779623
4304,勝昱科技,60369269,5336559,1908,11.31,12.5,9.85,11.12,11.5,N/A,0,8.94,1.117589893
4305,世坤塑膠,97848906,4101287,2077,23.85,29.25,20.95,23.47,22.6,14.21,3.54,7.45,1.581525542
6508,惠光化學,81473277,2967344,1765,27.45,29.4,25.7,27.69,28,13.15,5.36,4.08,1.231310466
8354,冠郝企業,76507427,5639779,1964,13.56,14.85,11.75,12.8,11.8,4.92,4.07,10.64,0.651214128
9950,萬國通路,9274989,485002,238,19.12,19.9,18.5,19.13,19,15.32,6.68,1.09,1.195720579
4401,東隆興業,260721706,8585569,3227,30.36,32.5,28.25,30.26,28.9,9.76,6.92,7.14,1.657110092
4402,福大棉業,4564405,530478,233,8.6,9.2,8.19,8.7,8.44,N/A,0,0.77,1.107611549
