櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
"101年5月 May, 12",,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 220,209,384,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,437,907筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,641,766,644股",,,,,,4. 成交量週轉率： 8.49%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
1258,F-其祥  ,14487289,497160,305,29.14,30,28,29.16,29.4,5.1,0,1.46,1.77,
4205,恆義食品,19204956,586793,427,32.72,33.3,32,32.75,32.8,16.48,6.09,0.89,1.9,
4207,環泰企業,292667552,22833393,7781,12.81,13.5,12,12.71,12.6,15.37,3.57,17.55,1,
4712,南璋    ,119667711,2671712,1789,44.79,47.95,40.1,44.94,44.5,15.03,0,4.45,3.16,
4303,信立    ,21330790,2969682,874,7.18,7.97,6.53,7.14,6.83,N/A,0,4.24,0.76,
4304,勝昱科技,12241548,1130823,476,10.82,12,10,10.74,10.2,N/A,0,1.9,0.99,
4305,世坤塑膠,19843404,951089,563,20.86,23.65,18.15,20.5,18.35,11.54,4.35,1.73,1.28,
6508,惠光化學,90578661,3155046,1859,28.7,30.45,26.5,28.05,27.6,12.96,5.43,4.34,1.21,
8354,冠郝企業,11006009,960509,451,11.45,12,10.9,11.55,11.4,4.75,4.21,1.81,0.63,
9950,萬國通路,8876675,470225,214,18.87,19.2,18.5,18.91,18.5,14.92,6.86,1.06,1.16,
4401,東隆興業,263381504,10124031,4173,26.01,30.7,23.4,25.69,24.6,8.31,8.13,8.42,1.41,
4402,福大棉業,9471900,1081493,240,8.75,9.1,8.3,8.63,8.99,N/A,0,1.57,1.18,
4406,新昕纖維,1517674,224004,113,6.77,7,6.6,6.81,6.81,N/A,2.93,0.43,0.54,
4413,飛寶動能,10883,1010,2,10.8,10.8,10.8,10.8,9,N/A,0,0,15.25,
4417,金洲製網,33304130,1900817,898,17.52,18.45,16.2,17.5,17.15,10.46,6.41,2.78,1.02,
4419,松懋工業,7315176,665110,269,10.99,12.45,9.41,11.16,10.4,N/A,0,1.88,1.4,
4420,光明    ,3491174,174075,95,20.05,21.25,19.7,19.98,20,25.64,8.5,0.58,1.08,
4429,聚紡    ,58336741,1486775,1005,39.23,40.8,37.5,39.28,38.5,12.54,8.31,4.33,1.17,
1558,伸興工業,367763209,3497559,3097,105.14,110.5,101,104.61,103.5,8.4,0,6.77,2.37,
1566,毅金工業,93319158,3731154,1950,25.01,26.6,21.1,24.94,25.5,77.27,1.96,8.88,1.94,
1570,力肯實業,2823686,400258,147,7.05,7.7,6.11,6.88,6.76,N/A,0,0.78,0.93,
1580,新麥企業,845820710,7420537,5298,113.98,119.5,104.5,113.06,111.5,10.95,6.72,18.23,3.66,
1586,和勤    ,12576837,588990,329,21.35,23.5,18.6,21.22,20.65,N/A,6.29,1.26,0.94,
1591,F-駿吉  ,18382500,572000,276,32.13,33.45,30.5,32.01,31.1,12.49,3.21,2.81,2.2,
2233,宇隆    ,584403158,8129353,5314,71.88,76.9,65,72.45,71.7,15.03,4.18,21.7,2.51,
3162,精確    ,11274603,1498767,710,7.52,8.13,7,7.56,7.15,357.5,6.99,2.65,0.66,
3379,彬台    ,449349867,7494296,5179,59.95,68,52.6,58.13,53.7,7.7,3.72,23.95,2.45,
4502,源恆工業,2599401,407403,173,6.38,6.97,5.95,6.53,6.45,29.32,0,0.86,0.65,
4503,金雨企業,2148429,331498,118,6.48,7.03,6.2,6.58,6.35,N/A,0,0.9,0.96,
4506,崇友實業,482621352,27232695,8650,17.72,19.25,16.05,17.23,16.8,11.35,5.95,13.85,0.97,
4510,高鋒工業,31447406,2985770,1218,10.53,11.05,9.69,10.48,10.35,16.69,0,3.54,0.76,
4513,福裕事業,132499388,10722473,4160,12.35,13.25,11.4,12.26,12.3,11.28,0,13.95,1.12,
4523,永彰機電,620717756,16240865,8447,38.21,41,33.5,37.64,39.25,23.5,1.27,25.38,1.33,
4527,方土霖  ,10075369,588167,336,17.13,18,16.4,17.1,17.3,9.51,2.31,1.1,1.24,
4528,江興鍛壓,111357390,5199156,2234,21.41,22.3,20.5,21.23,21.3,8.95,4.69,7.79,1.21,
4529,雷風    ,8804857,596356,357,14.76,15.7,14,14.87,14.55,N/A,0,1.14,1.26,
4530,宏易精密,4834701,1390874,448,3.47,3.81,3.1,3.42,3.36,N/A,0,1.39,0.56,
4533,協易機械,73208896,6752491,2558,10.84,11.65,10,10.8,10.55,11.34,5.68,4.71,0.72,
4534,慶騰精密,1810229,219513,128,8.24,9.15,7.67,8.45,8.1,N/A,6.17,0.33,0.81,
4535,至興精機,67753227,1415977,821,47.84,50,45.5,47.8,48.5,10.3,5.15,1.97,1.7,
6122,擎邦國際,52530236,3581952,2296,14.66,15.8,13.6,14.64,13.75,24.12,11.63,5.21,0.78,
6603,富強鑫  ,96880428,6042718,2455,16.03,17.75,14.5,16.08,15.45,15.77,10.61,5.67,0.95,
6609,瀧澤科技,29022998,1449560,692,20.02,21,18.6,20,19.4,7.73,4.12,2.1,0.9,
8083,瑞穎    ,70783889,1249600,915,56.64,59.9,54,56.08,57.2,12.33,4.02,4.15,3.2,
8255,朋程    ,316154224,3831689,2983,82.51,89.3,75.3,82.57,81.4,14.16,5.52,5.37,2.42,
8996,高力    ,106938643,2980995,1911,35.87,38.25,32.55,35.58,34.15,16.91,1.46,4.48,1.71,
9951,皇田工業,62220399,2008673,968,30.97,32.5,29.55,30.94,30.3,7.93,6.6,2.68,1.94,
2061,風青    ,23088658,828020,509,27.88,28.8,27,27.84,28.2,N/A,3.54,2.05,2.24,
4609,唐鋒實業,8094554,680285,417,11.89,12.95,10.85,11.89,11.45,N/A,8.38,1.42,0.98,
2035,唐榮公司,16068788,595949,403,26.96,27.9,25.7,26.98,27,20.3,0,0.17,1.22,
2063,世鎧精密,17929886,531916,413,33.7,37.75,30.25,33.58,31.7,12.58,12.61,1.55,1.92,
5009,榮剛材料,3194130161,98824259,39062,32.32,34.3,29.45,31.98,32.5,12.26,1.44,25.01,1.63,
5011,久陽精密,12561254,314245,281,39.97,42.55,36.05,39.22,39.05,8.19,0,0.96,2.68,
5013,強新工業,19278127,1552790,634,12.41,13.15,11.75,12.51,12,7.79,14.16,1.59,0.77,
5014,建錩實業,5389499,751472,335,7.17,7.65,7,7.23,7.01,N/A,8.55,0.46,0.55,
5015,華祺工業,24871372,1567994,787,15.86,16.7,15,15.74,15.55,13.18,2.57,2.59,0.97,
5016,松和工業,24147871,813897,511,29.66,31.75,27.6,30.1,28.9,8.38,8.65,1.64,1.32,
8349,友信    ,5072617,179856,175,28.2,29,26.7,28.4,28.95,14.19,4.45,0.28,1.78,
8930,青鋼金屬,4541471,371973,220,12.2,12.85,11.5,12.23,11.7,46.8,7.6,0.65,0.85,
9962,有益鋼鐵,6852597,648581,349,10.56,11.55,9.96,10.6,10.4,69.33,18.26,0.72,0.93,
5102,富強輪胎,29812234,1601532,327,18.61,19.3,17.55,18.62,18.6,12.32,5.37,2.62,1.31,
2596,綠意開發,12747597,781708,342,16.3,17.25,15.6,16.5,16.05,17.83,7.47,1.15,1.12,
3266,昇陽開發,32975948,2281295,975,14.45,14.7,14.05,14.45,14.7,15.64,0,1.85,1.05,
4113,聯上實業,57251000,2662840,1001,21.49,22.8,20.5,21.5,22.8,18.1,0,4.63,1.61,
4416,三圓建設,1297647,18252,22,71.12,74.9,67,72.05,71.9,12.2,4.44,0.03,2.29,
5213,亞昕    ,169174498,7081809,2524,23.88,25.3,22.4,23.75,23.4,30.39,19.74,2.91,1.25,
5324,士林開發,102240339,2600710,301,39.31,41.9,37.2,39.78,39,6.78,0.76,5.31,2.13,
5505,和旺建設,764882771,21510502,6739,35.55,40,30,35.61,31.2,N/A,13.94,18.11,1.63,
5506,長鴻營造,64651517,8126292,2719,7.95,8.9,6.5,7.99,8.08,29.93,0,5.16,0.69,
5508,永信建設,528599857,13267636,2217,39.84,44.1,39.55,41.3,41.8,44,6.05,7.32,2.49,
5511,德昌營造,175276819,6116578,2210,28.65,29.4,27.8,28.69,28.55,4.68,7,6.41,1.29,
5512,力麒建設,240114912,20084556,5512,11.95,12.55,11.15,11.76,11.7,11.04,12.05,3.42,0.67,
5514,三豐建設,45747371,1825290,180,25.06,25.45,22.1,23.72,22.2,9.61,4.05,1.57,1.48,
5516,雙喜    ,31221777,1870322,1157,16.69,18,14.5,16.17,15,2.99,3.33,4.88,0.9,
5519,隆大營建,346372913,8989700,4648,38.52,40.35,34.4,37.6,37.7,11.49,9.94,10.12,2.16,
5520,力泰建設,2428387,112427,64,21.59,22.1,20.95,21.7,21.8,15.14,6.19,0.16,0.84,
5521,工信    ,73984567,9453429,2651,7.82,8.08,7.56,7.78,7.8,13.45,3.84,2.72,0.64,
5523,宏都建設,9368358,1076840,415,8.69,9.1,8.4,8.71,8.55,N/A,0,0.61,0.96,
5529,志嘉建設,15897679,1131487,268,14.05,14.5,13.4,14.14,14.05,N/A,7.11,2.12,1.44,
6177,達麗建設,110477443,4001831,1475,27.6,29.4,25.6,27.45,26.75,20.74,11.55,3.34,1.82,
6212,理銘科技,7755492,721255,186,10.75,11.3,10.05,10.86,11.25,59.21,0,0.71,1.22,
6219,富旺    ,8780110,438212,239,20.03,20.45,19.65,20.05,20.05,N/A,0,0.32,2.39,
6264,德士通  ,16438967,1695026,738,9.69,10.3,9.11,9.67,9.62,N/A,0,1.23,1.3,
9946,金革科技,19529836,1273345,434,15.33,16.2,14.8,15.45,15.15,6.39,0,0.8,1.05,
2636,台驊國際,58408415,2645872,1305,22.07,22.95,20.7,21.96,20.85,13.2,12.99,4.14,1.11,
5601,台聯貨櫃,2016412,113110,57,17.82,19,17.35,18.22,18.1,35.49,1.27,0.16,0.9,
5603,陸海交通,7025461,677704,221,10.36,10.85,10,10.37,10.35,N/A,0,1.08,0.74,
5604,中連貨運,21184719,840749,309,25.19,25.45,24.9,25.23,25.25,18.98,7.76,0.77,1.01,
5609,中菲行  ,43912696,2574360,1459,17.05,17.5,16.5,17.04,17.35,13.55,8.7,1.91,1.29,
1259,安心    ,115285125,810182,922,142.29,153.5,130,144.29,139,24.51,2.15,2.75,2.68,
2718,桃園店  ,5252062,120214,81,43.68,45.8,41,43.82,44.2,32.99,2.14,0.53,1.7,
2719,燦星旅  ,69761020,2257276,1428,30.9,34.4,28.05,30.96,29.2,36.05,5.58,6.56,2.01,
2724,F-富驛  ,272075248,3032800,1917,89.71,91.7,87,90.73,90.5,68.56,0.55,10.29,4.08,
5701,劍湖山  ,65285063,11830575,3400,5.51,5.92,5.1,5.52,5.41,N/A,0,2.85,0.77,
5703,亞都麗緻,4633774,217053,103,21.34,22.75,20.4,21.57,21.1,37.68,1.18,0.31,1.71,
5704,老爺知  ,3923453,213930,145,18.33,19.65,17.95,18.51,18.4,21.65,1.63,0.55,1.38,
5820,日盛金控,142741014,16804431,4783,8.49,9.08,7.95,8.51,8.45,9.39,10.76,0.66,0.75,
6008,凱基證券,6608033600,490394073,60764,13.47,14.05,11.85,13.39,13.55,24.64,4.79,15,0.9,
6015,宏遠證券,52990737,11005888,2760,4.81,5.2,4.46,4.81,5.04,N/A,0,2.41,0.59,
6016,康和證券,77560996,12564575,2943,6.17,6.49,5.92,6.16,6.36,N/A,2.35,1.82,0.57,
6020,大展證券,5847432,440400,272,13.27,14.15,12.7,13.36,13.25,N/A,4.83,0.19,0.93,
6021,大慶證券,26867202,2669913,942,10.06,10.65,9.5,9.99,10.2,N/A,13.72,0.87,0.74,
6022,大眾證  ,68455685,8746779,2665,7.82,8.5,7.16,7.88,7.6,N/A,4.47,2.32,0.62,
6023,元大期貨,16141618,485334,403,33.25,34.4,32.5,33.26,32.95,10.26,7.28,0.21,1.4,
6024,群益期  ,41866563,1589291,876,26.34,27.1,25.4,26.32,26.1,11.01,3.83,1.72,1.25,
2916,滿心企業,31982895,1564757,819,20.43,21.85,19.4,20.58,19.5,12.5,10.25,2.86,1.1,
2924,F-東凌  ,28566282,476012,345,60.01,62,55.6,58.42,62,19.5,3.22,1.57,2.82,
5902,德記洋行,29229987,2484903,658,11.76,12.6,11,11.5,11.6,N/A,0,2.63,1.91,
5903,全家    ,262038219,1827086,1452,143.41,149,137.5,143.04,143,34.88,2.37,0.82,7.16,
5904,寶雅國際,451508726,8700458,5805,51.89,55.5,49,51.45,53.6,12.82,5.41,9.66,2.67,
5905,南仁湖  ,479190197,37616472,8823,12.73,13.65,11.75,12.46,12.25,76.56,0,17.79,1.02,
6195,詩肯    ,179279682,3235375,2236,55.41,57.7,50.6,54.66,54.1,8.97,3.69,8.52,2.8,
8941,關中    ,8562574,1057820,286,8.09,8.8,7.62,8.19,8.09,N/A,0,0.81,2.17,
9960,邁達康  ,4634125,240931,187,19.23,20.15,18.5,19.36,19.2,11.23,4.16,0.75,1.34,
1584,精剛精密,255249992,11876211,4309,21.49,23.4,19.5,21.22,20,31.25,1,14.95,1.07,
2221,大甲    ,21731095,1093501,698,19.87,22.35,17.8,20.16,18.7,11.07,0,2.58,1.33,
3284,太普高  ,84708393,6970730,2024,12.15,13.1,11.55,11.93,11.8,78.67,9.32,13.85,0.92,
4430,耀億    ,29329389,745280,472,39.35,41.5,36.05,39.03,38.8,23.8,5.15,1.7,1.32,
5304,鼎創達  ,9062468,1526434,767,5.93,6.88,5.4,6.09,5.42,8.6,0,0.82,1.02,
5312,寶島科  ,1272731782,16669003,11750,76.35,83.9,68,75.65,74,18.32,2.97,27.75,3.41,
5530,龍巖    ,906278738,10534904,7302,86.02,93.9,78.6,86.51,84.5,16.54,1.77,2.64,4.35,
6186,新潤興業,10332351,628143,222,16.44,16.85,15.5,16.5,16.65,87.63,0,1.25,1.46,
6294,智基科技,9586124,199901,219,47.95,54,40,46.17,43.7,20.81,0,1.3,4.94,
6803,崑鼎投控,150727809,1040120,813,144.91,149.5,142,144.95,144,15.17,4.29,1.74,3.06,
8390,金益鼎  ,184633851,4959149,3037,37.23,40.85,33.8,36.71,35.5,12.54,4.56,7.15,1.52,
8401,白紗科技,26101097,1400975,863,18.63,20.1,17.05,18.54,18.2,9.78,13.79,3.46,1.14,
8418,F-必勝  ,106015390,2220412,1163,47.74,51,45.05,47.17,47,10.2,0.42,4,1.33,
8423,F-保綠  ,8323787,254201,224,32.74,37.2,29.4,33.38,30.1,27.87,0,1.52,1.92,
8426,F-紅木  ,17629036,366514,289,48.09,50.4,46.2,47.75,46.8,11.36,1.62,0.92,2.56,
8705,東隆五金,291013857,7353603,3418,39.57,41.95,31.6,37.1,41.9,24.5,4,9.05,2.74,
8905,裕國    ,20119084,1288821,402,15.61,16.9,14.9,15.61,15.7,32.04,3.82,1.08,1.08,
8906,花王企業,14279181,1705002,420,8.37,8.74,7.41,8.22,8.5,212.5,0,3.32,0.99,
8913,華夏資融,38461820,3044470,1076,12.63,13.5,11.15,12.11,11.7,10.83,21.36,6.13,0.75,
8916,光隆    ,19949668,1071001,340,18.62,19.2,17.7,18.53,18,9.84,6.11,1.2,0.88,
8921,沈氏印刷,174291,11216,15,15.54,16,15,15.5,16,15.24,5.62,0.02,0.91,
8923,時報出版,1595750,90618,55,17.6,17.95,17.2,17.6,17.9,17.05,6.98,0.3,1.21,
8924,大田精密,37025908,1644751,954,22.51,24,20.3,21.82,20.7,59.14,0,1.36,1.17,
8925,偉盟工業,797947342,52834358,11675,15.1,15.6,14.25,15.15,14.65,N/A,3.48,18.46,1.15,
8928,鉅明    ,45975987,4581499,1508,10.03,10.95,8.65,9.48,8.94,24.16,0,7.21,0.91,
8929,富堡工業,33606022,1176421,866,28.56,29.7,27.05,28.52,28.5,8.69,6.31,4.3,1.34,
8932,宏大    ,16409074,2283575,296,7.18,7.75,6.44,6.98,7.18,N/A,0,4.68,0.84,
8933,愛地雅  ,98857718,9233098,3542,10.7,11.8,9.7,10.41,10.1,14.85,7.82,7.09,0.72,
8934,衡平    ,1898944,37778,60,50.81,63.2,37,49.21,38.15,4.61,0,0.73,2.57,
8935,邦泰    ,27095825,5941562,1762,4.56,5.1,3.86,4.49,3.97,N/A,0,2.94,0.51,
8936,國統國際,215863163,6998987,3944,30.84,32.5,28.55,30.88,30.6,23.01,3.92,5.15,1.12,
8937,合騏    ,10053055,1002614,366,10.02,10.2,9.7,10.05,10.1,N/A,0,1.38,0.94,
8938,明安國際,266679435,6933804,4103,38.46,40.2,36.2,37.9,38.1,17.09,6.82,5.16,1.4,
8942,森鉅科技,1948734561,31982397,14555,60.93,63.2,58.1,60.51,62.5,15.43,0,23.36,2.8,
9949,琉園    ,12084764,608588,442,19.85,20.75,18.25,19.88,20,35.09,6,1.29,1.19,
1742,台蠟    ,23790645,1455373,814,16.34,17.3,15.6,16.27,15.8,N/A,18.98,2.25,1.24,
1787,福盈科技,76804085,6209573,2629,12.36,13.4,11.2,12.3,12.55,69.72,5.49,8.9,0.84,
4702,中美聯合,16354773,1012010,606,16.16,17.75,15.1,16.24,16,N/A,0,1.32,2.15,
4703,金美克能,87188666,6173793,2250,14.12,15.05,13.15,14.01,13.5,6.82,0,9.03,1.74,
4706,大恭化學,11469181,812512,237,14.11,14.8,13.5,14.18,13.7,11.71,7.29,1.03,0.81,
4707,磐亞    ,25148225,2970737,1313,8.46,9.19,7.53,8.45,8.01,27.62,0,1.32,0.46,
4711,永純    ,3108961,181060,130,17.17,17.95,16.55,17.2,17.25,23.31,8.11,0.3,0.9,
4714,永捷    ,68133148,4219177,1391,16.14,17.9,14.5,15.81,14.85,14.14,6.73,9.94,1.02,
4716,大立    ,89263396,4500198,2312,19.83,21.45,17.5,19.57,19.1,15.66,5.23,7.46,1.43,
4720,德淵企業,74999601,5077863,1962,14.76,15.85,13.4,14.35,14.15,16.85,1.41,7.29,1.05,
4721,美琪瑪  ,80552208,3211253,1900,25.08,26.9,22.45,24.45,23.8,15.06,9.95,4.28,1.64,
4722,國精化學,120920290,4837470,2021,24.99,26.5,23.9,24.95,24.1,15.45,3.27,6.6,1.44,
4739,康普    ,9600936,417172,287,23.01,24.3,21.6,23.12,22.1,16.25,4.52,0.86,1.11,
6506,雙邦實業,10009936,716694,275,13.96,14.35,13.25,13.87,13.65,31.74,7.32,1.14,1.08,
6509,聚和國際,59627210,4841348,2348,12.31,13,11.6,12.28,12.4,44.29,2.41,2.89,0.78,
1565,精華光學,1776443522,5332600,4604,333.12,357,305,332.13,325,15.61,4.46,10.58,5.34,
1752,南光    ,180549776,6116839,3742,29.51,31.65,26.85,29.02,29.2,139.05,0,9.71,2.24,
1777,生泰合成,15396863,325267,302,47.33,50,43.65,47.46,47.1,20.3,4.88,1.37,2.22,
1781,合世生醫,22506914,1495155,601,15.05,16.4,13.6,15.1,15.7,N/A,0,3.56,1.68,
1784,訊聯    ,95748989,2412371,1871,39.69,41.9,36.5,38.75,38.1,45.9,0,4.8,1.74,
1788,杏昌生技,131285301,1777167,1362,73.87,76.8,70,73.63,74.4,17.67,4.7,5.08,1.91,
1795,美時化學,30512180,1304198,862,23.39,25.65,21.2,23.26,22.9,N/A,1.31,2.93,1.83,
1799,紅電醫  ,2843038,305632,257,9.3,10,8.51,9.31,9,N/A,0,0.96,0.96,
1813,寶利徠  ,284379547,7189127,4201,39.55,42.6,36.05,38.76,40.4,16.69,3.71,17.49,2.38,
3118,進階    ,159305767,4860031,3594,32.77,36.2,28.9,31.63,31.3,17.89,6.38,14.98,2.01,
3176,基亞    ,1228331247,20527600,12799,59.83,64.3,54.5,59.3,61.5,N/A,0,15.95,8.09,
3205,佰研生化,1817681,115600,117,15.72,17.5,14.1,16.25,16.3,N/A,0,0.47,1.57,
3218,大學光學,77366272,3627905,2262,21.32,22.8,19.6,21.13,21,72.41,0,5.45,1.22,
4102,永日化工,189302859,4974387,3463,38.05,40.6,34.7,37.91,37,21.76,5.4,11.74,1.94,
4103,百略    ,53085586,1114907,864,47.61,49,46.2,47.49,47.2,12.59,6.35,0.91,2.02,
4105,東洋藥品,2278047280,21407762,14030,106.41,112.5,98.5,106.04,111.5,33.89,2.33,12.41,6.81,
4107,邦特生技,323422378,11468299,6128,28.2,30.4,24.8,26.83,30.3,17.12,5.94,14.65,1.86,
4109,加捷    ,27747803,1623411,1023,17.09,17.9,16.3,17,16.85,39.19,3.5,3.2,1.27,
4111,濟生    ,435067517,18065625,9726,24.08,25.7,21.4,23.53,24.8,29.88,2.01,36.01,1.49,
4114,健喬信元,214140166,6871494,4033,31.16,33.1,28.1,30.4,29.95,34.03,2.03,7.97,2.15,
4120,友華生技,251368156,5973521,3956,42.08,44.05,40.05,41.83,43.3,20.42,1.5,6.89,1.63,
4121,優盛醫學,16602164,1555761,783,10.67,11.35,9.66,10.45,10,32.26,8,2.12,0.66,
4123,晟德    ,137384179,3919431,2688,35.05,39.5,32.1,35.63,32.7,181.67,3.82,4,1.84,
4126,太平洋醫,124008238,1397843,1130,88.71,90.8,86.6,88.69,88.8,16.82,4.63,2.33,3.36,
4127,天良    ,78545463,4749436,2595,16.53,17.9,15,16.11,16,29.63,0,10.38,1,
4128,中天生技,593003354,16672534,10438,35.56,37.9,32.8,35.33,37.5,N/A,6.66,6.09,1.99,
4129,聯合骨科,82321011,2526523,1659,32.58,36.4,29.6,33.11,31.45,26.65,2.16,5.45,2.17,
4130,健亞    ,563005474,19641246,11683,28.66,31.55,24.5,28.29,28.1,55.1,0,20.26,2.8,
4131,晶宇生技,13339968,1133676,621,11.76,12.9,11.1,11.76,11.35,N/A,0,2.35,2,
4138,曜亞國際,562440029,5017251,3947,112.1,122,104,110.59,109,17.36,4.58,18.93,2.81,
