櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年6月 Jun., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 183,475,481,610元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,126,927筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,415,241,305股",,,,,,4. 成交量週轉率： 6.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1258,F-其祥  ,9330730,303089,191,30.78,33.7,28.6,30.98,32.8,5.69,0,0.89,1.98
4205,恆義食品,24463302,743999,332,32.88,34.8,30.5,32.45,33,16.58,6.06,1.13,1.91
4207,環泰企業,95303652,7756337,2557,12.28,12.6,11.8,12.27,12.4,15.12,3.62,6.12,0.98
4712,南璋    ,50796852,1224520,815,41.48,44.5,39.8,41.4,40.55,13.7,0,2.04,2.88
4303,信立    ,7083290,1030438,391,6.87,7.35,6.38,6.87,7,N/A,0,1.47,0.78
4304,勝昱科技,6759892,687460,295,9.83,10.2,9.4,9.88,9.7,N/A,0,1.15,0.94
4305,世坤塑膠,11397409,595455,416,19.14,20.2,17.5,19.07,19.4,12.2,4.12,1.08,1.36
6508,惠光化學,49174735,1818850,1097,27.03,28.5,25.1,26.95,28.1,13.19,5.33,2.5,1.24
8354,冠郝企業,15188038,1257581,524,12.07,13,10.8,11.95,12.7,5.29,3.77,2.37,0.7
9950,萬國通路,8155456,433876,196,18.79,19.2,18.3,18.78,19,15.32,6.68,0.97,1.2
4401,東隆興業,108575668,4435166,1796,24.48,26.5,23,24.34,26.5,8.95,7.54,3.69,1.52
4402,福大棉業,2499195,294731,153,8.47,8.95,8.2,8.56,8.44,N/A,0,0.43,1.11
4406,新昕纖維,2371457,353444,169,6.7,7.34,6.5,6.73,6.95,N/A,2.87,0.68,0.55
4413,飛寶動能,699882,85771,26,8.15,8.7,7.75,8.15,8.65,N/A,0,0.19,14.66
4417,金洲製網,39268000,2327694,1155,16.86,18,15.8,16.74,17.1,10.43,6.43,3.4,1.02
4419,松懋工業,5423108,558071,214,9.71,10.7,9.3,10,10.1,N/A,0,1.58,1.36
4420,光明    ,30372512,1519017,757,19.99,21.4,18.05,19.71,18.8,24.1,7.18,5.1,1.01
