櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年7月 Jul., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 169,699,787,272元",,,,,,"3. 櫃檯買賣月總成交筆數： 1,997,256筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,331,731,279股",,,,,,4. 成交量週轉率： 6.43%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1258,F-其祥  ,6677575,206055,112,32.4,33.8,30.1,32.49,30.1,9.5,0,0.61,1.74
4205,恆義食品,44193309,1281280,752,34.49,35.8,32.6,34.35,33.5,16.83,5.97,1.94,1.94
4207,環泰企業,397722472,29744931,8917,13.37,14,12.5,13.21,13.6,16.59,3.3,23.47,1.08
4712,南璋    ,81316589,1912737,1190,42.51,45.5,36.75,42.78,39.1,13.21,4.45,2.79,2.78
4303,信立    ,2344670,356842,201,6.57,7.1,6,6.55,6.3,N/A,0,0.51,0.7
4304,勝昱科技,4962640,558316,227,8.88,9.72,8.05,8.8,8.6,N/A,0,0.94,0.84
4305,世坤塑膠,8818144,450808,303,19.56,21.1,18,19.24,18.1,11.38,6.07,0.82,1.27
6508,惠光化學,95847310,3406799,2050,28.13,29.05,26.8,28,28.35,13.31,5.29,4.68,1.25
8354,冠郝企業,3245611,264386,160,12.27,12.7,11.8,12.29,12.1,5.04,3.96,0.5,0.67
9950,萬國通路,6943622,377178,221,18.4,19.2,17.8,18.17,18.55,14.96,6.41,0.85,1.17
4401,東隆興業,145117872,5976530,2517,24.28,26.6,21.2,24.13,22,7.43,10,4.97,1.26
4402,福大棉業,7630362,907059,149,8.41,8.6,8.01,8.38,8.24,N/A,0,1.32,1.08
4406,新昕纖維,1511837,223004,99,6.77,7.32,6.16,6.64,6.16,N/A,8.11,0.43,0.49
4413,飛寶動能,110100,22000,3,5,6.15,4.95,5.55,4.29,N/A,0,0.05,7.27
4417,金洲製網,22996882,1345116,617,17.09,17.6,16.7,17.15,17.5,10.67,5.14,1.97,1.05
4419,松懋工業,2807889,278021,184,10.09,10.9,8.62,9.94,9.34,N/A,0,0.71,1.26
4420,光明    ,6275269,331952,201,18.9,19.2,18.5,18.89,18.7,23.97,7.21,1.11,1.01
4429,聚紡    ,54580617,1482651,697,36.81,39.3,31.1,34.2,32.05,10.44,9.98,4.32,0.97
1558,伸興工業,383578764,3707632,2935,103.45,108.5,94.5,102.72,96.6,7.84,8.28,7.18,2.21
1566,毅金工業,538015893,16756025,9325,32.1,35.5,26.3,31.3,31.9,96.67,2.5,39.89,2.43
1570,力肯實業,1072962,166287,79,6.45,6.9,5.88,6.41,6.26,N/A,0,0.32,0.86
1580,新麥企業,580291345,4620550,3301,125.58,132,119,124.84,132,12.97,5.68,11.35,4.33
1586,和勤    ,24661742,1235264,381,19.96,22.4,18.1,19.76,20.5,N/A,2.43,2.65,0.93
1591,F-駿吉  ,10039496,320147,168,31.35,32.2,30.35,31.29,31,12.45,3.22,1.57,2.2
2233,宇隆    ,640491817,9229071,6393,69.39,74,65,68.56,67.8,14.21,5.89,24.63,2.37
3162,精確    ,17819395,1916110,563,9.29,9.57,8.52,9.11,9,450,1.77,3.39,0.83
3379,彬台    ,281183844,5027419,3602,55.93,61.5,51.5,54.11,52.8,7.58,3.78,16.06,2.41
4502,源恆工業,2146306,336701,192,6.37,7,6.04,6.39,6.22,28.27,0,0.57,0.63
4503,金雨企業,11677178,1809980,112,6.45,6.72,6.03,6.42,6.05,N/A,0,4.92,0.92
4506,崇友實業,130754862,7704728,2690,16.97,17.3,16.2,16.91,17.15,11.59,5.83,3.92,0.99
4510,高鋒工業,20693896,2064112,852,10.02,10.85,9.31,9.73,9.57,15.44,8.35,2.38,0.7
4513,福裕事業,35069971,3070395,1306,11.42,12.35,10.65,11.32,10.95,10.05,0,3.99,1
4523,永彰機電,418513453,11431367,6089,36.61,39,32.1,35.15,34.3,20.54,2.04,17.86,1.16
4527,方土霖  ,35030958,1991250,777,17.59,18.4,17.2,17.48,17.65,9.7,2.26,3.72,1.26
4528,江興鍛壓,79863747,3858867,1383,20.69,21.5,19.3,20.97,19.6,8.24,7.65,5.51,1.12
4529,雷風    ,6859956,433607,263,15.82,16.7,15,15.72,15.7,N/A,0,0.83,1.36
4530,宏易精密,4526639,1656356,376,2.73,3.19,2.43,2.78,2.54,N/A,0,1.66,0.42
4533,協易機械,66968704,6334781,2100,10.57,11.4,9.91,10.47,10.25,11.02,8.39,4.42,0.7
4534,慶騰精密,1852559,217391,100,8.52,9.16,8.15,8.62,8.84,N/A,5.65,0.33,0.88
4535,至興精機,27479015,559001,428,49.15,50.7,47.8,49.07,50.1,10.64,4.99,0.78,1.75
6122,擎邦國際,16380514,1203611,600,13.6,14.15,13.1,13.63,13.65,23.95,11.72,1.75,0.77
6603,富強鑫  ,56774184,3524958,1646,16.1,16.9,15.4,15.95,15.75,16.07,6.34,3.31,0.97
6609,瀧澤科技,33684586,1676485,782,20.09,20.75,19.55,20.19,20.65,8.23,3.87,2.43,0.96
