櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年8月 Aug., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,838,048,868元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,608,643筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,817,722,221股",,,,,,4. 成交量週轉率： 8.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1258,F-其祥  ,9376370,313083,193,29.94,31.75,29.2,30.07,30.3,9.558359621,0,0.92,1.7
4205,恆義食品,24237069,720711,516,33.62,34.95,32.9,33.63,34.4,16.15023474,5.81,1.09,1.99
4207,環泰企業,293540721,21456401,6150,13.68,14.2,13.15,13.59,13.4,14.10526316,1.94,16.08,1.06
4712,南璋    ,90470381,2223738,1418,40.68,42.9,38.4,40.25,40,6.837606838,4.35,3.25,2.84
4303,信立    ,18133130,2294736,620,7.9,8.66,6.2,6.99,7.7,N/A,0,3.28,0.85
4304,勝昱科技,4361922,504230,230,8.65,9.2,8.12,8.54,8.9,N/A,0,0.84,0.86
4305,世坤塑膠,35517825,1566907,914,22.66,24.55,18,20.67,22.8,12.39130435,4.82,2.85,1.6
6508,惠光    ,323240820,10485486,5765,30.82,32.6,28.15,30.14,30.9,12.92887029,4.85,14.41,1.36
8354,冠郝企業,66789021,5161610,1688,12.93,13.5,12,12.28,12.65,2.962529274,3.79,9.71,0.7
