櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
"101年11月  Nov., 12",,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 203,955,035,096元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,395,365筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,392,892,597股",,,,,,4. 成交量週轉率： 8.32%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
"代 號
 Code",股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,"總  成  交  量
（ 股 ）　　　Total Trading Volume　　　　　（Share）","總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比      P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
1256,F-鮮活  ,37265024,592547,526,62.88,68.9,58.3,62.52,61.7,13.74,1.81,3.36,2.68,,,
1258,F-其祥  ,4210845,152221,128,27.66,28.7,26.05,27.59,26.95,9.56,8.16,0.45,1.51,,,
4205,恆義食品,19530615,559517,367,34.9,36,33.8,35.1,35.3,16.05,5.66,0.85,2.15,,,
4207,環泰企業,96628001,7445291,2207,12.97,13.4,12.65,12.95,13,9.35,2,5.56,1.01,,,
4712,南璋    ,236274112,6167675,4171,38.3,40.9,33.7,37.93,39.7,8.69,4.38,9.01,2.89,,,
4303,信立    ,7308370,1042257,387,7.01,7.59,6.54,7.02,7.59,N/A,0,1.49,0.84,,,
4304,勝昱科技,5649946,983956,345,5.74,6.17,5.54,5.76,5.75,N/A,0,1.65,0.59,,,
4305,世坤塑膠,78835011,3087429,2051,25.53,28,20.9,23.74,24.95,11.71,4.4,5.61,1.73,,,
6508,惠光    ,49406277,1853313,1234,26.65,27.6,25.3,26.58,27.45,12.53,5.46,2.49,1.24,,,
8354,冠郝企業,37134374,3096221,1295,11.99,12.8,11.65,11.91,12.5,3.14,6.4,5.6,0.69,,,
9950,萬國通路,4037359,211003,149,19.13,19.8,18.7,19.11,18.7,17,6.36,0.47,1.21,,,
4401,東隆興業,87835768,3778901,1298,23.24,24.6,22.5,23.25,23.25,10.2,9.46,3.14,1.42,,,
4402,福大材料,4326785,643899,265,6.71,7.46,6,6.79,7.01,N/A,0,0.94,1.11,,,
4406,新昕纖維,5481524,890184,415,6.15,6.6,5.75,6.14,6.13,N/A,8.15,1.71,0.52,,,
4417,金洲製網,260974254,13146955,5472,19.85,20.8,18.8,19.67,19.6,4.08,4.59,18.47,1.01,,,
4419,松懋工業,8780573,920012,376,9.54,10.5,8.56,9.54,10,N/A,0,2.34,1.35,,,
4420,光明    ,2753169,150001,117,18.35,19,17.9,18.36,18.45,20.27,7.31,0.5,1.05,,,
4429,聚紡    ,24386035,886944,630,27.49,29.5,26,27.45,28.5,19.93,11.22,2.58,0.94,,,
4432,銘旺實  ,272168480,7549931,4323,36.04,39.7,33.2,36.63,37.45,7.09,4.8,19.46,1.75,,,
1558,伸興工業,139535803,1409805,1327,98.97,100,96.4,98.79,99.9,8.79,8,2.73,2.11,,,
1566,捷邦國際,106489737,3412280,1783,31.2,34,28,31.12,33,33.67,2.42,8.12,2.47,,,
1570,力肯實業,5974400,766290,303,7.79,8.28,7.11,7.74,7.85,N/A,0,1.49,1.09,,,
1580,新麥企業,410567853,3533517,2974,116.19,121,110,116.47,115.5,12.6,6.49,8.27,4.29,,,
1586,和勤    ,11460973,723299,235,15.84,16.45,15.15,15.92,16.3,N/A,3.06,1.55,0.76,,,
1591,F-駿吉  ,15733216,467231,340,33.67,35,32.4,33.7,33.6,11.09,2.97,2.3,2.3,,,
2233,宇隆    ,220908662,4150500,2832,53.22,56.5,48.05,53.3,54.4,12.95,7.35,11.08,2.02,,,
3162,精確    ,8141814,795125,336,10.23,10.8,9.6,10.04,10.4,520,1.53,1.41,0.96,,,
3379,彬台    ,392366725,8299733,5352,47.27,49.6,42,46.52,49,10.91,8.16,25.26,2.59,,,
4502,源恆工業,2293798,440360,227,5.2,5.97,4.72,5.21,5.33,N/A,0,0.75,0.66,,,
4503,金雨企業,741961,147399,114,5.03,5.33,4.63,5.07,5.24,N/A,0,0.4,0.84,,,
4506,崇友實業,34815098,2084940,858,16.69,17,16.3,16.69,16.85,10.73,5.93,1.06,1.01,,,
4510,高鋒工業,28297539,3155210,786,8.96,9.3,8.56,8.8,8.82,26.73,9.07,3.63,0.67,,,
4513,福裕事業,13874962,1581152,748,8.77,9.21,8.24,8.78,8.73,9.81,0,2.06,0.77,,,
4523,永彰機電,94040530,3640853,2332,25.82,27.2,24.6,25.86,26.35,43.92,2.65,5.69,0.88,,,
4527,方土霖  ,23600444,1373735,496,17.17,17.6,16.85,17.12,17.35,8.15,6.28,2.34,1.2,,,
4528,江興鍛壓,20761212,1152450,700,18.01,18.8,17.5,17.97,18.1,7.74,8.28,1.64,1.08,,,
4529,雷風    ,6835309,524454,208,13.03,13.8,12.75,13.24,13.25,N/A,0,1,1.21,,,
4530,宏易精密,3305653,1005810,398,3.28,3.5,2.83,3.2,3.23,N/A,0,1.01,0.57,,,
4533,協易機械,38154155,3725651,1324,10.24,10.65,9.9,10.24,10.45,10.05,8.22,2.6,0.72,,,
4534,慶騰精密,1533222,193470,85,7.92,8.35,7.3,8.05,8.22,N/A,6.08,0.29,0.83,,,
4535,至興精機,49250689,1336848,945,36.84,38.75,35.5,36.75,36.6,10.25,8.19,1.77,1.41,,,
6122,擎邦國際,18173271,1487056,707,12.22,12.55,11.7,12.16,12.25,15.71,8.16,2.16,0.75,,,
6603,富強鑫  ,30127077,2447194,1257,12.31,13.5,11.25,12.47,12,18.18,8.33,2.19,0.78,,,
6609,瀧澤科技,19485050,1081154,657,18.02,18.4,17.6,18.01,18.35,7.98,8.17,1.52,0.88,,,
8083,瑞穎    ,99186871,1730698,487,57.31,60.5,55.4,57.98,57.8,10.78,5.19,5.74,3.26,,,
8255,朋程    ,223592073,3368753,1959,66.37,68.7,63.5,66.74,68.2,15.54,6.59,4.5,2.26,,,
8996,高力    ,387731748,9930415,6655,39.04,40.8,36.8,38.55,38.3,18.96,3.91,14.21,1.98,,,
9951,皇田工業,139830953,3444800,2121,40.59,42.6,38.05,40.23,41.2,9.26,6.06,4.6,2.69,,,
2061,風青    ,5468249,219141,153,24.95,26.1,22.8,24.8,25.45,N/A,0.78,0.53,2.07,,,
4609,唐鋒實業,49858596,3213804,1943,15.51,17.4,14,15.33,15.3,N/A,6.27,6.7,1.33,,,
2035,唐榮公司,24734429,944936,457,26.17,27.9,25.45,26.53,27.35,40.22,0,0.27,1.3,,,
2063,世鎧精密,12681661,539258,424,23.51,25,22,23.32,24.5,22.48,12.24,1.31,1.76,,,
5009,榮剛材料,2665255591,123432623,41512,21.59,23.15,19.8,21.7,22.35,10.44,6.57,28.99,1.18,,,
5011,久陽精密,156627565,7263269,627,21.56,26.55,18.5,22.72,22.25,7.27,8.08,22.26,1.74,,,
5013,強新工業,29422867,2692823,874,10.92,11.3,10.65,10.93,11.3,22.6,6.19,2.7,0.77,,,
5014,建錩實業,8177632,1141277,445,7.16,7.57,7,7.19,7.19,N/A,4.17,0.69,0.6,,,
5015,華祺工業,5764090,494205,238,11.66,12.1,11.25,11.74,11.9,N/A,12.6,0.81,0.84,,,
5016,松和工業,6202741,291613,193,21.27,21.95,20.6,21.34,21.4,12.66,11.68,0.59,1.06,,,
8349,友信    ,10453678,412277,328,25.35,26.8,23.3,25.18,26.8,12.02,6.67,0.6,1.75,,,
8930,青鋼金屬,7083690,660803,169,10.71,11,10.3,10.76,10.8,41.54,8.98,1.16,0.84,,,
9962,有益鋼鐵,18441098,1677057,750,10.99,11.35,10.35,11.05,11.3,8.97,7.07,1.86,0.96,,,
5102,富強輪胎,9758666,654428,311,14.91,16,14,14.91,14.9,51.38,8.05,1.02,1.14,,,
2596,綠意開發,4727955,277378,185,17.04,17.45,15.85,17.1,17.15,11.51,5.83,0.39,1.26,,,
3266,昇陽開發,216838277,9460541,3301,22.92,24.9,19.85,22.37,24.15,73.18,3.31,7.68,1.83,,,
4113,聯上實業,188652374,10520543,5520,17.93,19.35,17.1,17.87,17.65,5.03,7.81,11.42,1.08,,,
4416,三圓建設,252950641,2162338,1647,116.98,125,106.5,115.45,120,5.55,3.75,3.6,2.68,,,
5213,亞昕    ,295267507,13751814,3741,21.47,22.3,20.45,21.46,21.75,12.5,11.44,4.24,1.3,,,
5324,士林開發,11405622,362484,287,31.46,32.4,31,31.47,31.3,5.71,12.77,0.57,2.01,,,
5505,和旺建設,413151494,21658942,8630,19.07,22.4,16.6,18.95,17.1,N/A,7.54,11.72,1.07,,,
5506,長鴻營造,14742707,1895743,570,7.77,8.05,7.6,7.79,7.7,96.25,0,1.24,0.65,,,
5508,永信建設,599701276,11599106,5987,51.7,54,48.4,51,50.3,4.86,3.3,6.4,1.97,,,
5511,德昌營造,189380284,6018197,3182,31.46,32.45,29.9,31.27,31.9,5.27,9.4,5.08,1.52,,,
5512,力麒建設,900603758,62724640,17376,14.35,14.7,13.9,14.3,14.4,5.16,6.94,9.91,0.78,,,
5514,三豐建設,14250515,712298,446,20,20.75,19.75,20.06,20.15,8.61,8.43,0.53,1.42,,,
5516,雙喜    ,11823881,882723,524,13.39,14.55,11.55,13.54,12,4.01,8.33,2.31,0.76,,,
5519,隆大營建,114488983,4245344,2442,26.96,27.7,26.1,26.93,27.3,7.67,17.28,3.54,1.85,,,
5520,力泰建設,7169722,299225,188,23.96,24.6,22.65,23.51,24.05,12.27,5.61,0.42,0.93,,,
5521,工信    ,58138595,6711118,2096,8.66,8.98,8.19,8.65,8.76,11.68,5.7,1.93,0.73,,,
5523,宏都建設,14926560,1751704,616,8.52,9.24,7.94,8.43,8.12,N/A,0,0.99,0.92,,,
5529,志嘉建設,92950395,3646802,1574,25.48,27.4,22.6,24.68,23.4,N/A,4.27,6.84,2.6,,,
6177,達麗建設,59638099,2123962,1115,28.07,29.55,26.5,27.49,28.7,8.91,5.22,1.67,1.78,,,
6212,理銘科技,4657274,383751,195,12.13,12.75,11.5,12.28,12.2,55.45,0,0.38,1.31,,,
6219,富旺    ,57981286,3087785,970,18.77,20,16.4,18.57,19.5,40.63,0,1.97,1.94,,,
6264,德士通  ,25252009,2305567,863,10.95,11.55,10.4,10.94,11.55,N/A,0,1.68,1.57,,,
9946,三發地產,162603692,9341530,3329,17.4,18,16.85,17.26,17.8,6.79,0,4.67,1.13,,,
2636,台驊國際,18100707,1040371,717,17.39,18.2,17,17.35,17.55,16.71,11.16,1.43,1.05,,,
5601,台聯貨櫃,3615872,181917,110,19.87,20.55,19.05,19.78,19.8,37.36,1.31,0.25,0.99,,,
5603,陸海交通,7335050,698276,240,10.5,10.9,10.25,10.56,10.6,N/A,5.94,1.11,0.78,,,
5604,中連貨運,7339723,286480,203,25.62,26.15,25.3,25.72,26,25.24,5.38,0.26,1.08,,,
5609,中菲行  ,35552215,1960644,1216,18.13,19,17.5,18.3,18.35,19.32,5.55,1.45,1.43,,,
1259,安心    ,59135249,694459,751,85.15,90.1,79,85.02,83.5,26.18,3.59,2.14,1.78,,,
2718,桃園店  ,632909,14121,16,44.8,47.6,43.75,45.35,44.5,33.46,3.37,0.06,1.79,,,
2719,燦星旅  ,26595440,1218742,902,21.82,23,20.3,21.74,22,36.67,2.95,3.36,1.58,,,
