,民國99年05月,,,,,,,May-10,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,7740537878 ,292036405 ,81195 ,26.51,26.55,27.35,28.45,5月4日,24.6,5月7日,8.87
1102  亞泥,3792872761 ,137522606 ,44005 ,27.58,27.82,27.8,29.75,5月4日,25.65,5月21日,4.61
1103  嘉泥,236000095 ,17287503 ,4865 ,13.65,13.67,13.3,15.15,5月3日,12.45,5月25日,2.41
1104  環泥,121626226 ,8450658 ,3029 ,14.39,14.32,14.15,15.75,5月4日,13.4,5月25日,1.4
1108  幸福,61500631 ,8396564 ,2370 ,7.32,7.34,7.07,8.12,5月3日,6.81,5月27日,2.07
1109  信大,32017230 ,3258021 ,1082 ,9.83,9.82,9.67,10.25,5月3日,9.5,5月26日,0.77
1110  東泥,61245505 ,5543420 ,1789 ,11.05,11.11,10.7,12,5月4日,10.25,5月26日,0.97
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,4288477074 ,127937064 ,50950 ,33.52,33.31,34.3,37.4,5月3日,30.5,5月7日,25.28
1203  味王,115808310 ,4914200 ,1891 ,23.57,23.45,23,25.1,5月3日,22.2,5月21日,2.24
1210  大成,1267983132 ,45488052 ,18583 ,27.88,27.9,26.2,31.45,5月3日,24.8,5月25日,9.66
1213  大飲,24298454 ,2110278 ,1095 ,11.51,11.44,11.8,12.25,5月3日,10.4,5月25日,4.1
1215  卜蜂,327805929 ,22118302 ,7142 ,14.82,14.76,15.15,15.45,5月18日,13.7,5月7日,9.53
1216  統一,6586930645 ,197502568 ,60747 ,33.35,33.34,33.2,35.45,5月3日,31.95,5月21日,5.07
1217  愛之味,399547879 ,35839661 ,11014 ,11.15,11.17,11.4,12.35,5月3日,10.25,5月25日,8.01
1218  泰山,1157654317 ,88963491 ,21725 ,13.01,12.14,13.9,13.9,5月31日,11.05,5月21日,27.78
1219  福壽,131722220 ,11414462 ,3397 ,11.54,11.53,11.55,12.45,5月3日,10.7,5月25日,4.16
1220  台榮,45452486 ,4739442 ,1926 ,9.59,9.6,9.24,10.05,5月11日,8.79,5月26日,2.68
1225  福懋油,116081733 ,8741809 ,3471 ,13.28,13.23,13.2,14.4,5月17日,12.1,5月25日,5.37
1227  佳格,8221352415 ,109737166 ,49856 ,74.92,74.63,77.9,84.3,5月17日,66,5月7日,34.02
1229  聯華,1392007753 ,83082857 ,22805 ,16.75,16.07,15.5,18.8,5月4日,14.85,5月25日,10.2
1231  聯華食,470562579 ,28460753 ,9133 ,16.53,16.09,15.5,18.2,5月4日,14.7,5月25日,24.66
1232  大統益,125883850 ,3126866 ,1692 ,40.26,40.34,40.05,41.4,5月6日,39.3,5月26日,1.95
1233  天仁,309644336 ,6538981 ,2811 ,47.35,45.85,46.35,50.1,5月4日,42.2,5月21日,7.22
1234  黑松,2334291079 ,99856951 ,29058 ,23.38,23.36,22.65,26.8,5月4日,19.7,5月25日,18.64
1235  興泰,12675230 ,381481 ,171 ,33.23,33.19,33.55,35.65,5月20日,32,5月18日,0.72
1236  宏亞,317770952 ,12319967 ,5934 ,25.79,25.15,23.95,27.4,5月11日,23,5月7日,14.45
1702  南僑,5768125216 ,154520716 ,66413 ,37.33,36.38,32.55,45.7,5月3日,31.45,5月24日,52.53
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,12237596802 ,185475637 ,62209 ,65.98,66.27,64.6,70,5月4日,63.4,5月26日,3.03
1303  南亞,15833491512 ,274834739 ,85738 ,57.61,59,52.9,66,5月3日,50,5月27日,3.5
1304  台聚,1983079062 ,92105852 ,28046 ,21.53,21.47,20.2,23.65,5月3日,19.5,5月26日,11.94
1305  華夏,554436394 ,51342966 ,13205 ,10.8,10.65,9.76,12.8,5月3日,9.15,5月26日,12.09
1307  三芳,159309975 ,4429473 ,1824 ,35.97,35.75,34.5,38.65,5月3日,33.3,5月25日,1.49
1308  亞聚,1159210230 ,41525448 ,13679 ,27.92,27.94,27.25,29.7,5月4日,26,5月26日,15.91
1309  台達化,315636925 ,28091304 ,6368 ,11.24,11.28,10.5,12.85,5月4日,9.95,5月26日,10.08
1310  台苯,1209359757 ,89885716 ,24321 ,13.45,13.25,12.45,15.5,5月3日,11.5,5月26日,15.49
1312  國喬,1965534483 ,152938690 ,32341 ,12.85,12.92,12,14.95,5月4日,11.1,5月26日,16.87
1312A 國喬特,42504500 ,1609000 ,843 ,26.42,26.39,25.35,27.7,5月4日,24,5月27日,8.04
1313  聯成,4052356878 ,213124400 ,39085 ,19.01,18.75,17.45,20.8,5月4日,16.55,5月27日,24.82
1314  中石化,7337788955 ,474800158 ,73097 ,15.45,15.35,14.9,16.55,5月4日,13.75,5月26日,26.45
1315  達新,124630773 ,5601621 ,691 ,22.25,22.53,22.7,23.6,5月14日,21.45,5月7日,2.55
1316  上曜,51124036 ,4268461 ,923 ,11.98,12,11.85,12.55,5月10日,11,5月26日,6.55
1319  東陽,3174094996 ,63248007 ,26710 ,50.18,50.27,49.5,55.4,5月3日,45.1,5月25日,13.6
1321  大洋,81837324 ,3994227 ,1629 ,20.49,20.64,19.8,22.15,5月4日,19.1,5月26日,1.76
1323  永裕,340089245 ,17319287 ,5709 ,19.64,19.27,18.7,21.15,5月18日,18.2,5月26日,21.97
1324  地球,97857613 ,5485922 ,2720 ,17.84,18.09,17.15,19.95,5月3日,15.4,5月26日,7.3
1325  恆大,138512481 ,5855890 ,2583 ,23.65,23.1,22.05,24.8,5月10日,22,5月31日,6.38
1326  台化,12915870797 ,174190761 ,55727 ,74.15,74.8,71.9,79.2,5月3日,67.8,5月26日,3.06
1715  亞化,275167883 ,17675382 ,4309 ,15.57,15.19,14.2,17.05,5月4日,13.75,5月25日,7.1
4306  炎洲,974997450 ,40545886 ,11267 ,24.05,23.97,23.6,25.9,5月3日,22.1,5月25日,17.56
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,6937561339 ,215447013 ,57828 ,32.2,32.19,31.65,34.9,5月3日,29.55,5月25日,4.62
1409  新纖,4775067418 ,412303352 ,68976 ,11.58,11.43,10.15,13.5,5月4日,9.6,5月26日,26.83
1410  南染,41689945 ,2744618 ,983 ,15.19,15.21,14.85,16.15,5月3日,14.2,5月26日,3.05
1413  宏洲,38239204 ,7005238 ,1478 ,5.46,5.51,5.32,6.39,5月3日,5.1,5月31日,4.12
1414  東和,142665950 ,26909590 ,5417 ,5.3,5.18,5.58,5.7,5月28日,4.7,5月7日,12.23
1416  廣豐,466953249 ,59293358 ,12203 ,7.88,7.88,8.3,8.69,5月4日,7.16,5月7日,10.78
1417  嘉裕,2480662610 ,250707976 ,47578 ,9.89,9.66,10.15,10.95,5月24日,8.4,5月7日,66
1418  東華,229390274 ,18987065 ,5063 ,12.08,11.86,10.65,13.55,5月3日,10.1,5月26日,14.39
1419  新紡,2349947581 ,68273620 ,23391 ,34.42,34.4,33.85,38.35,5月3日,31.35,5月26日,22.75
1423  利華,122747777 ,15227019 ,3340 ,8.06,8.05,7.75,8.88,5月3日,7.22,5月26日,8.7
1434  福懋,593169920 ,25761553 ,10048 ,23.03,23,22.5,25.25,5月4日,21.45,5月25日,1.53
1439  中和,926334924 ,26147101 ,11802 ,35.43,35.16,33.75,38.3,5月13日,30.6,5月27日,28.42
1440  南紡,1533956684 ,117364180 ,23366 ,13.07,13,12.95,14.35,5月4日,11.9,5月25日,7.86
1441  大東,31714078 ,4677701 ,1541 ,6.78,6.68,6.26,7.78,5月3日,5.91,5月26日,6.89
1443  立益,31191170 ,10365640 ,2280 ,3.01,3.01,2.96,3.24,5月4日,2.8,5月7日,3.53
1444  力麗,2676803978 ,223195866 ,45252 ,11.99,11.89,11.45,13.05,5月3日,10.3,5月26日,29.06
1445  大宇,114771756 ,13700065 ,3331 ,8.38,8.27,7.81,9.2,5月14日,7.3,5月26日,9.66
1446  宏和,716494415 ,40090684 ,10505 ,17.87,16.82,15.3,20.5,5月6日,13.25,5月26日,28.92
1447  力鵬,2076041482 ,133486350 ,27080 ,15.55,15.63,14.2,17.95,5月4日,13.15,5月26日,20.45
1449  佳和,43903010 ,15659216 ,3095 ,2.8,2.79,2.7,3.1,5月3日,2.56,5月25日,8.37
1451  年興,438703206 ,25184644 ,7482 ,17.42,17.48,17.2,18.4,5月3日,16.6,5月25日,4.26
1452  宏益,229652470 ,20659775 ,4945 ,11.12,11.1,10.4,12.9,5月4日,9.96,5月25日,16.2
1453  大將,94087324 ,8747683 ,2512 ,10.76,10.08,10,12,5月6日,8.99,5月25日,21.39
1454  台富,39244437 ,5435517 ,1726 ,7.22,7.15,7.27,7.78,5月20日,6.3,5月7日,4.07
1455  集盛,2164113210 ,141725578 ,36278 ,15.27,15.21,14.05,16.85,5月3日,12.95,5月26日,29.4
1457  宜進,645816024 ,73741420 ,15292 ,8.76,8.64,8.38,9.6,5月20日,7.6,5月26日,32.75
1459  聯發,217317977 ,19966352 ,5123 ,10.88,10.43,9.38,11.95,5月4日,8.83,5月26日,6.03
1460  宏遠,78989800 ,13326383 ,2889 ,5.93,5.88,5.77,6.4,5月3日,5.4,5月25日,2.83
1463  強盛,573512103 ,58722697 ,10410 ,9.77,9.36,9,10.95,5月21日,8.3,5月7日,31.17
1464  得力,2546331063 ,172990510 ,32979 ,14.72,14.56,13.05,19.4,5月18日,10.4,5月3日,110.29
1465  偉全,81304772 ,7261533 ,1738 ,11.2,11.14,11,12.45,5月3日,10,5月25日,8.41
1466  聚隆,381904451 ,28458599 ,7298 ,13.42,13.01,13,15.2,5月18日,11.25,5月7日,39.75
1467  南緯,125355149 ,12422289 ,2739 ,10.09,9.98,9.72,11.1,5月4日,8.91,5月26日,7.53
1468  昶和,116694989 ,5598995 ,2636 ,20.84,19.99,18.45,25.35,5月4日,16.6,5月26日,3.49
1469  理隆,41396421 ,3191614 ,1408 ,12.97,12.93,12.55,14.95,5月3日,11.1,5月7日,2.56
1470  大統染,16687469 ,1543539 ,815 ,10.81,10.64,10.1,12.7,5月3日,9.5,5月10日,1.8
1472  三洋纖,90006195 ,17987245 ,2781 ,5,4.96,4.8,5.39,5月11日,4.5,5月21日,20.56
1473  台南,647562419 ,19061627 ,7049 ,33.97,34.19,31.65,38.5,5月4日,30.05,5月25日,12.98
1474  弘裕,265895074 ,29521102 ,6103 ,9.01,8.73,8.3,9.71,5月14日,7.78,5月25日,21.41
