,民國99年06月,,,,,,,Jun-10,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,4324905467 ,156791032 ,47200 ,27.58,27.47,27.3,28.6,6月21日,26.2,6月7日,4.76
1102  亞泥,2363358514 ,83168173 ,29124 ,28.42,28.48,28.4,30,6月21日,26.95,6月7日,2.79
1103  嘉泥,156534038 ,11551511 ,3738 ,13.55,13.51,13.9,14.1,6月29日,12.6,6月7日,1.61
1104  環泥,112136517 ,8001248 ,2898 ,14.01,14.01,13.7,14.6,6月24日,13.5,6月10日,1.32
1108  幸福,39389266 ,5536023 ,1957 ,7.12,7.12,7.09,7.29,6月21日,6.9,6月9日,1.37
1109  信大,22271949 ,2310876 ,857 ,9.64,9.67,9.69,9.92,6月29日,9.44,6月8日,0.55
1110  東泥,40379656 ,3735581 ,1399 ,10.81,10.89,10.9,11.6,6月24日,10.1,6月8日,0.65
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,6407440840 ,171618765 ,64371 ,37.34,36.41,38.25,39.8,6月29日,32.75,6月7日,33.91
1203  味王,363001248 ,14035844 ,5984 ,25.86,24.1,25,27.15,6月23日,22.3,6月7日,6.39
1210  大成,2150401212 ,75068882 ,27543 ,28.65,28.16,28.05,30.2,6月24日,25,6月7日,15.93
1213  大飲,37981445 ,3235367 ,1326 ,11.74,11.36,11.7,12.4,6月28日,10.55,6月7日,6.29
1215  卜蜂,3056940013 ,178727254 ,47609 ,17.1,16.76,17.85,18.7,6月25日,14.85,6月1日,77.03
1216  統一,7625764904 ,221144762 ,72183 ,34.48,34.25,35.6,36.75,6月29日,31.9,6月7日,5.67
1217  愛之味,1417238365 ,116464069 ,31851 ,12.17,11.95,12.6,12.85,6月28日,10.6,6月7日,26.01
1218  泰山,6927234405 ,440785608 ,112879 ,15.72,15.32,17.45,18.6,6月28日,13.55,6月2日,137.64
1219  福壽,355136597 ,28408029 ,7701 ,12.5,12.16,12.75,13.5,6月28日,11.25,6月7日,10.36
1220  台榮,41803402 ,4517489 ,1633 ,9.25,9.31,9.23,9.88,6月17日,8.65,6月7日,2.55
1225  福懋油,261587261 ,19103672 ,5920 ,13.69,13.45,13.3,14.45,6月28日,12.4,6月7日,11.74
1227  佳格,4471184389 ,57484929 ,30154 ,77.78,77.79,78.3,84.1,6月28日,71.9,6月7日,17.82
1229  聯華,984674023 ,60155872 ,15984 ,16.37,16.25,15.8,16.95,6月28日,15.45,6月7日,7.39
1231  聯華食,353564571 ,20290336 ,6349 ,17.43,16.82,18.5,19.4,6月29日,15.1,6月7日,17.58
1232  大統益,154790706 ,3752457 ,2130 ,41.25,40.82,42,42.5,6月29日,39.6,6月7日,2.35
1233  天仁,490969630 ,9798349 ,4780 ,50.11,48.69,52,53.8,6月25日,45.05,6月2日,10.82
1234  黑松,1063802458 ,46979299 ,15482 ,22.64,22.53,21.65,23.85,6月22日,21.4,6月7日,8.77
1235  興泰,18875794 ,565273 ,118 ,33.39,33.22,33.1,34.7,6月4日,32.7,6月25日,1.07
1236  宏亞,89271139 ,3618454 ,1976 ,24.67,24.7,25.4,25.8,6月28日,23.35,6月9日,4.25
1702  南僑,5099468869 ,140940831 ,55476 ,36.18,35.58,35.95,39.85,6月24日,30.7,6月7日,47.92
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,10784098865 ,163703129 ,53459 ,65.88,66,68,69,6月17日,61.8,6月2日,2.67
1303  南亞,10436782343 ,197353719 ,69275 ,52.88,52.69,51.7,56.2,6月22日,49.6,6月9日,2.51
1304  台聚,1184037023 ,59580743 ,18894 ,19.87,19.81,19.8,20.85,6月24日,18.6,6月7日,7.72
1305  華夏,657355862 ,64540753 ,17067 ,10.19,9.76,10,11.05,6月24日,9,6月9日,15.19
1307  三芳,114427123 ,3352440 ,1456 ,34.13,34.22,33.1,35.1,6月4日,32.8,6月30日,1.13
1308  亞聚,651112260 ,24629933 ,8714 ,26.44,26.5,26.6,27.55,6月24日,25.5,6月10日,9.44
1309  台達化,530730853 ,45784006 ,11454 ,11.59,10.96,11.9,12.8,6月29日,9.95,6月9日,16.43
1310  台苯,1372868396 ,102040452 ,22943 ,13.45,12.96,13.35,14.4,6月24日,12,6月8日,17.58
1312  國喬,1757899838 ,140318727 ,31620 ,12.53,12.31,12.45,13.5,6月24日,11.45,6月7日,15.48
1312A 國喬特,35741800 ,1305000 ,779 ,27.39,26.95,27.5,28.6,6月24日,24.8,6月7日,6.52
1313  聯成,1361873972 ,78700462 ,17172 ,17.3,17.28,17.2,18.1,6月23日,16.45,6月7日,9.17
1314  中石化,5684164240 ,354077622 ,56725 ,16.05,15.87,16.3,17.25,6月24日,14.6,6月7日,19.73
1315  達新,105664355 ,4766205 ,478 ,22.17,22.28,21.9,23,6月4日,21.3,6月7日,2.17
1316  上曜,48146999 ,4364259 ,714 ,11.03,10.8,10.45,11.9,6月4日,10,6月9日,6.7
1319  東陽,3161171365 ,69467017 ,28887 ,45.51,45.78,45.2,49.5,6月1日,40.85,6月9日,14.94
1321  大洋,54133520 ,2740673 ,1388 ,19.75,19.78,19.55,20.8,6月21日,18.9,6月9日,1.21
1323  永裕,73455900 ,3942517 ,1912 ,18.63,18.66,18.6,19.4,6月24日,17.8,6月10日,5
1324  地球,58069915 ,3368598 ,1687 ,17.24,17.13,16.85,18,6月23日,16.2,6月7日,4.48
1325  恆大,68621244 ,3059379 ,1706 ,22.43,22.15,23.45,23.9,6月28日,20.5,6月7日,3.33
1326  台化,8445987514 ,117958120 ,42958 ,71.6,71.5,74.1,75.4,6月17日,67.5,6月8日,2.07
1715  亞化,173739016 ,12041727 ,2676 ,14.43,14.29,14.2,15.1,6月24日,13.5,6月10日,4.83
4306  炎洲,363872771 ,15469056 ,5166 ,23.52,23.47,23.45,24.25,6月29日,22.65,6月9日,6.7
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,5421536750 ,161619281 ,53063 ,33.55,33.63,33.4,35.75,6月23日,30.15,6月2日,3.47
1409  新纖,6229125396 ,576801535 ,90258 ,10.8,10.63,10.8,11.75,6月24日,9.87,6月7日,37.54
1410  南染,27330134 ,1788486 ,742 ,15.28,15.1,15.4,16.5,6月24日,14.2,6月8日,1.99
1413  宏洲,18861180 ,3541039 ,978 ,5.33,5.31,5.4,5.68,6月22日,5.04,6月2日,2.08
1414  東和,68228621 ,12941190 ,3318 ,5.27,5.24,5.12,5.61,6月1日,5,6月9日,5.88
1416  廣豐,161014270 ,20231366 ,5538 ,7.96,7.92,7.65,8.25,6月1日,7.54,6月30日,3.68
1417  嘉裕,1720978845 ,167702431 ,32270 ,10.26,10.14,9.65,10.9,6月9日,9.5,6月30日,44.15
1418  東華,193866677 ,18038121 ,4427 ,10.75,10.59,10.1,11.5,6月24日,9.98,6月30日,13.67
1419  新紡,2026714558 ,59769416 ,21458 ,33.91,33.54,32.8,36.85,6月24日,30.9,6月10日,19.92
1423  利華,60650741 ,7681714 ,2115 ,7.9,7.89,7.67,8.2,6月21日,7.58,6月30日,4.39
1434  福懋,435601179 ,18968436 ,9222 ,22.96,22.81,22.7,24.25,6月21日,21.7,6月7日,1.13
1439  中和,560433643 ,16123094 ,6933 ,34.76,34.15,33.7,37.65,6月23日,31.25,6月7日,17.53
1440  南紡,1079080573 ,81575261 ,17968 ,13.23,13.05,13.2,14.1,6月24日,12.25,6月7日,5.46
1441  大東,58478661 ,8166562 ,2563 ,7.16,6.64,7.45,7.6,6月22日,6.03,6月10日,12.03
1443  立益,20107809 ,6549517 ,1537 ,3.07,3.07,3.13,3.28,6月28日,2.85,6月7日,2.23
1444  力麗,1849770778 ,152419452 ,32181 ,12.14,11.79,12.2,13.15,6月24日,10.85,6月7日,19.85
1445  大宇,73067741 ,8641973 ,2098 ,8.45,8.24,8.2,8.83,6月11日,7.41,6月7日,6.1
1446  宏和,162370027 ,9943043 ,2917 ,16.33,16.05,16.5,18,6月24日,14.6,6月9日,7.17
1447  力鵬,1342717482 ,95517084 ,20447 ,14.06,13.91,13.4,15.15,6月24日,13.1,6月10日,14.63
1449  佳和,22742289 ,8464983 ,1943 ,2.69,2.67,2.65,2.79,6月15日,2.55,6月10日,4.52
1451  年興,420841478 ,24033296 ,5602 ,17.51,17.41,17.5,17.95,6月23日,16.7,6月7日,4.07
1452  宏益,107943016 ,10135570 ,2910 ,10.65,10.57,10.9,11.5,6月24日,9.99,6月7日,7.95
1453  大將,32817863 ,3294402 ,1256 ,9.96,9.77,9.52,10.8,6月15日,9.1,6月9日,8.05
1454  台富,17548918 ,2429943 ,878 ,7.22,7.25,7.18,7.47,6月2日,6.83,6月7日,1.82
1455  集盛,1465367279 ,103255281 ,25112 ,14.19,13.99,13.65,15.45,6月24日,13.05,6月7日,21.42
1457  宜進,387396644 ,45577538 ,10050 ,8.5,8.35,8.13,9.08,6月24日,7.92,6月9日,20.24
1459  聯發,66499300 ,6870562 ,2211 ,9.68,9.52,9.81,10.5,6月24日,8.91,6月7日,2.07
1460  宏遠,49658245 ,8334650 ,1925 ,5.96,5.93,6.06,6.25,6月24日,5.6,6月11日,1.77
1463  強盛,97709183 ,11262157 ,3188 ,8.68,8.59,8.31,9.15,6月24日,8.26,6月10日,5.98
1464  得力,1467968271 ,108788061 ,27982 ,13.49,13.13,13.5,15.6,6月25日,11.1,6月10日,69.36
1465  偉全,82682963 ,7087268 ,2081 ,11.67,11.49,12.4,12.7,6月29日,10.05,6月9日,8.21
1466  聚隆,201861651 ,15677703 ,4691 ,12.88,12.82,13.5,14.9,6月28日,10.55,6月10日,21.9
1467  南緯,46350746 ,4690644 ,1533 ,9.88,9.84,9.8,10.35,6月24日,9.21,6月7日,2.84
1468  昶和,34749003 ,1826069 ,1134 ,19.03,18.97,18.6,20.6,6月9日,17.6,6月1日,1.14
1469  理隆,55941875 ,4125094 ,1704 ,13.56,13.39,13.35,14.4,6月14日,12,6月2日,3.31
1470  大統染,7292289 ,772001 ,486 ,9.45,9.54,9.48,10.3,6月3日,8.82,6月10日,0.9
1472  三洋纖,31013744 ,6450077 ,1163 ,4.81,4.78,4.6,4.98,6月9日,4.58,6月2日,7.37
1473  台南,847741277 ,25216858 ,9817 ,33.62,33.16,33.95,36.9,6月25日,30.25,6月10日,17.18
1474  弘裕,112139614 ,13025037 ,3072 ,8.61,8.45,8.67,9.2,6月24日,7.85,6月9日,9.45
