,40360 ,,,,,,,July 2010,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,8935362428 ,314336693 ,79128 ,28.43,28.26,29.80,30.25,07/30,26.75,07/19,9.55
1102  亞泥,3059679726 ,101619003 ,32220 ,30.11,29.93,31.70,32.00,07/30,28.05,07/01,3.40
1103  嘉泥,300422931 ,20301798 ,5500 ,14.80,14.56,15.40,15.90,07/30,13.75,07/01,2.83
1104  環泥,353084082 ,23884907 ,6164 ,14.78,14.50,15.35,15.70,07/30,13.60,07/01,3.96
1108  幸福,70169407 ,9539750 ,2948 ,7.36,7.29,7.66,7.77,07/30,7.00,07/01,2.36
1109  信大,30706467 ,3138126 ,1028 ,9.78,9.76,9.85,9.98,07/12,9.54,07/14,0.75
1110  東泥,130429048 ,11161633 ,2878 ,11.69,11.52,12.00,12.50,07/30,10.75,07/01,1.95
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,6990647874 ,182808862 ,65137 ,38.24,37.51,37.00,41.00,07/07,36.40,07/19,36.12
1203  味王,484074979 ,18358526 ,7186 ,26.37,25.69,26.85,28.30,07/30,24.65,07/02,8.36
1210  大成,2684480798 ,86227060 ,32161 ,31.13,30.23,32.05,33.40,07/30,27.70,07/01,18.30
1213  大飲,676568095 ,30654435 ,11985 ,22.07,20.92,33.05,37.95,07/30,11.10,07/01,59.55
1215  卜蜂,3632494023 ,195263470 ,55736 ,18.60,18.26,19.70,20.40,07/30,16.20,07/13,84.16
1216  統一,8730829790 ,232935790 ,70288 ,37.48,37.43,38.05,39.10,07/29,35.60,07/01,5.98
1217  愛之味,3778594355 ,283746734 ,69450 ,13.32,12.90,13.80,14.50,07/30,12.40,07/13,63.38
1218  泰山,6020747553 ,333304616 ,92033 ,18.06,17.72,18.75,19.75,07/30,16.75,07/13,104.08
1219  福壽,734039156 ,54347660 ,14402 ,13.51,12.90,14.05,15.10,07/30,12.05,07/13,19.81
1220  台榮,416076648 ,31432535 ,7429 ,13.24,10.84,15.45,15.45,07/30,9.10,07/01,17.75
1225  福懋油,968256536 ,63144235 ,17005 ,15.33,14.32,15.75,16.70,07/30,13.30,07/02,37.32
1227  佳格,3466703527 ,41237090 ,22078 ,84.07,83.16,93.30,93.90,07/30,77.20,07/01,12.79
1229  聯華,3454927342 ,187173328 ,46106 ,18.46,17.53,18.80,20.25,07/27,15.65,07/02,22.98
1231  聯華食,1612587901 ,69333312 ,25096 ,23.26,21.65,25.25,27.45,07/29,18.70,07/01,60.07
1232  大統益,340834867 ,8624876 ,4266 ,39.52,38.86,38.90,42.70,07/01,37.80,07/06,5.39
1233  天仁,717479663 ,13810876 ,5908 ,51.95,51.64,52.20,54.00,07/08,50.30,07/02,15.25
1234  黑松,3188657161 ,134402944 ,40700 ,23.72,23.08,25.05,26.85,07/29,20.50,07/02,25.08
1235  興泰,152394500 ,3913636 ,656 ,38.94,33.89,40.05,40.05,07/30,32.35,07/01,7.39
1236  宏亞,265674188 ,10112946 ,4568 ,26.27,25.91,28.45,28.75,07/30,23.20,07/15,10.99
1702  南僑,3392096358 ,90460332 ,38576 ,37.50,36.64,38.10,40.60,07/30,35.50,07/01,30.75
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,16184605675 ,233454807 ,75410 ,69.33,68.86,66.90,72.70,07/12,65.80,07/02,3.81
1303  南亞,15547219749 ,277760137 ,80696 ,55.97,55.74,56.40,59.20,07/16,50.50,07/01,3.54
1304  台聚,1276370545 ,60877272 ,17500 ,20.97,20.67,21.90,22.10,07/30,19.75,07/01,7.89
1305  華夏,614749799 ,58087778 ,14679 ,10.58,10.34,11.10,11.45,07/30,9.88,07/01,13.67
1307  三芳,146708585 ,4439453 ,1932 ,33.05,32.97,33.30,34.60,07/23,31.50,07/02,1.49
1308  亞聚,717888280 ,25749719 ,8115 ,27.88,27.57,29.10,29.45,07/30,26.10,07/01,9.87
1309  台達化,1008044972 ,80491243 ,15977 ,12.52,12.03,12.95,13.35,07/30,11.40,07/13,28.89
1310  台苯,906800627 ,66100062 ,17373 ,13.72,13.50,13.95,14.50,07/27,12.95,07/05,11.39
1312  國喬,2814785624 ,207536099 ,36563 ,13.56,13.13,14.10,14.80,07/27,12.20,07/01,22.89
1312A 國喬特,109332050 ,4538000 ,2219 ,24.09,22.28,18.05,28.40,07/05,17.50,07/20,22.69
1313  聯成,2399657249 ,131079920 ,25435 ,18.31,18.06,18.95,19.45,07/26,17.00,07/07,15.27
1314  中石化,4189951228 ,252067932 ,37035 ,16.62,16.59,17.25,17.40,07/30,16.00,07/20,14.04
1315  達新,37696427 ,1719050 ,719 ,21.93,21.74,21.70,22.60,07/13,20.85,07/07,0.78
1316  上曜,49760871 ,4286804 ,850 ,11.61,11.46,12.30,12.30,07/30,10.00,07/01,6.58
1319  東陽,2201680799 ,45741597 ,20126 ,48.13,47.93,49.00,51.40,07/27,45.00,07/05,9.84
1321  大洋,131452634 ,6094022 ,2620 ,21.57,20.77,22.40,23.00,07/30,19.30,07/02,2.68
1323  永裕,922332147 ,40838933 ,12619 ,22.58,20.35,24.00,25.45,07/30,18.50,07/15,51.80
1324  地球,823414665 ,35480800 ,11674 ,23.21,19.06,24.25,25.75,07/30,16.70,07/01,47.23
1325  恆大,74164579 ,3290831 ,1569 ,22.54,22.44,22.85,23.40,07/01,21.95,07/19,3.59
1326  台化,10273735348 ,140833996 ,52731 ,72.95,72.30,69.70,78.20,07/06,69.50,07/28,2.47
1715  亞化,947783542 ,54975733 ,11073 ,17.24,15.66,19.10,19.30,07/30,13.95,07/01,22.07
4306  炎洲,1753910887 ,66320689 ,20159 ,26.45,25.80,28.35,29.10,07/29,23.60,07/01,28.68
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,6942608817 ,194585559 ,54679 ,35.68,35.26,37.15,38.00,07/30,32.20,07/01,4.17
1409  新纖,3741420952 ,334184722 ,52132 ,11.20,11.11,11.30,11.70,07/29,10.65,07/02,21.75
1410  南染,57515211 ,3554800 ,1187 ,16.18,16.05,16.35,16.95,07/29,15.05,07/01,3.95
1413  宏洲,18740928 ,3294939 ,1058 ,5.69,5.69,6.09,6.13,07/29,5.30,07/02,1.94
1414  東和,68129479 ,12909223 ,2929 ,5.28,5.25,5.38,5.58,07/30,5.12,07/02,5.87
1416  廣豐,273807058 ,34154108 ,7722 ,8.02,7.92,8.13,8.56,07/29,7.50,07/01,6.21
1417  嘉裕,713228752 ,75474948 ,16692 ,9.45,9.36,9.40,9.85,07/01,9.14,07/13,19.87
1418  東華,289705570 ,27284113 ,5813 ,10.62,10.32,10.75,11.25,07/30,9.92,07/13,20.68
1419  新紡,2007507552 ,56269645 ,19274 ,35.68,34.96,37.10,38.40,07/29,32.35,07/01,18.75
1423  利華,125870955 ,15762340 ,2837 ,7.99,7.76,8.18,8.46,07/29,7.54,07/05,9.01
1434  福懋,701453459 ,28833882 ,9252 ,24.33,24.01,24.40,25.40,07/20,22.50,07/01,1.71
1439  中和,1654529437 ,40888293 ,15997 ,40.46,38.89,45.80,46.80,07/30,33.50,07/01,44.44
1440  南紡,1218028369 ,89275755 ,16746 ,13.64,13.51,14.15,14.20,07/30,13.05,07/01,5.98
1441  大東,28299142 ,3917695 ,1602 ,7.22,7.22,7.28,7.48,07/02,7.00,07/15,5.77
1443  立益,36110027 ,11074946 ,2203 ,3.26,3.22,3.34,3.44,07/30,3.08,07/07,3.77
1444  力麗,2327062770 ,189632758 ,35752 ,12.27,12.16,12.65,12.95,07/19,11.30,07/22,24.21
1445  大宇,74438665 ,8599710 ,2194 ,8.66,8.40,8.98,9.43,07/29,8.03,07/05,6.20
1446  宏和,74862156 ,4495499 ,1263 ,16.65,16.65,16.80,17.15,07/07,16.20,07/19,3.24
1447  力鵬,1454371088 ,106479617 ,21397 ,13.66,13.32,14.55,15.15,07/30,12.85,07/16,16.31
1449  佳和,27129646 ,10118368 ,2189 ,2.68,2.66,2.72,2.81,07/29,2.61,07/02,5.41
1451  年興,1171150223 ,63874557 ,15626 ,18.34,17.74,18.80,19.15,07/15,16.30,07/02,10.81
1452  宏益,193729757 ,16938153 ,3984 ,11.44,11.03,11.95,12.50,07/30,10.50,07/05,13.28
1453  大將,52263588 ,4942635 ,1555 ,10.57,9.94,12.40,12.40,07/30,9.40,07/19,12.08
1454  台富,42355621 ,5502027 ,1548 ,7.70,7.44,8.11,8.50,07/30,7.09,07/01,4.12
1455  集盛,1566531939 ,116078010 ,25115 ,13.50,13.31,14.00,14.35,07/30,12.75,07/12,24.08
1457  宜進,363817490 ,42138226 ,8597 ,8.63,8.38,8.91,9.24,07/30,8.08,07/01,18.72
1459  聯發,94609731 ,9342910 ,2599 ,10.13,9.99,10.40,10.95,07/30,9.50,07/22,2.82
1460  宏遠,133141167 ,20242550 ,3869 ,6.58,6.30,6.99,7.12,07/30,5.90,07/06,4.30
1463  強盛,109994591 ,12513987 ,2834 ,8.79,8.68,9.02,9.32,07/29,8.28,07/05,6.64
1464  得力,1393612075 ,90312414 ,21876 ,15.43,14.93,15.65,16.70,07/30,13.40,07/01,57.58
1465  偉全,574857784 ,40752347 ,7779 ,14.11,13.89,14.50,15.55,07/15,11.90,07/06,47.20
1466  聚隆,622461808 ,37635346 ,9165 ,16.54,15.20,18.50,19.50,07/30,12.80,07/13,52.56
1467  南緯,645861341 ,52812344 ,9871 ,12.23,10.36,13.45,13.45,07/30,9.67,07/19,32.02
1468  昶和,25142134 ,1453002 ,828 ,17.30,17.22,16.80,19.00,07/05,16.25,07/27,0.91
1469  理隆,25972008 ,1999239 ,844 ,12.99,12.81,12.80,13.90,07/02,12.15,07/27,1.60
1470  大統染,4959857 ,529380 ,235 ,9.37,9.34,9.90,10.00,07/30,9.00,07/09,0.62
1472  三洋纖,60087815 ,12524450 ,1856 ,4.80,4.74,4.86,5.03,07/28,4.51,07/09,14.31
1473  台南,2042268622 ,52266109 ,18827 ,39.07,38.11,41.00,43.00,07/27,33.80,07/01,35.60
1474  弘裕,127172601 ,14272240 ,3093 ,8.91,8.83,9.10,9.29,07/30,8.46,07/01,10.35
1475  本盟,31918615 ,2055386 ,1023 ,15.53,14.96,14.75,17.40,07/16,13.30,07/01,4.42
1476  儒鴻,253470648 ,12455111 ,3482 ,20.35,20.20,20.80,21.10,07/30,19.05,07/06,6.44
1477  聚陽,1748887665 ,23026054 ,11201 ,75.95,74.20,72.30,82.20,07/07,71.70,07/13,14.94
4414  如興,12921461 ,2768690 ,870 ,4.67,4.68,4.64,4.80,07/15,4.52,07/02,4.05
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,507988519 ,14572745 ,5438 ,34.86,34.76,34.55,35.65,07/15,33.90,07/19,2.80
1504  東元,3922315786 ,276203891 ,51326 ,14.20,13.85,15.40,15.80,07/30,13.05,07/02,15.15
1506  正道,415823749 ,26500843 ,4613 ,15.69,15.62,16.25,16.45,07/30,15.25,07/01,25.92
1507  永大,1725815539 ,55517044 ,17895 ,31.09,30.30,35.15,35.35,07/30,25.95,07/01,13.51
