,40452 ,,,,,,,October 2010,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,8491880072 ,252699458 ,70447 ,33.60,33.42,32.60,35.20,10/07,32.30,10/29,7.68
1102  亞泥,3237137813 ,102140921 ,31914 ,31.69,31.62,31.55,32.55,10/25,30.55,10/20,3.32
1103  嘉泥,1331436739 ,82716241 ,18330 ,16.10,15.92,15.50,16.85,10/07,15.00,10/01,11.30
1104  環泥,1877942616 ,92812244 ,22424 ,20.23,19.97,19.20,22.20,10/08,17.00,10/04,15.37
1108  幸福,80273792 ,10411657 ,3018 ,7.71,7.64,7.51,8.04,10/07,7.51,10/29,2.57
1109  信大,44071899 ,4362796 ,1406 ,10.10,10.05,10.00,10.35,10/07,9.88,10/04,1.04
1110  東泥,224751094 ,17309601 ,4126 ,12.98,12.68,12.20,13.80,10/11,12.20,10/29,3.03
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,4219670612 ,114116972 ,40916 ,36.98,36.54,34.90,39.10,10/04,34.80,10/27,22.55
1203  味王,187810478 ,7517746 ,3669 ,24.98,24.47,24.15,26.30,10/15,24.00,10/12,3.13
1210  大成,3534199455 ,110009463 ,35343 ,32.13,31.50,32.10,33.70,10/27,30.40,10/08,22.24
1213  大飲,156271953 ,6421569 ,3181 ,24.34,23.65,21.15,26.00,10/07,21.05,10/29,12.48
1215  卜蜂,1227647175 ,62889859 ,18554 ,19.52,19.32,19.00,20.15,10/18,18.90,10/20,27.10
1216  統一,11238772723 ,279921965 ,94297 ,40.15,40.20,39.80,42.00,10/14,38.40,10/27,6.53
1217  愛之味,2046539938 ,143576452 ,32480 ,14.25,14.02,13.70,15.15,10/08,13.60,10/20,32.07
1218  泰山,3090456467 ,166576635 ,46740 ,18.55,18.09,18.00,19.70,10/27,17.05,10/05,50.02
1219  福壽,611669817 ,42198758 ,13727 ,14.49,14.31,14.45,15.25,10/15,13.45,10/05,14.86
1220  台榮,334373310 ,24690657 ,8303 ,13.54,13.19,13.25,14.25,10/27,12.20,10/05,13.94
