,民國101年04月,,,,,,,Apr-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,6433259888,185125884,53615,34.75,34.9,34.85,36.1,4月20日,33.75,4月27日,5.01
1102  亞泥,2997819433,83033048,30426,36.1,36.14,35.15,36.7,4月3日,35.15,4月30日,2.65
1103  嘉泥,162956025,12152845,2889,13.41,13.37,13.4,14.05,4月3日,13.15,4月12日,1.61
1104  環泥,43165222,3133250,1690,13.78,13.74,13.7,14.5,4月2日,13.3,4月19日,0.52
1108  幸福,53866233,9171660,2299,5.87,5.88,5.96,6.07,4月11日,5.47,4月5日,2.27
1109  信大,17057499,1591832,505,10.72,10.72,10.7,11.1,4月2日,10.6,4月27日,0.38
1110  東泥,237527812,19421980,2390,12.23,12.04,12,12.75,4月20日,11.2,4月5日,3.4
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,597714384,18340354,9237,32.59,32.64,31.95,33.9,4月17日,31,4月5日,3.62
1203  味王,47794408,2234034,1321,21.39,21.51,21.35,22,4月18日,20.7,4月2日,0.93
1210  大成,565269576,19478427,8833,29.02,28.99,28.65,30.1,4月2日,28.35,4月5日,3.71
1213  大飲,101604318,3999028,2653,25.41,25.21,24.9,27.45,4月16日,22.7,4月5日,7.77
1215  卜蜂,74398146,5163411,2682,14.41,14.43,13.95,15.2,4月3日,13.8,4月25日,2.23
1216  統一,6628558757,158391234,54590,41.85,41.74,45.45,45.55,4月30日,40,4月9日,3.49
1217  愛之味,197561949,20634374,8274,9.57,9.52,9.15,10.05,4月3日,9.03,4月30日,4.15
1218  泰山,303765568,19671429,8146,15.44,15.38,15.3,16.3,4月2日,14.65,4月24日,5.73
1219  福壽,37686083,2436482,1160,15.47,15.66,15.3,16.2,4月2日,14.45,4月24日,0.83
1220  台榮,15999112,1599339,895,10,10.01,9.94,10.55,4月2日,9.68,4月30日,0.9
1225  福懋油,28916861,2244372,1579,12.88,12.92,13,13.2,4月18日,12.5,4月24日,1.23
1227  佳格,4931838606,54442119,33417,90.59,90.71,91,100,4月2日,85.5,4月5日,11.74
1229  聯華,382027927,20504025,6923,18.63,18.63,18.5,19.4,4月2日,18.15,4月24日,2.42
1231  聯華食,363749575,10364404,5794,35.1,35.19,35.3,37.7,4月2日,33.9,4月19日,8.72
1232  大統益,75356578,1505923,956,50.04,50.11,50,50.6,4月16日,49.4,4月27日,0.94
1233  天仁,44587206,912144,593,48.88,48.9,49.35,50.2,4月26日,47.65,4月5日,1.01
1234  黑松,643127998,17739558,5956,36.25,36.23,36.7,38.2,4月17日,34.05,4月12日,3.31
1235  興泰,16132689,636831,412,25.33,25.27,24.5,26.9,4月18日,24.2,4月27日,1.13
1236  宏亞,51342230,2090386,1156,24.56,24.56,23.7,25.4,4月16日,23.4,4月30日,2.12
1702  南僑,1161223886,38930706,20024,29.83,29.43,29.5,32.4,4月16日,27.1,4月5日,13.24
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,11948400113,142058908,60946,84.11,84.53,83,87.2,4月3日,81.4,4月25日,2.32
1303  南亞,5753742086,93814286,42886,61.33,61.11,60.2,65.9,4月3日,59.4,4月23日,1.19
1304  台聚,1464075576,51848003,21369,28.24,28.14,27.3,29.6,4月2日,27,4月30日,5.22
1305  華夏,904308225,79095989,15961,11.43,11.34,11.6,12.05,4月16日,10.4,4月5日,18.62
1307  三芳,33400399,1346435,897,24.81,24.76,24.5,25.95,4月2日,24,4月24日,0.39
1308  亞聚,639099297,17495367,9487,36.53,36.38,34.3,38.65,4月2日,34,4月30日,4.47
1309  台達化,90706264,7804114,3350,11.62,11.59,11.2,12.4,4月3日,10.95,4月24日,2.5
1310  台苯,95746299,12915007,4756,7.41,7.38,7.16,7.89,4月2日,7.1,4月27日,2.23
1312  國喬,670265720,50483551,15074,13.28,13.3,12.85,13.85,4月16日,12.7,4月5日,5.57
1312A 國喬特,1109850,58000,36,19.14,19.13,19.1,19.55,4月2日,19,4月20日,0.29
1313  聯成,565867457,34912766,10261,16.21,16.32,16.45,17.15,4月17日,15,4月5日,3.29
1314  中石化,13165777099,415298041,139981,31.7,31.28,29.5,33.8,4月2日,29.2,4月30日,21.03
1315  達新,71772171,2308683,1154,31.09,31.2,30.85,32.25,4月2日,30,4月5日,1.05
1316  上曜,545901869,23662606,8355,23.07,23.03,24.45,24.95,4月25日,19.25,4月2日,36.3
1319  東陽,540795235,18209452,9461,29.7,29.69,29,31.3,4月2日,28.2,4月5日,3.28
1321  大洋,110674286,5038223,1264,21.97,21.92,21.65,22.8,4月16日,21,4月5日,2.22
1323  永裕,179412532,8485082,3836,21.14,21.05,20.35,23.7,4月16日,19.2,4月26日,10.25
1324  地球,17576129,1380694,496,12.73,12.71,12.3,13.45,4月2日,12.05,4月30日,1.84
1325  恆大,35124872,2035487,1132,17.26,17.36,17.15,17.8,4月2日,16.9,4月27日,2.02
1326  台化,7525379536,89358282,42970,84.22,84.37,84.7,86.5,4月3日,82.3,4月17日,1.57
1337  F-再生,333451979,4098948,2903,81.35,81.31,81,85.5,4月2日,77.9,4月24日,2.97
1339  昭輝,132311168,4497150,2225,29.42,28.79,27.5,30.5,4月26日,27.2,4月30日,6.82
1715  亞化,305335846,20002559,6313,15.26,15.29,15.2,15.95,4月16日,14.1,4月5日,6.58
4306  炎洲,1315152417,46099962,16765,28.53,28.37,28.35,29.4,4月2日,26.9,4月5日,15.5
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,2795081263,84092334,33426,33.24,33.27,32.95,34.2,4月3日,32.3,4月12日,1.72
1409  新纖,768994128,83792650,21528,9.18,9.17,8.84,10,4月2日,8.7,4月5日,4.58
1410  南染,33396344,2066737,859,16.16,16.11,16.2,16.85,4月2日,15.3,4月5日,2.3
1413  宏洲,5464386,1197822,538,4.56,4.59,4.55,4.85,4月2日,4.31,4月9日,0.7
1414  東和,450131525,39528793,12343,11.39,11.47,9.71,13.05,4月2日,9.71,4月30日,17.97
1416  廣豐,219896680,16443695,3838,13.37,13.26,13.25,14.1,4月13日,12.3,4月5日,4.27
1417  嘉裕,346032773,37374464,9766,9.26,9.25,9.95,9.95,4月30日,8.6,4月5日,9.84
1418  東華,9819922,1324146,538,7.42,7.37,7.3,7.86,4月2日,7.13,4月24日,1
1419  新紡,562120633,13639858,5496,41.21,41.1,39.9,44.8,4月16日,37.85,4月5日,4.55
1423  利華,39525728,5312152,987,7.44,7.44,7.34,7.72,4月13日,7.02,4月5日,3.04
1432  大魯閣,21722264,2483761,383,8.75,9.06,9.17,9.48,4月12日,8.45,4月6日,4.61
1434  福懋,470559931,17246882,10168,27.28,27.38,27.6,28.25,4月2日,26.6,4月9日,1.02
1439  中和,50177085,2803454,1369,17.9,17.93,16.35,19.45,4月2日,15.8,4月30日,3.05
1440  南紡,619221966,49868986,16113,12.42,12.43,12.45,13.35,4月2日,11.6,4月5日,3.18
1441  大東,143149283,13112359,3937,10.92,10.76,10.35,11.4,4月19日,10.1,4月30日,15.28
1443  立益,7174590,1393823,583,5.15,5.14,4.98,5.59,4月3日,4.91,4月30日,1.03
1444  力麗,451860118,40920156,10800,11.04,10.93,10.5,12.4,4月2日,10.35,4月30日,4.62
1445  大宇,16953665,2213364,959,7.66,7.65,7.46,8,4月2日,7.04,4月30日,1.6
1446  宏和,54654789,4325207,1694,12.64,12.78,12.2,13.65,4月2日,11.6,4月27日,3.12
1447  力鵬,363743263,39862825,11961,9.12,9.01,8.57,10.2,4月2日,8.55,4月30日,5.55
1451  年興,255560901,12819329,6216,19.94,20.06,19.3,20.8,4月2日,19,4月27日,2.66
1452  宏益,15283584,1672017,639,9.14,9.12,9,9.54,4月2日,8.64,4月5日,1.26
1453  大將,10702787,1233181,514,8.68,8.59,8.51,9.2,4月6日,8.5,4月30日,1.66
1454  台富,16296887,2146392,897,7.59,7.61,7.51,8.06,4月2日,7.4,4月5日,1.53
1455  集盛,440901387,42576806,13120,10.36,10.31,9.99,11,4月2日,9.91,4月30日,7.1
1457  宜進,61597475,8890550,2344,6.93,6.85,6.65,7.48,4月2日,6.44,4月24日,2.8
1459  聯發,38160306,3854083,1703,9.9,9.91,9.54,10.4,4月3日,9.27,4月5日,1.07
1460  宏遠,377631831,44214859,10718,8.54,8.5,8.84,9.09,4月30日,7.5,4月5日,9.38
1463  強盛,105506866,10406030,1854,10.14,10.12,10.1,10.85,4月16日,9.16,4月5日,5.52
1464  得力,18062790,1992342,642,9.07,9.02,8.63,9.49,4月6日,8.55,4月30日,0.88
1465  偉全,21944567,1534991,715,14.3,14.3,13.95,15,4月2日,13.6,4月30日,1.78
1466  聚隆,106709968,5977966,2253,17.85,17.72,16.65,19.2,4月2日,16.25,4月30日,6.28
1467  南緯,21099041,2438887,894,8.65,8.61,8.43,9.2,4月3日,8.28,4月17日,1.48
1468  昶和,6538335,608195,337,10.75,10.57,9.54,11.95,4月2日,9.52,4月23日,0.38
1469  理隆,1879251,212153,157,8.86,8.87,8.96,9.25,4月3日,8.57,4月9日,0.17
1470  大統染,1315059,107149,93,12.27,12.43,12.6,13,4月2日,12,4月26日,0.12
1472  三洋紡,30668959,3915873,1093,7.83,7.7,7.71,8.7,4月2日,7.3,4月25日,6.58
1473  台南,91827251,2525286,1468,36.36,36.34,35.4,37.55,4月2日,35.1,4月30日,1.72
1474  弘裕,13294781,1798510,664,7.39,7.35,7.26,7.79,4月3日,7.04,4月5日,1.3
1475  本盟,1391008,184030,136,7.56,7.63,7.2,8.45,4月11日,6.98,4月2日,0.57
1476  儒鴻,1615116811,24078549,12937,67.08,66.95,68.8,71.5,4月20日,59,4月5日,11.4
1477  聚陽,955955974,11148147,7571,85.75,85.74,85.1,88.5,4月2日,81.8,4月5日,6.85
4414  如興,20380085,2385398,839,8.54,8.36,7.85,9.58,4月3日,7.8,4月30日,4.07
4426  利勤,62980194,4181174,1966,15.06,14.91,15.3,16.25,4月12日,12.85,4月5日,6.81
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,385584838,11236602,4577,34.32,34.26,34.8,35.9,4月16日,31.4,4月5日,2.16
1504  東元,2846331478,137539166,48414,20.69,20.56,21.4,21.8,4月13日,19.6,4月11日,7.46
1506  正道,119236649,4393891,1230,27.14,27.36,27.4,28,4月2日,25.6,4月6日,6.08
