,民國101年05月,,,,,,,May-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,6866477849,203207736,58520,33.79,33.82,33.75,36,5月4日,31.6,5月18日,5.5
1102  亞泥,3295064974,95139737,34855,34.63,34.51,35.65,35.9,5月4日,32.9,5月18日,3.03
1103  嘉泥,163222958,12443246,2368,13.12,13.22,13.2,13.65,5月2日,12.7,5月28日,1.65
1104  環泥,33409599,2461365,1354,13.57,13.58,13.3,14.25,5月3日,13.15,5月31日,0.41
1108  幸福,96789574,15675997,3298,6.17,6.12,6.03,6.45,5月3日,5.9,5月28日,3.87
1109  信大,15942026,1510817,427,10.55,10.59,10.45,10.9,5月29日,10.3,5月25日,0.36
1110  東泥,34662577,2896892,1067,11.97,11.95,11.95,12.75,5月4日,11.25,5月28日,0.51
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,530559819,16186046,8466,32.78,32.53,32.55,33.9,5月8日,31.65,5月18日,3.2
1203  味王,43251264,2124349,1260,20.36,20.5,19.9,21.75,5月2日,18.55,5月25日,0.89
1210  大成,407041393,14132481,6331,28.8,28.89,28.65,29.5,5月10日,28,5月31日,2.69
1213  大飲,279128386,10366850,6268,26.93,26.12,25.65,28.8,5月9日,24.3,5月28日,20.14
1215  卜蜂,89494780,6485489,3126,13.8,13.68,13.45,14.55,5月8日,13,5月28日,2.8
1216  統一,11800173674,255755078,87427,46.14,46.05,44.9,48.2,5月10日,44.4,5月31日,5.63
1217  愛之味,330586630,33556154,12230,9.85,9.65,9.99,10.35,5月9日,9.18,5月25日,6.74
1218  泰山,417433503,27183159,10433,15.36,15.2,15.15,16.15,5月9日,14.25,5月25日,7.92
1219  福壽,47744335,3192303,1032,14.96,15.02,15.15,15.2,5月31日,13.7,5月21日,1.09
1220  台榮,19430434,1909860,845,10.17,10.14,10,10.85,5月8日,9.8,5月25日,1.08
1225  福懋油,23162714,1795331,969,12.9,12.94,13,13.2,5月9日,12.55,5月21日,0.99
1227  佳格,2396264951,26266341,18233,91.23,90.97,90.9,95.5,5月3日,87.8,5月28日,5.67
1229  聯華,420904762,23044608,9014,18.26,18.15,17.65,19.3,5月4日,17.3,5月31日,2.72
1231  聯華食,205299194,5691133,3453,36.07,35.96,35.05,37.85,5月9日,33.7,5月24日,4.79
1232  大統益,95839351,1912826,1184,50.1,50.08,51.2,51.7,5月31日,49,5月28日,1.2
1233  天仁,26084512,527706,433,49.43,49.19,48.2,52,5月17日,48,5月31日,0.58
1234  黑松,311235141,8449679,3712,36.83,36.62,36.5,38.3,5月8日,35.5,5月17日,1.58
1235  興泰,31936050,1374858,361,23.23,23.64,23,25.45,5月2日,22.05,5月17日,2.45
1236  宏亞,17541529,758823,738,23.12,23.25,22.8,24.3,5月4日,21.9,5月25日,0.77
1702  南僑,708589687,24490758,12851,28.93,28.61,28.2,30.85,5月3日,25.8,5月24日,8.33
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,15100818124,189823754,72980,79.55,79.42,78.1,83.9,5月2日,77,5月31日,3.1
1303  南亞,8542187355,150654737,60568,56.7,57.33,52.4,60.8,5月4日,51.7,5月31日,1.92
1304  台聚,1219575946,44961312,17824,27.13,27,26.25,28.7,5月9日,25.7,5月25日,4.53
1305  華夏,1060731623,99440883,21385,10.67,10.4,9.11,12.25,5月3日,8.92,5月28日,23.41
1307  三芳,32859373,1389437,1011,23.65,23.75,22.85,25.2,5月3日,22.5,5月24日,0.4
1308  亞聚,739095139,23158047,11027,31.92,32.09,31.05,35.35,5月3日,30,5月21日,5.92
1309  台達化,80940764,7462215,2978,10.85,10.81,10.3,11.6,5月4日,10.1,5月24日,2.39
1310  台苯,86109631,12394542,3996,6.95,6.92,6.68,7.35,5月8日,6.48,5月28日,2.14
1312  國喬,487216532,38684657,13640,12.59,12.56,12.2,13.15,5月4日,11.7,5月28日,4.27
1312A 國喬特,1875250,99000,44,18.94,18.94,18.95,19.2,5月8日,18.45,5月21日,0.5
1313  聯成,263953828,16373637,5969,16.12,16.11,15.85,16.9,5月4日,15.2,5月28日,1.53
1314  中石化,13524906529,503676113,168332,26.85,27.31,25.05,30.85,5月3日,24.7,5月23日,25.51
1315  達新,60281739,2014806,945,29.92,30.12,29.6,31.4,5月4日,28.6,5月28日,0.92
1316  上曜,282016712,11867008,3489,23.76,23.84,24,24.8,5月10日,21.9,5月15日,18.21
1319  東陽,462939308,16017685,8020,28.9,28.95,28.1,31.1,5月4日,26.8,5月25日,2.89
1321  大洋,50329879,2320285,728,21.69,21.67,21.65,22,5月4日,21.3,5月25日,1.02
1323  永裕,153944878,7669273,3178,20.07,19.79,18.2,22,5月8日,17.5,5月31日,9.26
1324  地球,7967132,664355,349,11.99,11.99,11.8,12.45,5月3日,11.4,5月28日,0.88
1325  恆大,26583689,1576170,704,16.87,16.97,16.35,17.35,5月7日,16.3,5月31日,1.57
1326  台化,11521218010,144171701,58846,79.91,80.16,79,85.6,5月2日,75.8,5月31日,2.53
1337  F-再生,1103989847,12230162,7938,90.27,88.95,92.2,96.8,5月8日,83.2,5月2日,8.86
1339  昭輝,87327350,3110522,2048,28.07,27.22,25.75,30.4,5月9日,25.3,5月28日,4.72
1715  亞化,110491573,7406753,2494,14.92,14.87,14.6,15.6,5月4日,14.3,5月28日,2.44
4306  炎洲,568170924,20280144,8030,28.02,27.93,27.7,29,5月4日,26.9,5月28日,6.82
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,4881793191,156339220,54994,31.23,31.6,30.2,33.8,5月4日,28.7,5月28日,3.19
1409  新纖,655436289,73335388,18438,8.94,8.91,8.95,9.5,5月4日,8.25,5月28日,4.01
1410  南染,34603578,2135268,733,16.21,16.09,16,17.1,5月4日,15.6,5月28日,2.37
1413  宏洲,4887086,1122268,442,4.35,4.36,4.05,4.69,5月3日,3.94,5月31日,0.66
1414  東和,213094298,22760374,7329,9.36,9.26,8.53,10.3,5月4日,8.25,5月28日,10.35
1416  廣豐,170063840,12541096,3775,13.56,13.48,13.45,14.3,5月11日,12.5,5月28日,3.26
1417  嘉裕,417895885,41900100,10648,9.97,9.8,10.1,10.55,5月4日,9.03,5月24日,11.03
1418  東華,14210309,1842881,615,7.71,7.67,7.7,8.16,5月9日,7.21,5月31日,1.4
1419  新紡,351444813,8770240,2651,40.07,40.35,40.8,41,5月31日,39.45,5月15日,2.92
1423  利華,18303602,2547524,676,7.18,7.16,7.05,7.44,5月2日,6.86,5月31日,1.46
1432  大魯閣,147706887,12659540,4520,11.67,10.71,12.5,13.25,5月31日,8.9,5月3日,23.5
1434  福懋,485664796,17934272,11765,27.08,27.24,27.3,28.3,5月4日,26.15,5月25日,1.06
1439  中和,41030402,2600996,1351,15.77,15.74,14.75,17.4,5月2日,14.2,5月28日,2.83
1440  南紡,347483137,27476329,9155,12.65,12.58,12.7,13.25,5月3日,11.85,5月28日,1.75
1441  大東,61613746,5940862,2053,10.37,10.3,10.1,10.9,5月2日,9.7,5月18日,6.92
1443  立益,10597898,2184557,633,4.85,4.77,4.49,5.17,5月2日,4.35,5月31日,1.61
1444  力麗,403613257,36147215,11797,11.17,11.17,11.6,11.9,5月10日,10.4,5月28日,4.08
1445  大宇,13059421,1777847,582,7.35,7.35,7.29,7.61,5月4日,7.05,5月24日,1.28
1446  宏和,38894217,3124381,971,12.45,12.41,12.5,12.75,5月10日,12,5月21日,2.25
1447  力鵬,187170886,21251261,7494,8.81,8.68,8.62,9.33,5月4日,8.11,5月25日,2.96
1451  年興,149684205,7809681,3895,19.17,19.14,19,19.9,5月3日,18.6,5月25日,1.62
1452  宏益,16801235,1859051,577,9.04,9.04,8.94,9.35,5月3日,8.74,5月24日,1.4
1453  大將,7326328,859592,273,8.52,8.54,8.59,8.67,5月10日,8.5,5月30日,1.15
1454  台富,15478831,2097867,806,7.38,7.39,7.32,7.71,5月30日,7.08,5月21日,1.5
1455  集盛,712467149,67085273,17901,10.62,10.36,10,11.45,5月4日,9.38,5月25日,11.19
1457  宜進,50715298,7795566,2470,6.51,6.59,6.32,7.08,5月2日,6,5月25日,2.45
1459  聯發,32425819,3536283,1487,9.17,9.19,8.81,10.2,5月4日,8.33,5月28日,0.99
1460  宏遠,508251363,55048209,13719,9.23,8.95,8.69,10.25,5月4日,8.25,5月25日,11.68
1463  強盛,109096860,10783332,1651,10.12,10.16,10.05,10.5,5月3日,9.87,5月16日,5.72
1464  得力,20854910,2513443,674,8.3,8.43,8.02,9.23,5月2日,7.76,5月18日,1.13
1465  偉全,26668429,1916299,769,13.92,13.92,13.85,14.1,5月8日,13.65,5月28日,2.22
1466  聚隆,168201603,9205082,4119,18.27,17.97,18.35,19.9,5月16日,16.7,5月2日,9.66
1467  南緯,35220104,4078535,1445,8.64,8.53,8.68,9.1,5月18日,8.21,5月16日,2.47
1468  昶和,5398688,563187,340,9.59,9.6,9.22,10.1,5月4日,9.02,5月31日,0.35
1469  理隆,1294242,151121,123,8.56,8.62,8.26,9.17,5月4日,8.13,5月31日,0.12
1470  大統染,13996819,1215718,74,11.51,11.88,11.8,12.85,5月2日,11.1,5月23日,1.42
1472  三洋紡,8004442,1029968,445,7.77,7.74,7.6,8.23,5月22日,7.26,5月31日,1.73
1473  台南,132840296,4027215,2389,32.99,32.97,32.45,35.9,5月2日,30.8,5月28日,2.74
1474  弘裕,14584044,2032335,613,7.18,7.23,7.03,7.44,5月8日,6.97,5月28日,1.47
1475  本盟,416043,57013,56,7.3,7.42,7.12,7.98,5月11日,6.75,5月31日,0.18
1476  儒鴻,1605649749,22788011,11358,70.46,70.37,69.9,73.3,5月8日,66.5,5月18日,10.79
1477  聚陽,1178449639,13667675,9097,86.22,86.1,85.6,89,5月2日,83.7,5月28日,8.39
4414  如興,16918593,2362698,746,7.16,7.13,6.14,8,5月9日,6.1,5月31日,4.03
4426  利勤,151315086,8527612,3907,17.74,17.68,20.1,20.1,5月31日,15.3,5月2日,13.88
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,167104302,4788718,2428,34.9,35,35.55,35.55,5月31日,33.9,5月18日,0.92
1504  東元,2192232801,107049130,39253,20.48,20.45,20.3,21.85,5月4日,19.05,5月28日,5.81
1506  正道,93415186,3576036,1161,26.12,26.34,24.9,27.35,5月2日,24.9,5月31日,4.95
