,民國101年06月,,,,,,,Jun-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,4520319486,131142272,45566,34.47,34.51,35.35,35.7,6月20日,32.8,6月4日,3.55
1102  亞泥,2644804783,72615119,27210,36.42,36.43,37.45,37.5,6月28日,34.7,6月4日,2.31
1103  嘉泥,240282283,18113907,2863,13.27,13.34,13.55,14.15,6月15日,12.65,6月4日,2.4
1104  環泥,66292343,5135467,2085,12.91,12.97,13,13.3,6月11日,12.35,6月15日,0.85
1108  幸福,45029154,7495344,1878,6.01,6.01,6.07,6.12,6月20日,5.79,6月5日,1.85
1109  信大,11902229,1159860,368,10.26,10.33,10.35,10.7,6月25日,10,6月4日,0.28
1110  東泥,21558484,1825790,652,11.81,11.79,11.8,12.3,6月18日,11.2,6月4日,0.32
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,545282250,18110129,9172,30.11,30.19,30.1,32.55,6月1日,29.3,6月4日,3.58
1203  味王,21028308,1087072,1078,19.34,19.34,19.45,19.9,6月1日,19,6月18日,0.45
1210  大成,382702667,13876259,6437,27.58,27.62,27.95,28.5,6月1日,26.9,6月4日,2.64
1213  大飲,101046798,3968113,2632,25.46,25.29,25.85,26.95,6月22日,23.7,6月4日,7.71
1215  卜蜂,45408593,3420229,1759,13.28,13.27,13.2,13.8,6月18日,12.8,6月4日,1.47
1216  統一,6087474328,131328177,53332,46.35,46.35,47.6,48.05,6月18日,43.8,6月4日,2.89
1217  愛之味,193779578,19860541,6944,9.76,9.73,9.75,9.99,6月1日,9.21,6月4日,3.99
1218  泰山,193351618,13164325,5047,14.69,14.7,15.05,15.15,6月18日,13.85,6月4日,3.84
1219  福壽,12909367,861789,603,14.98,15.08,15.3,15.3,6月29日,14.3,6月4日,0.29
1220  台榮,11426510,1148920,742,9.95,9.98,10,10.15,6月20日,9.68,6月4日,0.65
1225  福懋油,29188250,2264402,942,12.89,12.9,12.8,13.1,6月6日,12.6,6月4日,1.24
1227  佳格,3230846387,38170592,25619,84.64,85.06,85.5,90.8,6月1日,80.7,6月8日,8.23
1229  聯華,384877298,22175088,9013,17.36,17.4,18.1,18.1,6月29日,16.6,6月4日,2.61
1231  聯華食,143126627,4060435,2665,35.25,35.16,35.8,36.85,6月20日,32.5,6月4日,3.42
1232  大統益,46696771,924123,754,50.53,50.54,51,51.5,6月28日,49.4,6月4日,0.58
1233  天仁,28033519,579322,508,48.39,48.47,47.3,49.9,6月21日,46.05,6月4日,0.64
1234  黑松,464222085,12391965,4424,37.46,36.79,37.6,39,6月20日,35.4,6月4日,2.31
1235  興泰,18385492,810424,268,22.69,22.86,22.95,23.6,6月11日,22.1,6月5日,1.44
1236  宏亞,15260882,682913,731,22.35,22.52,23.25,23.7,6月22日,21.6,6月13日,0.69
1702  南僑,505377575,18180277,10625,27.8,27.63,28.9,29.5,6月28日,25.6,6月4日,6.18
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,11856217701,154382534,63144,76.8,76.98,79.8,80.1,6月20日,73.6,6月15日,2.52
1303  南亞,8454597570,155651056,52210,54.32,53.89,53.4,57.6,6月15日,50.2,6月4日,1.98
1304  台聚,621993461,23894456,12006,26.03,26.03,26.75,27.15,6月18日,24.45,6月4日,2.4
1305  華夏,567028299,62418394,14864,9.08,9.13,9.59,9.77,6月20日,8.23,6月4日,14.69
1307  三芳,46772857,2068976,1543,22.61,22.67,23.5,24.25,6月26日,21.8,6月14日,0.6
1308  亞聚,336083932,11005463,5962,30.54,30.63,31.5,31.6,6月29日,29,6月4日,2.81
1309  台達化,75001514,7156555,2742,10.48,10.47,10.65,11,6月20日,9.71,6月4日,2.29
1310  台苯,60664424,9406302,3325,6.45,6.45,6.43,6.85,6月21日,6.14,6月4日,1.62
1312  國喬,712253310,59006389,18490,12.07,12.03,13.1,13.15,6月29日,11,6月5日,6.51
1312A 國喬特,2121500,115000,42,18.45,18.41,18.6,18.6,6月29日,18,6月4日,0.58
1313  聯成,494951015,31101787,11421,15.91,15.94,16.1,16.75,6月13日,14.65,6月4日,2.91
1314  中石化,12040643284,488048025,156946,24.67,24.6,25,26.1,6月21日,23.1,6月4日,24.72
1315  達新,73096279,2523936,596,28.96,29.16,29.4,30.1,6月12日,28.4,6月4日,1.15
1316  上曜,239976133,10074630,3564,23.82,23.61,24.4,25,6月5日,22.2,6月13日,15.46
1319  東陽,453139763,16078699,8028,28.18,28.31,28.8,30.2,6月20日,25.9,6月4日,2.9
1321  大洋,39154791,1920080,555,20.39,20.45,20.65,21.65,6月1日,19.85,6月14日,0.85
1323  永裕,244046257,12209734,5391,19.99,19.22,20.25,21.9,6月22日,16.8,6月4日,14.75
1324  地球,6795960,601351,333,11.3,11.32,11.5,11.8,6月1日,10.85,6月4日,0.8
1325  恆大,35398395,2197033,611,16.11,16.16,16.25,16.45,6月1日,15.8,6月4日,2.18
1326  台化,9320242369,121851788,49845,76.49,76.53,78.4,80.2,6月20日,73.3,6月8日,2.14
1337  F-再生,1133651411,13076489,7616,86.69,88.14,78.8,92.7,6月1日,76.9,6月28日,8.23
1339  昭輝,32344714,1255111,871,25.77,25.98,26.9,27.1,6月25日,24.5,6月4日,1.9
1715  亞化,108449378,7301330,2426,14.85,14.77,15.3,15.45,6月28日,13.9,6月4日,2.4
4306  炎洲,274715254,10066541,4683,27.29,27.25,27.65,28.15,6月18日,26.3,6月4日,3.38
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,4953510087,167001152,62267,29.66,29.85,31.5,31.5,6月29日,28.1,6月4日,3.41
1409  新纖,397012636,46124907,11659,8.61,8.62,8.55,8.9,6月1日,8.12,6月4日,2.52
1410  南染,32582320,2094447,617,15.56,15.52,15.6,16.05,6月1日,14.85,6月4日,2.33
1413  宏洲,3293311,828338,332,3.98,3.98,3.9,4.18,6月6日,3.82,6月20日,0.49
1414  東和,150899420,17833490,6365,8.46,8.24,9.06,9.35,6月29日,7.77,6月5日,8.11
1416  廣豐,133897423,10278526,2708,13.03,13.01,13.2,13.8,6月25日,12.2,6月4日,2.67
1417  嘉裕,271109962,27348395,6766,9.91,9.85,9.88,10.3,6月18日,9.2,6月4日,7.2
1418  東華,7737348,1161505,440,6.66,6.65,6.46,7.52,6月1日,6.38,6月27日,0.88
1419  新紡,179066213,4463571,1690,40.12,40.23,40.2,42,6月15日,39.1,6月12日,1.49
1423  利華,27074502,3879086,636,6.98,6.98,6.95,7.18,6月18日,6.54,6月4日,2.22
1432  大魯閣,85407092,7043629,2518,12.13,11.93,11.65,12.9,6月19日,11.35,6月4日,13.08
1434  福懋,647892623,24893784,14457,26.03,26.19,26.8,27,6月11日,25,6月19日,1.48
1439  中和,139020645,8269629,3885,16.81,15.03,17,18.8,6月26日,13.45,6月4日,8.99
1440  南紡,476879267,39184727,11701,12.17,12.18,12.55,13,6月18日,11.05,6月4日,2.5
1441  大東,44849321,4383396,1790,10.23,10.07,10.6,10.85,6月28日,9.35,6月4日,5.11
1443  立益,8288424,1952429,548,4.25,4.27,4.25,4.49,6月22日,4.1,6月4日,1.44
1444  力麗,383474464,35981179,9926,10.66,10.67,10.6,11.4,6月1日,10.05,6月4日,4.06
1445  大宇,7748191,1066481,596,7.27,7.24,7.38,7.71,6月21日,7,6月4日,0.77
1446  宏和,47665658,3771889,852,12.64,12.58,12.65,13.5,6月11日,12.15,6月4日,2.72
1447  力鵬,167687984,19458516,6867,8.62,8.64,8.74,9.2,6月18日,7.81,6月4日,2.71
1451  年興,173804908,9005607,3061,19.3,19.02,19.5,19.75,6月18日,18.2,6月5日,1.87
1452  宏益,13188507,1477490,539,8.93,8.92,9.02,9.3,6月28日,8.7,6月4日,1.11
1453  大將,4032361,473194,207,8.52,8.54,8.5,9,6月11日,8.5,6月29日,0.64
1454  台富,7079912,978301,587,7.24,7.24,7.29,7.5,6月12日,7.02,6月4日,0.7
1455  集盛,233138745,25025207,8591,9.32,9.33,9.37,10,6月1日,9.01,6月14日,4.17
1457  宜進,46649618,7712176,1906,6.05,6.08,6.12,6.29,6月1日,5.81,6月4日,2.43
1459  聯發,21543872,2521487,1187,8.54,8.59,8.67,8.86,6月1日,8.15,6月4日,0.7
1460  宏遠,160682267,19083138,5767,8.42,8.4,8.38,9,6月18日,7.84,6月4日,4.05
1463  強盛,146575641,14539648,1969,10.08,10.02,10.45,10.7,6月28日,9.45,6月4日,7.72
1464  得力,10884783,1298844,460,8.38,8.31,8.65,8.75,6月26日,7.56,6月4日,0.58
1465  偉全,15568064,1158600,509,13.44,13.51,13.6,13.95,6月1日,13,6月4日,1.34
1466  聚隆,107445559,5818527,2122,18.47,18.49,18.35,19.75,6月18日,16.75,6月4日,6.11
1467  南緯,17403588,2083977,735,8.35,8.41,8.48,8.85,6月1日,7.87,6月26日,1.26
1468  昶和,5104917,555292,298,9.19,9.2,9.4,9.43,6月29日,8.7,6月4日,0.35
1469  理隆,1071883,131014,95,8.18,8.3,8.4,8.49,6月8日,7.8,6月4日,0.11
1470  大統染,4787365,416438,42,11.5,11.78,11.7,12,6月26日,11.4,6月4日,0.49
1472  三洋紡,11858540,1455849,683,8.15,8.15,8.26,8.9,6月21日,7.25,6月4日,2.45
1473  台南,135348444,4529119,2533,29.88,30.29,29.5,32.4,6月7日,28.6,6月15日,3.08
1474  弘裕,10434831,1515655,686,6.88,6.91,7.02,7.12,6月1日,6.72,6月4日,1.1
1475  本盟,1675191,208911,168,8.02,8.12,8.2,8.95,6月14日,6.8,6月4日,0.64
1476  儒鴻,836996858,12471208,7071,67.11,67.71,69.4,70.4,6月1日,63.6,6月8日,5.9
1477  聚陽,1045642210,12404583,7470,84.29,84.51,86.5,87.3,6月15日,80.6,6月7日,7.61
4414  如興,11971534,1801559,519,6.65,6.42,6.8,7.13,6月27日,5.87,6月4日,3.07
4426  利勤,315069567,14297021,7180,22.04,21.91,23.75,24.3,6月15日,18.6,6月7日,23.27
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,120505248,3449742,1693,34.93,34.99,35.1,35.55,6月12日,33.8,6月4日,0.66
1504  東元,1954041767,101077538,31902,19.33,19.36,19.3,20.1,6月1日,18.9,6月4日,5.48
1506  正道,37237996,1572478,508,23.68,23.87,24.7,24.9,6月1日,22.5,6月4日,2.18
