,民國101年07月,,,,,,,Jul-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,6756019032,188341637,60487,35.87,35.92,34.9,37,7月20日,33.65,7月26日,5.1
1102  亞泥,3483693825,93198064,36835,37.38,37.35,38.05,38.2,7月11日,35.95,7月25日,2.97
1103  嘉泥,120189310,8955798,2048,13.42,13.41,13.55,13.7,7月4日,13.15,7月26日,1.19
1104  環泥,123807265,9202084,2473,13.45,13.17,13.4,13.95,7月11日,12.5,7月26日,1.52
1108  幸福,114330528,18299945,3200,6.25,6.23,6.5,6.58,7月31日,6.03,7月2日,4.52
1109  信大,11678186,1121674,241,10.41,10.42,10.35,10.6,7月10日,10.2,7月30日,0.27
1110  東泥,12292736,1041159,437,11.81,11.84,11.9,12.2,7月4日,11.4,7月24日,0.18
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,1021579084,32772158,12992,31.17,30.85,31.1,32.3,7月10日,29.95,7月24日,6.48
1203  味王,33580259,1668506,1045,20.13,19.87,20.45,21.05,7月27日,19.35,7月24日,0.7
1210  大成,693670927,23633868,10134,29.35,29.25,29.4,30.1,7月19日,28,7月2日,4.5
1213  大飲,229983850,8443982,5124,27.24,26.8,26.3,28.45,7月11日,25.75,7月24日,16.4
1215  卜蜂,225976288,16185756,6567,13.96,13.87,14.7,14.8,7月30日,13.25,7月10日,6.98
1216  統一,9127092481,185292439,67309,49.26,49.11,50.4,51.2,7月10日,46.9,7月2日,4.08
1217  愛之味,636511034,60947022,18875,10.44,10.38,10.5,10.85,7月18日,9.79,7月2日,12.25
1218  泰山,499651775,31371273,13017,15.93,15.83,15.95,16.55,7月10日,15.15,7月2日,9.14
1219  福壽,156384634,9652833,1879,16.2,15.83,15,16.55,7月27日,14.95,7月31日,3.14
1220  台榮,34198671,3366422,1258,10.16,10.12,10,10.45,7月6日,9.72,7月24日,1.9
1225  福懋油,195933380,14091027,5744,13.9,13.49,13.7,14.45,7月20日,12.65,7月3日,7.75
1227  佳格,6296571159,77797755,45913,80.94,82.87,80.2,92.5,7月10日,69.6,7月17日,13.53
1229  聯華,720469003,38192559,10749,18.86,18.92,18.3,19.65,7月19日,18,7月2日,4.5
1231  聯華食,412304901,10767402,6460,38.29,38.01,38.95,39.5,7月30日,36.2,7月2日,9.06
1232  大統益,117960811,2356919,1605,50.05,49.94,50.2,51.5,7月3日,48.6,7月4日,1.47
1233  天仁,26757423,569009,391,47.02,47.1,47,48.3,7月9日,45.75,7月24日,0.63
1234  黑松,448424967,11927387,4490,37.6,37.2,38.4,39.6,7月31日,36.3,7月24日,2.23
1235  興泰,66393455,2656356,990,24.99,24.67,25.05,27,7月9日,22.65,7月2日,4.73
1236  宏亞,42521276,1894136,1297,22.45,22.49,21.3,24.25,7月12日,20.7,7月17日,1.75
1702  南僑,2055759284,67364560,32418,30.52,30.2,31.7,32,7月30日,28.4,7月6日,22.9
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,13196272910,166758431,64460,79.13,79.11,83,83,7月31日,74.6,7月13日,2.72
1303  南亞,7784242024,142799577,53116,54.51,54.7,58.5,58.5,7月31日,51.3,7月12日,1.82
1304  台聚,1305320720,46363742,19490,28.15,28.09,28.45,29,7月30日,27.1,7月2日,4.67
1305  華夏,911298766,86123561,17347,10.58,10.44,11.7,11.9,7月30日,9.56,7月2日,20.27
1307  三芳,51376298,2165308,1212,23.73,23.43,23.4,25.1,7月3日,22.7,7月26日,0.61
1308  亞聚,936618424,27328607,13643,34.27,34.09,36.1,36.1,7月31日,31.9,7月2日,6.98
1309  台達化,188094126,16650574,5532,11.3,11.13,11.95,12.15,7月30日,10.6,7月13日,5.34
1310  台苯,249519332,36172363,8796,6.9,6.58,7.2,7.43,7月26日,6.25,7月16日,6.23
1312  國喬,1012767366,76974808,19513,13.16,13.15,13.25,13.6,7月11日,12.3,7月25日,8.49
1312A 國喬特,4678850,252000,135,18.57,18.73,18.1,19.1,7月10日,17.45,7月25日,1.26
1313  聯成,381509847,23002053,7420,16.59,16.38,17.25,17.3,7月31日,15.9,7月24日,2.15
1314  中石化,12689807169,509849665,155448,24.89,24.72,24.75,26.2,7月5日,23.7,7月13日,25.82
1315  達新,142940817,5195979,1047,27.51,27.47,26,30.3,7月5日,24.8,7月26日,2.36
1316  上曜,293004765,11607338,3557,25.24,24.99,24,26.15,7月5日,23.8,7月31日,17.81
1319  東陽,443605877,15399269,7095,28.81,28.57,29.5,29.65,7月30日,27.7,7月17日,2.78
1321  大洋,48369684,2283731,505,21.18,20.8,21.9,22.3,7月31日,20.2,7月17日,1.01
1323  永裕,376339063,18272381,7076,20.6,20.47,20.9,21.85,7月9日,19.45,7月26日,22.07
1324  地球,10646339,963498,474,11.05,11.09,11.05,11.7,7月2日,10.4,7月25日,1.28
1325  恆大,17904192,1105892,622,16.19,16.15,16.1,16.9,7月5日,15.75,7月26日,1.1
1326  台化,7914195304,103265008,45829,76.64,76.37,79.4,79.8,7月3日,73.8,7月16日,1.81
1337  F-再生,1100771708,13357017,7864,82.41,82.54,83.5,84.6,7月9日,79.2,7月2日,8.41
1339  昭輝,16288506,605011,404,26.92,26.95,27.1,27.6,7月6日,26.2,7月16日,0.92
1715  亞化,93816372,6168123,1884,15.21,15.22,15.3,15.5,7月4日,14.8,7月24日,2.03
4306  炎洲,351009888,12681796,5321,27.68,27.59,27.75,28.25,7月5日,27,7月25日,4.26
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,3970508018,122407356,56121,32.44,32.4,33.65,33.65,7月31日,31.25,7月25日,2.5
1409  新纖,459834169,51601557,13053,8.91,8.89,8.87,9.15,7月6日,8.58,7月2日,2.82
1410  南染,76978592,5267806,1203,14.61,14.48,14.7,15.9,7月4日,13.75,7月17日,5.85
1413  宏洲,3613191,924291,384,3.91,3.87,3.8,4.06,7月4日,3.7,7月25日,0.54
1414  東和,89391849,10213501,3586,8.75,8.66,8.59,9.23,7月2日,8.25,7月26日,4.64
1416  廣豐,217017341,15948114,4078,13.61,13.24,14.1,14.25,7月31日,12.9,7月11日,4.14
1417  嘉裕,486236638,47175825,9327,10.31,10.18,10.95,10.95,7月31日,9.92,7月2日,12.42
1418  東華,5203596,821656,325,6.33,6.31,6.3,6.56,7月9日,6.01,7月26日,0.62
1419  新紡,265546131,6547506,2350,40.56,40.03,41.1,42.1,7月10日,39.05,7月23日,2.18
1423  利華,18550869,2706006,588,6.86,6.86,6.75,7.2,7月23日,6.64,7月26日,1.55
1432  大魯閣,47208051,4052570,1260,11.65,11.6,12,12.2,7月31日,11.3,7月16日,7.52
1434  福懋,483751543,18163929,10445,26.63,26.69,26.2,27.55,7月18日,25,7月26日,1.08
1439  中和,90945943,5644802,2816,16.11,15.72,14.8,17.3,7月3日,14.25,7月26日,6.14
1440  南紡,507216710,42217609,13707,12.01,11.98,12.35,12.65,7月3日,11.35,7月11日,2.69
1441  大東,59361075,6649310,2414,8.93,8.68,8.06,10.7,7月3日,7.7,7月25日,7.75
1443  立益,5350828,1254379,505,4.27,4.22,4.27,4.4,7月3日,4,7月24日,0.93
1444  力麗,294210555,27615942,7010,10.65,10.64,10.65,11.05,7月9日,10.35,7月25日,3.12
1445  大宇,14861031,2078275,672,7.15,7.06,6.72,7.55,7月5日,6.6,7月26日,1.5
1446  宏和,46369717,3641884,542,12.73,12.64,12.8,13.3,7月10日,12.45,7月13日,2.63
1447  力鵬,136776481,16031619,5567,8.53,8.56,8.5,9.09,7月9日,8.2,7月23日,2.23
1451  年興,125491962,6649185,2609,18.87,18.8,18.85,19.75,7月2日,18.5,7月13日,1.38
1452  宏益,17453404,1982825,713,8.8,8.65,8.57,9.21,7月6日,8.21,7月17日,1.49
1453  大將,5553251,639026,341,8.69,8.66,8.71,9.1,7月16日,8.5,7月26日,0.86
1454  台富,16713991,2375019,793,7.04,6.93,6.78,7.53,7月6日,6.5,7月16日,1.69
1455  集盛,340747295,35132157,11061,9.7,9.64,9.53,10.15,7月24日,9.33,7月18日,5.86
1457  宜進,47971389,7981775,2031,6.01,6.01,6.08,6.2,7月30日,5.83,7月13日,2.51
1459  聯發,29101694,3392643,1409,8.58,8.7,8.68,9.18,7月5日,7.88,7月19日,0.95
1460  宏遠,93081995,11065917,3607,8.41,8.36,8.52,8.76,7月10日,8.1,7月25日,2.35
1463  強盛,117568022,11916977,1899,9.87,9.84,9.85,10.5,7月2日,9.36,7月26日,6.32
1464  得力,57779691,6536525,761,8.84,8.74,8.72,9.26,7月5日,8.33,7月17日,2.93
1465  偉全,17533786,1281450,526,13.68,13.67,13.75,14.15,7月31日,13.5,7月24日,1.48
1466  聚隆,56572719,3171959,1308,17.84,17.88,16.7,18.8,7月5日,16.3,7月25日,3.33
1467  南緯,19590780,2315770,847,8.46,8.41,8.39,8.83,7月5日,8.22,7月26日,1.4
1468  昶和,5703677,599546,315,9.51,9.57,9.99,9.99,7月31日,9.11,7月13日,0.37
1469  理隆,392793,47019,40,8.35,8.42,8.5,8.56,7月4日,8.01,7月24日,0.04
1470  大統染,1495624,125874,27,11.88,11.78,11.8,11.95,7月16日,11.4,7月18日,0.15
1472  三洋紡,28104337,3003583,1420,9.36,9.23,10.5,10.9,7月31日,8.15,7月2日,5.05
1473  台南,167648464,5648160,3114,29.68,29.36,28.2,30.9,7月2日,27.5,7月20日,3.85
1474  弘裕,7717080,1095143,365,7.05,7.04,7,7.22,7月6日,6.92,7月25日,0.79
1475  本盟,413090,54859,53,7.53,7.83,7.14,8.47,7月4日,7.1,7月25日,0.17
1476  儒鴻,1682987269,22150975,12331,75.98,75.95,81.1,82.1,7月30日,70.2,7月2日,10.49
1477  聚陽,1410176912,16304367,9539,86.49,85.6,82.8,90.3,7月5日,80.8,7月17日,10
4414  如興,5028122,751998,321,6.69,6.61,6.51,7.17,7月4日,6.2,7月26日,1.28
4426  利勤,140517156,7021146,4046,20.01,19.56,18.5,24,7月2日,16.85,7月23日,11.43
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,194061648,5537855,1402,35.04,34.89,34.7,35.6,7月11日,34.1,7月17日,1.06
1504  東元,1881035126,98503892,31650,19.1,18.92,19.1,20.15,7月5日,17.9,7月25日,5.34
1506  正道,200416480,7622190,842,26.29,26.24,26.6,27.2,7月13日,24,7月2日,10.55
