,民國101年08月,,,,,,,Aug-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
1101  台泥,5721153382,164450548,61055,34.79,34.68,32.55,36.45,8月13日,32.45,8月31日,4.45
1102  亞泥,4861767610,128040815,40939,37.97,37.31,34.4,40.1,8月13日,34.15,8月30日,3.96
1103  嘉泥,150019837,11036061,3522,13.59,13.58,13.3,13.95,8月10日,13.25,8月13日,1.42
1104  環泥,40304792,3009100,1530,13.39,13.37,13.25,13.65,8月17日,13.1,8月3日,0.5
1108  幸福,71451341,10979183,2268,6.51,6.48,6.25,6.68,8月10日,6.2,8月31日,2.71
1109  信大,14575459,1399286,366,10.42,10.45,10.5,10.55,8月27日,10.15,8月8日,0.33
1110  東泥,40927058,3301651,1265,12.4,12.33,13,13.05,8月29日,11.8,8月9日,0.58
1201  味全,867454563,27200454,12765,31.89,31.82,31.45,32.9,8月20日,30.75,8月1日,5.37
1203  味王,35455727,1721727,964,20.59,20.62,20.6,20.95,8月17日,20.4,8月30日,0.72
1210  大成,1649443195,55336408,18348,29.81,30.09,27,31.2,8月16日,26.8,8月31日,10.04
1213  大飲,117879145,4712496,2842,25.01,25.1,21.85,26.3,8月1日,21.8,8月31日,9.15
1215  卜蜂,171334696,11732393,4757,14.6,14.54,13.85,15.05,8月15日,13.6,8月31日,5.06
1216  統一,11752357283,231726004,84860,50.72,50.55,47.95,55,8月8日,47.8,8月31日,4.77
1217  愛之味,515886684,48816303,14239,10.57,10.49,10,10.85,8月15日,9.99,8月31日,9.81
1218  泰山,676120680,41786231,14209,16.18,16.04,15.1,16.8,8月8日,14.85,8月31日,11.83
1219  福壽,57008482,3695702,1067,15.43,15.36,15.5,16,8月15日,14.95,8月3日,1.2
1220  台榮,154378165,13867418,4302,11.13,10.72,10.8,11.8,8月15日,9.9,8月7日,7.83
1225  福懋油,187387393,13266744,3489,14.12,13.9,13,14.6,8月17日,13,8月31日,7.08
1227  佳格,4808924373,57851581,39060,83.13,82.41,79.5,87.8,8月8日,78.9,8月31日,10.06
1229  聯華,526421948,28348336,9955,18.57,18.44,18.65,19.2,8月16日,18,8月29日,3.34
1231  聯華食,602771564,14992431,8194,40.21,39.38,37.6,42.4,8月14日,37.25,8月31日,12.24
1232  大統益,119299902,2331921,1597,51.16,50.86,51.5,52.5,8月22日,49.75,8月1日,1.46
1233  天仁,25119752,538452,393,46.65,46.64,46.3,47.8,8月9日,46.2,8月31日,0.59
1234  黑松,496670367,12912588,5130,38.46,38.3,38.6,39.4,8月30日,37.2,8月3日,2.41
1235  興泰,48341020,1877819,1048,25.74,25.39,24.7,27.2,8月10日,24.45,8月31日,3.34
1236  宏亞,34702589,1593137,996,21.78,21.72,21.05,22.45,8月22日,21,8月30日,1.47
1301  台塑,10655923948,127669273,51037,83.47,83.1,80.7,85.7,8月9日,80.2,8月31日,2.09
1303  南亞,6703779355,113803701,48028,58.91,58.58,56.3,61.5,8月14日,56,8月30日,1.45
1304  台聚,2290949705,86948894,31935,26.35,26.03,25.1,29.2,8月7日,24.6,8月9日,7.61
1305  華夏,984327017,83992999,18634,11.72,11.68,11.85,12.25,8月27日,11.2,8月7日,19.77
1307  三芳,30453878,1280870,815,23.78,23.72,23.65,24.3,8月16日,23.05,8月3日,0.36
1308  亞聚,1796118296,55888913,23531,32.14,31.75,27.95,37.5,8月8日,27.9,8月31日,11.9
1309  台達化,227256499,19598823,5696,11.6,11.5,10.5,12.15,8月6日,10.5,8月31日,5.98
1310  台苯,840559056,106561637,25042,7.89,7.73,7.95,8.8,8月14日,6.93,8月8日,18.36
1312  國喬,1843946820,130326295,28843,14.15,13.93,14.1,15.05,8月27日,13.25,8月1日,14.37
1312A 國喬特,1689100,91000,48,18.56,18.64,19.1,19.3,8月27日,17.5,8月7日,0.46
1313  聯成,1129784575,67317438,17245,16.78,16.57,15.5,18,8月9日,15.25,8月29日,5.98
1314  中石化,17863917620,772658855,203935,23.12,23.06,23.95,24.55,8月27日,21.6,8月3日,39.13
1315  達新,101250524,3854892,1384,26.27,26.41,26.75,27.35,8月20日,25.4,8月14日,1.75
1316  上曜,641962207,36928753,11529,17.38,18.24,13.9,24,8月8日,13.05,8月29日,55.27
1319  東陽,545940141,18605251,8575,29.34,29.18,28.5,30.8,8月13日,28.2,8月31日,3.22
1321  大洋,959392893,37129859,10206,25.84,23.19,27.1,28.8,8月30日,21.6,8月3日,16.34
1323  永裕,346998590,15351633,6646,22.6,22.6,22.3,23.9,8月22日,20.8,8月1日,18.54
1324  地球,16552512,1464708,658,11.3,11.34,11.5,11.75,8月27日,10.95,8月8日,1.95
1325  恆大,17534832,1083930,568,16.18,16.24,16.2,16.35,8月23日,15.9,8月6日,1.08
1326  台化,6317409042,78356964,36540,80.62,80.5,77.3,83.5,8月15日,76.2,8月31日,1.38
1337  F-再生,2838147206,30816124,17916,92.1,92.93,92.7,97,8月13日,83.6,8月1日,19.41
1339  昭輝,20901669,750672,534,27.84,27.87,27.75,28.7,8月20日,27.1,8月8日,1.14
1402  遠東新,6044080096,178997239,77147,33.77,33.41,31.5,35.2,8月21日,31.4,8月31日,3.55
1409  新纖,958619239,104009966,25763,9.22,9.13,9.14,9.66,8月27日,8.59,8月3日,5.69
1410  南染,136756054,8860550,2264,15.43,15.14,16.85,16.9,8月31日,14.2,8月6日,9.85
1413  宏洲,5307031,1311415,569,4.05,4.03,4.05,4.3,8月16日,3.76,8月3日,0.77
1414  東和,245281502,27048487,8351,9.07,8.96,8.8,9.68,8月17日,8.14,8月7日,12.29
1416  廣豐,1150965048,76103392,16630,15.12,14.75,15.55,15.9,8月31日,13.9,8月7日,19.77
1417  嘉裕,1041711457,92996022,18441,11.2,11.12,10.7,11.75,8月22日,10.5,8月31日,24.48
1418  東華,7931598,1228225,454,6.46,6.45,6.13,6.69,8月13日,6.05,8月31日,0.93
1419  新紡,735876577,18167378,6507,40.51,40.37,40.3,42,8月15日,38.8,8月28日,6.05
1423  利華,25394242,3566600,857,7.12,7.11,7.19,7.45,8月24日,6.73,8月1日,2.04
1432  大魯閣,72152458,6152781,1826,11.73,11.66,11.65,12.7,8月8日,11.2,8月29日,11.42
1434  福懋,374046805,13644828,7592,27.41,27.46,27.3,28.3,8月21日,25.8,8月1日,0.81
1435  中福,33099656,9091918,1970,3.64,3.51,3.96,3.96,8月31日,3.22,8月9日,6.5
1436  福益,91797671,1992930,1799,46.06,46.83,51.2,52.3,8月20日,33.6,8月6日,3.32
1437  勤益,159280406,11427682,3593,13.94,13.71,14.8,14.8,8月31日,12.3,8月3日,5.6
1439  中和,90425813,5725779,2799,15.79,15.46,15.95,16.65,8月29日,14.55,8月7日,6.22
1440  南紡,745750613,56460781,15800,13.21,13.09,13.35,13.75,8月24日,12.05,8月3日,3.6
1441  大東,60772480,7210097,2438,8.43,8.39,8.48,8.89,8月9日,8.05,8月1日,8.01
1442  名軒,269317113,9678811,3401,27.83,27.76,28.45,29,8月10日,26.1,8月1日,4.69
1443  立益,9715598,2313767,776,4.2,4.17,4.06,4.37,8月22日,3.88,8月6日,1.71
1444  力麗,824345580,77268851,16690,10.67,10.6,10.65,11.1,8月27日,9.95,8月3日,8.48
1445  大宇,25151295,3593030,584,7,6.97,7.06,7.18,8月28日,6.72,8月3日,2.59
1446  宏和,82877183,6092522,1089,13.6,13.53,14.55,14.95,8月30日,12.75,8月6日,4.4
1447  力鵬,398753793,45056611,13796,8.85,8.77,8.55,9.27,8月17日,8.13,8月3日,5.98
1451  年興,105307854,5247374,2651,20.07,20.33,20.8,20.95,8月30日,18.75,8月1日,1.21
1452  宏益,26130723,2943547,828,8.88,8.86,8.95,9.09,8月16日,8.5,8月3日,2.22
1453  大將,11775423,1291576,697,9.12,9.03,8.99,9.79,8月20日,8.61,8月1日,1.67
1454  台富,11359271,1636711,546,6.94,6.95,6.96,7.08,8月16日,6.67,8月3日,1.17
1455  集盛,1090745084,104640211,26172,10.42,10.35,10.05,11.1,8月15日,9.35,8月3日,17.28
1457  宜進,109247321,16884837,4436,6.47,6.36,6.26,6.75,8月9日,5.95,8月6日,5.31
1459  聯發,65053354,7076433,2700,9.19,9.12,9.31,9.6,8月8日,8.53,8月6日,1.97
1460  宏遠,164907934,19449225,5484,8.48,8.44,8.29,8.95,8月8日,8.18,8月16日,4.13
1463  強盛,311361230,27782692,5437,11.21,10.96,11.9,12.3,8月23日,9.52,8月7日,14.75
1464  得力,21738348,2555765,476,8.51,8.48,8.47,8.8,8月3日,8.21,8月24日,1.15
1465  偉全,78887201,5604015,2160,14.08,13.72,12.65,14.7,8月22日,12.6,8月31日,6.49
1466  聚隆,69380968,4016787,1748,17.27,17.24,17.6,18.25,8月27日,16.3,8月6日,4.22
1467  南緯,105015484,11975493,3122,8.77,8.56,8.96,9.08,8月17日,7.94,8月7日,7.12
1468  昶和,5912727,590092,324,10.02,10.02,10.1,10.35,8月15日,9.31,8月1日,0.37
1469  理隆,866020,101005,92,8.57,8.69,8.41,8.98,8月16日,8.21,8月29日,0.08
1470  大統染,637505,54005,42,11.8,11.86,11.95,12.2,8月15日,11.6,8月13日,0.06
1471  首利,123692054,11565887,4312,10.69,10.62,10.8,11.7,8月28日,9.61,8月3日,5.74
1472  三洋紡,209108612,15355713,5122,13.62,13.09,14.35,16.5,8月23日,10.2,8月3日,25.81
1473  台南,99260008,3432058,2045,28.92,28.94,28.9,30,8月13日,28,8月3日,2.34
1474  弘裕,22988962,3291068,934,6.99,7.07,7.17,7.4,8月27日,6.7,8月6日,2.39
1475  本盟,2731704,326602,227,8.36,8.53,8,9.45,8月16日,7.15,8月1日,1
1476  儒鴻,2433638765,30954392,18468,78.62,78.11,78.6,86.5,8月7日,74.5,8月23日,12.58
1477  聚陽,1290765150,15168936,9693,85.09,84.94,85.7,87.5,8月8日,82.8,8月3日,9.3
1503  士電,146581599,4209191,1466,34.82,34.82,34.8,35,8月31日,34.4,8月16日,0.81
1504  東元,1620186654,83573687,30643,19.39,19.41,19.8,20,8月27日,18.6,8月3日,4.53
1506  正道,66166563,2540019,888,26.05,26.17,25.8,26.55,8月1日,25.5,8月31日,3.52
1507  永大,1111445668,21365369,10089,52.02,51.81,53.5,55.4,8月17日,48,8月6日,5.2
1512  瑞利,66992550,8534442,2207,7.85,7.78,8.5,8.69,8月31日,7.19,8月14日,4.69
1513  中興電,442076659,26612695,7603,16.61,16.4,15.75,17.1,8月14日,15.7,8月31日,5.54
