,民國101年09月,,,,,,,Sep-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,7778106721,221927247,66340,35.05,35.09,36.3,37,9月17日,32.35,9月3日,6.01
1102  亞泥,3278088186,90357215,31566,36.28,36.17,37.05,37.7,9月25日,33.75,9月6日,2.8
1103  嘉泥,298954429,20673962,6251,14.46,14.26,14.7,15.45,9月25日,13.2,9月3日,2.66
1104  環泥,200806381,13641257,5252,14.72,14.38,14.8,15.5,9月20日,13.45,9月3日,2.26
1108  幸福,54214953,8517771,2164,6.36,6.32,6.4,6.59,9月24日,6.16,9月6日,2.1
1109  信大,16156847,1509796,578,10.7,10.68,10.45,10.95,9月27日,10.35,9月6日,0.36
1110  東泥,202462071,14508082,4445,13.96,13.67,13.4,14.7,9月24日,12.75,9月3日,2.54
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,4720253944,140507357,30523,33.59,34.71,35.3,36.9,9月25日,31.2,9月3日,27.76
1203  味王,377206133,16715429,7065,22.57,22.12,22.3,23.9,9月27日,20.45,9月3日,6.96
1210  大成,1049094850,38643884,14058,27.15,27.18,27.15,27.75,9月20日,26.75,9月6日,6.95
1213  大飲,82694173,3707804,2271,22.3,22.22,21.2,23.3,9月5日,21,9月4日,7.2
1215  卜蜂,201023599,13641302,5586,14.74,14.43,14.6,15.35,9月21日,13.7,9月5日,5.88
1216  統一,8475886018,171556972,63529,49.41,49.59,52,52,9月28日,46.45,9月5日,3.53
1217  愛之味,506328511,49182917,13246,10.29,10.19,10.1,10.6,9月20日,9.95,9月5日,9.88
1218  泰山,1308133490,79692665,22289,16.41,15.82,17.15,17.45,9月21日,14.7,9月5日,22.55
1219  福壽,25690083,1665763,839,15.42,15.43,15.4,15.7,9月25日,15.2,9月13日,0.54
1220  台榮,39561588,3609766,1401,10.96,10.95,11,11.25,9月10日,10.6,9月3日,2.04
1225  福懋油,66837342,5042157,1656,13.26,13.18,13.3,13.6,9月20日,12.95,9月13日,2.69
1227  佳格,3706668547,47543334,33662,77.96,78.17,81.3,81.9,9月17日,75.2,9月3日,8.27
1229  聯華,1032940299,53015693,16596,19.48,19.36,19.6,20.2,9月27日,18.65,9月3日,6.25
1231  聯華食,281776593,7488747,4585,37.63,37.46,37.65,38.8,9月17日,36.55,9月6日,6.12
1232  大統益,75693306,1455335,1072,52.01,52.07,51.9,52.7,9月26日,50.8,9月6日,0.91
1233  天仁,23195495,498913,355,46.49,46.45,46.3,46.9,9月3日,46,9月6日,0.55
1234  黑松,4217627323,91742593,29887,45.97,46.37,48,51,9月25日,38.6,9月3日,17.12
1235  興泰,12394500,504430,401,24.57,24.54,24.45,25.6,9月12日,23.75,9月25日,0.9
1236  宏亞,20095932,941587,653,21.34,21.37,21.4,22,9月17日,20.65,9月3日,0.87
1702  南僑,1505457593,48428856,20980,31.09,30.56,30.8,32.8,9月26日,28.85,9月6日,16.46
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,8864391099,106850637,47279,82.96,83.02,83.8,85.4,9月19日,79.7,9月6日,1.75
1303  南亞,5098890878,89771838,41638,56.8,56.9,58.8,59,9月21日,52.9,9月6日,1.14
1304  台聚,1795943024,69492458,27066,25.84,25.64,25.55,26.9,9月17日,25.1,9月3日,6.08
1305  華夏,2173331627,160681158,32189,13.53,13.19,13.7,15,9月18日,11.9,9月3日,37.82
1307  三芳,37040030,1548077,1172,23.93,23.94,23.8,24.3,9月17日,23.05,9月4日,0.44
1308  亞聚,956791354,33979850,17183,28.16,28.08,27.8,29.45,9月17日,26.8,9月10日,7.23
1309  台達化,232473073,22256162,7718,10.45,10.31,10.3,11.2,9月17日,9.83,9月7日,6.79
1310  台苯,1168884899,124543431,28812,9.39,9.11,10.05,10.4,9月20日,7.83,9月3日,21.46
1312  國喬,2324506882,150869044,40214,15.41,15.34,15.95,16.5,9月20日,14.25,9月3日,16.64
1312A 國喬特,4199800,222000,73,18.92,19.21,19.6,19.6,9月28日,18.7,9月3日,1.11
1313  聯成,475929592,29468714,9927,16.15,16.06,16.15,16.9,9月17日,15.3,9月3日,2.62
1314  中石化,18105163255,705960307,192992,25.65,25.08,24.85,27.4,9月18日,23.6,9月6日,35.75
1315  達新,529509275,17447314,6788,30.35,30.36,30.55,32.65,9月25日,27,9月3日,7.93
1316  上曜,265736955,18452622,6446,14.4,14.17,14,15.45,9月19日,13.25,9月4日,27.62
1319  東陽,310172232,10728951,5372,28.91,28.8,28.9,29.8,9月18日,28.25,9月3日,1.86
1321  大洋,1143621923,38629181,15093,29.61,29.33,29.8,32.25,9月25日,26.6,9月3日,17
1323  永裕,283099504,12506368,5524,22.64,22.38,22.2,23.6,9月18日,21.45,9月10日,15.11
1324  地球,37339897,3026434,1275,12.34,12.05,11.65,13.15,9月20日,11.55,9月3日,4.03
1325  恆大,100032094,5710447,2742,17.52,16.7,17.75,18.25,9月27日,16.15,9月5日,5.67
1326  台化,5563667258,71685889,33539,77.61,77.66,78.8,79.9,9月19日,74.6,9月6日,1.26
1337  F-再生,2299660457,24062532,12971,95.57,94.59,99,100.5,9月27日,91.2,9月18日,15.15
1339  昭輝,33142808,1170955,738,28.3,27.89,27.7,30,9月7日,27.35,9月11日,1.78
1715  亞化,147802543,10401938,2987,14.21,14.18,14.3,14.45,9月13日,14,9月11日,3.32
4306  炎洲,1159265502,44680746,14281,25.95,24.29,23.6,28.9,9月3日,23.2,9月6日,12.37
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,7835360888,236782413,67840,33.09,32.7,33.1,34.55,9月17日,30.65,9月6日,4.69
1409  新纖,2298442138,222885451,48960,10.31,10.07,10.25,11,9月25日,9.16,9月5日,12.66
1410  南染,1967187554,80978564,27904,24.29,22.24,25.65,29.8,9月25日,17.1,9月3日,89.98
1413  宏洲,13471037,2933012,1175,4.59,4.54,4.85,5.05,9月25日,4.04,9月3日,1.72
1414  東和,386712271,40151973,11674,9.63,9.44,9.41,10.4,9月24日,8.75,9月3日,18.25
1416  廣豐,2052964747,115220345,29646,17.82,17.34,18.25,19.9,9月26日,15.4,9月3日,29.94
1417  嘉裕,485691024,45292953,10004,10.72,10.67,10.35,11.05,9月10日,10.3,9月28日,11.92
1418  東華,61961206,8330349,2130,7.44,6.9,7.5,8.42,9月25日,6.1,9月3日,6.31
1419  新紡,1640876971,38967509,12618,42.11,41.48,40.7,43.4,9月17日,39.9,9月6日,12.99
1423  利華,45275262,6078127,1322,7.45,7.43,7.71,8.08,9月25日,7.01,9月10日,3.47
1432  大魯閣,311962236,24090711,6502,12.95,12.52,13.7,14.5,9月26日,11.55,9月6日,44.72
1434  福懋,307129469,11068636,6636,27.75,27.7,28.1,28.25,9月21日,26.5,9月5日,0.66
1439  中和,145058706,8554656,3960,16.96,16.45,16.2,18.1,9月25日,15.7,9月7日,9.3
1440  南紡,1228849159,86578409,21910,14.19,14.02,14.2,14.8,9月24日,13,9月6日,5.52
1441  大東,475659688,43546669,11041,10.92,10.08,11,12.55,9月25日,8.32,9月3日,48.39
1443  立益,50136133,10093450,2672,4.97,4.65,5.3,5.75,9月28日,3.88,9月3日,7.46
1444  力麗,1232245411,107314262,25243,11.48,11.26,11.25,12.45,9月21日,10.3,9月3日,11.77
1445  大宇,44624060,5902052,1653,7.56,7.27,7.79,8.1,9月27日,7,9月5日,4.26
1446  宏和,205281796,11515630,4159,17.83,17.62,17.45,20.7,9月25日,14.4,9月3日,8.31
1447  力鵬,632511775,67022542,17625,9.44,9.05,9.53,10.2,9月25日,8.3,9月5日,8.89
1451  年興,93197411,4498770,2554,20.72,20.73,20.85,20.9,9月24日,20.5,9月10日,1.04
1452  宏益,55445159,5914478,1662,9.37,9.3,9.63,9.93,9月25日,8.92,9月5日,4.46
1453  大將,20785884,2144562,1113,9.69,9.25,9.82,10.55,9月26日,8.61,9月6日,2.77
1454  台富,110380996,13601994,3848,8.12,7.27,8.2,8.64,9月28日,6.76,9月12日,9.69
1455  集盛,910332003,84310941,22280,10.8,10.51,10.45,11.65,9月24日,9.77,9月3日,13.92
1457  宜進,187549800,25993399,6556,7.22,7.08,7.42,7.85,9月25日,6.25,9月3日,8.18
1459  聯發,152652221,16344613,3953,9.34,9.22,9.51,9.85,9月25日,8.85,9月11日,4.56
1460  宏遠,138323197,16865090,4996,8.2,8.2,7.96,8.37,9月25日,7.92,9月28日,3.58
1463  強盛,660372540,52153114,10096,12.66,12.42,12.8,14.2,9月24日,11.35,9月5日,27.68
1464  得力,86080675,8859319,1860,9.72,9.29,10.4,10.55,9月28日,8.43,9月3日,3.97
1465  偉全,66538581,4911563,1676,13.55,12.88,13.8,14.5,9月28日,12.2,9月7日,5.69
1466  聚隆,101850668,5661559,2523,17.99,17.59,17.85,19,9月24日,16,9月14日,5.94
1467  南緯,138943662,14326914,4040,9.7,9.69,9.71,10,9月10日,8.93,9月3日,8.52
1468  昶和,8834226,823015,465,10.73,10.49,10.85,12.25,9月25日,9.8,9月14日,0.51
1469  理隆,4358174,491544,293,8.87,8.73,9.36,9.68,9月27日,8.18,9月4日,0.39
1470  大統染,6444598,509470,207,12.65,12.15,12.45,13.35,9月25日,11.4,9月5日,0.59
1472  三洋紡,65793769,4596426,1884,14.31,14.36,14.65,15.15,9月3日,13.7,9月11日,7.73
1473  台南,124769876,4515759,2401,27.63,27.8,27.55,28.9,9月3日,27.15,9月20日,3.08
1474  弘裕,24259301,3376108,1173,7.19,7.2,7.37,7.49,9月12日,6.68,9月13日,2.45
1475  本盟,2448604,311095,166,7.87,7.78,7.4,8.58,9月11日,7.2,9月19日,0.96
1476  儒鴻,1546214234,19616369,12962,78.82,78.65,81.8,82.4,9月28日,76.1,9月26日,7.97
1477  聚陽,707531846,8388578,6392,84.34,84.41,84.5,85.9,9月4日,83.6,9月24日,5.08
4414  如興,79935885,9051781,2623,8.83,8.56,9.43,9.83,9月28日,8.11,9月17日,15.44
4426  利勤,182686740,6694459,3312,27.29,26.72,27.1,28.95,9月12日,24.15,9月6日,10.46
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,148238657,4161060,2293,35.63,35.31,34.8,37,9月10日,34.55,9月6日,0.8
1504  東元,1366602825,67494324,23153,20.25,20.22,20.3,20.85,9月20日,19.6,9月6日,3.66
